"CellType","Total_Markers","Available_Markers","Availability_Percent","Available_Genes"
"ASC",1,1,100,"Gja1"
"OPC",1,1,100,"Pdgfra"
"MG",1,1,100,"Tmem119"
"EC",1,1,100,"Cldn5"
"NEUR",1,1,100,"Syt1"
"OLG",2,2,100,"Cldn11, Mobp"
"MAC",1,1,100,"Pf4"
"PC",1,1,100,"Vtn"
"NFOLG",1,1,100,"Enpp6"
"VSMC",1,1,100,"Acta2"
"DC",2,2,100,"Cd74, Cd209a"
"EPC",1,1,100,"Ccdc153"
"NSC",1,1,100,"Thbs4"
"ARP",1,1,100,"Cd44"
"NRP",2,2,100,"Top2a, Cdk1"
"Tcells",1,1,100,"Cd3d"
"NEUT",1,1,100,"S100a9"
"EPIC",1,1,100,"Ttr"
"VLMC",1,1,100,"Slc6a13"
"ABC",1,1,100,"Slc47a1"
