"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene","significant"
0,7.09058403169652,0.85,0.018,0,"7","Alas2",TRUE
0,6.95789595466044,0.998,0.42,0,"7","Hba-a2",TRUE
0,6.95642769546393,0.998,0.495,0,"7","Hba-a1",TRUE
0,6.84577879150573,1,0.847,0,"7","Hbb-bs",TRUE
0,6.77000296038704,0.992,0.299,0,"7","Hbb-bt",TRUE
0,5.87795191776697,0.454,0.02,0,"7","Isg20",TRUE
0,5.61950201170989,0.601,0.038,0,"7","Ube2l6",TRUE
0,3.87769338350918,0.601,0.117,0,"7","Tent5c",TRUE
0,3.30058164289374,0.49,0.13,0,"7","Slc25a37",TRUE
0,2.98651718337296,0.59,0.28,0,"7","Bpgm",TRUE
0,2.92913460682722,0.421,0.167,0,"8","Hk2",TRUE
0,2.73130107804504,0.506,0.24,0,"8","Pycard",TRUE
8.73891860736216e-52,2.62094268386463,0.267,0.196,2.13876293996582e-47,"8","Fbxl18",TRUE
3.29238847689684e-161,2.4803548036456,0.382,0.224,8.05779155835733e-157,"8","Nabp1",TRUE
0,2.32017203161337,0.647,0.291,0,"8","Mafb",TRUE
1.36617535369846e-37,2.21308075085143,0.319,0.276,3.34357756064161e-33,"8","Ints6",TRUE
3.7017393741344e-57,2.17811685438431,0.373,0.323,9.05963694425653e-53,"8","Dleu2",TRUE
6.92520197278008e-184,2.1535113123105,0.32,0.147,1.6948739308182e-179,"8","Ccr5",TRUE
0,2.13519709390967,0.511,0.212,0,"8","Hpgds",TRUE
1.18353648731685e-191,2.10125706085486,0.408,0.223,2.89658719905926e-187,"8","Tgfb1",TRUE
0,2.82790301442392,0.664,0.091,0,"10","Ly6a",TRUE
0,2.82033679673057,0.254,0.052,0,"10","Hmcn1",TRUE
0,2.74641989722355,0.776,0.111,0,"10","Ly6c1",TRUE
0,2.67634213720321,0.304,0.054,0,"10","Sox17",TRUE
0,2.64321211744502,0.307,0.055,0,"10","Tek",TRUE
0,2.642034418716,0.271,0.056,0,"10","Atp10a",TRUE
0,2.64048573086489,0.662,0.092,0,"10","Slco1a4",TRUE
0,2.59789098806396,0.35,0.066,0,"10","Podxl",TRUE
0,2.58251460584252,0.322,0.056,0,"10","Srarp",TRUE
0,2.57786939883519,0.555,0.077,0,"10","Adgrf5",TRUE
0,4.07564535670819,0.278,0.044,0,"14","Gm38039",TRUE
4.13337710642422e-229,4.06039516254536,0.262,0.063,1.01160271302626e-224,"14","Aass",TRUE
0,3.72189189563371,0.333,0.069,0,"14","Gm47591",TRUE
1.03338268700814e-270,3.58674237022255,0.278,0.061,2.52910078818372e-266,"14","Myt1",TRUE
0,3.27512026019811,0.715,0.146,0,"14","Cspg4",TRUE
6.39694433819291e-262,3.26046551736594,0.308,0.075,1.56558815732933e-257,"14","Sntg1",TRUE
0,3.24269684552366,0.626,0.116,0,"14","Pcdh15",TRUE
2.33052067254117e-165,3.23902600744654,0.289,0.095,5.70371629397727e-161,"14","4430402I18Rik",TRUE
0,3.06187916724148,0.886,0.165,0,"14","Pdgfra",TRUE
0,3.05775820012214,0.606,0.159,0,"14","Brinp3",TRUE
0,4.68229239537967,0.959,0.358,0,"16","Mbp",TRUE
0,4.24337219662696,0.295,0.027,0,"16","D7Ertd443e",TRUE
0,3.98924702930028,0.298,0.025,0,"16","C030029H02Rik",TRUE
0,3.97551585604033,0.872,0.176,0,"16","Mobp",TRUE
0,3.33318379926789,0.289,0.035,0,"16","Plekhh1",TRUE
0,3.33213066304762,0.713,0.12,0,"16","Mag",TRUE
0,3.21676609088687,0.433,0.055,0,"16","Lpar1",TRUE
6.24290871025334e-303,3.20613739678519,0.337,0.057,1.5278894777474e-298,"16","1700047M11Rik",TRUE
0,3.19061192587256,0.551,0.06,0,"16","Mog",TRUE
0,3.1820928187455,0.309,0.04,0,"16","Anln",TRUE
0,4.38686567099177,0.696,0.082,0,"23","Rgs5",TRUE
0,3.730030255462,0.414,0.037,0,"23","Higd1b",TRUE
0,3.68244754247499,0.371,0.035,0,"23","Ndufa4l2",TRUE
0,3.65839859623339,0.657,0.076,0,"23","Vtn",TRUE
1.11147781857521e-248,3.64171645734427,0.267,0.023,2.72023081318096e-244,"23","Abcc9",TRUE
5.45362314737398e-200,3.6182601519828,0.284,0.032,1.33471972908831e-195,"23","Ifitm1",TRUE
6.7009746937927e-151,3.54111327029042,0.28,0.04,1.63999654655883e-146,"23","Cox4i2",TRUE
5.23598299247062e-284,3.49032193383202,0.278,0.023,1.28145447757726e-279,"23","Myh11",TRUE
5.2744750965875e-92,3.29939902421284,0.256,0.051,1.29087503513883e-87,"23","Ecm2",TRUE
3.83808325936148e-98,3.29329021556004,0.267,0.052,9.39332496896128e-94,"23","Notch3",TRUE
0,8.40653456265852,0.462,0.002,0,"25","Aox3",TRUE
0,8.36299752623859,0.486,0.002,0,"25","Lum",TRUE
0,7.9241550016314,0.373,0.003,0,"25","Lama1",TRUE
0,7.83555408975649,0.56,0.004,0,"25","Slc22a6",TRUE
0,7.64143479099631,0.646,0.02,0,"25","Col1a1",TRUE
0,7.5828771966789,0.727,0.014,0,"25","Slc6a13",TRUE
0,7.48027642955269,0.62,0.006,0,"25","Aldh1a2",TRUE
0,7.44226870617537,0.354,0.002,0,"25","Col13a1",TRUE
0,7.37828450103789,0.467,0.004,0,"25","Itih2",TRUE
0,7.34619641481217,0.474,0.007,0,"25","Col3a1",TRUE
