"gene","logFC","logCPM","F","PValue","FDR","significance","effect_size","regulation","cell_type","comparison","group1","group2","total_cells","group1_cells","group2_cells","genes_tested","analysis_date"
"Hspa8",-0.487837032628603,11.5873460506066,799.617175683943,7.40894218546918e-168,1.88187131510917e-165,"Highly Significant","Small","Downregulated","ASC","With_vs_Naive","Withdrawal","Naive",8058,3546,4512,254,2025-05-28
"Srrm2",0.378181111610544,10.7794052998733,338.548120636968,4.19379715321741e-74,5.32612238458611e-72,"Highly Significant","Small","Upregulated","ASC","With_vs_Naive","Withdrawal","Naive",8058,3546,4512,254,2025-05-28
"AY036118",-0.328197869552236,12.1254215919773,329.028862320764,4.11060060414023e-72,3.4803085115054e-70,"Highly Significant","Small","Downregulated","ASC","With_vs_Naive","Withdrawal","Naive",8058,3546,4512,254,2025-05-28
"Fabp7",-0.504385174813803,11.1784023970405,320.808473400231,2.20559310544489e-70,1.40055162195751e-68,"Highly Significant","Medium","Downregulated","ASC","With_vs_Naive","Withdrawal","Naive",8058,3546,4512,254,2025-05-28
"Mt3",-0.280641827368398,13.3163586849529,240.442424842929,1.83888611983982e-53,9.3415414887863e-52,"Highly Significant","Small","Downregulated","ASC","With_vs_Naive","Withdrawal","Naive",8058,3546,4512,254,2025-05-28
"Hsp90ab1",-0.29237051439993,11.2419652274397,235.159156170226,2.41336873994719e-52,1.02165943324431e-50,"Highly Significant","Small","Downregulated","ASC","With_vs_Naive","Withdrawal","Naive",8058,3546,4512,254,2025-05-28
"Hspa5",-0.32469265440996,10.7322364918723,188.250746815368,2.27114963452727e-42,8.24102867385609e-41,"Highly Significant","Small","Downregulated","ASC","With_vs_Naive","Withdrawal","Naive",8058,3546,4512,254,2025-05-28
"Atp5j2",-0.277122427900116,10.6237133912981,157.424612377875,8.87157045228481e-36,2.81672361860043e-34,"Highly Significant","Small","Downregulated","ASC","With_vs_Naive","Withdrawal","Naive",8058,3546,4512,254,2025-05-28
"Atp5k",-0.282977131126271,10.5647163218876,154.492077781596,3.77342543464747e-35,1.06494451155606e-33,"Highly Significant","Small","Downregulated","ASC","With_vs_Naive","Withdrawal","Naive",8058,3546,4512,254,2025-05-28
"Hsp90aa1",-0.266954978628589,10.6408608628417,144.801236907953,4.53511360823326e-33,1.15191885649125e-31,"Highly Significant","Small","Downregulated","ASC","With_vs_Naive","Withdrawal","Naive",8058,3546,4512,254,2025-05-28
"Gm42418",-0.286701900846026,15.2455393116815,141.583057501189,2.2378498262277e-32,4.83770055740624e-31,"Highly Significant","Small","Downregulated","ASC","With_vs_Naive","Withdrawal","Naive",8058,3546,4512,254,2025-05-28
"Ubc",-0.247006030875659,11.0852355089627,141.532006744595,2.28552782239665e-32,4.83770055740624e-31,"Highly Significant","Small","Downregulated","ASC","With_vs_Naive","Withdrawal","Naive",8058,3546,4512,254,2025-05-28
"Hsp90b1",-0.260576796405886,10.7017173025896,140.512217903188,3.785897369644e-32,7.3970610145352e-31,"Highly Significant","Small","Downregulated","ASC","With_vs_Naive","Withdrawal","Naive",8058,3546,4512,254,2025-05-28
"Uqcr11",-0.251904675773358,10.7561119230336,139.636978298012,5.8386660454833e-32,1.05930083968054e-30,"Highly Significant","Small","Downregulated","ASC","With_vs_Naive","Withdrawal","Naive",8058,3546,4512,254,2025-05-28
"Kif1b",0.223791821055764,10.8407674558964,128.168392263558,1.71507932543017e-29,2.90420099106175e-28,"Highly Significant","Small","Upregulated","ASC","With_vs_Naive","Withdrawal","Naive",8058,3546,4512,254,2025-05-28
"Gria2",0.248784642209193,11.7903629060677,121.301746813178,5.19006251252728e-28,8.23922423863705e-27,"Highly Significant","Small","Upregulated","ASC","With_vs_Naive","Withdrawal","Naive",8058,3546,4512,254,2025-05-28
"Cox7a2",-0.247415544090111,10.5605971611724,120.380149597407,8.18763263728411e-28,1.2233286411001e-26,"Highly Significant","Small","Downregulated","ASC","With_vs_Naive","Withdrawal","Naive",8058,3546,4512,254,2025-05-28
"mt-Nd4l",-0.201508741349013,11.5426842028818,119.426170061626,1.31513347633552e-27,1.85579946105124e-26,"Highly Significant","Small","Downregulated","ASC","With_vs_Naive","Withdrawal","Naive",8058,3546,4512,254,2025-05-28
"Ubb",-0.186741486416871,11.6787660191993,116.675060029985,5.16062786634318e-27,6.89894462132194e-26,"Highly Significant","Small","Downregulated","ASC","With_vs_Naive","Withdrawal","Naive",8058,3546,4512,254,2025-05-28
"Cox7c",-0.206472406394875,11.2230118903489,112.173309483334,4.84094666277667e-26,6.14800226172637e-25,"Highly Significant","Small","Downregulated","ASC","With_vs_Naive","Withdrawal","Naive",8058,3546,4512,254,2025-05-28
"Syne1",0.259795969010602,10.8020375092652,107.803889428619,4.2605948328359e-25,5.15329089304914e-24,"Highly Significant","Small","Upregulated","ASC","With_vs_Naive","Withdrawal","Naive",8058,3546,4512,254,2025-05-28
"Ckb",-0.155330490203394,13.1767397820621,107.188386743554,5.7878694670234e-25,6.68235838465429e-24,"Highly Significant","Small","Downregulated","ASC","With_vs_Naive","Withdrawal","Naive",8058,3546,4512,254,2025-05-28
"Ndufa4",-0.211499601499338,11.0042582374786,106.009700046783,1.04105657129365e-24,1.14968856134168e-23,"Highly Significant","Small","Downregulated","ASC","With_vs_Naive","Withdrawal","Naive",8058,3546,4512,254,2025-05-28
"Cox8a",-0.200624722512674,11.7600899158922,105.896251093395,1.10158281669909e-24,1.16584181433987e-23,"Highly Significant","Small","Downregulated","ASC","With_vs_Naive","Withdrawal","Naive",8058,3546,4512,254,2025-05-28
"Cst3",-0.194617073876005,14.9603747361326,104.827814930666,1.87988401322131e-24,1.90996215743285e-23,"Highly Significant","Small","Downregulated","ASC","With_vs_Naive","Withdrawal","Naive",8058,3546,4512,254,2025-05-28
"Chchd2",-0.196045194390868,11.3336864880465,104.36818223961,2.35855588746071e-24,2.30412767467315e-23,"Highly Significant","Small","Downregulated","ASC","With_vs_Naive","Withdrawal","Naive",8058,3546,4512,254,2025-05-28
"Cox6b1",-0.228871647628018,10.6440945740066,103.425288900464,3.77322910330514e-24,3.5496303416278e-23,"Highly Significant","Small","Downregulated","ASC","With_vs_Naive","Withdrawal","Naive",8058,3546,4512,254,2025-05-28
"Atp5l",-0.211502710493686,10.8031695021218,99.3964264921754,2.81272116002457e-23,2.55153990945086e-22,"Highly Significant","Small","Downregulated","ASC","With_vs_Naive","Withdrawal","Naive",8058,3546,4512,254,2025-05-28
"Gpr37l1",-0.174290113774527,11.6659874113377,98.7490104334527,3.88498728657202e-23,3.4027130027217e-22,"Highly Significant","Small","Downregulated","ASC","With_vs_Naive","Withdrawal","Naive",8058,3546,4512,254,2025-05-28
"Atp5e",-0.211192011175578,10.7951568430603,97.1492421234321,8.6310912912609e-23,7.30765729326756e-22,"Highly Significant","Small","Downregulated","ASC","With_vs_Naive","Withdrawal","Naive",8058,3546,4512,254,2025-05-28
"Aqp4",-0.215083764777405,11.2760327836115,97.0829671838701,8.92134641086261e-23,7.3097483495455e-22,"Highly Significant","Small","Downregulated","ASC","With_vs_Naive","Withdrawal","Naive",8058,3546,4512,254,2025-05-28
"Fgfr3",0.206266995749634,10.7178054958655,95.775402200433,1.7134868046874e-22,1.36008015122063e-21,"Highly Significant","Small","Upregulated","ASC","With_vs_Naive","Withdrawal","Naive",8058,3546,4512,254,2025-05-28
"Uqcr10",-0.216895190141076,10.587093407231,89.1199872102561,4.76368189125874e-21,3.66659151630218e-20,"Highly Significant","Small","Downregulated","ASC","With_vs_Naive","Withdrawal","Naive",8058,3546,4512,254,2025-05-28
"Dbi",-0.17954117847019,12.9412856950284,86.2390141487162,2.01373231865014e-20,1.50437649687393e-19,"Highly Significant","Small","Downregulated","ASC","With_vs_Naive","Withdrawal","Naive",8058,3546,4512,254,2025-05-28
"mt-Nd1",0.120512378482535,13.2716706367192,85.9706599198371,2.30180638706183e-20,1.67045377803916e-19,"Highly Significant","Small","Upregulated","ASC","With_vs_Naive","Withdrawal","Naive",8058,3546,4512,254,2025-05-28
"Snrnp70",0.200900129137076,10.6576780211142,84.6234194746407,4.51743859195799e-20,3.18730389543703e-19,"Highly Significant","Small","Upregulated","ASC","With_vs_Naive","Withdrawal","Naive",8058,3546,4512,254,2025-05-28
"Gng5",-0.220683104158213,10.6475982155999,82.7338082547738,1.16350855770365e-19,7.98732901774937e-19,"Highly Significant","Small","Downregulated","ASC","With_vs_Naive","Withdrawal","Naive",8058,3546,4512,254,2025-05-28
