"gene","logFC","logCPM","F","PValue","FDR","significance","effect_size","regulation","cell_type","comparison","group1","group2","total_cells","group1_cells","group2_cells","genes_tested","analysis_date"
"Gm42418",-0.507284346866705,14.9521511646048,34.2228676831822,9.07133979668419e-09,1.69634054197994e-06,"Highly Significant","Medium","Downregulated","DC","Dep_vs_Naive","Dependent","Naive",461,190,271,187,2025-05-28
"AY036118",-0.465640532145177,12.2534129584249,32.2628533872173,2.3290795059822e-08,2.17768933809336e-06,"Highly Significant","Small","Downregulated","DC","Dep_vs_Naive","Dependent","Naive",461,190,271,187,2025-05-28
"Hspa8",0.414915205049773,12.3141124877387,22.8189567536667,2.36471182540166e-06,0.000147400370450037,"Highly Significant","Small","Upregulated","DC","Dep_vs_Naive","Dependent","Naive",461,190,271,187,2025-05-28
"Rps28",0.364988241228675,13.1454583710113,15.9318147773464,7.58706316669105e-05,0.00292674294269811,"Highly Significant","Small","Upregulated","DC","Dep_vs_Naive","Dependent","Naive",461,190,271,187,2025-05-28
"Rpl38",0.328098717256557,12.8363558691457,15.8713075941831,7.82551588956713e-05,0.00292674294269811,"Highly Significant","Small","Upregulated","DC","Dep_vs_Naive","Dependent","Naive",461,190,271,187,2025-05-28
"Rps21",0.260888505485467,13.0853737648722,10.6361241141572,0.00118741025727658,0.03700761968512,"Significant","Small","Upregulated","DC","Dep_vs_Naive","Dependent","Naive",461,190,271,187,2025-05-28
"Rps29",0.274211223224563,14.0198180875131,10.1898086928794,0.00150426248411623,0.0374826545215315,"Significant","Small","Upregulated","DC","Dep_vs_Naive","Dependent","Naive",461,190,271,187,2025-05-28
"Rpl41",0.253799828552447,12.8891835388265,10.0695121593218,0.00160353602231151,0.0374826545215315,"Significant","Small","Upregulated","DC","Dep_vs_Naive","Dependent","Naive",461,190,271,187,2025-05-28
"Rps27",0.263204959965289,13.2330494651859,9.72141453307178,0.00193002204422114,0.0401015691410392,"Significant","Small","Upregulated","DC","Dep_vs_Naive","Dependent","Naive",461,190,271,187,2025-05-28
"Cst3",0.342080808082815,13.9514950551829,9.13035568503934,0.00265020853241577,0.0489044013341522,"Significant","Small","Upregulated","DC","Dep_vs_Naive","Dependent","Naive",461,190,271,187,2025-05-28
"Egr1",0.502411949601558,11.8025728179025,8.9799469026327,0.00287672949024425,0.0489044013341522,"Significant","Medium","Upregulated","DC","Dep_vs_Naive","Dependent","Naive",461,190,271,187,2025-05-28
"Rpl39",0.279946278064717,13.184605009014,8.64262873648688,0.00344128279642531,0.0536266569109611,"Not Significant","Small","Not Significant","DC","Dep_vs_Naive","Dependent","Naive",461,190,271,187,2025-05-28
"Jund",0.343754091857645,11.0355173590309,8.32209472233281,0.00409166195991887,0.0588569835772945,"Not Significant","Small","Not Significant","DC","Dep_vs_Naive","Dependent","Naive",461,190,271,187,2025-05-28
"Jun",0.417594861558577,11.6780879916068,7.67189063439425,0.00583221386223393,0.0779017137312675,"Not Significant","Small","Not Significant","DC","Dep_vs_Naive","Dependent","Naive",461,190,271,187,2025-05-28
"Rpl37a",0.223191856882837,13.3577728672056,6.8644486912859,0.00906955337624719,0.113067098757215,"Not Significant","Small","Not Significant","DC","Dep_vs_Naive","Dependent","Naive",461,190,271,187,2025-05-28
"Eif1",0.202437923002809,12.052310540799,6.15363351731006,0.0134537812659486,0.157241068545774,"Not Significant","Small","Not Significant","DC","Dep_vs_Naive","Dependent","Naive",461,190,271,187,2025-05-28
"Rpl23a",0.260688376493299,12.053881530164,6.03872002779786,0.0143458609007493,0.157804469908242,"Not Significant","Small","Not Significant","DC","Dep_vs_Naive","Dependent","Naive",461,190,271,187,2025-05-28
"Rpl37",0.195586723216945,12.9187725767752,5.85718680509876,0.0158815929038552,0.16204629725789,"Not Significant","Small","Not Significant","DC","Dep_vs_Naive","Dependent","Naive",461,190,271,187,2025-05-28
"Gapdh",0.272295558626145,11.0491348817923,5.79298479439475,0.0164645970475931,0.16204629725789,"Not Significant","Small","Not Significant","DC","Dep_vs_Naive","Dependent","Naive",461,190,271,187,2025-05-28
"Rpl35",0.217362182002678,11.9296992797741,4.84115466146928,0.0282610450535434,0.256146589714651,"Not Significant","Small","Not Significant","DC","Dep_vs_Naive","Dependent","Naive",461,190,271,187,2025-05-28
"Rplp2",0.187693002415807,12.773257705285,4.74442137008601,0.0298764340239353,0.256146589714651,"Not Significant","Small","Not Significant","DC","Dep_vs_Naive","Dependent","Naive",461,190,271,187,2025-05-28
"Rps2",0.20658568176579,12.0769419672842,4.4662184365807,0.0350836834265153,0.256146589714651,"Not Significant","Small","Not Significant","DC","Dep_vs_Naive","Dependent","Naive",461,190,271,187,2025-05-28
"Serinc3",0.255050260646721,11.0528852833888,4.4358620537287,0.0357068649631314,0.256146589714651,"Not Significant","Small","Not Significant","DC","Dep_vs_Naive","Dependent","Naive",461,190,271,187,2025-05-28
"Ier3",0.361597400314278,11.1625309635156,4.37944071705434,0.0369177228844913,0.256146589714651,"Not Significant","Small","Not Significant","DC","Dep_vs_Naive","Dependent","Naive",461,190,271,187,2025-05-28
"Rpl36a",0.208766583513498,11.7020310350481,4.3468045699136,0.0376031012080942,0.256146589714651,"Not Significant","Small","Not Significant","DC","Dep_vs_Naive","Dependent","Naive",461,190,271,187,2025-05-28
"Rpl22",0.195961020863054,12.0997728177919,4.29205545285304,0.0388211220817321,0.256146589714651,"Not Significant","Small","Not Significant","DC","Dep_vs_Naive","Dependent","Naive",461,190,271,187,2025-05-28
"Rpl35a",0.173216964858681,13.2177043685315,4.29065756792162,0.0388527592682504,0.256146589714651,"Not Significant","Small","Not Significant","DC","Dep_vs_Naive","Dependent","Naive",461,190,271,187,2025-05-28
"Rpl14",0.209005449944057,11.8955854924855,4.27728940243922,0.0391566838551562,0.256146589714651,"Not Significant","Small","Not Significant","DC","Dep_vs_Naive","Dependent","Naive",461,190,271,187,2025-05-28
"H2-Eb1",0.341991106858546,13.8250783684622,4.14033397081057,0.0424460062130006,0.256146589714651,"Not Significant","Small","Not Significant","DC","Dep_vs_Naive","Dependent","Naive",461,190,271,187,2025-05-28
"Btg2",0.239619466577494,11.4219466381568,4.0768337604393,0.0440270152224213,0.256146589714651,"Not Significant","Small","Not Significant","DC","Dep_vs_Naive","Dependent","Naive",461,190,271,187,2025-05-28
"Rpl23",0.176916152231219,13.3507819137628,4.04116997137646,0.0449585036155256,0.256146589714651,"Not Significant","Small","Not Significant","DC","Dep_vs_Naive","Dependent","Naive",461,190,271,187,2025-05-28
"Rps11",0.192558973077883,13.0362250270427,4.00367828122735,0.0459602202818583,0.256146589714651,"Not Significant","Small","Not Significant","DC","Dep_vs_Naive","Dependent","Naive",461,190,271,187,2025-05-28
"Klf4",0.286924416727842,10.8597060030899,3.99691982833345,0.0461432911664867,0.256146589714651,"Not Significant","Small","Not Significant","DC","Dep_vs_Naive","Dependent","Naive",461,190,271,187,2025-05-28
"Rps4x",0.197440914528246,12.9874694383187,3.96421458619428,0.04704016075202,0.256146589714651,"Not Significant","Small","Not Significant","DC","Dep_vs_Naive","Dependent","Naive",461,190,271,187,2025-05-28
"Rpl31",0.194393140014909,11.2612860715742,3.91898777638442,0.0483109146034305,0.256146589714651,"Not Significant","Small","Not Significant","DC","Dep_vs_Naive","Dependent","Naive",461,190,271,187,2025-05-28
"Fau",0.155295471605352,13.9198554454461,3.86553818381278,0.0498597346117802,0.256146589714651,"Not Significant","Small","Not Significant","DC","Dep_vs_Naive","Dependent","Naive",461,190,271,187,2025-05-28
"Atf3",0.308456311928347,10.9999749987013,3.83828188592418,0.0506814107991556,0.256146589714651,"Not Significant","Small","Not Significant","DC","Dep_vs_Naive","Dependent","Naive",461,190,271,187,2025-05-28
"H2-DMa",0.247536957228288,11.0727696389147,3.54226732836355,0.0604246472782466,0.297352869500845,"Not Significant","Small","Not Significant","DC","Dep_vs_Naive","Dependent","Naive",461,190,271,187,2025-05-28
"Rpl5",0.178227281694904,12.2585205719472,3.38562831212359,0.0663805473112992,0.312163284936362,"Not Significant","Small","Not Significant","DC","Dep_vs_Naive","Dependent","Naive",461,190,271,187,2025-05-28
"Eef1a1",0.168532510011113,13.4025707693984,3.30224065930752,0.0698050250718035,0.312163284936362,"Not Significant","Small","Not Significant","DC","Dep_vs_Naive","Dependent","Naive",461,190,271,187,2025-05-28
"Rpl3",0.163729858120219,11.9982873251893,3.28534827905369,0.0705215707875865,0.312163284936362,"Not Significant","Small","Not Significant","DC","Dep_vs_Naive","Dependent","Naive",461,190,271,187,2025-05-28
"Fos",0.248870767066035,12.1700704164047,3.27478825181176,0.0709955841349303,0.312163284936362,"Not Significant","Small","Not Significant","DC","Dep_vs_Naive","Dependent","Naive",461,190,271,187,2025-05-28
"Srgn",0.26054712219448,11.317647586575,3.25320907977333,0.0719119230215601,0.312163284936362,"Not Significant","Small","Not Significant","DC","Dep_vs_Naive","Dependent","Naive",461,190,271,187,2025-05-28
"Tmem176b",0.256302562611156,10.9034792567994,3.21817457708566,0.0734501846909087,0.312163284936362,"Not Significant","Small","Not Significant","DC","Dep_vs_Naive","Dependent","Naive",461,190,271,187,2025-05-28
"Tpt1",0.166129696957704,14.1591378618211,3.06252260225363,0.0807522367444341,0.334271335711721,"Not Significant","Small","Not Significant","DC","Dep_vs_Naive","Dependent","Naive",461,190,271,187,2025-05-28
"Ftl1",0.163958708475108,13.2186813887072,3.03293154539837,0.0822271734905839,0.334271335711721,"Not Significant","Small","Not Significant","DC","Dep_vs_Naive","Dependent","Naive",461,190,271,187,2025-05-28
"Rpl36",0.148303360393833,12.5194196253354,2.9370339122754,0.0872112139342807,0.340025111998493,"Not Significant","Small","Not Significant","DC","Dep_vs_Naive","Dependent","Naive",461,190,271,187,2025-05-28
"Rpl30",0.146492231528637,12.9934330259797,2.92495006139932,0.0878621486814024,0.340025111998493,"Not Significant","Small","Not Significant","DC","Dep_vs_Naive","Dependent","Naive",461,190,271,187,2025-05-28
"Rps27a",0.148179926441481,13.0891427459972,2.89672236069196,0.0894033930316698,0.340025111998493,"Not Significant","Small","Not Significant","DC","Dep_vs_Naive","Dependent","Naive",461,190,271,187,2025-05-28
"Hsp90ab1",0.152947449567431,12.3927151300411,2.86638763070422,0.0910925354609719,0.340025111998493,"Not Significant","Small","Not Significant","DC","Dep_vs_Naive","Dependent","Naive",461,190,271,187,2025-05-28
"Ddx5",0.159001741815409,11.9085235091647,2.76091982032877,0.0972415996817596,0.340025111998493,"Not Significant","Small","Not Significant","DC","Dep_vs_Naive","Dependent","Naive",461,190,271,187,2025-05-28
"Fth1",0.164378456135681,13.839255336005,2.7205124589317,0.0997164216285773,0.340025111998493,"Not Significant","Small","Not Significant","DC","Dep_vs_Naive","Dependent","Naive",461,190,271,187,2025-05-28
"Rpl10",0.160650704489928,12.5379501970964,2.7017630036886,0.100888120802487,0.340025111998493,"Not Significant","Small","Not Significant","DC","Dep_vs_Naive","Dependent","Naive",461,190,271,187,2025-05-28
"Calm1",0.145630968188177,11.8140877618066,2.6220759854781,0.106039254070138,0.340025111998493,"Not Significant","Small","Not Significant","DC","Dep_vs_Naive","Dependent","Naive",461,190,271,187,2025-05-28
"Rpl24",0.146765413559304,12.1144328999463,2.61018476843236,0.106832408559946,0.340025111998493,"Not Significant","Small","Not Significant","DC","Dep_vs_Naive","Dependent","Naive",461,190,271,187,2025-05-28
"Junb",0.191962066730774,12.0396281120633,2.60819172997744,0.106965983576016,0.340025111998493,"Not Significant","Small","Not Significant","DC","Dep_vs_Naive","Dependent","Naive",461,190,271,187,2025-05-28
"Laptm5",0.184367956023438,11.3033787646909,2.60597566907288,0.107114721584318,0.340025111998493,"Not Significant","Small","Not Significant","DC","Dep_vs_Naive","Dependent","Naive",461,190,271,187,2025-05-28
"H2-Aa",0.261955572434644,13.65988874618,2.58056506654252,0.108869345356943,0.340025111998493,"Not Significant","Small","Not Significant","DC","Dep_vs_Naive","Dependent","Naive",461,190,271,187,2025-05-28
"Lyz2",-0.318724518744981,13.7458930475038,2.57925743272851,0.10895904553783,0.340025111998493,"Not Significant","Small","Not Significant","DC","Dep_vs_Naive","Dependent","Naive",461,190,271,187,2025-05-28
"Atp5e",0.171148158240917,10.9514655415612,2.57673226416878,0.109098966416629,0.340025111998493,"Not Significant","Small","Not Significant","DC","Dep_vs_Naive","Dependent","Naive",461,190,271,187,2025-05-28
"Dusp1",0.225663573545272,11.3254460923123,2.54383705823289,0.111383580601828,0.341454583156422,"Not Significant","Small","Not Significant","DC","Dep_vs_Naive","Dependent","Naive",461,190,271,187,2025-05-28
"Cd74",0.257700108540268,14.9275999015226,2.39626008811157,0.12231344133449,0.368913121444349,"Not Significant","Small","Not Significant","DC","Dep_vs_Naive","Dependent","Naive",461,190,271,187,2025-05-28
"Cd81",0.21966335002794,11.0013908697386,2.2896745362374,0.130891314444855,0.376267133131473,"Not Significant","Small","Not Significant","DC","Dep_vs_Naive","Dependent","Naive",461,190,271,187,2025-05-28
"Rpl27a",0.126711011548272,13.0291429478315,2.26068715074808,0.133348771532934,0.376267133131473,"Not Significant","Small","Not Significant","DC","Dep_vs_Naive","Dependent","Naive",461,190,271,187,2025-05-28
"Pfdn5",0.149747701126342,11.0056087562649,2.24954888838059,0.134306748235681,0.376267133131473,"Not Significant","Small","Not Significant","DC","Dep_vs_Naive","Dependent","Naive",461,190,271,187,2025-05-28
"Gpx1",0.184337601644682,11.2498338861197,2.21283603708464,0.137519429399543,0.376267133131473,"Not Significant","Small","Not Significant","DC","Dep_vs_Naive","Dependent","Naive",461,190,271,187,2025-05-28
"Rpl6",0.134535970917853,12.5371386918259,2.20696507320258,0.138041150130849,0.376267133131473,"Not Significant","Small","Not Significant","DC","Dep_vs_Naive","Dependent","Naive",461,190,271,187,2025-05-28
"Rpl18a",0.125902488736316,12.9912003252003,2.18450451284176,0.140057748949274,0.376267133131473,"Not Significant","Small","Not Significant","DC","Dep_vs_Naive","Dependent","Naive",461,190,271,187,2025-05-28
"Rps13",0.13157373223252,12.7788565313166,2.18150122669706,0.140329900414127,0.376267133131473,"Not Significant","Small","Not Significant","DC","Dep_vs_Naive","Dependent","Naive",461,190,271,187,2025-05-28
"Eef2",0.160319185787286,11.1112578655735,2.16956104272249,0.141417801844788,0.376267133131473,"Not Significant","Small","Not Significant","DC","Dep_vs_Naive","Dependent","Naive",461,190,271,187,2025-05-28
"Actb",0.145787406770359,14.0267533000136,2.15370189318417,0.142877498204788,0.376267133131473,"Not Significant","Small","Not Significant","DC","Dep_vs_Naive","Dependent","Naive",461,190,271,187,2025-05-28
"mt-Nd3",0.139718928019654,11.8119353817129,2.11067968393533,0.146923721026491,0.376267133131473,"Not Significant","Small","Not Significant","DC","Dep_vs_Naive","Dependent","Naive",461,190,271,187,2025-05-28
"Rps26",0.137556324056168,12.3876512122568,2.09369703293971,0.148556477552283,0.376267133131473,"Not Significant","Small","Not Significant","DC","Dep_vs_Naive","Dependent","Naive",461,190,271,187,2025-05-28
"Rplp1",0.126532738292414,13.5100802699632,2.08938604683979,0.148974210398501,0.376267133131473,"Not Significant","Small","Not Significant","DC","Dep_vs_Naive","Dependent","Naive",461,190,271,187,2025-05-28
"H2-Ab1",0.237305192942387,13.6710182262134,2.05235180614453,0.152650635545513,0.376267133131473,"Not Significant","Small","Not Significant","DC","Dep_vs_Naive","Dependent","Naive",461,190,271,187,2025-05-28
"Mgl2",0.277999194317865,11.2025223555555,2.04963075998153,0.152921401700492,0.376267133131473,"Not Significant","Small","Not Significant","DC","Dep_vs_Naive","Dependent","Naive",461,190,271,187,2025-05-28
"Eef1b2",0.150855040697123,11.6216160770532,2.01016017045915,0.156893666900609,0.381027476758622,"Not Significant","Small","Not Significant","DC","Dep_vs_Naive","Dependent","Naive",461,190,271,187,2025-05-28
"Arpc1b",0.173958790389908,10.9747715807817,1.98982542937859,0.159002884040713,0.381199221995042,"Not Significant","Small","Not Significant","DC","Dep_vs_Naive","Dependent","Naive",461,190,271,187,2025-05-28
