"gene","logFC","logCPM","F","PValue","FDR","significance","effect_size","regulation","cell_type","comparison","group1","group2","total_cells","group1_cells","group2_cells","genes_tested","analysis_date"
"Ttr",3.01923155583255,11.7802075150184,212.178944080519,7.42634608293513e-40,1.32188960276245e-37,"Highly Significant","Large","Upregulated","DC","With_vs_Dep","Withdrawal","Dependent",461,271,190,178,2025-05-28
"Rps29",-0.636193254029807,13.8994916730127,48.1024832766922,1.31397395030265e-11,1.16943681576936e-09,"Highly Significant","Medium","Downregulated","DC","With_vs_Dep","Withdrawal","Dependent",461,271,190,178,2025-05-28
"Rps27",-0.649290610559474,13.1123840658825,46.7511759629286,2.46045452121184e-11,1.45986968258569e-09,"Highly Significant","Medium","Downregulated","DC","With_vs_Dep","Withdrawal","Dependent",461,271,190,178,2025-05-28
"Hspa8",-0.576798953368523,12.3121260939972,44.5447731110038,6.8813491749154e-11,3.06220038283735e-09,"Highly Significant","Medium","Downregulated","DC","With_vs_Dep","Withdrawal","Dependent",461,271,190,178,2025-05-28
"Rps28",-0.641367512135146,13.0764411147319,35.6247015951701,4.65528740320564e-09,1.51475729980528e-07,"Highly Significant","Medium","Downregulated","DC","With_vs_Dep","Withdrawal","Dependent",461,271,190,178,2025-05-28
"Rpl38",-0.563965269828092,12.7863481282327,35.4152877747556,5.14533809744924e-09,1.51475729980528e-07,"Highly Significant","Medium","Downregulated","DC","With_vs_Dep","Withdrawal","Dependent",461,271,190,178,2025-05-28
"Rpl37a",-0.551949049648023,13.2562831658976,35.109055072652,5.95691072957132e-09,1.51475729980528e-07,"Highly Significant","Medium","Downregulated","DC","With_vs_Dep","Withdrawal","Dependent",461,271,190,178,2025-05-28
"Rps21",-0.478332060430778,13.0405009723285,29.1417533792865,1.05977220114229e-07,2.35799314754159e-06,"Highly Significant","Small","Downregulated","DC","With_vs_Dep","Withdrawal","Dependent",461,271,190,178,2025-05-28
"Rpl37",-0.462258494918633,12.8508953357433,25.1515419375447,7.47363487739784e-07,1.47811889797424e-05,"Highly Significant","Small","Downregulated","DC","With_vs_Dep","Withdrawal","Dependent",461,271,190,178,2025-05-28
"mt-Nd1",0.377676480424115,12.898314592837,23.3577990878675,1.81333115971112e-06,3.22772946428579e-05,"Highly Significant","Small","Upregulated","DC","With_vs_Dep","Withdrawal","Dependent",461,271,190,178,2025-05-28
