"gene","logFC","logCPM","F","PValue","FDR","significance","effect_size","regulation","cell_type","comparison","group1","group2","total_cells","group1_cells","group2_cells","genes_tested","analysis_date"
"mt-Nd4",0.409582459071897,13.3519073559273,34.0776863764037,8.96627451086687e-09,1.3270086276083e-06,"Highly Significant","Small","Upregulated","DC","With_vs_Naive","Withdrawal","Naive",542,271,271,148,2025-05-28
"mt-Nd1",0.378032155786159,13.0026921272672,27.5305126410714,2.19597644441302e-07,1.23756036822925e-05,"Highly Significant","Small","Upregulated","DC","With_vs_Naive","Withdrawal","Naive",542,271,271,148,2025-05-28
"mt-Cytb",0.38885850567981,13.6140705261587,27.2605542339718,2.5085683139782e-07,1.23756036822925e-05,"Highly Significant","Small","Upregulated","DC","With_vs_Naive","Withdrawal","Naive",542,271,271,148,2025-05-28
"mt-Nd2",0.386326114062966,13.1769891405952,25.645498381866,5.57380671366115e-07,1.72507139125817e-05,"Highly Significant","Small","Upregulated","DC","With_vs_Naive","Withdrawal","Naive",542,271,271,148,2025-05-28
"Malat1",0.528804642385245,16.1462483401945,25.5555288977074,5.82794388938572e-07,1.72507139125817e-05,"Highly Significant","Medium","Upregulated","DC","With_vs_Naive","Withdrawal","Naive",542,271,271,148,2025-05-28
"mt-Co3",0.294702634089301,14.7221150843966,20.4851948623048,7.34139258360629e-06,0.000167851333747648,"Highly Significant","Small","Upregulated","DC","With_vs_Naive","Withdrawal","Naive",542,271,271,148,2025-05-28
"mt-Co1",0.297339774363075,14.392116704164,20.3299819397187,7.93891443401036e-06,0.000167851333747648,"Highly Significant","Small","Upregulated","DC","With_vs_Naive","Withdrawal","Naive",542,271,271,148,2025-05-28
"Rps27",-0.377292553570351,13.1466567208723,17.643945391211,3.09800916194412e-05,0.000523620083741008,"Highly Significant","Small","Downregulated","DC","With_vs_Naive","Withdrawal","Naive",542,271,271,148,2025-05-28
"mt-Atp6",0.278499295515686,14.5957084772728,17.590125586537,3.18417618491153e-05,0.000523620083741008,"Highly Significant","Small","Upregulated","DC","With_vs_Naive","Withdrawal","Naive",542,271,271,148,2025-05-28
"Rps29",-0.352462000985548,13.9230148169722,16.3342714604257,6.05084544640876e-05,0.000895525126068497,"Highly Significant","Small","Downregulated","DC","With_vs_Naive","Withdrawal","Naive",542,271,271,148,2025-05-28
"Gm42418",-0.330201936673381,15.159315631981,15.6833508042128,8.45212492091306e-05,0.00113719498935921,"Highly Significant","Small","Downregulated","DC","With_vs_Naive","Withdrawal","Naive",542,271,271,148,2025-05-28
"Rpl37a",-0.321261506567042,13.3066146056243,12.9251831809501,0.000352756861411962,0.0043506679574142,"Highly Significant","Small","Downregulated","DC","With_vs_Naive","Withdrawal","Naive",542,271,271,148,2025-05-28
"mt-Co2",0.220545998076387,14.2555557861342,11.5869272464656,0.000711606346924585,0.00810136456498758,"Highly Significant","Small","Upregulated","DC","With_vs_Naive","Withdrawal","Naive",542,271,271,148,2025-05-28
"mt-Nd5",0.305007096739546,11.6092354499962,11.0157364068045,0.000962020973555288,0.0101699360061559,"Significant","Small","Upregulated","DC","With_vs_Naive","Withdrawal","Naive",542,271,271,148,2025-05-28
"Lyz2",-0.61521206445495,13.8046244533,10.5265611111666,0.00124939085689082,0.0123273231213228,"Significant","Medium","Downregulated","DC","With_vs_Naive","Withdrawal","Naive",542,271,271,148,2025-05-28
"Cst3",0.330887694126116,14.1517207001301,9.86176456082046,0.00177658245294627,0.016433387689753,"Significant","Small","Upregulated","DC","With_vs_Naive","Withdrawal","Naive",542,271,271,148,2025-05-28
"Rpl37",-0.258962027594553,12.9132528594084,9.25378408884651,0.00245998143195248,0.0214163089369981,"Significant","Small","Downregulated","DC","With_vs_Naive","Withdrawal","Naive",542,271,271,148,2025-05-28
"Rpl35",-0.293939710863465,11.9281596971942,7.95127633687104,0.00497521376324944,0.040500603602057,"Significant","Small","Downregulated","DC","With_vs_Naive","Withdrawal","Naive",542,271,271,148,2025-05-28
"Rps26",-0.265498951448734,12.4160315337005,7.87039894808863,0.00519940181377759,0.040500603602057,"Significant","Small","Downregulated","DC","With_vs_Naive","Withdrawal","Naive",542,271,271,148,2025-05-28
"Rps23",-0.251255086388634,13.1310944342753,7.73306060149621,0.00560404428086778,0.0414699276784216,"Significant","Small","Downregulated","DC","With_vs_Naive","Withdrawal","Naive",542,271,271,148,2025-05-28
"mt-Nd3",0.238607097402655,12.0656436077151,7.63899813080597,0.00589964719046575,0.0415784659137586,"Significant","Small","Upregulated","DC","With_vs_Naive","Withdrawal","Naive",542,271,271,148,2025-05-28
"Ctss",-0.341920381406758,12.0169909403063,7.35803710010537,0.00688130268086419,0.044311247751386,"Significant","Small","Downregulated","DC","With_vs_Naive","Withdrawal","Naive",542,271,271,148,2025-05-28
