"gene","logFC","logCPM","F","PValue","FDR","significance","effect_size","regulation","cell_type","comparison","group1","group2","total_cells","group1_cells","group2_cells","genes_tested","analysis_date"
"Hspa8",0.410136721189116,12.3803438002931,263.964163871045,2.15218209021401e-57,6.90850450958696e-55,"Highly Significant","Small","Upregulated","EC","Dep_vs_Naive","Dependent","Naive",3680,1800,1880,321,2025-05-28
"Slc7a1",0.578032218876134,10.9418586121847,210.823603380463,1.69108677899968e-46,2.71419428029449e-44,"Highly Significant","Medium","Upregulated","EC","Dep_vs_Naive","Dependent","Naive",3680,1800,1880,321,2025-05-28
"Tfrc",0.610047123982009,10.9896536344995,200.423730062866,2.40275467657775e-44,2.57094750393819e-42,"Highly Significant","Medium","Upregulated","EC","Dep_vs_Naive","Dependent","Naive",3680,1800,1880,321,2025-05-28
"Hsp90b1",-0.390136677511061,11.066810337074,158.83299125071,1.08564083743435e-35,8.71226772041069e-34,"Highly Significant","Small","Downregulated","EC","Dep_vs_Naive","Dependent","Naive",3680,1800,1880,321,2025-05-28
"Rps28",0.3449052196355,11.3845268764662,149.911203998012,8.08202810651936e-34,5.18866204438543e-32,"Highly Significant","Small","Upregulated","EC","Dep_vs_Naive","Dependent","Naive",3680,1800,1880,321,2025-05-28
"Ier3",0.549515554044685,10.6439482421948,141.501232154605,4.79352214789439e-32,2.5645343491235e-30,"Highly Significant","Medium","Upregulated","EC","Dep_vs_Naive","Dependent","Naive",3680,1800,1880,321,2025-05-28
"Calr",-0.391327006011662,10.5839326959387,139.351654632264,1.34742658992671e-31,6.17891336237819e-30,"Highly Significant","Small","Downregulated","EC","Dep_vs_Naive","Dependent","Naive",3680,1800,1880,321,2025-05-28
"Hspb1",-0.29382198145261,12.1653929653966,109.696860335101,2.56635111134339e-25,1.02974838342654e-23,"Highly Significant","Small","Downregulated","EC","Dep_vs_Naive","Dependent","Naive",3680,1800,1880,321,2025-05-28
"Dynll1",0.281839409139946,11.3137461609583,108.748424042603,4.08483436597811e-25,1.45692425719886e-23,"Highly Significant","Small","Upregulated","EC","Dep_vs_Naive","Dependent","Naive",3680,1800,1880,321,2025-05-28
"Bsg",-0.274261002234597,14.479359611928,105.603553697825,1.90975398192353e-24,6.13031028197453e-23,"Highly Significant","Small","Downregulated","EC","Dep_vs_Naive","Dependent","Naive",3680,1800,1880,321,2025-05-28
