"gene","logFC","logCPM","F","PValue","FDR","significance","effect_size","regulation","cell_type","comparison","group1","group2","total_cells","group1_cells","group2_cells","genes_tested","analysis_date"
"Hspa8",-0.407493102998444,12.4040656028146,73.1546163551495,3.33131067682387e-17,6.92912620779364e-15,"Highly Significant","Small","Downregulated","MAC","With_vs_Dep","Withdrawal","Dependent",1269,598,671,208,2025-05-28
"Rps27",-0.360585503856707,12.4084387547749,54.5282432754932,2.73189983444553e-13,2.84117582782336e-11,"Highly Significant","Small","Downregulated","MAC","With_vs_Dep","Withdrawal","Dependent",1269,598,671,208,2025-05-28
"Rps29",-0.334643506619245,14.3358202891657,45.4909611272119,2.30383839366203e-11,1.59732795293901e-09,"Highly Significant","Small","Downregulated","MAC","With_vs_Dep","Withdrawal","Dependent",1269,598,671,208,2025-05-28
"mt-Nd1",0.26958364647047,13.1335465800241,44.9034142116452,3.07859762945267e-11,1.60087076731539e-09,"Highly Significant","Small","Upregulated","MAC","With_vs_Dep","Withdrawal","Dependent",1269,598,671,208,2025-05-28
"Rps28",-0.333505758840868,12.6397078332339,43.0817298736308,7.57309124446492e-11,3.00476791466082e-09,"Highly Significant","Small","Downregulated","MAC","With_vs_Dep","Withdrawal","Dependent",1269,598,671,208,2025-05-28
"Rpl35",-0.365044900427205,11.3622330614231,42.8088837010247,8.66759975382928e-11,3.00476791466082e-09,"Highly Significant","Small","Downregulated","MAC","With_vs_Dep","Withdrawal","Dependent",1269,598,671,208,2025-05-28
"mt-Nd2",0.264015097699137,13.3308049783833,39.4740278378575,4.5298334748941e-10,1.34600766111139e-08,"Highly Significant","Small","Upregulated","MAC","With_vs_Dep","Withdrawal","Dependent",1269,598,671,208,2025-05-28
"Ccl2",-0.55019586526922,12.1906884066454,29.111784556229,8.14498525031785e-08,2.11769616508264e-06,"Highly Significant","Medium","Downregulated","MAC","With_vs_Dep","Withdrawal","Dependent",1269,598,671,208,2025-05-28
"Eif1",-0.230819850870516,12.0820819606813,27.1389804587992,2.20047569534902e-07,5.08554382925108e-06,"Highly Significant","Small","Downregulated","MAC","With_vs_Dep","Withdrawal","Dependent",1269,598,671,208,2025-05-28
"Rpl37a",-0.220052053219972,12.6761432927734,24.9512743864504,6.6821642514328e-07,1.38989016429802e-05,"Highly Significant","Small","Downregulated","MAC","With_vs_Dep","Withdrawal","Dependent",1269,598,671,208,2025-05-28
"Rpl37",-0.221459389787634,12.4565310987285,24.069493473355,1.0470627437346e-06,1.97990046087998e-05,"Highly Significant","Small","Downregulated","MAC","With_vs_Dep","Withdrawal","Dependent",1269,598,671,208,2025-05-28
"Rpl38",-0.223856653979859,12.3577518940801,23.5179260558738,1.38731388947554e-06,2.40467740842427e-05,"Highly Significant","Small","Downregulated","MAC","With_vs_Dep","Withdrawal","Dependent",1269,598,671,208,2025-05-28
"mt-Co3",0.17375340715496,14.8996757230731,21.4094351346414,4.08105139273397e-06,6.52968222837435e-05,"Highly Significant","Small","Upregulated","MAC","With_vs_Dep","Withdrawal","Dependent",1269,598,671,208,2025-05-28
"mt-Nd4",0.180485877815353,13.5198462542095,19.8632213372841,9.03648507448646e-06,0.000134256349678084,"Highly Significant","Small","Upregulated","MAC","With_vs_Dep","Withdrawal","Dependent",1269,598,671,208,2025-05-28
"Rps21",-0.186437502756118,12.7240118693441,16.8304265821735,4.34208379347819e-05,0.000596128023055739,"Highly Significant","Small","Downregulated","MAC","With_vs_Dep","Withdrawal","Dependent",1269,598,671,208,2025-05-28
"Ubc",-0.262258883995767,12.2982064603647,16.7270175734858,4.58560017735184e-05,0.000596128023055739,"Highly Significant","Small","Downregulated","MAC","With_vs_Dep","Withdrawal","Dependent",1269,598,671,208,2025-05-28
