"gene","logFC","logCPM","F","PValue","FDR","significance","effect_size","regulation","cell_type","comparison","group1","group2","total_cells","group1_cells","group2_cells","genes_tested","analysis_date"
"Dnaja1",-0.464933947400723,10.5019936126779,418.023885827422,2.83335173321001e-90,8.01838540498432e-88,"Highly Significant","Small","Downregulated","MG","With_vs_Dep","Withdrawal","Dependent",6910,2969,3941,283,2025-05-28
"Mef2a",0.396393793618268,10.8309470554089,354.878579636098,2.99411208070144e-77,4.23666859419254e-75,"Highly Significant","Small","Upregulated","MG","With_vs_Dep","Withdrawal","Dependent",6910,2969,3941,283,2025-05-28
"Rrbp1",0.380509665519362,10.7464867410927,324.001764364345,7.7262300044669e-71,7.28841030421377e-69,"Highly Significant","Small","Upregulated","MG","With_vs_Dep","Withdrawal","Dependent",6910,2969,3941,283,2025-05-28
"Hspa8",-0.246426668717565,11.7851960342081,291.199618527506,5.38742314067316e-64,3.81160187202626e-62,"Highly Significant","Small","Downregulated","MG","With_vs_Dep","Withdrawal","Dependent",6910,2969,3941,283,2025-05-28
"Cx3cr1",0.281150519730284,12.6649116450332,279.901273031168,1.24815897118245e-61,7.06457977689269e-60,"Highly Significant","Small","Upregulated","MG","With_vs_Dep","Withdrawal","Dependent",6910,2969,3941,283,2025-05-28
"Ubc",-0.24816639962998,12.1264855618432,236.85520696854,1.39207383401699e-52,6.5659482504468e-51,"Highly Significant","Small","Downregulated","MG","With_vs_Dep","Withdrawal","Dependent",6910,2969,3941,283,2025-05-28
"Siglech",0.240127842934915,11.5318653048338,222.481845023093,1.50701818511776e-49,6.09265923411895e-48,"Highly Significant","Small","Upregulated","MG","With_vs_Dep","Withdrawal","Dependent",6910,2969,3941,283,2025-05-28
"Macf1",0.351055080847345,10.4394600963566,217.244745580428,1.92964036013656e-48,6.82610277398307e-47,"Highly Significant","Small","Upregulated","MG","With_vs_Dep","Withdrawal","Dependent",6910,2969,3941,283,2025-05-28
"Gm42418",0.288775220273995,14.2831285230595,213.552832239209,1.16805881373491e-47,3.6728960476331e-46,"Highly Significant","Small","Upregulated","MG","With_vs_Dep","Withdrawal","Dependent",6910,2969,3941,283,2025-05-28
"Qk",0.259410632239587,11.3930522929913,205.933520445185,4.7902248133684e-46,1.35563362218326e-44,"Highly Significant","Small","Upregulated","MG","With_vs_Dep","Withdrawal","Dependent",6910,2969,3941,283,2025-05-28
