"gene","logFC","logCPM","F","PValue","FDR","significance","effect_size","regulation","cell_type","comparison","group1","group2","total_cells","group1_cells","group2_cells","genes_tested","analysis_date"
"Mef2a",0.370492171129471,10.871662220469,296.374090633871,5.38133163785364e-65,1.45834087385834e-62,"Highly Significant","Small","Upregulated","MG","With_vs_Naive","Withdrawal","Naive",6506,2969,3537,271,2025-05-28
"Kctd12",0.320133440953189,11.4219294131216,266.974120927387,7.47117545026265e-59,1.01234427351059e-56,"Highly Significant","Small","Upregulated","MG","With_vs_Naive","Withdrawal","Naive",6506,2969,3537,271,2025-05-28
"Cx3cr1",0.273949603673871,12.6972303142152,254.509976091255,3.06359858124716e-56,2.76745071839326e-54,"Highly Significant","Small","Upregulated","MG","With_vs_Naive","Withdrawal","Naive",6506,2969,3537,271,2025-05-28
"Mafb",0.297673711405319,11.5051113578623,249.464544770702,3.51073541916164e-55,2.37852324648201e-53,"Highly Significant","Small","Upregulated","MG","With_vs_Naive","Withdrawal","Naive",6506,2969,3537,271,2025-05-28
"Rrbp1",0.341234284485521,10.7914504030828,247.574524594306,8.75761764706949e-55,4.74662876471166e-53,"Highly Significant","Small","Upregulated","MG","With_vs_Naive","Withdrawal","Naive",6506,2969,3537,271,2025-05-28
"Hspa8",-0.221532609318784,11.7882013735034,207.19991742339,2.83480475285513e-46,1.2803868133729e-44,"Highly Significant","Small","Downregulated","MG","With_vs_Naive","Withdrawal","Naive",6506,2969,3537,271,2025-05-28
"Btg2",0.395607813211787,10.8147493704614,204.986407345736,8.41334490469852e-46,3.25716638453329e-44,"Highly Significant","Small","Upregulated","MG","With_vs_Naive","Withdrawal","Naive",6506,2969,3537,271,2025-05-28
"Hsp90ab1",-0.230878383993929,11.9986124358581,191.204407743848,6.92066164576391e-43,2.34437413250252e-41,"Highly Significant","Small","Downregulated","MG","With_vs_Naive","Withdrawal","Naive",6506,2969,3537,271,2025-05-28
"Arhgap5",0.302415428187216,10.8782963630072,188.218157770158,2.97602958871449e-42,8.96115576157362e-41,"Highly Significant","Small","Upregulated","MG","With_vs_Naive","Withdrawal","Naive",6506,2969,3537,271,2025-05-28
"Cst3",-0.158319904977593,16.5339071028172,178.362373623989,3.68783937236e-40,9.99404469909559e-39,"Highly Significant","Small","Downregulated","MG","With_vs_Naive","Withdrawal","Naive",6506,2969,3537,271,2025-05-28
"Zfhx3",0.290733727910751,10.9324786323246,177.526454233406,5.55227012660201e-40,1.36787745846286e-38,"Highly Significant","Small","Upregulated","MG","With_vs_Naive","Withdrawal","Naive",6506,2969,3537,271,2025-05-28
"AY036118",-0.224372534973978,11.9052837342555,166.595202245919,1.17677799893774e-37,2.65755698093439e-36,"Highly Significant","Small","Downregulated","MG","With_vs_Naive","Withdrawal","Naive",6506,2969,3537,271,2025-05-28
"Hpgd",0.293662739476819,10.585019497048,157.83212087123,8.68752229922612e-36,1.8110142639156e-34,"Highly Significant","Small","Upregulated","MG","With_vs_Naive","Withdrawal","Naive",6506,2969,3537,271,2025-05-28
"Maf",0.281879988489408,10.9619743155393,147.624570814851,1.31710586599464e-33,2.54954064060392e-32,"Highly Significant","Small","Upregulated","MG","With_vs_Naive","Withdrawal","Naive",6506,2969,3537,271,2025-05-28
"Csf1r",0.133270593176401,12.463367061667,132.018928813085,2.8856862715469e-30,5.21347319726139e-29,"Highly Significant","Small","Upregulated","MG","With_vs_Naive","Withdrawal","Naive",6506,2969,3537,271,2025-05-28
"Mtdh",0.255741509143518,10.5420496412186,131.86901010701,3.10741286004734e-30,5.26318053170519e-29,"Highly Significant","Small","Upregulated","MG","With_vs_Naive","Withdrawal","Naive",6506,2969,3537,271,2025-05-28
"Siglech",0.186840261594014,11.5824445625859,130.790779505329,5.29240511745776e-30,8.00981917178399e-29,"Highly Significant","Small","Upregulated","MG","With_vs_Naive","Withdrawal","Naive",6506,2969,3537,271,2025-05-28
"Klf4",0.39113593919504,10.5171845322926,130.789163334739,5.32017509564988e-30,8.00981917178399e-29,"Highly Significant","Small","Upregulated","MG","With_vs_Naive","Withdrawal","Naive",6506,2969,3537,271,2025-05-28
"Srgap2",0.245848531838484,10.5864262946059,129.554053112444,9.74908707196886e-30,1.3905276823703e-28,"Highly Significant","Small","Upregulated","MG","With_vs_Naive","Withdrawal","Naive",6506,2969,3537,271,2025-05-28
"Psap",0.166847313990442,11.5456257755595,128.323556502187,1.79062981672962e-29,2.42630340166863e-28,"Highly Significant","Small","Upregulated","MG","With_vs_Naive","Withdrawal","Naive",6506,2969,3537,271,2025-05-28
"Ctsd",-0.157781605058107,13.4192091427915,124.315707840825,1.29863553729239e-28,1.67585824098209e-27,"Highly Significant","Small","Downregulated","MG","With_vs_Naive","Withdrawal","Naive",6506,2969,3537,271,2025-05-28
"Pabpc1",0.233295949694921,10.9019864857661,120.159110849725,1.01549565930202e-27,1.25090601668567e-26,"Highly Significant","Small","Upregulated","MG","With_vs_Naive","Withdrawal","Naive",6506,2969,3537,271,2025-05-28
"B2m",-0.167886830481414,11.7971340965816,119.82709005053,1.19690268126303e-27,1.41026359400991e-26,"Highly Significant","Small","Downregulated","MG","With_vs_Naive","Withdrawal","Naive",6506,2969,3537,271,2025-05-28
"Epb41l2",0.222381743401914,11.1287128020262,119.554671388601,1.36971323149818e-27,1.54663452390003e-26,"Highly Significant","Small","Upregulated","MG","With_vs_Naive","Withdrawal","Naive",6506,2969,3537,271,2025-05-28
"Qk",0.201706671696919,11.4455066595585,118.584935515805,2.21387889264545e-27,2.39984471962767e-26,"Highly Significant","Small","Upregulated","MG","With_vs_Naive","Withdrawal","Naive",6506,2969,3537,271,2025-05-28
"Rpl23a",0.205253235797953,11.4863045879567,113.01276997721,3.50114740927582e-26,3.64927287659134e-25,"Highly Significant","Small","Upregulated","MG","With_vs_Naive","Withdrawal","Naive",6506,2969,3537,271,2025-05-28
"Hpgds",0.221346573984526,10.7031047438596,110.0111288199,1.55147436913659e-25,1.52023003060313e-24,"Highly Significant","Small","Upregulated","MG","With_vs_Naive","Withdrawal","Naive",6506,2969,3537,271,2025-05-28
"Pmepa1",0.255256502332434,10.9075459360227,109.989429415417,1.5707173747929e-25,1.52023003060313e-24,"Highly Significant","Small","Upregulated","MG","With_vs_Naive","Withdrawal","Naive",6506,2969,3537,271,2025-05-28
"Gnai2",0.179968216005031,10.9007697807879,101.628647848174,9.96926320784821e-24,9.31610458388574e-23,"Highly Significant","Small","Upregulated","MG","With_vs_Naive","Withdrawal","Naive",6506,2969,3537,271,2025-05-28
"Son",0.182746223167236,10.7819592360319,100.984281932847,1.37337231222358e-23,1.24061298870863e-22,"Highly Significant","Small","Upregulated","MG","With_vs_Naive","Withdrawal","Naive",6506,2969,3537,271,2025-05-28
"Fcrls",-0.162840067461259,12.0623353692934,94.9695363599791,2.73844180928985e-22,2.39392816231468e-21,"Highly Significant","Small","Downregulated","MG","With_vs_Naive","Withdrawal","Naive",6506,2969,3537,271,2025-05-28
"Serinc3",0.139999078213099,11.8049013315539,91.8080142270557,1.32271865756034e-21,1.12017736312141e-20,"Highly Significant","Small","Upregulated","MG","With_vs_Naive","Withdrawal","Naive",6506,2969,3537,271,2025-05-28
"Zfp36l1",0.224519577332163,11.044891415848,90.839750157557,2.14521612631278e-21,1.76167748554777e-20,"Highly Significant","Small","Upregulated","MG","With_vs_Naive","Withdrawal","Naive",6506,2969,3537,271,2025-05-28
"Mbnl1",0.220571703952988,10.4802666332459,87.465759199621,1.15293040039522e-20,9.18953348550304e-20,"Highly Significant","Small","Upregulated","MG","With_vs_Naive","Withdrawal","Naive",6506,2969,3537,271,2025-05-28
