"gene","logFC","logCPM","F","PValue","FDR","significance","effect_size","regulation","cell_type","comparison","group1","group2","total_cells","group1_cells","group2_cells","genes_tested","analysis_date"
"Atp6v0c",-1.07135229801107,12.7484446969742,179.975955142268,2.36698884392558e-39,4.89966690692595e-37,"Highly Significant","Large","Downregulated","NEUR","With_vs_Dep","Withdrawal","Dependent",1979,877,1102,207,2025-05-28
"Rtn4",-0.98056543526569,11.7415233845183,175.614334691846,1.77248939215839e-38,1.83452652088394e-36,"Highly Significant","Medium","Downregulated","NEUR","With_vs_Dep","Withdrawal","Dependent",1979,877,1102,207,2025-05-28
"Clstn1",-0.929556912806,11.3585793011201,170.476609241158,1.90973248079793e-37,1.31771541175057e-35,"Highly Significant","Medium","Downregulated","NEUR","With_vs_Dep","Withdrawal","Dependent",1979,877,1102,207,2025-05-28
"Pcsk1n",-0.999766777159887,11.8972823026923,168.605572924243,4.54565366556534e-37,2.35237577193006e-35,"Highly Significant","Medium","Downregulated","NEUR","With_vs_Dep","Withdrawal","Dependent",1979,877,1102,207,2025-05-28
"Atp6v0b",-0.727656435300638,11.4181983945933,166.504830669368,1.20446840441884e-36,4.986499194294e-35,"Highly Significant","Medium","Downregulated","NEUR","With_vs_Dep","Withdrawal","Dependent",1979,877,1102,207,2025-05-28
"Ndfip1",-0.925533322143455,11.954824893801,163.167004089234,5.6797168523838e-36,1.95950231407241e-34,"Highly Significant","Medium","Downregulated","NEUR","With_vs_Dep","Withdrawal","Dependent",1979,877,1102,207,2025-05-28
"Serinc1",-0.851505633198704,12.0680276561105,154.515257847592,3.2002799170963e-34,9.46368489769907e-33,"Highly Significant","Medium","Downregulated","NEUR","With_vs_Dep","Withdrawal","Dependent",1979,877,1102,207,2025-05-28
"Sec62",-0.805238579761194,11.197833382607,149.218232452469,3.81009561533153e-33,9.85862240467034e-32,"Highly Significant","Medium","Downregulated","NEUR","With_vs_Dep","Withdrawal","Dependent",1979,877,1102,207,2025-05-28
"Tmem30a",-0.818041586782416,11.1897932347113,136.907550632569,1.23695954167584e-30,2.84500694585443e-29,"Highly Significant","Medium","Downregulated","NEUR","With_vs_Dep","Withdrawal","Dependent",1979,877,1102,207,2025-05-28
"Calm2",-0.875707009229221,12.7362644608378,136.638584964554,1.40411952523132e-30,2.90652741722883e-29,"Highly Significant","Medium","Downregulated","NEUR","With_vs_Dep","Withdrawal","Dependent",1979,877,1102,207,2025-05-28
