"gene","logFC","logCPM","F","PValue","FDR","significance","effect_size","regulation","cell_type","comparison","group1","group2","total_cells","group1_cells","group2_cells","genes_tested","analysis_date"
"Ttr",2.92543430562562,11.0917423091162,146.462585069908,6.36606934988146e-26,1.95438329041361e-23,"Highly Significant","Large","Upregulated","NEUT","With_vs_Dep","Withdrawal","Dependent",197,102,95,307,2025-05-28
"Ttc3",0.567659478539336,11.0763390259859,10.5704604276765,0.00133860623686849,0.205476057359313,"Not Significant","Medium","Not Significant","NEUT","With_vs_Dep","Withdrawal","Dependent",197,102,95,307,2025-05-28
"Zbtb20",0.753979663377183,12.786291523713,8.20650576720409,0.00462198608876215,0.380038003416432,"Not Significant","Medium","Not Significant","NEUT","With_vs_Dep","Withdrawal","Dependent",197,102,95,307,2025-05-28
"Zeb2",0.509589036539012,10.6275753313741,7.88883378493624,0.00544355131709384,0.380038003416432,"Not Significant","Medium","Not Significant","NEUT","With_vs_Dep","Withdrawal","Dependent",197,102,95,307,2025-05-28
"Dynll1",-0.445457764081585,11.4076007348585,7.40704313550638,0.00704248819277855,0.380038003416432,"Not Significant","Small","Not Significant","NEUT","With_vs_Dep","Withdrawal","Dependent",197,102,95,307,2025-05-28
"Nfib",0.662431613810204,12.0084062656344,7.31426007362496,0.00742745283550031,0.380038003416432,"Not Significant","Medium","Not Significant","NEUT","With_vs_Dep","Withdrawal","Dependent",197,102,95,307,2025-05-28
"Kcnq1ot1",0.56841486536705,11.1027804973281,6.74474468636088,0.0100710297339894,0.395402443371057,"Not Significant","Medium","Not Significant","NEUT","With_vs_Dep","Withdrawal","Dependent",197,102,95,307,2025-05-28
"Sec61g",-0.377716517041435,10.7224737890258,6.70203977100342,0.0103036467327963,0.395402443371057,"Not Significant","Small","Not Significant","NEUT","With_vs_Dep","Withdrawal","Dependent",197,102,95,307,2025-05-28
"Hspa5",-0.443343993628636,11.2909222858746,6.36828225755358,0.0123583804684375,0.410876951587479,"Not Significant","Small","Not Significant","NEUT","With_vs_Dep","Withdrawal","Dependent",197,102,95,307,2025-05-28
"Eif1",-0.303706948259222,11.873239609912,6.2226758456574,0.0133836140582241,0.410876951587479,"Not Significant","Small","Not Significant","NEUT","With_vs_Dep","Withdrawal","Dependent",197,102,95,307,2025-05-28
"Rps29",-0.33242784238436,12.9776034593361,5.41713865533078,0.0208925903335495,0.580430045205972,"Not Significant","Small","Not Significant","NEUT","With_vs_Dep","Withdrawal","Dependent",197,102,95,307,2025-05-28
"Selenok",-0.336630705098961,10.7688897679187,5.13106813440746,0.0245219729619493,0.580430045205972,"Not Significant","Small","Not Significant","NEUT","With_vs_Dep","Withdrawal","Dependent",197,102,95,307,2025-05-28
"mt-Nd1",0.249661545048656,13.1231034518188,5.1269730418405,0.024578470969634,0.580430045205972,"Not Significant","Small","Not Significant","NEUT","With_vs_Dep","Withdrawal","Dependent",197,102,95,307,2025-05-28
"Sem1",-0.361990514831035,10.8232505974034,4.94170184250046,0.0272825724721274,0.598267839210222,"Not Significant","Small","Not Significant","NEUT","With_vs_Dep","Withdrawal","Dependent",197,102,95,307,2025-05-28
"Snrpd1",-0.359375342678235,10.6332890337079,4.61873128421647,0.0327689942664756,0.626477999079508,"Not Significant","Small","Not Significant","NEUT","With_vs_Dep","Withdrawal","Dependent",197,102,95,307,2025-05-28
"Dnaja1",-0.318478760714803,11.2794569522758,4.52302906793385,0.0346089148283687,0.626477999079508,"Not Significant","Small","Not Significant","NEUT","With_vs_Dep","Withdrawal","Dependent",197,102,95,307,2025-05-28
"Nme2",-0.362327355111711,10.9510239302025,4.5188870121907,0.0346909641184092,0.626477999079508,"Not Significant","Small","Not Significant","NEUT","With_vs_Dep","Withdrawal","Dependent",197,102,95,307,2025-05-28
"Hspe1",-0.360602858619857,10.6646470848236,4.27653714592481,0.039867675989285,0.679965362706139,"Not Significant","Small","Not Significant","NEUT","With_vs_Dep","Withdrawal","Dependent",197,102,95,307,2025-05-28
"mt-Co2",0.193758568005206,14.4258057012507,3.96262481451732,0.0478181342250119,0.772640379319928,"Not Significant","Small","Not Significant","NEUT","With_vs_Dep","Withdrawal","Dependent",197,102,95,307,2025-05-28
"Atrx",0.296849234838732,10.7942357896072,3.86769986379365,0.0505415769315601,0.775813205899447,"Not Significant","Small","Not Significant","NEUT","With_vs_Dep","Withdrawal","Dependent",197,102,95,307,2025-05-28
"Cox6c",-0.253199367460141,11.4341899912324,3.77719728822524,0.0532923823569208,0.779083875408319,"Not Significant","Small","Not Significant","NEUT","With_vs_Dep","Withdrawal","Dependent",197,102,95,307,2025-05-28
"Tcf4",0.332283867455173,12.1626154985903,3.42954551878839,0.0654438622638298,0.874181164285347,"Not Significant","Small","Not Significant","NEUT","With_vs_Dep","Withdrawal","Dependent",197,102,95,307,2025-05-28
"mt-Nd2",0.189443970516476,13.3304835575712,3.37139938707278,0.0677516516216412,0.874181164285347,"Not Significant","Small","Not Significant","NEUT","With_vs_Dep","Withdrawal","Dependent",197,102,95,307,2025-05-28
"Nfix",0.427095275631567,11.6164171634021,3.2874694872452,0.0712852089433913,0.874181164285347,"Not Significant","Small","Not Significant","NEUT","With_vs_Dep","Withdrawal","Dependent",197,102,95,307,2025-05-28
"Hmgb2",-0.531107451225268,12.4157899939617,3.27012124870489,0.0720704477660066,0.874181164285347,"Not Significant","Medium","Not Significant","NEUT","With_vs_Dep","Withdrawal","Dependent",197,102,95,307,2025-05-28
"Ube2s",-0.358134955583771,11.3717955038301,3.20474568060086,0.0748659971356657,0.874181164285347,"Not Significant","Small","Not Significant","NEUT","With_vs_Dep","Withdrawal","Dependent",197,102,95,307,2025-05-28
"Hmgb1",-0.308065828018882,12.5728057566795,3.16061390593356,0.0768823825267243,0.874181164285347,"Not Significant","Small","Not Significant","NEUT","With_vs_Dep","Withdrawal","Dependent",197,102,95,307,2025-05-28
"Atp5f1",-0.23421455684551,10.7159449543128,3.05076806078108,0.0821615059518245,0.880041406247279,"Not Significant","Small","Not Significant","NEUT","With_vs_Dep","Withdrawal","Dependent",197,102,95,307,2025-05-28
"Gapdh",-0.271635470417457,11.3902445964413,3.0179641046626,0.0838134327776251,0.880041406247279,"Not Significant","Small","Not Significant","NEUT","With_vs_Dep","Withdrawal","Dependent",197,102,95,307,2025-05-28
"Rps26",-0.276611512692135,12.1380815505777,2.95617069973523,0.0870242588285692,0.880041406247279,"Not Significant","Small","Not Significant","NEUT","With_vs_Dep","Withdrawal","Dependent",197,102,95,307,2025-05-28
"Eif1b",-0.288160249200151,10.8066447766324,2.92187219928979,0.088864115940279,0.880041406247279,"Not Significant","Small","Not Significant","NEUT","With_vs_Dep","Withdrawal","Dependent",197,102,95,307,2025-05-28
"Hspa8",-0.23517772256351,12.4509989650911,2.7992586646829,0.0957973533733521,0.919055858925597,"Not Significant","Small","Not Significant","NEUT","With_vs_Dep","Withdrawal","Dependent",197,102,95,307,2025-05-28
"Btf3",-0.238557732185506,11.0473270632289,2.65916474423301,0.104454119098286,0.919215788960274,"Not Significant","Small","Not Significant","NEUT","With_vs_Dep","Withdrawal","Dependent",197,102,95,307,2025-05-28
"Ckb",-0.310237417494274,12.7150729160815,2.65562378343218,0.104683802976787,0.919215788960274,"Not Significant","Small","Not Significant","NEUT","With_vs_Dep","Withdrawal","Dependent",197,102,95,307,2025-05-28
"Tra2b",-0.260995082421655,10.6486738602129,2.64519396920321,0.105363575375522,0.919215788960274,"Not Significant","Small","Not Significant","NEUT","With_vs_Dep","Withdrawal","Dependent",197,102,95,307,2025-05-28
"Cd9",-0.330396081705928,11.021490693204,2.60855037051507,0.107790776555602,0.919215788960274,"Not Significant","Small","Not Significant","NEUT","With_vs_Dep","Withdrawal","Dependent",197,102,95,307,2025-05-28
"Atp5md",-0.23063293108077,10.7228305379482,2.53369704716627,0.112943469834149,0.937125547002263,"Not Significant","Small","Not Significant","NEUT","With_vs_Dep","Withdrawal","Dependent",197,102,95,307,2025-05-28
"Tuba1b",-0.373732063790155,11.2586411160945,2.44169302381884,0.119695359612532,0.946236493055076,"Not Significant","Small","Not Significant","NEUT","With_vs_Dep","Withdrawal","Dependent",197,102,95,307,2025-05-28
"Sec62",-0.246771911951206,10.7490775415483,2.41888702163099,0.121386306946416,0.946236493055076,"Not Significant","Small","Not Significant","NEUT","With_vs_Dep","Withdrawal","Dependent",197,102,95,307,2025-05-28
"Ran",-0.298417687326591,11.1790991535993,2.39425186918342,0.1232881424176,0.946236493055076,"Not Significant","Small","Not Significant","NEUT","With_vs_Dep","Withdrawal","Dependent",197,102,95,307,2025-05-28
"Rpl35",-0.267320140153044,11.3342626387695,2.25839962884552,0.134394084975324,0.967370302329952,"Not Significant","Small","Not Significant","NEUT","With_vs_Dep","Withdrawal","Dependent",197,102,95,307,2025-05-28
"Hint1",-0.219508758349105,11.2912311235575,2.22762365927142,0.137063471900278,0.967370302329952,"Not Significant","Small","Not Significant","NEUT","With_vs_Dep","Withdrawal","Dependent",197,102,95,307,2025-05-28
"mt-Co1",0.167114602010077,14.5826557058044,2.2204861595752,0.137691055110841,0.967370302329952,"Not Significant","Small","Not Significant","NEUT","With_vs_Dep","Withdrawal","Dependent",197,102,95,307,2025-05-28
"Eif4g2",0.228553463329823,11.1940031458999,2.18422682326595,0.140929773774777,0.967370302329952,"Not Significant","Small","Not Significant","NEUT","With_vs_Dep","Withdrawal","Dependent",197,102,95,307,2025-05-28
"Rpl22l1",-0.264521161900353,10.8287161359204,2.13568875795018,0.145400981328606,0.967370302329952,"Not Significant","Small","Not Significant","NEUT","With_vs_Dep","Withdrawal","Dependent",197,102,95,307,2025-05-28
"Cox5b",-0.2195962087023,10.6201035581955,2.12472706856457,0.146432865185877,0.967370302329952,"Not Significant","Small","Not Significant","NEUT","With_vs_Dep","Withdrawal","Dependent",197,102,95,307,2025-05-28
"Slc1a3",0.325402331221892,10.9717184306847,2.04778221372371,0.153940608066483,0.967370302329952,"Not Significant","Small","Not Significant","NEUT","With_vs_Dep","Withdrawal","Dependent",197,102,95,307,2025-05-28
"Prdx2",-0.255856730101006,11.2825264764902,2.03975219263058,0.154720610578338,0.967370302329952,"Not Significant","Small","Not Significant","NEUT","With_vs_Dep","Withdrawal","Dependent",197,102,95,307,2025-05-28
"mt-Cytb",0.144025227176374,14.1268627629692,2.02847843393693,0.155859824167314,0.967370302329952,"Not Significant","Small","Not Significant","NEUT","With_vs_Dep","Withdrawal","Dependent",197,102,95,307,2025-05-28
"Atp5e",-0.204607849801123,11.1536122020534,2.00333101265806,0.158435695476768,0.967370302329952,"Not Significant","Small","Not Significant","NEUT","With_vs_Dep","Withdrawal","Dependent",197,102,95,307,2025-05-28
"Pcsk1n",-0.306677557265247,10.9490020597964,1.92768934483155,0.166496117864985,0.967370302329952,"Not Significant","Small","Not Significant","NEUT","With_vs_Dep","Withdrawal","Dependent",197,102,95,307,2025-05-28
"mt-Nd5",0.185206729983301,11.4331688715206,1.88555867368798,0.171168550269009,0.967370302329952,"Not Significant","Small","Not Significant","NEUT","With_vs_Dep","Withdrawal","Dependent",197,102,95,307,2025-05-28
"Hsp90b1",-0.258952877044184,11.4911591350622,1.70551279978513,0.192997775202904,0.967370302329952,"Not Significant","Small","Not Significant","NEUT","With_vs_Dep","Withdrawal","Dependent",197,102,95,307,2025-05-28
"Ftl1",-0.201910036182471,12.0709429500192,1.68039210422763,0.196295555256809,0.967370302329952,"Not Significant","Small","Not Significant","NEUT","With_vs_Dep","Withdrawal","Dependent",197,102,95,307,2025-05-28
