"gene","logFC","logCPM","F","PValue","FDR","significance","effect_size","regulation","cell_type","comparison","group1","group2","total_cells","group1_cells","group2_cells","genes_tested","analysis_date"
"Ubc",-0.518956760458098,11.5498074880343,138.380608219188,1.81904487865107e-30,5.54808687988577e-28,"Highly Significant","Medium","Downregulated","OLG","With_vs_Dep","Withdrawal","Dependent",1317,664,653,305,2025-05-28
"Erbin",0.50631044105734,10.3021008211822,87.383268287533,3.6335610763742e-20,5.54118064147066e-18,"Highly Significant","Medium","Upregulated","OLG","With_vs_Dep","Withdrawal","Dependent",1317,664,653,305,2025-05-28
"Sept7",0.310103106593329,12.2031089228443,79.3762783217689,1.64427696885857e-18,1.67168158500621e-16,"Highly Significant","Small","Upregulated","OLG","With_vs_Dep","Withdrawal","Dependent",1317,664,653,305,2025-05-28
"Cdc42bpa",0.435284232196358,10.3202330032828,71.5965686721979,6.84761111866924e-17,4.62956171647145e-15,"Highly Significant","Small","Upregulated","OLG","With_vs_Dep","Withdrawal","Dependent",1317,664,653,305,2025-05-28
"Rps29",-0.308531087958287,11.2736741346903,71.3827416401758,7.58944543683844e-17,4.62956171647145e-15,"Highly Significant","Small","Downregulated","OLG","With_vs_Dep","Withdrawal","Dependent",1317,664,653,305,2025-05-28
"Rps28",-0.356990614696627,10.4098956776795,65.4831692013962,1.30652491513037e-15,6.64150165191271e-14,"Highly Significant","Small","Downregulated","OLG","With_vs_Dep","Withdrawal","Dependent",1317,664,653,305,2025-05-28
"Dnaja1",-0.402031441562339,10.5185068826475,60.9815678842687,1.15826923819744e-14,5.04674453786027e-13,"Highly Significant","Small","Downregulated","OLG","With_vs_Dep","Withdrawal","Dependent",1317,664,653,305,2025-05-28
"Cryab",-0.269799692403325,13.1515548016362,59.0836986292324,2.91383505432897e-14,1.11089961446292e-12,"Highly Significant","Small","Downregulated","OLG","With_vs_Dep","Withdrawal","Dependent",1317,664,653,305,2025-05-28
"Cdc37l1",0.325570927219871,10.8989047964216,58.3872793559435,4.08979575484054e-14,1.37232353968351e-12,"Highly Significant","Small","Upregulated","OLG","With_vs_Dep","Withdrawal","Dependent",1317,664,653,305,2025-05-28
"mt-Nd1",0.202315289894952,13.0825545513839,58.1912861179159,4.49942144158527e-14,1.37232353968351e-12,"Highly Significant","Small","Upregulated","OLG","With_vs_Dep","Withdrawal","Dependent",1317,664,653,305,2025-05-28
"Rpl38",-0.295919571034052,10.7420142747235,57.1109385616454,7.61743495866914e-14,2.11210696581281e-12,"Highly Significant","Small","Downregulated","OLG","With_vs_Dep","Withdrawal","Dependent",1317,664,653,305,2025-05-28
"Actg1",0.413489099546435,10.6265943352224,56.838904488069,8.71542314443876e-14,2.21517004921152e-12,"Highly Significant","Small","Upregulated","OLG","With_vs_Dep","Withdrawal","Dependent",1317,664,653,305,2025-05-28
"Clmn",0.417694565568695,10.3655319745604,55.3712214557734,1.78187127354024e-13,4.18054414176748e-12,"Highly Significant","Small","Upregulated","OLG","With_vs_Dep","Withdrawal","Dependent",1317,664,653,305,2025-05-28
"Tulp4",0.345205035040053,10.6470188309971,53.2314826532099,5.0692556561005e-13,1.10437355365047e-11,"Highly Significant","Small","Upregulated","OLG","With_vs_Dep","Withdrawal","Dependent",1317,664,653,305,2025-05-28
"mt-Nd2",0.201601934594375,12.9826731396088,51.9396618798188,9.54495169144907e-13,1.94080684392798e-11,"Highly Significant","Small","Upregulated","OLG","With_vs_Dep","Withdrawal","Dependent",1317,664,653,305,2025-05-28
"Myo6",0.357993987758716,10.2658528967213,51.2138335190421,1.36255977445099e-12,2.59737957004721e-11,"Highly Significant","Small","Upregulated","OLG","With_vs_Dep","Withdrawal","Dependent",1317,664,653,305,2025-05-28
"Rps21",-0.224720639506846,11.317815993366,48.7727199495276,4.51996338828332e-12,8.1093460789789e-11,"Highly Significant","Small","Downregulated","OLG","With_vs_Dep","Withdrawal","Dependent",1317,664,653,305,2025-05-28
"Olig1",0.342942484700783,10.9368453878529,46.1582582826979,1.6406569451592e-11,2.78000204596421e-10,"Highly Significant","Small","Upregulated","OLG","With_vs_Dep","Withdrawal","Dependent",1317,664,653,305,2025-05-28
"Rps27",-0.263188681833263,10.5552709447186,43.8546820738702,5.11287030906908e-11,8.20750233824247e-10,"Highly Significant","Small","Downregulated","OLG","With_vs_Dep","Withdrawal","Dependent",1317,664,653,305,2025-05-28
"Enpp2",0.241128363145462,12.0218176576994,43.7092742364472,5.49421290941351e-11,8.3786746868556e-10,"Highly Significant","Small","Upregulated","OLG","With_vs_Dep","Withdrawal","Dependent",1317,664,653,305,2025-05-28
"Psap",0.263217475806186,10.629314369837,43.3249002796374,6.64529115907222e-11,9.65149430246203e-10,"Highly Significant","Small","Upregulated","OLG","With_vs_Dep","Withdrawal","Dependent",1317,664,653,305,2025-05-28
"Cntn2",0.31768750599144,10.4639958034097,43.1909267341448,7.10094579531205e-11,9.84449303440989e-10,"Highly Significant","Small","Upregulated","OLG","With_vs_Dep","Withdrawal","Dependent",1317,664,653,305,2025-05-28
"Bin1",0.247659549654924,11.4544643120529,41.3481664331907,1.76994075156357e-10,2.34709534446473e-09,"Highly Significant","Small","Upregulated","OLG","With_vs_Dep","Withdrawal","Dependent",1317,664,653,305,2025-05-28
"Dst",0.339016868230388,10.4733424135422,38.5998993866363,6.9406533070218e-10,8.82041357767353e-09,"Highly Significant","Small","Upregulated","OLG","With_vs_Dep","Withdrawal","Dependent",1317,664,653,305,2025-05-28
"Ttll7",0.239620912015268,11.451923671718,38.462826525391,7.4278474074044e-10,9.06197383703337e-09,"Highly Significant","Small","Upregulated","OLG","With_vs_Dep","Withdrawal","Dependent",1317,664,653,305,2025-05-28
"Ccp110",0.340829951874384,10.374140495638,38.3229180545947,7.96618349610619e-10,9.34494602427842e-09,"Highly Significant","Small","Upregulated","OLG","With_vs_Dep","Withdrawal","Dependent",1317,664,653,305,2025-05-28
"Rpl37a",-0.228309344349448,10.7082664121756,36.64459690834,1.83913298299114e-09,2.07753911041591e-08,"Highly Significant","Small","Downregulated","OLG","With_vs_Dep","Withdrawal","Dependent",1317,664,653,305,2025-05-28
"Ptprd",0.246718175018373,11.6240078534465,36.2419951560341,2.24870376122187e-09,2.44948088275954e-08,"Highly Significant","Small","Upregulated","OLG","With_vs_Dep","Withdrawal","Dependent",1317,664,653,305,2025-05-28
"Pcdh9",0.285559985423453,10.9611433725742,35.7124855283818,2.93061712366997e-09,3.08220076799772e-08,"Highly Significant","Small","Upregulated","OLG","With_vs_Dep","Withdrawal","Dependent",1317,664,653,305,2025-05-28
"Rpl37",-0.233866821168846,10.7926423745683,33.6728643643871,8.13445223259722e-09,8.27002643647384e-08,"Highly Significant","Small","Downregulated","OLG","With_vs_Dep","Withdrawal","Dependent",1317,664,653,305,2025-05-28
"Kif1b",0.223952574340776,11.7805580285484,32.3854771222612,1.55218187598144e-08,1.48058738207465e-07,"Highly Significant","Small","Upregulated","OLG","With_vs_Dep","Withdrawal","Dependent",1317,664,653,305,2025-05-28
"Bnip3l",0.247270782910594,10.4720178048292,32.3839116207582,1.55340315496357e-08,1.48058738207465e-07,"Highly Significant","Small","Upregulated","OLG","With_vs_Dep","Withdrawal","Dependent",1317,664,653,305,2025-05-28
"Ddx5",0.237892745411706,10.7011855667519,31.8038201570913,2.07927295109762e-08,1.92175227298417e-07,"Highly Significant","Small","Upregulated","OLG","With_vs_Dep","Withdrawal","Dependent",1317,664,653,305,2025-05-28
"Edil3",0.206160899293811,10.9679703336167,31.7293167841237,2.15865464965856e-08,1.936440200429e-07,"Highly Significant","Small","Upregulated","OLG","With_vs_Dep","Withdrawal","Dependent",1317,664,653,305,2025-05-28
"mt-Co2",0.122354951451314,14.4188422157896,31.4510950904478,2.48292959010496e-08,2.16369578566289e-07,"Highly Significant","Small","Upregulated","OLG","With_vs_Dep","Withdrawal","Dependent",1317,664,653,305,2025-05-28
"Mat2a",0.293354465866844,10.4988804508887,30.7169745051431,3.59381061153199e-08,2.97836008061258e-07,"Highly Significant","Small","Upregulated","OLG","With_vs_Dep","Withdrawal","Dependent",1317,664,653,305,2025-05-28
