"gene","logFC","logCPM","F","PValue","FDR","significance","effect_size","regulation","cell_type","comparison","group1","group2","total_cells","group1_cells","group2_cells","genes_tested","analysis_date"
"Cryab",-0.391245517937492,13.1996718850266,137.688398726194,2.29544715736397e-30,7.13884065940194e-28,"Highly Significant","Small","Downregulated","OLG","With_vs_Naive","Withdrawal","Naive",1351,664,687,311,2025-05-28
"mt-Nd1",0.217251965350202,13.050619973756,65.540410877339,1.2460765439031e-15,1.93764902576932e-13,"Highly Significant","Small","Upregulated","OLG","With_vs_Naive","Withdrawal","Naive",1351,664,687,311,2025-05-28
"Psap",0.309913433371407,10.5848773265495,64.1080371331457,2.49440052957101e-15,2.58586188232194e-13,"Highly Significant","Small","Upregulated","OLG","With_vs_Naive","Withdrawal","Naive",1351,664,687,311,2025-05-28
"Chchd2",-0.261011301103479,11.1137573120286,61.1577112327546,1.04491516118016e-14,7.6373065873747e-13,"Highly Significant","Small","Downregulated","OLG","With_vs_Naive","Withdrawal","Naive",1351,664,687,311,2025-05-28
"Tubb4a",0.358229874450828,11.5704287954521,60.8295981207505,1.22786279539786e-14,7.6373065873747e-13,"Highly Significant","Small","Upregulated","OLG","With_vs_Naive","Withdrawal","Naive",1351,664,687,311,2025-05-28
"Tmod2",0.336653566398463,10.7641931725858,59.7072617680207,2.11622679957313e-14,1.09691089111207e-12,"Highly Significant","Small","Upregulated","OLG","With_vs_Naive","Withdrawal","Naive",1351,664,687,311,2025-05-28
"Hsp90ab1",-0.232015891587389,12.6162692645543,53.8873779149011,3.62799670469663e-13,1.61186710737236e-11,"Highly Significant","Small","Downregulated","OLG","With_vs_Naive","Withdrawal","Naive",1351,664,687,311,2025-05-28
"Cst3",-0.427465578474479,11.0560267937359,52.361626271108,7.70340407689208e-13,2.9946983348918e-11,"Highly Significant","Small","Downregulated","OLG","With_vs_Naive","Withdrawal","Naive",1351,664,687,311,2025-05-28
"Cdc37l1",0.295063241092099,10.8830720002884,50.9363394351281,1.54243340269037e-12,5.32996431374117e-11,"Highly Significant","Small","Upregulated","OLG","With_vs_Naive","Withdrawal","Naive",1351,664,687,311,2025-05-28
"Hsp90b1",-0.313185779514091,10.5989420003612,45.3808614627984,2.38154668645472e-11,7.40661019487418e-10,"Highly Significant","Small","Downregulated","OLG","With_vs_Naive","Withdrawal","Naive",1351,664,687,311,2025-05-28
