"gene","logFC","logCPM","F","PValue","FDR","significance","effect_size","regulation","cell_type","comparison","group1","group2","total_cells","group1_cells","group2_cells","genes_tested","analysis_date"
"Epn2",0.476054391403676,11.7284229582907,444.097217162795,7.18741604917857e-94,2.00528907772082e-91,"Highly Significant","Small","Upregulated","OPC","With_vs_Dep","Withdrawal","Dependent",4217,1719,2498,279,2025-05-28
"Srrm2",0.491225517625367,11.4926355605766,429.260964591569,6.1090229236582e-91,8.52208697850318e-89,"Highly Significant","Small","Upregulated","OPC","With_vs_Dep","Withdrawal","Dependent",4217,1719,2498,279,2025-05-28
"Ptprz1",0.37065387952476,13.8454682596234,417.579594412037,1.25638375707105e-88,1.16843689407608e-86,"Highly Significant","Small","Upregulated","OPC","With_vs_Dep","Withdrawal","Dependent",4217,1719,2498,279,2025-05-28
"Qk",0.402633283826379,12.4198218692778,384.06590695403,5.8686596008566e-82,4.09339007159748e-80,"Highly Significant","Small","Upregulated","OPC","With_vs_Dep","Withdrawal","Dependent",4217,1719,2498,279,2025-05-28
"Ankrd11",0.549006846404637,11.3624226624929,359.576723267793,4.91867812171469e-77,2.7446223919168e-75,"Highly Significant","Medium","Upregulated","OPC","With_vs_Dep","Withdrawal","Dependent",4217,1719,2498,279,2025-05-28
"Nrxn1",0.331381088586615,12.3436646425127,293.359894123228,1.18010141181312e-63,5.48747156493101e-62,"Highly Significant","Small","Upregulated","OPC","With_vs_Dep","Withdrawal","Dependent",4217,1719,2498,279,2025-05-28
"Hnrnpa2b1",0.385978240365463,11.641064253275,272.482806044091,2.1803669399697e-59,8.69031966073636e-58,"Highly Significant","Small","Upregulated","OPC","With_vs_Dep","Withdrawal","Dependent",4217,1719,2498,279,2025-05-28
"Tnr",0.403319484645762,11.9716695303004,267.231288465013,2.63701704469404e-58,9.19659694337047e-57,"Highly Significant","Small","Upregulated","OPC","With_vs_Dep","Withdrawal","Dependent",4217,1719,2498,279,2025-05-28
"Pdgfra",0.34412770716635,12.6265536208867,263.436730948683,1.56209870593606e-57,4.84250598840179e-56,"Highly Significant","Small","Upregulated","OPC","With_vs_Dep","Withdrawal","Dependent",4217,1719,2498,279,2025-05-28
"mt-Nd1",0.337106157969374,12.9631772317884,259.16477084404,1.17923996283917e-56,3.29007949632129e-55,"Highly Significant","Small","Upregulated","OPC","With_vs_Dep","Withdrawal","Dependent",4217,1719,2498,279,2025-05-28
"Aplp2",0.398232889494955,11.349862317878,258.389682738368,1.70009989552402e-56,4.31207155319275e-55,"Highly Significant","Small","Upregulated","OPC","With_vs_Dep","Withdrawal","Dependent",4217,1719,2498,279,2025-05-28
"Pcdh15",0.443849254001476,11.0587209745835,257.97470794683,2.06906178047408e-56,4.81056863960223e-55,"Highly Significant","Small","Upregulated","OPC","With_vs_Dep","Withdrawal","Dependent",4217,1719,2498,279,2025-05-28
"Nav1",0.424558766589832,11.1238447205426,229.631644377259,1.45101121492885e-50,3.11409329973191e-49,"Highly Significant","Small","Upregulated","OPC","With_vs_Dep","Withdrawal","Dependent",4217,1719,2498,279,2025-05-28
"Vcan",0.411301178961832,11.5714040040456,228.52329332572,2.49632512728347e-50,4.97481936080062e-49,"Highly Significant","Small","Upregulated","OPC","With_vs_Dep","Withdrawal","Dependent",4217,1719,2498,279,2025-05-28
"Zbtb20",0.433273018018534,11.5172356193825,224.751520541879,1.52640534406011e-49,2.83911393995181e-48,"Highly Significant","Small","Upregulated","OPC","With_vs_Dep","Withdrawal","Dependent",4217,1719,2498,279,2025-05-28
"Spag9",0.407934135237732,10.9847447244577,216.849986222954,6.47111913033761e-48,1.12840139835262e-46,"Highly Significant","Small","Upregulated","OPC","With_vs_Dep","Withdrawal","Dependent",4217,1719,2498,279,2025-05-28
"Xylt1",0.40527137679584,11.2548937156194,206.88003163751,7.66795674653602e-46,1.25844701899032e-44,"Highly Significant","Small","Upregulated","OPC","With_vs_Dep","Withdrawal","Dependent",4217,1719,2498,279,2025-05-28
"Gria2",0.337123043228334,11.8436548457268,205.722290285168,1.33103585661434e-45,2.06310557775223e-44,"Highly Significant","Small","Upregulated","OPC","With_vs_Dep","Withdrawal","Dependent",4217,1719,2498,279,2025-05-28
"Ncald",0.331285455678324,11.7011732242785,202.29377876561,6.8893810455283e-45,1.01165121668547e-43,"Highly Significant","Small","Upregulated","OPC","With_vs_Dep","Withdrawal","Dependent",4217,1719,2498,279,2025-05-28
"Cspg4",0.348327219647287,11.4026461702626,194.159750802268,3.42395662039087e-43,4.77641948544526e-42,"Highly Significant","Small","Upregulated","OPC","With_vs_Dep","Withdrawal","Dependent",4217,1719,2498,279,2025-05-28
"Scd2",0.345900675779643,11.6195974164351,189.581233013643,3.09664680693855e-42,4.11411647207551e-41,"Highly Significant","Small","Upregulated","OPC","With_vs_Dep","Withdrawal","Dependent",4217,1719,2498,279,2025-05-28
"Cspg5",0.224376143897068,13.2463386601449,179.573476265493,3.84736422715501e-40,4.87915736080112e-39,"Highly Significant","Small","Upregulated","OPC","With_vs_Dep","Withdrawal","Dependent",4217,1719,2498,279,2025-05-28
"Sulf2",0.344750444417881,11.078563183886,176.699516888863,1.54016306070614e-39,1.86828475624788e-38,"Highly Significant","Small","Upregulated","OPC","With_vs_Dep","Withdrawal","Dependent",4217,1719,2498,279,2025-05-28
"Lsamp",0.316734331817815,11.3911355473524,172.45566384987,1.19652462104958e-38,1.39095987197014e-37,"Highly Significant","Small","Upregulated","OPC","With_vs_Dep","Withdrawal","Dependent",4217,1719,2498,279,2025-05-28
