"gene","logFC","logCPM","F","PValue","FDR","significance","effect_size","regulation","cell_type","comparison","group1","group2","total_cells","group1_cells","group2_cells","genes_tested","analysis_date"
"Srrm2",0.438370544383966,11.4948429887643,366.803630496002,1.86921741225788e-78,5.28988527668981e-76,"Highly Significant","Small","Upregulated","OPC","With_vs_Naive","Withdrawal","Naive",4149,1719,2430,283,2025-05-28
"Qk",0.341704155745827,12.4264892009521,302.517904637123,1.73960682061465e-65,2.46154365116972e-63,"Highly Significant","Small","Upregulated","OPC","With_vs_Naive","Withdrawal","Naive",4149,1719,2430,283,2025-05-28
"Ankrd11",0.460174327401711,11.3776837256851,251.534019179937,4.76532565463348e-55,4.49529053420425e-53,"Highly Significant","Small","Upregulated","OPC","With_vs_Naive","Withdrawal","Naive",4149,1719,2430,283,2025-05-28
"Vcan",0.428907000084638,11.5435735508611,250.106389190242,9.28808828608819e-55,6.57132246240739e-53,"Highly Significant","Small","Upregulated","OPC","With_vs_Naive","Withdrawal","Naive",4149,1719,2430,283,2025-05-28
"Pdgfra",0.315168785232156,12.6179676995064,239.858630154073,1.1731114077524e-52,6.2497911972187e-51,"Highly Significant","Small","Upregulated","OPC","With_vs_Naive","Withdrawal","Naive",4149,1719,2430,283,2025-05-28
"Nrxn1",0.28738539444524,12.341488513159,239.60222708036,1.3250440700817e-52,6.2497911972187e-51,"Highly Significant","Small","Upregulated","OPC","With_vs_Naive","Withdrawal","Naive",4149,1719,2430,283,2025-05-28
"Nav1",0.429070701522958,11.103481838874,231.037153119739,7.78907809808922e-51,3.14901300251321e-49,"Highly Significant","Small","Upregulated","OPC","With_vs_Naive","Withdrawal","Naive",4149,1719,2430,283,2025-05-28
"Gria2",0.342280098874405,11.8194064572654,226.906653057347,5.56172695590035e-50,1.96746091064975e-48,"Highly Significant","Small","Upregulated","OPC","With_vs_Naive","Withdrawal","Naive",4149,1719,2430,283,2025-05-28
"Jun",0.455134564781428,12.3919904956162,215.010456678311,1.68116124742979e-47,5.28631814469588e-46,"Highly Significant","Small","Upregulated","OPC","With_vs_Naive","Withdrawal","Naive",4149,1719,2430,283,2025-05-28
"mt-Nd1",0.30023931032178,12.9584167837293,207.877576623475,4.93940823891088e-46,1.38095422407067e-44,"Highly Significant","Small","Upregulated","OPC","With_vs_Naive","Withdrawal","Naive",4149,1719,2430,283,2025-05-28
"Tcf4",0.323514454188409,12.1011891582512,207.696082151395,5.3676665953277e-46,1.38095422407067e-44,"Highly Significant","Small","Upregulated","OPC","With_vs_Naive","Withdrawal","Naive",4149,1719,2430,283,2025-05-28
"mt-Co1",0.249014976685506,14.1069553906345,196.936673869593,9.3279420135709e-44,2.19983965820047e-42,"Highly Significant","Small","Upregulated","OPC","With_vs_Naive","Withdrawal","Naive",4149,1719,2430,283,2025-05-28
"AY036118",-0.319764031023823,12.1684604089576,196.029939265333,1.44296711302661e-43,3.14122840758869e-42,"Highly Significant","Small","Downregulated","OPC","With_vs_Naive","Withdrawal","Naive",4149,1719,2430,283,2025-05-28
"Gjc3",0.363945694457291,11.3658775584389,187.290483492354,9.64066193369037e-42,1.94879094802455e-40,"Highly Significant","Small","Upregulated","OPC","With_vs_Naive","Withdrawal","Naive",4149,1719,2430,283,2025-05-28
"Ptprz1",0.227731396674197,13.8953122502003,178.390770510671,7.001860045459e-40,1.32101759524326e-38,"Highly Significant","Small","Upregulated","OPC","With_vs_Naive","Withdrawal","Naive",4149,1719,2430,283,2025-05-28
"Tnr",0.319253917303606,11.9869805122958,170.370200851606,3.39025883647359e-38,5.99652031701267e-37,"Highly Significant","Small","Upregulated","OPC","With_vs_Naive","Withdrawal","Naive",4149,1719,2430,283,2025-05-28
"mt-Cytb",0.222679615396544,13.8952224652317,169.464415537786,5.2132963314452e-38,8.67860506940583e-37,"Highly Significant","Small","Upregulated","OPC","With_vs_Naive","Withdrawal","Naive",4149,1719,2430,283,2025-05-28
"Zbtb20",0.368631036883528,11.5234226557549,165.990385888564,2.8421315528162e-37,4.46846238581659e-36,"Highly Significant","Small","Upregulated","OPC","With_vs_Naive","Withdrawal","Naive",4149,1719,2430,283,2025-05-28
"Egr1",0.508582114229123,11.623842373648,163.765696003233,8.38348629918189e-37,1.24869822245709e-35,"Highly Significant","Medium","Upregulated","OPC","With_vs_Naive","Withdrawal","Naive",4149,1719,2430,283,2025-05-28
"Ccdc88a",0.315065722636806,11.6069854207198,154.929884544088,5.96150693187811e-35,8.43553230860753e-34,"Highly Significant","Small","Upregulated","OPC","With_vs_Naive","Withdrawal","Naive",4149,1719,2430,283,2025-05-28
"Nrxn2",0.286205948588825,11.3552741048097,152.067161207916,2.38833583474904e-34,3.21856686301895e-33,"Highly Significant","Small","Upregulated","OPC","With_vs_Naive","Withdrawal","Naive",4149,1719,2430,283,2025-05-28
"Fosb",0.447726950716114,11.5919919044711,149.344204485057,9.12327117669647e-34,1.17358442863868e-32,"Highly Significant","Small","Upregulated","OPC","With_vs_Naive","Withdrawal","Naive",4149,1719,2430,283,2025-05-28
"Spag9",0.329235034613651,10.9949452784223,147.063933988508,2.71722415625647e-33,3.34336711400253e-32,"Highly Significant","Small","Upregulated","OPC","With_vs_Naive","Withdrawal","Naive",4149,1719,2430,283,2025-05-28
"mt-Co3",0.196089880124697,14.7357783199896,139.145895064271,1.28339127752095e-31,1.51333221474345e-30,"Highly Significant","Small","Upregulated","OPC","With_vs_Naive","Withdrawal","Naive",4149,1719,2430,283,2025-05-28
"Map2",0.341044004779892,10.9517682046112,137.284313945088,3.18067039153006e-31,3.60051888321203e-30,"Highly Significant","Small","Upregulated","OPC","With_vs_Naive","Withdrawal","Naive",4149,1719,2430,283,2025-05-28
