"gene","logFC","logCPM","F","PValue","FDR","significance","effect_size","regulation","cell_type","comparison","group1","group2","total_cells","group1_cells","group2_cells","genes_tested","analysis_date"
"Rps29",0.261454770603473,13.4167844185554,22.7065662325525,2.04698066458475e-06,0.000157617511173026,"Highly Significant","Small","Upregulated","PC","Dep_vs_Naive","Dependent","Naive",1680,750,930,77,2025-05-28
"Gm42418",-0.183979812043147,16.7294897975139,20.02609784131,8.14365177847668e-06,0.000313530593471352,"Highly Significant","Small","Downregulated","PC","Dep_vs_Naive","Dependent","Naive",1680,750,930,77,2025-05-28
"Tmsb4x",-0.221310554125361,14.5445631199527,16.0285048749991,6.50675066964983e-05,0.00100722733768871,"Highly Significant","Small","Downregulated","PC","Dep_vs_Naive","Dependent","Naive",1680,750,930,77,2025-05-28
"Cald1",-0.27889845128161,13.5632242699791,15.8044367305446,7.3176767198789e-05,0.00100722733768871,"Highly Significant","Small","Downregulated","PC","Dep_vs_Naive","Dependent","Naive",1680,750,930,77,2025-05-28
"Rpl41",0.218753773425594,12.9135458952483,15.6907357600018,7.76539443057123e-05,0.00100722733768871,"Highly Significant","Small","Upregulated","PC","Dep_vs_Naive","Dependent","Naive",1680,750,930,77,2025-05-28
"Hsp90ab1",-0.217025980613752,13.2158898037138,15.6704102911536,7.84852470926271e-05,0.00100722733768871,"Highly Significant","Small","Downregulated","PC","Dep_vs_Naive","Dependent","Naive",1680,750,930,77,2025-05-28
"Rps27",0.224296617026785,12.786633803399,14.2053944217903,0.000169467866654091,0.001864146533195,"Highly Significant","Small","Upregulated","PC","Dep_vs_Naive","Dependent","Naive",1680,750,930,77,2025-05-28
"H3f3b",-0.218416193353214,13.0066258362677,13.8379480023416,0.000205710588026856,0.00197996440975849,"Highly Significant","Small","Downregulated","PC","Dep_vs_Naive","Dependent","Naive",1680,750,930,77,2025-05-28
"AY036118",-0.146653519499363,14.0147304519221,12.44180595801,0.000430921887305726,0.00368677614694899,"Highly Significant","Small","Downregulated","PC","Dep_vs_Naive","Dependent","Naive",1680,750,930,77,2025-05-28
"Higd1b",-0.272990098700074,12.5867588139274,11.6118188674678,0.000670731785152086,0.00516463474567107,"Highly Significant","Small","Downregulated","PC","Dep_vs_Naive","Dependent","Naive",1680,750,930,77,2025-05-28
"mt-Nd4l",0.20215273836158,12.621599413126,10.7986410013215,0.00103632457218725,0.00705860699925265,"Highly Significant","Small","Upregulated","PC","Dep_vs_Naive","Dependent","Naive",1680,750,930,77,2025-05-28
"Sept7",-0.198002051686031,12.6793534933724,10.6875185094875,0.00110004264923418,0.00705860699925265,"Highly Significant","Small","Downregulated","PC","Dep_vs_Naive","Dependent","Naive",1680,750,930,77,2025-05-28
"Rpl37",0.171602324235326,12.8423119746131,9.53979467947486,0.00204301428558694,0.0121009307684765,"Significant","Small","Upregulated","PC","Dep_vs_Naive","Dependent","Naive",1680,750,930,77,2025-05-28
"Sparc",-0.242758351693434,12.7747660799177,9.3674100080773,0.00224358896622469,0.0123397393142358,"Significant","Small","Downregulated","PC","Dep_vs_Naive","Dependent","Naive",1680,750,930,77,2025-05-28
"Rps21",0.154698334735979,12.9510104368887,7.99488885091952,0.00474562739715923,0.0243608873054174,"Significant","Small","Upregulated","PC","Dep_vs_Naive","Dependent","Naive",1680,750,930,77,2025-05-28
"Eif1",0.148542865680946,12.9257422896114,7.36216427383488,0.00672793970807912,0.0320293750581933,"Significant","Small","Upregulated","PC","Dep_vs_Naive","Dependent","Naive",1680,750,930,77,2025-05-28
"Hsp90aa1",-0.160359443004678,12.5429093652446,7.27229065528009,0.00707142046739334,0.0320293750581933,"Significant","Small","Downregulated","PC","Dep_vs_Naive","Dependent","Naive",1680,750,930,77,2025-05-28
"Sparcl1",-0.143735105649744,13.1515158877916,5.30430234065222,0.021392407084202,0.0915119636379753,"Not Significant","Small","Not Significant","PC","Dep_vs_Naive","Dependent","Naive",1680,750,930,77,2025-05-28
"Cst3",-0.152919237213869,14.5686223667778,4.4257070494212,0.0355490630324226,0.144067255447186,"Not Significant","Small","Not Significant","PC","Dep_vs_Naive","Dependent","Naive",1680,750,930,77,2025-05-28
"mt-Nd3",0.10985416727227,13.4924591721146,4.13787068122328,0.0420880461232279,0.157137364375892,"Not Significant","Small","Not Significant","PC","Dep_vs_Naive","Dependent","Naive",1680,750,930,77,2025-05-28
"Rpl37a",0.1193024322666,12.7639760000875,4.10721526504182,0.0428556448297888,0.157137364375892,"Not Significant","Small","Not Significant","PC","Dep_vs_Naive","Dependent","Naive",1680,750,930,77,2025-05-28
"Rpl21",0.108704811408431,12.7586566388396,3.81132160355695,0.051070371301838,0.178746299556433,"Not Significant","Small","Not Significant","PC","Dep_vs_Naive","Dependent","Naive",1680,750,930,77,2025-05-28
"Ppia",0.104845303764402,12.9854640429258,3.70357684623754,0.0544618308688034,0.182328738125994,"Not Significant","Small","Not Significant","PC","Dep_vs_Naive","Dependent","Naive",1680,750,930,77,2025-05-28
"Tpt1",-0.0999696651619749,13.6865193141148,3.41399418066878,0.0648185209877783,0.207959421502455,"Not Significant","Small","Not Significant","PC","Dep_vs_Naive","Dependent","Naive",1680,750,930,77,2025-05-28
"Igfbp7",-0.130052090447358,12.9589321207248,2.81821051923256,0.0933853535770214,0.275079684081835,"Not Significant","Small","Not Significant","PC","Dep_vs_Naive","Dependent","Naive",1680,750,930,77,2025-05-28
"Vtn",-0.126740884614148,15.0089484129531,2.77846781692087,0.0957257643151964,0.275079684081835,"Not Significant","Small","Not Significant","PC","Dep_vs_Naive","Dependent","Naive",1680,750,930,77,2025-05-28
"Rpl39",0.101565796254653,12.5711493021289,2.76622209098374,0.0964565126001239,0.275079684081835,"Not Significant","Small","Not Significant","PC","Dep_vs_Naive","Dependent","Naive",1680,750,930,77,2025-05-28
"Ftl1",0.108155435909592,12.7913949104106,2.70060699140974,0.100494015146292,0.276358541652302,"Not Significant","Small","Not Significant","PC","Dep_vs_Naive","Dependent","Naive",1680,750,930,77,2025-05-28
"Cd81",-0.0987578826165437,12.7456933797521,2.60762646856106,0.106535444020908,0.282869972055514,"Not Significant","Small","Not Significant","PC","Dep_vs_Naive","Dependent","Naive",1680,750,930,77,2025-05-28
"Rpl27a",0.0923687929645104,12.7332850781117,2.46243515349157,0.116783031373862,0.299743113859578,"Not Significant","Small","Not Significant","PC","Dep_vs_Naive","Dependent","Naive",1680,750,930,77,2025-05-28
"Cox6c",0.0924239065983785,12.5624745430391,2.34827428806384,0.125606886899164,0.311991299717279,"Not Significant","Small","Not Significant","PC","Dep_vs_Naive","Dependent","Naive",1680,750,930,77,2025-05-28
"Fth1",0.0958100812592874,13.7250595928322,2.12200629109179,0.145379950157218,0.349820505065807,"Not Significant","Small","Not Significant","PC","Dep_vs_Naive","Dependent","Naive",1680,750,930,77,2025-05-28
"Actb",-0.0828332475395113,13.7373667732864,1.90994752925738,0.167149712774267,0.390015996473289,"Not Significant","Small","Not Significant","PC","Dep_vs_Naive","Dependent","Naive",1680,750,930,77,2025-05-28
"Rps3a1",-0.0773204718022095,12.7183455777313,1.60313887615353,0.205631530091046,0.459567455745509,"Not Significant","Small","Not Significant","PC","Dep_vs_Naive","Dependent","Naive",1680,750,930,77,2025-05-28
"Ptn",0.089290944628084,14.897092939341,1.58028046347228,0.20889429806614,0.459567455745509,"Not Significant","Small","Not Significant","PC","Dep_vs_Naive","Dependent","Naive",1680,750,930,77,2025-05-28
