"gene","logFC","logCPM","F","PValue","FDR","significance","effect_size","regulation","cell_type","comparison","group1","group2","total_cells","group1_cells","group2_cells","genes_tested","analysis_date"
"mt-Nd1",0.404132023711187,14.1318672676521,61.1672524458089,1.0069856415435e-14,6.94820092665018e-13,"Highly Significant","Small","Upregulated","PC","With_vs_Dep","Withdrawal","Dependent",1411,661,750,69,2025-05-28
"mt-Co1",0.254597111740978,15.3616555841676,23.0603697406805,1.73369064513073e-06,5.981232725701e-05,"Highly Significant","Small","Upregulated","PC","With_vs_Dep","Withdrawal","Dependent",1411,661,750,69,2025-05-28
"mt-Nd2",0.245590832562146,14.6600965521536,20.7920070042562,5.5539322956654e-06,0.000127740442800304,"Highly Significant","Small","Upregulated","PC","With_vs_Dep","Withdrawal","Dependent",1411,661,750,69,2025-05-28
"mt-Co3",0.216064585678194,16.0027155405178,19.7656279222352,9.42617290600612e-06,0.000162601482628606,"Highly Significant","Small","Upregulated","PC","With_vs_Dep","Withdrawal","Dependent",1411,661,750,69,2025-05-28
"Sparcl1",0.28032584147957,13.2224881417641,17.7664149505758,2.6530280925813e-05,0.000366117876776219,"Highly Significant","Small","Upregulated","PC","With_vs_Dep","Withdrawal","Dependent",1411,661,750,69,2025-05-28
"Rps29",-0.251707415859958,13.4659106635791,16.6371780201306,4.77348634664908e-05,0.000496210222377952,"Highly Significant","Small","Downregulated","PC","With_vs_Dep","Withdrawal","Dependent",1411,661,750,69,2025-05-28
"Rpl37",-0.248870412628707,12.8565149757631,16.4413329714973,5.2866154354582e-05,0.000496210222377952,"Highly Significant","Small","Downregulated","PC","With_vs_Dep","Withdrawal","Dependent",1411,661,750,69,2025-05-28
"mt-Nd4",0.213703725730144,14.7709158148178,16.279216895065,5.75316199858495e-05,0.000496210222377952,"Highly Significant","Small","Upregulated","PC","With_vs_Dep","Withdrawal","Dependent",1411,661,750,69,2025-05-28
"Actb",0.244984855161574,13.8258258934866,14.3883499023552,0.000154879900225423,0.00118741256839491,"Highly Significant","Small","Upregulated","PC","With_vs_Dep","Withdrawal","Dependent",1411,661,750,69,2025-05-28
"mt-Co2",0.172097750190329,15.5315703991906,12.9074149150686,0.000338306443608314,0.00212931987140384,"Highly Significant","Small","Upregulated","PC","With_vs_Dep","Withdrawal","Dependent",1411,661,750,69,2025-05-28
"Hspa8",-0.216537464451161,12.8192711869793,12.9010039392275,0.000339456791093366,0.00212931987140384,"Highly Significant","Small","Downregulated","PC","With_vs_Dep","Withdrawal","Dependent",1411,661,750,69,2025-05-28
"mt-Nd5",0.219636119495593,12.8465642525686,11.8436774023292,0.000595140400597958,0.00342205730343826,"Highly Significant","Small","Upregulated","PC","With_vs_Dep","Withdrawal","Dependent",1411,661,750,69,2025-05-28
"H3f3b",0.221701460109373,13.0190396073417,11.468753329528,0.000726837728330274,0.00385783101959915,"Highly Significant","Small","Upregulated","PC","With_vs_Dep","Withdrawal","Dependent",1411,661,750,69,2025-05-28
"Rps27",-0.218452531447053,12.8314913607566,10.6203462727479,0.00114461248445216,0.00564130438765707,"Highly Significant","Small","Downregulated","PC","With_vs_Dep","Withdrawal","Dependent",1411,661,750,69,2025-05-28
"Eif1",-0.18955717232262,12.9490659789093,9.92502780996477,0.00166402735239073,0.00765452582099736,"Highly Significant","Small","Downregulated","PC","With_vs_Dep","Withdrawal","Dependent",1411,661,750,69,2025-05-28
"Rps21",-0.187081142164259,12.9781687933349,8.62878621686279,0.00336156474993666,0.0144967479841019,"Significant","Small","Downregulated","PC","With_vs_Dep","Withdrawal","Dependent",1411,661,750,69,2025-05-28
"mt-Cytb",0.152469179917008,15.3885315340511,7.85571041965687,0.00513398255448689,0.0208379291917409,"Significant","Small","Upregulated","PC","With_vs_Dep","Withdrawal","Dependent",1411,661,750,69,2025-05-28
"Cst3",0.22425424633382,14.6142476932107,7.49279735240802,0.00627215302366137,0.0240432532573686,"Significant","Small","Upregulated","PC","With_vs_Dep","Withdrawal","Dependent",1411,661,750,69,2025-05-28
"mt-Atp6",0.114453836904089,16.0848693901733,5.64296350835875,0.0176558931392586,0.0641187698215181,"Not Significant","Small","Not Significant","PC","With_vs_Dep","Withdrawal","Dependent",1411,661,750,69,2025-05-28
"Atp1a2",0.173601813045644,14.4306316685484,5.41338893343388,0.0201216607882194,0.0694197297193571,"Not Significant","Small","Not Significant","PC","With_vs_Dep","Withdrawal","Dependent",1411,661,750,69,2025-05-28
"Rpl37a",-0.144323478670729,12.7915220326138,5.03313338467894,0.0250184553335098,0.0822034960958178,"Not Significant","Small","Not Significant","PC","With_vs_Dep","Withdrawal","Dependent",1411,661,750,69,2025-05-28
"Rps12",0.13470285910102,12.711903904184,3.64070231921024,0.0565819592088912,0.175036149120776,"Not Significant","Small","Not Significant","PC","With_vs_Dep","Withdrawal","Dependent",1411,661,750,69,2025-05-28
"Rps3a1",0.124305238861976,12.7595589348437,3.58029013091042,0.0586694931941621,0.175036149120776,"Not Significant","Small","Not Significant","PC","With_vs_Dep","Withdrawal","Dependent",1411,661,750,69,2025-05-28
"Igfbp7",-0.169734854239793,12.8665143033629,3.51880212486965,0.0608821388246177,0.175036149120776,"Not Significant","Small","Not Significant","PC","With_vs_Dep","Withdrawal","Dependent",1411,661,750,69,2025-05-28
"Rpl41",-0.113687013548276,12.9919425981221,3.37545188850215,0.0663805026450841,0.183210187300432,"Not Significant","Small","Not Significant","PC","With_vs_Dep","Withdrawal","Dependent",1411,661,750,69,2025-05-28
"Rpl35a",-0.110911227761803,12.8306428017614,3.22180803429746,0.0728730899656031,0.18648218882156,"Not Significant","Small","Not Significant","PC","With_vs_Dep","Withdrawal","Dependent",1411,661,750,69,2025-05-28
