"gene","logFC","logCPM","F","PValue","FDR","significance","effect_size","regulation","cell_type","comparison","group1","group2","total_cells","group1_cells","group2_cells","genes_tested","analysis_date"
"Rps28",-0.394293370083617,11.7679301843099,21.3255192721891,4.91142724798019e-06,0.00105595685831574,"Highly Significant","Small","Downregulated","VSMC","With_vs_Dep","Withdrawal","Dependent",492,241,251,215,2025-05-28
"mt-Nd1",0.300886506435307,13.5682458608437,17.9771794924385,2.65447910829991e-05,0.0028535650414224,"Highly Significant","Small","Upregulated","VSMC","With_vs_Dep","Withdrawal","Dependent",492,241,251,215,2025-05-28
"Rps29",-0.295210812719925,12.7156620171052,13.7000647123016,0.000237782010368885,0.0170410440764368,"Significant","Small","Downregulated","VSMC","With_vs_Dep","Withdrawal","Dependent",492,241,251,215,2025-05-28
"Rpl38",-0.279816672945943,11.8416195116612,12.9482573238102,0.000351433559945017,0.0188895538470446,"Significant","Small","Downregulated","VSMC","With_vs_Dep","Withdrawal","Dependent",492,241,251,215,2025-05-28
"Apoe",0.620775762736047,12.5214833810895,11.8427847579707,0.000628226789868999,0.027013751964367,"Significant","Medium","Upregulated","VSMC","With_vs_Dep","Withdrawal","Dependent",492,241,251,215,2025-05-28
"Map1b",0.343757818915942,11.4078950766756,10.3520931644067,0.00137542569101659,0.0492860872614277,"Significant","Small","Upregulated","VSMC","With_vs_Dep","Withdrawal","Dependent",492,241,251,215,2025-05-28
"Rps21",-0.245312808890687,12.3364693610888,9.26405552203132,0.00245748328413298,0.0754798437269414,"Not Significant","Small","Not Significant","VSMC","With_vs_Dep","Withdrawal","Dependent",492,241,251,215,2025-05-28
"Rps27",-0.233543638215535,11.9655375124876,7.41984256876274,0.00667202833142185,0.144755301164235,"Not Significant","Small","Not Significant","VSMC","With_vs_Dep","Withdrawal","Dependent",492,241,251,215,2025-05-28
"Atp5l",-0.240490907614696,11.2516582643873,7.34808203224558,0.0069395953885257,0.144755301164235,"Not Significant","Small","Not Significant","VSMC","With_vs_Dep","Withdrawal","Dependent",492,241,251,215,2025-05-28
"Rpl37a",-0.22539223144334,12.1745814799005,7.27234464766444,0.00723394166313942,0.144755301164235,"Not Significant","Small","Not Significant","VSMC","With_vs_Dep","Withdrawal","Dependent",492,241,251,215,2025-05-28
"mt-Nd4l",-0.241362057486001,12.0549702415633,7.22950177129036,0.00740608517584459,0.144755301164235,"Not Significant","Small","Not Significant","VSMC","With_vs_Dep","Withdrawal","Dependent",492,241,251,215,2025-05-28
