"gene","logFC","logCPM","F","PValue","FDR","significance","effect_size","regulation","cell_type","comparison","group1","group2","total_cells","group1_cells","group2_cells","genes_tested","analysis_date"
"Hspb1",-0.619904290524209,11.9011636949863,33.4544047246085,1.25973292654711e-08,2.97296970665118e-06,"Highly Significant","Medium","Downregulated","VSMC","With_vs_Naive","Withdrawal","Naive",510,241,269,236,2025-05-28
"Hspa8",-0.39245534231889,12.1396577151073,31.2351658255205,3.67609489527801e-08,4.33779197642805e-06,"Highly Significant","Small","Downregulated","VSMC","With_vs_Naive","Withdrawal","Naive",510,241,269,236,2025-05-28
"Hsp90ab1",-0.375354504539189,12.1449068077603,26.5985797946087,3.55378101645965e-07,2.79564106628159e-05,"Highly Significant","Small","Downregulated","VSMC","With_vs_Naive","Withdrawal","Naive",510,241,269,236,2025-05-28
"Gm42418",-0.3792155791938,14.8402770888979,24.4111941006366,1.04767136116279e-06,6.18126103086046e-05,"Highly Significant","Small","Downregulated","VSMC","With_vs_Naive","Withdrawal","Naive",510,241,269,236,2025-05-28
"Ndufa13",-0.397197917259831,11.2750365584097,22.1281597496051,3.26472622242149e-06,0.000154095077698294,"Highly Significant","Small","Downregulated","VSMC","With_vs_Naive","Withdrawal","Naive",510,241,269,236,2025-05-28
"Pcp4l1",-0.435553411836588,11.5413849061622,20.433309363348,7.63619169234395e-06,0.000300356873232195,"Highly Significant","Small","Downregulated","VSMC","With_vs_Naive","Withdrawal","Naive",510,241,269,236,2025-05-28
"Atp5b",-0.312820239299347,11.3524378956545,16.2000421027596,6.53762151456184e-05,0.00220411239633799,"Highly Significant","Small","Downregulated","VSMC","With_vs_Naive","Withdrawal","Naive",510,241,269,236,2025-05-28
"Cox6c",-0.289776996015304,11.8167328315729,15.8358643822176,7.87900444700038e-05,0.00232430631186511,"Highly Significant","Small","Downregulated","VSMC","With_vs_Naive","Withdrawal","Naive",510,241,269,236,2025-05-28
"Rap1a",-0.389199043760266,11.0626050594335,14.7988556048769,0.000134302352297202,0.00352170612690441,"Highly Significant","Small","Downregulated","VSMC","With_vs_Naive","Withdrawal","Naive",510,241,269,236,2025-05-28
"Atp5e",-0.29731575483818,11.0380297417673,13.5077793915968,0.00026197388861634,0.00618258377134563,"Highly Significant","Small","Downregulated","VSMC","With_vs_Naive","Withdrawal","Naive",510,241,269,236,2025-05-28
"Dynll1",-0.288257511532208,11.5073208291667,12.7233236148689,0.000394138161262924,0.00693589205064395,"Highly Significant","Small","Downregulated","VSMC","With_vs_Naive","Withdrawal","Naive",510,241,269,236,2025-05-28
"Chchd2",-0.258671520927218,11.7113258141545,12.5984615610124,0.000420692479291861,0.00693589205064395,"Highly Significant","Small","Downregulated","VSMC","With_vs_Naive","Withdrawal","Naive",510,241,269,236,2025-05-28
"Fxyd1",-0.361555722185194,11.0848630464133,12.512122514969,0.000440106931075263,0.00693589205064395,"Highly Significant","Small","Downregulated","VSMC","With_vs_Naive","Withdrawal","Naive",510,241,269,236,2025-05-28
"Hsp90aa1",-0.28044025148766,11.6397698173666,12.4773787523598,0.000448173279801779,0.00693589205064395,"Highly Significant","Small","Downregulated","VSMC","With_vs_Naive","Withdrawal","Naive",510,241,269,236,2025-05-28
"Actn4",-0.348780656260925,11.0129388703817,12.4505050422907,0.000454515022627482,0.00693589205064395,"Highly Significant","Small","Downregulated","VSMC","With_vs_Naive","Withdrawal","Naive",510,241,269,236,2025-05-28
"AY036118",-0.256109796767163,12.3814521643822,12.3855144800463,0.000470229969535183,0.00693589205064395,"Highly Significant","Small","Downregulated","VSMC","With_vs_Naive","Withdrawal","Naive",510,241,269,236,2025-05-28
"Rgs5",-0.637286530553375,12.4412132628424,11.5803305209236,0.00071899766586933,0.00998137936148011,"Highly Significant","Medium","Downregulated","VSMC","With_vs_Naive","Withdrawal","Naive",510,241,269,236,2025-05-28
"Myl6",-0.355209948326817,13.8757851052502,11.0534962523934,0.000947511831642961,0.0120502367566143,"Significant","Small","Downregulated","VSMC","With_vs_Naive","Withdrawal","Naive",510,241,269,236,2025-05-28
"Mfge8",-0.28712506953033,11.7993734903276,11.007761029728,0.000970146179557928,0.0120502367566143,"Significant","Small","Downregulated","VSMC","With_vs_Naive","Withdrawal","Naive",510,241,269,236,2025-05-28
"Acta2",-0.409301560951622,14.6163649095521,10.5100350195222,0.00126371532177894,0.0148365133633824,"Significant","Small","Downregulated","VSMC","With_vs_Naive","Withdrawal","Naive",510,241,269,236,2025-05-28
"Cox7a2",-0.2637606074565,11.0241884435306,10.4259678352514,0.00132019822301284,0.0148365133633824,"Significant","Small","Downregulated","VSMC","With_vs_Naive","Withdrawal","Naive",510,241,269,236,2025-05-28
"Rps28",-0.235841101871931,11.5190960430186,9.95751771032984,0.00169373635944006,0.0177255652512842,"Significant","Small","Downregulated","VSMC","With_vs_Naive","Withdrawal","Naive",510,241,269,236,2025-05-28
"Vim",-0.363252658756634,12.5282345481874,9.92144561513255,0.00172749152872685,0.0177255652512842,"Significant","Small","Downregulated","VSMC","With_vs_Naive","Withdrawal","Naive",510,241,269,236,2025-05-28
"Wtip",-0.292835150318562,11.5548648742244,9.71618666364736,0.00192648194911148,0.0183823572620109,"Significant","Small","Downregulated","VSMC","With_vs_Naive","Withdrawal","Naive",510,241,269,236,2025-05-28
"Serf2",-0.282742063983147,11.2239156730333,9.64909360102558,0.00199679300384738,0.0183823572620109,"Significant","Small","Downregulated","VSMC","With_vs_Naive","Withdrawal","Naive",510,241,269,236,2025-05-28
"Cox7c",-0.250701171365048,11.3609839535677,9.62268904095838,0.00202517495259442,0.0183823572620109,"Significant","Small","Downregulated","VSMC","With_vs_Naive","Withdrawal","Naive",510,241,269,236,2025-05-28
