"gene","log2FoldChange","baseMean","stat","pvalue","padj","significance","effect_size","regulation","cell_type","comparison","group1","group2","total_samples","group1_samples","group2_samples","genes_tested","analysis_date"
"Pim3",0.799226773486973,4.58228689381374,50.5184140860573,1.37365683878562e-05,0.194056501615244,"Not Significant","Medium","Not Significant","ASC","With_vs_Dep","Withdrawal","Dependent",6,3,3,14127,2025-05-28
"Slc30a1",0.635780970233159,4.69642168606833,24.234770478138,0.000373021277188818,0.979667787527003,"Not Significant","Medium","Not Significant","ASC","With_vs_Dep","Withdrawal","Dependent",6,3,3,14127,2025-05-28
"2900052L18Rik",0.549774885241989,4.65364471756445,21.367450140015,0.000618484967622601,0.979667787527003,"Not Significant","Medium","Not Significant","ASC","With_vs_Dep","Withdrawal","Dependent",6,3,3,14127,2025-05-28
"Pik3ip1",0.524943091566263,6.83339837712828,18.3073849330284,0.00111935028334729,0.979667787527003,"Not Significant","Medium","Not Significant","ASC","With_vs_Dep","Withdrawal","Dependent",6,3,3,14127,2025-05-28
"Uba52",-0.458776258904835,5.79472901517052,18.1043977834214,0.00116688837998363,0.979667787527003,"Not Significant","Small","Not Significant","ASC","With_vs_Dep","Withdrawal","Dependent",6,3,3,14127,2025-05-28
"Itga10",-1.05921760606106,1.6742598637605,17.9308946063936,0.00120940813617698,0.979667787527003,"Not Significant","Large","Not Significant","ASC","With_vs_Dep","Withdrawal","Dependent",6,3,3,14127,2025-05-28
"Plekha7",0.479498766370272,4.16760205907016,17.1789514767079,0.00141604147116906,0.979667787527003,"Not Significant","Small","Not Significant","ASC","With_vs_Dep","Withdrawal","Dependent",6,3,3,14127,2025-05-28
"Cxcl10",-1.63102095030794,1.52853490603152,16.8125147264682,0.00153162261126142,0.979667787527003,"Not Significant","Large","Not Significant","ASC","With_vs_Dep","Withdrawal","Dependent",6,3,3,14127,2025-05-28
"Polr2l",-0.508170694255997,4.89885033813988,16.5321190233442,0.00162758679032493,0.979667787527003,"Not Significant","Medium","Not Significant","ASC","With_vs_Dep","Withdrawal","Dependent",6,3,3,14127,2025-05-28
"Ndufb1-ps",-0.566364650432663,8.25684523837207,16.1911724782161,0.00175394796413273,0.979667787527003,"Not Significant","Medium","Not Significant","ASC","With_vs_Dep","Withdrawal","Dependent",6,3,3,14127,2025-05-28
