"gene","log2FoldChange","baseMean","stat","pvalue","padj","significance","effect_size","regulation","cell_type","comparison","group1","group2","total_samples","group1_samples","group2_samples","genes_tested","analysis_date"
"Slc6a6",0.702192799591213,4.19120336608396,25.7345386575888,0.000202918629217097,0.998544301092662,"Not Significant","Medium","Not Significant","ASC","With_vs_Naive","Withdrawal","Naive",6,3,3,14341,2025-05-28
"Hist1h1c",-0.454838504328908,6.48732596204554,20.5855609407103,0.000535538844813466,0.998544301092662,"Not Significant","Small","Not Significant","ASC","With_vs_Naive","Withdrawal","Naive",6,3,3,14341,2025-05-28
"Hspa8",-0.579760608885773,10.1457383210072,20.176729643296,0.00058225729692135,0.998544301092662,"Not Significant","Medium","Not Significant","ASC","With_vs_Naive","Withdrawal","Naive",6,3,3,14341,2025-05-28
"Rbm3",0.437444904075815,6.22574746538597,20.1748832366484,0.000582478711381938,0.998544301092662,"Not Significant","Small","Not Significant","ASC","With_vs_Naive","Withdrawal","Naive",6,3,3,14341,2025-05-28
"Smarca1",0.618115685546536,3.57024413691699,18.2226551755705,0.000882104661863576,0.998544301092662,"Not Significant","Medium","Not Significant","ASC","With_vs_Naive","Withdrawal","Naive",6,3,3,14341,2025-05-28
"Calr",-0.467183719939007,8.43105791095605,16.7749335917326,0.0012220259364875,0.998544301092662,"Not Significant","Small","Not Significant","ASC","With_vs_Naive","Withdrawal","Naive",6,3,3,14341,2025-05-28
"Ahsa1",-0.42197248089537,5.4695854938624,15.7941666332824,0.00153894613236306,0.998544301092662,"Not Significant","Small","Not Significant","ASC","With_vs_Naive","Withdrawal","Naive",6,3,3,14341,2025-05-28
"Tubb4b",-0.388154783837696,7.26187521496871,15.7627045271646,0.00155058725058845,0.998544301092662,"Not Significant","Small","Not Significant","ASC","With_vs_Naive","Withdrawal","Naive",6,3,3,14341,2025-05-28
"Serpinh1",-0.398579118036592,6.25274080630544,15.5458945537378,0.0016336336147572,0.998544301092662,"Not Significant","Small","Not Significant","ASC","With_vs_Naive","Withdrawal","Naive",6,3,3,14341,2025-05-28
"Lcorl",0.377515373623638,5.46376461463447,15.0654426840228,0.00183667861877571,0.998544301092662,"Not Significant","Small","Not Significant","ASC","With_vs_Naive","Withdrawal","Naive",6,3,3,14341,2025-05-28
