"gene","log2FoldChange","baseMean","stat","pvalue","padj","significance","effect_size","regulation","cell_type","comparison","group1","group2","total_samples","group1_samples","group2_samples","genes_tested","analysis_date"
"Iglc1",-8.02960215261198,5.15002844937834,93.8381606831469,8.29932753232881e-08,0.000565682164603532,"Highly Significant","Large","Downregulated","DC","Dep_vs_Naive","Dependent","Naive",6,3,3,6816,2025-05-28
"Ly6c2",-3.86900060547855,6.74978364928308,35.9915290407535,0.000354465595684399,0.999905706831961,"Not Significant","Large","Not Significant","DC","Dep_vs_Naive","Dependent","Naive",6,3,3,6816,2025-05-28
"C1ql3",-1.71968398798296,5.0060725806836,17.4149147208773,0.000648896285216746,0.999905706831961,"Not Significant","Large","Not Significant","DC","Dep_vs_Naive","Dependent","Naive",6,3,3,6816,2025-05-28
"Sell",-1.50956891495035,5.93371394052587,15.878159220865,0.00129317691755677,0.999905706831961,"Not Significant","Large","Not Significant","DC","Dep_vs_Naive","Dependent","Naive",6,3,3,6816,2025-05-28
"Wfdc21",-4.58737425888635,5.4518496901877,23.1526917039623,0.00129507203290074,0.999905706831961,"Not Significant","Large","Not Significant","DC","Dep_vs_Naive","Dependent","Naive",6,3,3,6816,2025-05-28
"Apobec3",-1.18467390746145,5.74674089416635,13.8298880111783,0.00172935497789526,0.999905706831961,"Not Significant","Large","Not Significant","DC","Dep_vs_Naive","Dependent","Naive",6,3,3,6816,2025-05-28
"Clec4b1",0.822894071156558,7.59993923987587,13.6759061960456,0.00180876279415603,0.999905706831961,"Not Significant","Medium","Not Significant","DC","Dep_vs_Naive","Dependent","Naive",6,3,3,6816,2025-05-28
"Cryab",-1.23275703884159,5.4786384306847,12.3983972064023,0.00265164892553122,0.999905706831961,"Not Significant","Large","Not Significant","DC","Dep_vs_Naive","Dependent","Naive",6,3,3,6816,2025-05-28
"Hivep1",-1.21342913356086,5.14463367198892,12.1715915362466,0.00284357870594946,0.999905706831961,"Not Significant","Large","Not Significant","DC","Dep_vs_Naive","Dependent","Naive",6,3,3,6816,2025-05-28
"Trap1",-1.36247590513621,4.67308244954035,11.8337200645392,0.00315921699353191,0.999905706831961,"Not Significant","Large","Not Significant","DC","Dep_vs_Naive","Dependent","Naive",6,3,3,6816,2025-05-28
"Adam8",-1.20999626312588,4.93792824923575,10.9188733349098,0.00423171933981272,0.999905706831961,"Not Significant","Large","Not Significant","DC","Dep_vs_Naive","Dependent","Naive",6,3,3,6816,2025-05-28
"Plac8",-1.39947812010785,7.89413884934418,13.1996853762808,0.00443410485809876,0.999905706831961,"Not Significant","Large","Not Significant","DC","Dep_vs_Naive","Dependent","Naive",6,3,3,6816,2025-05-28
"Ifitm6",-1.30750907801012,6.50778697670272,11.909930979788,0.0048357465716029,0.999905706831961,"Not Significant","Large","Not Significant","DC","Dep_vs_Naive","Dependent","Naive",6,3,3,6816,2025-05-28
"Rmnd1",-1.49607078257472,4.55157195748147,10.4693107528342,0.004905414576185,0.999905706831961,"Not Significant","Large","Not Significant","DC","Dep_vs_Naive","Dependent","Naive",6,3,3,6816,2025-05-28
"Tmem205",-1.13249457747508,4.96534675796685,10.0840000908608,0.00558023051786459,0.999905706831961,"Not Significant","Large","Not Significant","DC","Dep_vs_Naive","Dependent","Naive",6,3,3,6816,2025-05-28
"Dnajb1",0.988840412834501,6.38843482787438,9.93492297374646,0.00646400285863308,0.999905706831961,"Not Significant","Medium","Not Significant","DC","Dep_vs_Naive","Dependent","Naive",6,3,3,6816,2025-05-28
"Myo1c",0.937742499816364,5.38213701421165,9.60077206310453,0.006579597086177,0.999905706831961,"Not Significant","Medium","Not Significant","DC","Dep_vs_Naive","Dependent","Naive",6,3,3,6816,2025-05-28
"Mmp12",0.896962132812894,5.70971830383276,9.1170048864299,0.00778749711022196,0.999905706831961,"Not Significant","Medium","Not Significant","DC","Dep_vs_Naive","Dependent","Naive",6,3,3,6816,2025-05-28
"Malt1",0.776674676177744,6.2394066741185,8.96019157784336,0.00823145276460327,0.999905706831961,"Not Significant","Medium","Not Significant","DC","Dep_vs_Naive","Dependent","Naive",6,3,3,6816,2025-05-28
"Ten1",-0.963460757648775,5.41972894147501,8.95887839037958,0.00823528953814867,0.999905706831961,"Not Significant","Medium","Not Significant","DC","Dep_vs_Naive","Dependent","Naive",6,3,3,6816,2025-05-28
"Eef1akmt1",-1.09424155428952,4.92678132841577,8.80749946235427,0.00869145316561187,0.999905706831961,"Not Significant","Large","Not Significant","DC","Dep_vs_Naive","Dependent","Naive",6,3,3,6816,2025-05-28
"Zfand2b",-1.05047344880832,4.78176353468592,8.58746299448354,0.00940643787974832,0.999905706831961,"Not Significant","Large","Not Significant","DC","Dep_vs_Naive","Dependent","Naive",6,3,3,6816,2025-05-28
"Gda",-0.836732586557993,6.94379654516659,8.63091717099274,0.00944058953452891,0.999905706831961,"Not Significant","Medium","Not Significant","DC","Dep_vs_Naive","Dependent","Naive",6,3,3,6816,2025-05-28
"Rfwd3",1.60577102804959,4.17583596948228,8.55198431467292,0.00952784810801194,0.999905706831961,"Not Significant","Large","Not Significant","DC","Dep_vs_Naive","Dependent","Naive",6,3,3,6816,2025-05-28
"Tcirg1",-0.924185922566076,5.71863254540127,8.50469851881724,0.00969243219883582,0.999905706831961,"Not Significant","Medium","Not Significant","DC","Dep_vs_Naive","Dependent","Naive",6,3,3,6816,2025-05-28
"Ighd",-2.1854581000365,5.31154077466798,10.4808207066106,0.00983718502090358,0.999905706831961,"Not Significant","Large","Not Significant","DC","Dep_vs_Naive","Dependent","Naive",6,3,3,6816,2025-05-28
"Taf1b",-1.46713830408372,4.2235313460474,8.08761873462076,0.0112923401241927,0.999905706831961,"Not Significant","Large","Not Significant","DC","Dep_vs_Naive","Dependent","Naive",6,3,3,6816,2025-05-28
"Hbegf",0.937470177669164,5.26717882494398,7.87145827687795,0.0122380823549061,0.999905706831961,"Not Significant","Medium","Not Significant","DC","Dep_vs_Naive","Dependent","Naive",6,3,3,6816,2025-05-28
"Mesd",-0.846507530182395,5.45960686469552,7.71260734533437,0.012990491704319,0.999905706831961,"Not Significant","Medium","Not Significant","DC","Dep_vs_Naive","Dependent","Naive",6,3,3,6816,2025-05-28
"Psmg2",0.967056026108173,5.02830664587117,7.6494567761053,0.0133040924799381,0.999905706831961,"Not Significant","Medium","Not Significant","DC","Dep_vs_Naive","Dependent","Naive",6,3,3,6816,2025-05-28
"Nhsl2",-1.06912478794781,4.61840853682622,7.61172625072383,0.0134955584214944,0.999905706831961,"Not Significant","Large","Not Significant","DC","Dep_vs_Naive","Dependent","Naive",6,3,3,6816,2025-05-28
"Tmem106a",-0.927249767066396,5.36918875043732,7.55345343770231,0.0137974491392164,0.999905706831961,"Not Significant","Medium","Not Significant","DC","Dep_vs_Naive","Dependent","Naive",6,3,3,6816,2025-05-28
"Mgst1",-1.11154116548663,5.40259195663062,7.42000446349935,0.0151890473669156,0.999905706831961,"Not Significant","Large","Not Significant","DC","Dep_vs_Naive","Dependent","Naive",6,3,3,6816,2025-05-28
"Tm9sf1",-1.13633621937131,4.83459888022418,7.12187483390179,0.0162882396702596,0.999905706831961,"Not Significant","Large","Not Significant","DC","Dep_vs_Naive","Dependent","Naive",6,3,3,6816,2025-05-28
"Abhd6",0.989143861155923,4.67048715617361,7.08004478902862,0.0165557145798787,0.999905706831961,"Not Significant","Medium","Not Significant","DC","Dep_vs_Naive","Dependent","Naive",6,3,3,6816,2025-05-28
"Slmap",0.97876892583558,5.11059019460757,7.07622791594108,0.0165803687118917,0.999905706831961,"Not Significant","Medium","Not Significant","DC","Dep_vs_Naive","Dependent","Naive",6,3,3,6816,2025-05-28
"Ms4a4c",-0.670489160512696,6.90621090606451,7.05857895191936,0.0166949123143567,0.999905706831961,"Not Significant","Medium","Not Significant","DC","Dep_vs_Naive","Dependent","Naive",6,3,3,6816,2025-05-28
"Cybc1",0.725941202868586,6.1168369041098,6.95650030274343,0.0173753493862105,0.999905706831961,"Not Significant","Medium","Not Significant","DC","Dep_vs_Naive","Dependent","Naive",6,3,3,6816,2025-05-28
"Gna15",0.891587571582036,5.42937202742837,6.89626934579079,0.0177916256890382,0.999905706831961,"Not Significant","Medium","Not Significant","DC","Dep_vs_Naive","Dependent","Naive",6,3,3,6816,2025-05-28
"Tmx1",0.726467455749546,5.57281777081626,6.83978077978665,0.0181923846960525,0.999905706831961,"Not Significant","Medium","Not Significant","DC","Dep_vs_Naive","Dependent","Naive",6,3,3,6816,2025-05-28
"Fbxo42",1.08115472547715,4.47951502219515,6.78794252244612,0.0185692200517713,0.999905706831961,"Not Significant","Large","Not Significant","DC","Dep_vs_Naive","Dependent","Naive",6,3,3,6816,2025-05-28
"Bcap31",-0.587529959589902,6.8126339547895,6.7523090458964,0.018833413445174,0.999905706831961,"Not Significant","Medium","Not Significant","DC","Dep_vs_Naive","Dependent","Naive",6,3,3,6816,2025-05-28
"Enpp2",-0.882229468311535,5.32650859290883,6.74387930204111,0.0188965379281933,0.999905706831961,"Not Significant","Medium","Not Significant","DC","Dep_vs_Naive","Dependent","Naive",6,3,3,6816,2025-05-28
"Sumo3",0.623818004894964,6.32801343511572,6.63971849444219,0.0196967584915113,0.999905706831961,"Not Significant","Medium","Not Significant","DC","Dep_vs_Naive","Dependent","Naive",6,3,3,6816,2025-05-28
"Hspa1a",0.628198537323894,8.43663164212821,6.63399462746691,0.019741839712353,0.999905706831961,"Not Significant","Medium","Not Significant","DC","Dep_vs_Naive","Dependent","Naive",6,3,3,6816,2025-05-28
"Gm26917",-0.818079829526817,7.30566465300796,6.96459057328342,0.019900778748613,0.999905706831961,"Not Significant","Medium","Not Significant","DC","Dep_vs_Naive","Dependent","Naive",6,3,3,6816,2025-05-28
"Dynll1",0.529195765629034,9.13685751604095,6.53144005059159,0.0205698375923751,0.999905706831961,"Not Significant","Medium","Not Significant","DC","Dep_vs_Naive","Dependent","Naive",6,3,3,6816,2025-05-28
"C3",-1.0779083783899,4.78738059434773,6.43162900209336,0.0214139242597728,0.999905706831961,"Not Significant","Large","Not Significant","DC","Dep_vs_Naive","Dependent","Naive",6,3,3,6816,2025-05-28
"Rab8a",-0.634460031898445,6.07476882571291,6.40235739592077,0.0216689155096964,0.999905706831961,"Not Significant","Medium","Not Significant","DC","Dep_vs_Naive","Dependent","Naive",6,3,3,6816,2025-05-28
"Ms4a4b",-1.43426829159806,4.53130456099804,6.49793921683376,0.0219467256834517,0.999905706831961,"Not Significant","Large","Not Significant","DC","Dep_vs_Naive","Dependent","Naive",6,3,3,6816,2025-05-28
"Hmox1",0.749664130685563,6.05613065678108,6.37047853657397,0.0219505695621118,0.999905706831961,"Not Significant","Medium","Not Significant","DC","Dep_vs_Naive","Dependent","Naive",6,3,3,6816,2025-05-28
"Ccdc107",-1.14350344124278,4.59706523109849,6.30688112776815,0.0225250382318735,0.999905706831961,"Not Significant","Large","Not Significant","DC","Dep_vs_Naive","Dependent","Naive",6,3,3,6816,2025-05-28
"Baz2b",-0.625473632214661,6.7860183901133,6.27409619840709,0.0228278750307403,0.999905706831961,"Not Significant","Medium","Not Significant","DC","Dep_vs_Naive","Dependent","Naive",6,3,3,6816,2025-05-28
"Sod2",0.644167910078835,6.7329847269265,6.27055061817559,0.0228609035213535,0.999905706831961,"Not Significant","Medium","Not Significant","DC","Dep_vs_Naive","Dependent","Naive",6,3,3,6816,2025-05-28
"Api5",0.727489751917783,5.83969384819585,6.24655308131581,0.023085890322433,0.999905706831961,"Not Significant","Medium","Not Significant","DC","Dep_vs_Naive","Dependent","Naive",6,3,3,6816,2025-05-28
"Hist1h2bc",0.699311835672115,6.33798947114227,6.23412669509807,0.0232033860194515,0.999905706831961,"Not Significant","Medium","Not Significant","DC","Dep_vs_Naive","Dependent","Naive",6,3,3,6816,2025-05-28
"Klf13",-0.661031716186933,6.92070912742282,6.210080793718,0.023432693312408,0.999905706831961,"Not Significant","Medium","Not Significant","DC","Dep_vs_Naive","Dependent","Naive",6,3,3,6816,2025-05-28
"Isyna1",-0.86554005791968,5.04349421388121,6.16940935636678,0.0238264638300131,0.999905706831961,"Not Significant","Medium","Not Significant","DC","Dep_vs_Naive","Dependent","Naive",6,3,3,6816,2025-05-28
"Myo9a",-0.760312236349971,5.65598158800322,6.16679672440876,0.0238520159851198,0.999905706831961,"Not Significant","Medium","Not Significant","DC","Dep_vs_Naive","Dependent","Naive",6,3,3,6816,2025-05-28
"Phrf1",-0.857081947651626,5.14598837047127,6.15614412944941,0.0239565254958815,0.999905706831961,"Not Significant","Medium","Not Significant","DC","Dep_vs_Naive","Dependent","Naive",6,3,3,6816,2025-05-28
"Nvl",-0.970657685097627,4.73923163134612,6.14335129860645,0.024082724468241,0.999905706831961,"Not Significant","Medium","Not Significant","DC","Dep_vs_Naive","Dependent","Naive",6,3,3,6816,2025-05-28
"Acbd6",-0.778446209664308,5.36840632218787,6.11372688640076,0.024377891621489,0.999905706831961,"Not Significant","Medium","Not Significant","DC","Dep_vs_Naive","Dependent","Naive",6,3,3,6816,2025-05-28
"Ddah2",1.0816386200582,4.35959316077724,6.03248712220406,0.0252087891561637,0.999905706831961,"Not Significant","Large","Not Significant","DC","Dep_vs_Naive","Dependent","Naive",6,3,3,6816,2025-05-28
"Chil3",-3.84949791062028,6.3451021156221,10.1583926476927,0.025772757021654,0.999905706831961,"Not Significant","Large","Not Significant","DC","Dep_vs_Naive","Dependent","Naive",6,3,3,6816,2025-05-28
