"gene","log2FoldChange","baseMean","stat","pvalue","padj","significance","effect_size","regulation","cell_type","comparison","group1","group2","total_samples","group1_samples","group2_samples","genes_tested","analysis_date"
"Ccl12",-2.73216753772013,7.52225528342202,55.1891745991612,9.02952436038034e-06,0.0629284960220878,"Not Significant","Large","Not Significant","DC","With_vs_Dep","Withdrawal","Dependent",6,3,3,9652,2025-05-29
"Wfdc21",4.98358062771573,5.77257439208194,46.3669244846604,1.30394728599436e-05,0.0629284960220878,"Not Significant","Large","Not Significant","DC","With_vs_Dep","Withdrawal","Dependent",6,3,3,9652,2025-05-29
"Mmp12",-1.76855477428709,5.49084477544279,24.4894263499154,0.000362494261217803,0.997830094324707,"Not Significant","Large","Not Significant","DC","With_vs_Dep","Withdrawal","Dependent",6,3,3,9652,2025-05-29
"Ccl3",-1.17213793491936,8.23227126857056,21.8120461461058,0.000572893987791112,0.997830094324707,"Not Significant","Large","Not Significant","DC","With_vs_Dep","Withdrawal","Dependent",6,3,3,9652,2025-05-29
"Dnajb1",-1.34233844417693,6.28870995248927,20.6058765770962,0.000717130203027212,0.997830094324707,"Not Significant","Large","Not Significant","DC","With_vs_Dep","Withdrawal","Dependent",6,3,3,9652,2025-05-29
"Hspa1a",-1.14045394639414,8.25747754702753,20.4286785272147,0.000740521580099704,0.997830094324707,"Not Significant","Large","Not Significant","DC","With_vs_Dep","Withdrawal","Dependent",6,3,3,9652,2025-05-29
"Mapkap1",1.21026518835437,5.62562894625641,18.873020868926,0.00100622880773004,0.997830094324707,"Not Significant","Large","Not Significant","DC","With_vs_Dep","Withdrawal","Dependent",6,3,3,9652,2025-05-29
"Ch25h",-2.22362520042623,4.63912045431291,18.6447657445654,0.00103687074876512,0.997830094324707,"Not Significant","Large","Not Significant","DC","With_vs_Dep","Withdrawal","Dependent",6,3,3,9652,2025-05-29
"Fcgr1",-1.06456345192419,6.82230906049446,18.0019552286885,0.00119693926978466,0.997830094324707,"Not Significant","Large","Not Significant","DC","With_vs_Dep","Withdrawal","Dependent",6,3,3,9652,2025-05-29
"Ifitm6",1.15236372116477,6.38597029942524,17.7740941248395,0.00125535594674497,0.997830094324707,"Not Significant","Large","Not Significant","DC","With_vs_Dep","Withdrawal","Dependent",6,3,3,9652,2025-05-29
"Wnk3",3.69790675863284,3.35720536498987,15.6573659372046,0.00141559370918721,0.997830094324707,"Not Significant","Large","Not Significant","DC","With_vs_Dep","Withdrawal","Dependent",6,3,3,9652,2025-05-29
"Cks2",-1.27213771930048,5.91877128625191,16.5024393676386,0.00164736569777142,0.997830094324707,"Not Significant","Large","Not Significant","DC","With_vs_Dep","Withdrawal","Dependent",6,3,3,9652,2025-05-29
"Gria3",1.30407781640451,5.33861472343353,15.8130324518889,0.00192475855110368,0.997830094324707,"Not Significant","Large","Not Significant","DC","With_vs_Dep","Withdrawal","Dependent",6,3,3,9652,2025-05-29
"Ifi27l2a",-0.837202201575744,8.97267288932856,15.5432686082573,0.00203403230142214,0.997830094324707,"Not Significant","Medium","Not Significant","DC","With_vs_Dep","Withdrawal","Dependent",6,3,3,9652,2025-05-29
"Ccl4",-1.10334032726843,8.25264147698145,14.7938036665693,0.00241602072203767,0.997830094324707,"Not Significant","Large","Not Significant","DC","With_vs_Dep","Withdrawal","Dependent",6,3,3,9652,2025-05-29
"Gimap6",2.6664279307833,3.60739528390391,13.5609694218511,0.00249150612539498,0.997830094324707,"Not Significant","Large","Not Significant","DC","With_vs_Dep","Withdrawal","Dependent",6,3,3,9652,2025-05-29
