"gene","log2FoldChange","baseMean","stat","pvalue","padj","significance","effect_size","regulation","cell_type","comparison","group1","group2","total_samples","group1_samples","group2_samples","genes_tested","analysis_date"
"Ccl12",-2.83710495329207,7.62584820853582,41.1004967255361,6.83190205962608e-05,0.670277911069915,"Not Significant","Large","Not Significant","DC","With_vs_Naive","Withdrawal","Naive",6,3,3,9811,2025-05-29
"Asgr2",-1.83067679988541,4.73289962391529,17.2282867944428,0.00122754624276799,0.999073719159265,"Not Significant","Large","Not Significant","DC","With_vs_Naive","Withdrawal","Naive",6,3,3,9811,2025-05-29
"Cd36",1.06494742618908,6.19388645983468,16.9436690941473,0.00130512953107227,0.999073719159265,"Not Significant","Large","Not Significant","DC","With_vs_Naive","Withdrawal","Naive",6,3,3,9811,2025-05-29
"Cd300e",1.38924732885362,5.12790522099911,16.6830020320915,0.00138811953821189,0.999073719159265,"Not Significant","Large","Not Significant","DC","With_vs_Naive","Withdrawal","Naive",6,3,3,9811,2025-05-29
"Adgrf5",2.20918436177471,3.46257890603126,16.0521414009372,0.00143076786679463,0.999073719159265,"Not Significant","Large","Not Significant","DC","With_vs_Naive","Withdrawal","Naive",6,3,3,9811,2025-05-29
"Ptprd",1.68016517045224,5.16026955204598,15.6013638589915,0.00178065549699128,0.999073719159265,"Not Significant","Large","Not Significant","DC","With_vs_Naive","Withdrawal","Naive",6,3,3,9811,2025-05-29
"Zfp958",2.17079121985557,3.43826442940363,15.0408353722491,0.00182806717082235,0.999073719159265,"Not Significant","Large","Not Significant","DC","With_vs_Naive","Withdrawal","Naive",6,3,3,9811,2025-05-29
"Prr7",2.01373771248143,3.68092301582173,15.1493039066034,0.00190474097000221,0.999073719159265,"Not Significant","Large","Not Significant","DC","With_vs_Naive","Withdrawal","Naive",6,3,3,9811,2025-05-29
"Ifi27l2a",-0.801230952352334,8.94037677564853,15.2775378019387,0.00191330151135334,0.999073719159265,"Not Significant","Medium","Not Significant","DC","With_vs_Naive","Withdrawal","Naive",6,3,3,9811,2025-05-29
"Ppp1r14a",2.42938921430085,4.38449397134977,14.820012816077,0.00213360386287781,0.999073719159265,"Not Significant","Large","Not Significant","DC","With_vs_Naive","Withdrawal","Naive",6,3,3,9811,2025-05-29
"Syt7",2.04160048498432,4.18441583483808,14.3692178011391,0.00239405416875629,0.999073719159265,"Not Significant","Large","Not Significant","DC","With_vs_Naive","Withdrawal","Naive",6,3,3,9811,2025-05-29
"Grin2b",1.40861408359632,5.67127444759035,14.3512711600003,0.0023962395290518,0.999073719159265,"Not Significant","Large","Not Significant","DC","With_vs_Naive","Withdrawal","Naive",6,3,3,9811,2025-05-29
"Slco1a4",1.71433387096856,3.99537084888274,14.3336582795002,0.0024186971746008,0.999073719159265,"Not Significant","Large","Not Significant","DC","With_vs_Naive","Withdrawal","Naive",6,3,3,9811,2025-05-29
"Ms4a4c",-0.904809895123194,6.7785054451041,14.2776115710674,0.00243784532614782,0.999073719159265,"Not Significant","Medium","Not Significant","DC","With_vs_Naive","Withdrawal","Naive",6,3,3,9811,2025-05-29
"Ntrk3",1.34034139428339,4.70547032609695,14.2639718569034,0.00246167388269923,0.999073719159265,"Not Significant","Large","Not Significant","DC","With_vs_Naive","Withdrawal","Naive",6,3,3,9811,2025-05-29
"Zeb1",0.989585890913265,5.69577526795938,13.6206855696111,0.00287509624402761,0.999073719159265,"Not Significant","Medium","Not Significant","DC","With_vs_Naive","Withdrawal","Naive",6,3,3,9811,2025-05-29
"Snhg15",-1.11866899085442,5.18378749829333,13.5418853345232,0.00294203313159751,0.999073719159265,"Not Significant","Large","Not Significant","DC","With_vs_Naive","Withdrawal","Naive",6,3,3,9811,2025-05-29
"Arl5c",-0.880551943733299,6.19289382836007,13.2197485348758,0.00318485299436723,0.999073719159265,"Not Significant","Medium","Not Significant","DC","With_vs_Naive","Withdrawal","Naive",6,3,3,9811,2025-05-29
"Grin2a",2.05704022817527,4.79151373686825,13.2311764368343,0.00319991189149054,0.999073719159265,"Not Significant","Large","Not Significant","DC","With_vs_Naive","Withdrawal","Naive",6,3,3,9811,2025-05-29
"Itm2a",1.9357657788972,4.86581693079131,13.1881501324152,0.00323273771504489,0.999073719159265,"Not Significant","Large","Not Significant","DC","With_vs_Naive","Withdrawal","Naive",6,3,3,9811,2025-05-29
"Gria2",0.894260329590209,7.59756490372509,13.0000656185383,0.00336988288077902,0.999073719159265,"Not Significant","Medium","Not Significant","DC","With_vs_Naive","Withdrawal","Naive",6,3,3,9811,2025-05-29
"Lyz2",-0.874634718140222,12.3712521086221,12.8297520960525,0.00352302381840768,0.999073719159265,"Not Significant","Medium","Not Significant","DC","With_vs_Naive","Withdrawal","Naive",6,3,3,9811,2025-05-29
"Alas2",2.81629687337041,4.08213799497406,12.6255256305744,0.0035367216938415,0.999073719159265,"Not Significant","Large","Not Significant","DC","With_vs_Naive","Withdrawal","Naive",6,3,3,9811,2025-05-29
"Cdr1os",1.41102576880235,4.58190923374216,12.6949251794391,0.0036771186815734,0.999073719159265,"Not Significant","Large","Not Significant","DC","With_vs_Naive","Withdrawal","Naive",6,3,3,9811,2025-05-29
"Ank3",1.42754568019805,5.39624532362634,12.4879935953083,0.00386288872823944,0.999073719159265,"Not Significant","Large","Not Significant","DC","With_vs_Naive","Withdrawal","Naive",6,3,3,9811,2025-05-29
"Plac8",-1.12099843241683,7.92556144915754,12.4043227882423,0.00394354192067343,0.999073719159265,"Not Significant","Large","Not Significant","DC","With_vs_Naive","Withdrawal","Naive",6,3,3,9811,2025-05-29
"Nim1k",1.24927796752654,4.567993935095,12.3729616379096,0.00400281320974861,0.999073719159265,"Not Significant","Large","Not Significant","DC","With_vs_Naive","Withdrawal","Naive",6,3,3,9811,2025-05-29
"Cops4",-0.866137344742188,5.63764373941526,12.1561315344122,0.00422100964823897,0.999073719159265,"Not Significant","Medium","Not Significant","DC","With_vs_Naive","Withdrawal","Naive",6,3,3,9811,2025-05-29
"Plppr4",1.25404323986097,5.4832462420139,12.1211585174561,0.00426075241174296,0.999073719159265,"Not Significant","Large","Not Significant","DC","With_vs_Naive","Withdrawal","Naive",6,3,3,9811,2025-05-29
"Gpr37",2.10481196610511,3.75175885308009,11.9569915317123,0.0043340534665542,0.999073719159265,"Not Significant","Large","Not Significant","DC","With_vs_Naive","Withdrawal","Naive",6,3,3,9811,2025-05-29
"Zbtb16",1.26604112398329,4.84122413425585,11.8696880179086,0.00457542601924898,0.999073719159265,"Not Significant","Large","Not Significant","DC","With_vs_Naive","Withdrawal","Naive",6,3,3,9811,2025-05-29
"Myt1l",1.2978611034463,4.57122984115884,11.8562327583464,0.00460359473782238,0.999073719159265,"Not Significant","Large","Not Significant","DC","With_vs_Naive","Withdrawal","Naive",6,3,3,9811,2025-05-29
"Net1",1.64658937139108,4.65236026825698,11.5520204722038,0.00500805190109946,0.999073719159265,"Not Significant","Large","Not Significant","DC","With_vs_Naive","Withdrawal","Naive",6,3,3,9811,2025-05-29
"Ch25h",-1.95047623072996,4.4690474716597,11.3291949138822,0.00526175068766357,0.999073719159265,"Not Significant","Large","Not Significant","DC","With_vs_Naive","Withdrawal","Naive",6,3,3,9811,2025-05-29
"Zfand2b",-1.08804102329559,4.69128916170544,11.2917707703005,0.00537378572780027,0.999073719159265,"Not Significant","Large","Not Significant","DC","With_vs_Naive","Withdrawal","Naive",6,3,3,9811,2025-05-29
"Top2a",-1.8664457666082,4.13947227514248,11.0814100835767,0.00557818933382484,0.999073719159265,"Not Significant","Large","Not Significant","DC","With_vs_Naive","Withdrawal","Naive",6,3,3,9811,2025-05-29
"Macrod2",1.9353906010474,3.89490222752005,11.1250593026432,0.00558305780622519,0.999073719159265,"Not Significant","Large","Not Significant","DC","With_vs_Naive","Withdrawal","Naive",6,3,3,9811,2025-05-29
"Fcer2a",-2.27639331695785,3.90588515287916,10.776649252988,0.00582725843511608,0.999073719159265,"Not Significant","Large","Not Significant","DC","With_vs_Naive","Withdrawal","Naive",6,3,3,9811,2025-05-29
"Heg1",1.53222286777579,4.51818617828297,10.9998632453663,0.00585208262515932,0.999073719159265,"Not Significant","Large","Not Significant","DC","With_vs_Naive","Withdrawal","Naive",6,3,3,9811,2025-05-29
"Specc1",0.826825671589448,5.8767668159363,10.9060983653966,0.00597212768674,0.999073719159265,"Not Significant","Medium","Not Significant","DC","With_vs_Naive","Withdrawal","Naive",6,3,3,9811,2025-05-29
"Mapkap1",0.835409557949187,5.69892431245642,10.8893666807675,0.00600165219473922,0.999073719159265,"Not Significant","Medium","Not Significant","DC","With_vs_Naive","Withdrawal","Naive",6,3,3,9811,2025-05-29
