"gene","log2FoldChange","baseMean","stat","pvalue","padj","significance","effect_size","regulation","cell_type","comparison","group1","group2","total_samples","group1_samples","group2_samples","genes_tested","analysis_date"
"Rsrp1",0.717574908857495,8.40076820119409,51.6205854242207,4.6878072750434e-05,0.320545082268629,"Not Significant","Medium","Not Significant","EC","Dep_vs_Naive","Dependent","Naive",6,3,3,14828,2025-05-29
"Emp2",-0.641221371251791,6.65547107204398,49.8348976247906,5.3862320231162e-05,0.320545082268629,"Not Significant","Medium","Not Significant","EC","Dep_vs_Naive","Dependent","Naive",6,3,3,14828,2025-05-29
"Axin2",0.69913553131341,7.09209545699017,47.5304546976175,6.48526602917376e-05,0.320545082268629,"Not Significant","Medium","Not Significant","EC","Dep_vs_Naive","Dependent","Naive",6,3,3,14828,2025-05-29
"Ankrd37",0.913673241031913,5.6948317349583,32.4680665789378,0.000275013839072225,0.827093312466711,"Not Significant","Medium","Not Significant","EC","Dep_vs_Naive","Dependent","Naive",6,3,3,14828,2025-05-29
"Slc7a1",0.626323503341258,9.28661774760221,32.0338457424222,0.000288888071290049,0.827093312466711,"Not Significant","Medium","Not Significant","EC","Dep_vs_Naive","Dependent","Naive",6,3,3,14828,2025-05-29
"Tfrc",0.664554171330316,9.32287390216004,30.764325145699,0.000334674930860552,0.827093312466711,"Not Significant","Medium","Not Significant","EC","Dep_vs_Naive","Dependent","Naive",6,3,3,14828,2025-05-29
"Hist1h1c",-0.848257184258595,5.82397603812674,28.0078837250273,0.000468702408470479,0.965975098076426,"Not Significant","Medium","Not Significant","EC","Dep_vs_Naive","Dependent","Naive",6,3,3,14828,2025-05-29
"Hlf",0.554209568842793,5.73436322596205,25.3550211839371,0.000664760722110015,0.965975098076426,"Not Significant","Medium","Not Significant","EC","Dep_vs_Naive","Dependent","Naive",6,3,3,14828,2025-05-29
"Mall",-0.766381951516497,4.20325863222722,24.364357157811,0.000762984827835579,0.965975098076426,"Not Significant","Medium","Not Significant","EC","Dep_vs_Naive","Dependent","Naive",6,3,3,14828,2025-05-29
"Tcf7l2",0.462355805526944,5.80512675390077,23.261001608884,0.000893891377410188,0.965975098076426,"Not Significant","Small","Not Significant","EC","Dep_vs_Naive","Dependent","Naive",6,3,3,14828,2025-05-29
"Nampt",0.414093647827423,7.83723533262607,23.196527925158,0.000902352550805197,0.965975098076426,"Not Significant","Small","Not Significant","EC","Dep_vs_Naive","Dependent","Naive",6,3,3,14828,2025-05-29
"Bcl6b",0.482417644439812,5.4690393572228,22.9790569526191,0.000931675352268046,0.965975098076426,"Not Significant","Small","Not Significant","EC","Dep_vs_Naive","Dependent","Naive",6,3,3,14828,2025-05-29
