"gene","log2FoldChange","baseMean","stat","pvalue","padj","significance","effect_size","regulation","cell_type","comparison","group1","group2","total_samples","group1_samples","group2_samples","genes_tested","analysis_date"
"Ankrd37",-1.15836587122336,5.64790144689611,46.5340345379042,7.92782103476586e-05,0.595240965893903,"Not Significant","Large","Not Significant","EC","With_vs_Dep","Withdrawal","Dependent",6,3,3,14627,2025-05-29
"Rsrp1",-0.634978818162323,8.44601098723827,40.8676360295131,0.000129507477726235,0.595240965893903,"Not Significant","Medium","Not Significant","EC","With_vs_Dep","Withdrawal","Dependent",6,3,3,14627,2025-05-29
"Ahsa2",-0.691505767854617,6.03010394690107,38.1223452808593,0.000167756275952445,0.595240965893903,"Not Significant","Medium","Not Significant","EC","With_vs_Dep","Withdrawal","Dependent",6,3,3,14627,2025-05-29
"Hmgcs2",-0.622891078872698,7.65017824214819,37.370344404205,0.000180559194311283,0.595240965893903,"Not Significant","Medium","Not Significant","EC","With_vs_Dep","Withdrawal","Dependent",6,3,3,14627,2025-05-29
"Cacybp",-0.577195524477362,7.09036043136041,34.7242120741243,0.000236290644555059,0.595240965893903,"Not Significant","Medium","Not Significant","EC","With_vs_Dep","Withdrawal","Dependent",6,3,3,14627,2025-05-29
"Hspa8",-0.576477128758041,10.9224639507117,34.4123841798114,0.00024416803140517,0.595240965893903,"Not Significant","Medium","Not Significant","EC","With_vs_Dep","Withdrawal","Dependent",6,3,3,14627,2025-05-29
"Dynll1",-0.59818636095244,9.61248328515688,32.5843347433401,0.00029741739120985,0.621474883032354,"Not Significant","Medium","Not Significant","EC","With_vs_Dep","Withdrawal","Dependent",6,3,3,14627,2025-05-29
"Mt2",-0.508442891155318,7.33289430778888,30.6347228314099,0.000370790109080182,0.674181798116981,"Not Significant","Medium","Not Significant","EC","With_vs_Dep","Withdrawal","Dependent",6,3,3,14627,2025-05-29
"Mt1",-0.589158219009754,9.36266078478549,29.6789555389934,0.000414824378413402,0.674181798116981,"Not Significant","Medium","Not Significant","EC","With_vs_Dep","Withdrawal","Dependent",6,3,3,14627,2025-05-29
"Ccdc117",-0.551550659798165,5.09524871582978,28.6063275209739,0.000472174658543908,0.690649873052175,"Not Significant","Medium","Not Significant","EC","With_vs_Dep","Withdrawal","Dependent",6,3,3,14627,2025-05-29
