"gene","log2FoldChange","baseMean","stat","pvalue","padj","significance","effect_size","regulation","cell_type","comparison","group1","group2","total_samples","group1_samples","group2_samples","genes_tested","analysis_date"
"Hist1h2bc",-0.637183649480541,7.15612563324594,39.0980800476253,8.15582049625374e-05,0.969062630215497,"Not Significant","Medium","Not Significant","EC","With_vs_Naive","Withdrawal","Naive",6,3,3,14606,2025-05-29
"Hlf",0.6422988675211,5.79836354813047,32.6404096658537,0.000171037720200995,0.969062630215497,"Not Significant","Medium","Not Significant","EC","With_vs_Naive","Withdrawal","Naive",6,3,3,14606,2025-05-29
"Nr1d2",0.576998053142559,5.74708493466044,31.227884939157,0.000204203626955429,0.969062630215497,"Not Significant","Medium","Not Significant","EC","With_vs_Naive","Withdrawal","Naive",6,3,3,14606,2025-05-29
"Mt1",-0.587176511476323,9.37160423116808,28.5862793606425,0.000289424437998373,0.969062630215497,"Not Significant","Medium","Not Significant","EC","With_vs_Naive","Withdrawal","Naive",6,3,3,14606,2025-05-29
"Ly75",0.504532602322756,6.05176230354544,25.3945217367081,0.000456516278116001,0.969062630215497,"Not Significant","Medium","Not Significant","EC","With_vs_Naive","Withdrawal","Naive",6,3,3,14606,2025-05-29
"Mt2",-0.575908310903736,7.38323184269113,24.7373382051116,0.000504058760647309,0.969062630215497,"Not Significant","Medium","Not Significant","EC","With_vs_Naive","Withdrawal","Naive",6,3,3,14606,2025-05-29
"Tef",0.617219248145469,5.34825830863573,24.372619068415,0.000533018407805405,0.969062630215497,"Not Significant","Medium","Not Significant","EC","With_vs_Naive","Withdrawal","Naive",6,3,3,14606,2025-05-29
"Dcn",1.20532595675668,3.48053234559376,24.2365753438677,0.000544445985895667,0.969062630215497,"Not Significant","Large","Not Significant","EC","With_vs_Naive","Withdrawal","Naive",6,3,3,14606,2025-05-29
"Hmgcs2",-0.455743382825643,7.5610924679781,22.939633750722,0.000667765046378563,0.969062630215497,"Not Significant","Small","Not Significant","EC","With_vs_Naive","Withdrawal","Naive",6,3,3,14606,2025-05-29
"Mmp15",-0.536926306728167,5.43411634192359,20.9315504770924,0.000932212805680548,0.969062630215497,"Not Significant","Medium","Not Significant","EC","With_vs_Naive","Withdrawal","Naive",6,3,3,14606,2025-05-29
"Mall",-0.730904357003245,4.2571994153605,20.3955442711186,0.00102302140660408,0.969062630215497,"Not Significant","Medium","Not Significant","EC","With_vs_Naive","Withdrawal","Naive",6,3,3,14606,2025-05-29
"Adcy7",-2.01262878202773,0.526940160615589,18.3550388801013,0.00125156184684867,0.969062630215497,"Not Significant","Large","Not Significant","EC","With_vs_Naive","Withdrawal","Naive",6,3,3,14606,2025-05-29
"Emp2",-0.418762519784912,6.76780825906168,19.2169271779861,0.00126232492551311,0.969062630215497,"Not Significant","Small","Not Significant","EC","With_vs_Naive","Withdrawal","Naive",6,3,3,14606,2025-05-29
"Calr",-0.446178442835944,8.74860446492504,18.5029296309451,0.00144011167346633,0.969062630215497,"Not Significant","Small","Not Significant","EC","With_vs_Naive","Withdrawal","Naive",6,3,3,14606,2025-05-29
"Pdia6",-0.431254853143894,7.4032991343745,17.1132686718473,0.00188024164108193,0.969062630215497,"Not Significant","Small","Not Significant","EC","With_vs_Naive","Withdrawal","Naive",6,3,3,14606,2025-05-29
"Spp1",0.812840862302696,4.37360288537289,16.4244843956005,0.00215765393943122,0.969062630215497,"Not Significant","Medium","Not Significant","EC","With_vs_Naive","Withdrawal","Naive",6,3,3,14606,2025-05-29
"Tcim",-0.478872010650219,4.77860222719644,16.1697359259117,0.00227242425571606,0.969062630215497,"Not Significant","Small","Not Significant","EC","With_vs_Naive","Withdrawal","Naive",6,3,3,14606,2025-05-29
"Nxph3",2.21657539987553,-0.230261489125502,15.2479383990753,0.00231666547844292,0.969062630215497,"Not Significant","Large","Not Significant","EC","With_vs_Naive","Withdrawal","Naive",6,3,3,14606,2025-05-29
"Hspb1",-0.615886010243672,10.5454348797198,15.8563208493273,0.00242372012884681,0.969062630215497,"Not Significant","Medium","Not Significant","EC","With_vs_Naive","Withdrawal","Naive",6,3,3,14606,2025-05-29
"Gpr161",0.956626381385911,2.28637270752075,15.4325481980219,0.00265020812991413,0.969062630215497,"Not Significant","Medium","Not Significant","EC","With_vs_Naive","Withdrawal","Naive",6,3,3,14606,2025-05-29
"Ret",-0.730731907529665,4.05302085803424,15.4258006545455,0.00265223972998393,0.969062630215497,"Not Significant","Medium","Not Significant","EC","With_vs_Naive","Withdrawal","Naive",6,3,3,14606,2025-05-29
"Pcnx4",0.63144791906771,3.39227827613718,14.9721683570495,0.00292127932396714,0.969062630215497,"Not Significant","Medium","Not Significant","EC","With_vs_Naive","Withdrawal","Naive",6,3,3,14606,2025-05-29
"Prr12",0.436822744485331,4.67714576057035,13.8299392511767,0.00375679821971645,0.969062630215497,"Not Significant","Small","Not Significant","EC","With_vs_Naive","Withdrawal","Naive",6,3,3,14606,2025-05-29
"Scube2",0.760305717996251,4.00779110165649,13.6477100224393,0.00391550359392598,0.969062630215497,"Not Significant","Medium","Not Significant","EC","With_vs_Naive","Withdrawal","Naive",6,3,3,14606,2025-05-29
"Sort1",0.387119738080384,6.10780127202762,13.5158167345482,0.00403501121003078,0.969062630215497,"Not Significant","Small","Not Significant","EC","With_vs_Naive","Withdrawal","Naive",6,3,3,14606,2025-05-29
"Egr4",-1.81053429422372,0.968135476088069,13.1382286022289,0.00431425492311706,0.969062630215497,"Not Significant","Large","Not Significant","EC","With_vs_Naive","Withdrawal","Naive",6,3,3,14606,2025-05-29
"Vwa1",-0.403849189700253,9.62757864040335,13.2106394734473,0.00432941184779818,0.969062630215497,"Not Significant","Small","Not Significant","EC","With_vs_Naive","Withdrawal","Naive",6,3,3,14606,2025-05-29
"Wdr60",0.54768231485397,3.66575427281702,12.9514867386294,0.00460034086753643,0.969062630215497,"Not Significant","Medium","Not Significant","EC","With_vs_Naive","Withdrawal","Naive",6,3,3,14606,2025-05-29
"Ccnd1",-0.473337047524175,6.33746468106261,12.7898409610795,0.00477883938233842,0.969062630215497,"Not Significant","Small","Not Significant","EC","With_vs_Naive","Withdrawal","Naive",6,3,3,14606,2025-05-29
"Dok7",-1.87377128691388,0.747737733238705,12.3125165119575,0.00509722086403238,0.969062630215497,"Not Significant","Large","Not Significant","EC","With_vs_Naive","Withdrawal","Naive",6,3,3,14606,2025-05-29
"4930594M22Rik",0.556413677668477,3.57309279239743,12.5091719853152,0.00511040448699411,0.969062630215497,"Not Significant","Medium","Not Significant","EC","With_vs_Naive","Withdrawal","Naive",6,3,3,14606,2025-05-29
"Car12",1.1920590867604,1.6013424322842,12.1180625779428,0.0056300815535995,0.969062630215497,"Not Significant","Large","Not Significant","EC","With_vs_Naive","Withdrawal","Naive",6,3,3,14606,2025-05-29
"Ric1",0.407140718002401,4.97723090917814,12.0685639274103,0.00568692044175929,0.969062630215497,"Not Significant","Small","Not Significant","EC","With_vs_Naive","Withdrawal","Naive",6,3,3,14606,2025-05-29
"Gm42716",0.637587240175486,3.35024575700771,11.9925515308852,0.0057948615263205,0.969062630215497,"Not Significant","Medium","Not Significant","EC","With_vs_Naive","Withdrawal","Naive",6,3,3,14606,2025-05-29
"Plaur",-0.584222639143254,4.07871773125658,11.9871833267485,0.0058022039795093,0.969062630215497,"Not Significant","Medium","Not Significant","EC","With_vs_Naive","Withdrawal","Naive",6,3,3,14606,2025-05-29
"Col4a6",2.5054044393334,-0.278296491895309,11.2291990472961,0.00581082243561358,0.969062630215497,"Not Significant","Large","Not Significant","EC","With_vs_Naive","Withdrawal","Naive",6,3,3,14606,2025-05-29
"2010001A14Rik",-1.12089768160087,1.90463117831951,11.6809460453509,0.00628613704395216,0.969062630215497,"Not Significant","Large","Not Significant","EC","With_vs_Naive","Withdrawal","Naive",6,3,3,14606,2025-05-29
"Manf",-0.370745969202538,6.83338612424792,11.607603846223,0.00637617527926229,0.969062630215497,"Not Significant","Small","Not Significant","EC","With_vs_Naive","Withdrawal","Naive",6,3,3,14606,2025-05-29
"Cdh12",1.60156687981436,0.310357570625572,11.6136231760846,0.00642303229995657,0.969062630215497,"Not Significant","Large","Not Significant","EC","With_vs_Naive","Withdrawal","Naive",6,3,3,14606,2025-05-29
"Lifr",0.41663281432928,6.56199394425252,11.4817514017637,0.00658155819044407,0.969062630215497,"Not Significant","Small","Not Significant","EC","With_vs_Naive","Withdrawal","Naive",6,3,3,14606,2025-05-29
"Rara",-0.458170095850788,4.55336303560273,11.4482346827769,0.00663788021733699,0.969062630215497,"Not Significant","Small","Not Significant","EC","With_vs_Naive","Withdrawal","Naive",6,3,3,14606,2025-05-29
"Ascl2",-1.87534833971871,0.0251253964194716,10.6888763726397,0.00664753713062458,0.969062630215497,"Not Significant","Large","Not Significant","EC","With_vs_Naive","Withdrawal","Naive",6,3,3,14606,2025-05-29
"Ccser1",0.811571350332034,2.19555780311418,11.3349672898508,0.00683546922881863,0.969062630215497,"Not Significant","Medium","Not Significant","EC","With_vs_Naive","Withdrawal","Naive",6,3,3,14606,2025-05-29
"Ankzf1",0.538995317125912,3.85885411738064,11.3210378825422,0.00685599682600427,0.969062630215497,"Not Significant","Medium","Not Significant","EC","With_vs_Naive","Withdrawal","Naive",6,3,3,14606,2025-05-29
"Pde1a",0.499261823623694,4.07830294678313,11.277974525,0.00693161826144845,0.969062630215497,"Not Significant","Small","Not Significant","EC","With_vs_Naive","Withdrawal","Naive",6,3,3,14606,2025-05-29
"Focad",0.533427829035985,3.73002645385689,11.1302227350349,0.0071993490456181,0.969062630215497,"Not Significant","Medium","Not Significant","EC","With_vs_Naive","Withdrawal","Naive",6,3,3,14606,2025-05-29
"Gpc4",0.982696220977611,1.84138635274421,11.0945220128669,0.00727327051749559,0.969062630215497,"Not Significant","Medium","Not Significant","EC","With_vs_Naive","Withdrawal","Naive",6,3,3,14606,2025-05-29
"Ccng2",0.399698133309915,4.90205578318905,11.0741112969439,0.00730378872468201,0.969062630215497,"Not Significant","Small","Not Significant","EC","With_vs_Naive","Withdrawal","Naive",6,3,3,14606,2025-05-29
"Fam160a1",1.65396401849234,0.337416562699076,11.096213611765,0.0073208898572157,0.969062630215497,"Not Significant","Large","Not Significant","EC","With_vs_Naive","Withdrawal","Naive",6,3,3,14606,2025-05-29
"Angptl4",-0.434801805731468,5.00138411811666,11.0228214700884,0.00740121586731483,0.969062630215497,"Not Significant","Small","Not Significant","EC","With_vs_Naive","Withdrawal","Naive",6,3,3,14606,2025-05-29
"Cep112",0.453509440718441,4.30329639347049,11.0077802198729,0.00743023595935623,0.969062630215497,"Not Significant","Small","Not Significant","EC","With_vs_Naive","Withdrawal","Naive",6,3,3,14606,2025-05-29
"Islr2",0.760014853006698,3.29327030505503,10.9231550755935,0.00759593550920124,0.969062630215497,"Not Significant","Medium","Not Significant","EC","With_vs_Naive","Withdrawal","Naive",6,3,3,14606,2025-05-29
"Arhgap21",0.385418600610145,5.4223014016898,10.868377118043,0.00770412566099653,0.969062630215497,"Not Significant","Small","Not Significant","EC","With_vs_Naive","Withdrawal","Naive",6,3,3,14606,2025-05-29
"Dbp",1.06530875759611,4.81808509225597,11.9727219897936,0.00786707110515714,0.969062630215497,"Not Significant","Large","Not Significant","EC","With_vs_Naive","Withdrawal","Naive",6,3,3,14606,2025-05-29
"Asb4",-0.469773307921536,4.78735370830104,10.7674906027583,0.00791028729975173,0.969062630215497,"Not Significant","Small","Not Significant","EC","With_vs_Naive","Withdrawal","Naive",6,3,3,14606,2025-05-29
"Bak1",-0.471994745925229,4.44682268597641,10.6767265892941,0.00810139473698485,0.969062630215497,"Not Significant","Small","Not Significant","EC","With_vs_Naive","Withdrawal","Naive",6,3,3,14606,2025-05-29
"Hspbp1",-0.552518654291098,3.51039160392875,10.5036833278628,0.00848196845419158,0.969062630215497,"Not Significant","Medium","Not Significant","EC","With_vs_Naive","Withdrawal","Naive",6,3,3,14606,2025-05-29
"Edn1",0.483620262234187,7.89323171994261,10.4729360039925,0.00855043381191997,0.969062630215497,"Not Significant","Small","Not Significant","EC","With_vs_Naive","Withdrawal","Naive",6,3,3,14606,2025-05-29
"Serpinh1",-0.428442986890677,7.93233454683518,10.3328473174591,0.00887681235461913,0.969062630215497,"Not Significant","Small","Not Significant","EC","With_vs_Naive","Withdrawal","Naive",6,3,3,14606,2025-05-29
"Sdf2l1",-0.833644044593581,3.57792877760621,10.2919469946469,0.00897631577388776,0.969062630215497,"Not Significant","Medium","Not Significant","EC","With_vs_Naive","Withdrawal","Naive",6,3,3,14606,2025-05-29
"Bok",-0.38870740295713,7.03391037680906,10.2475407029595,0.00908290709631456,0.969062630215497,"Not Significant","Small","Not Significant","EC","With_vs_Naive","Withdrawal","Naive",6,3,3,14606,2025-05-29
"Fendrr",0.594046481930837,3.72956815060909,10.2153354442932,0.00916289732258412,0.969062630215497,"Not Significant","Medium","Not Significant","EC","With_vs_Naive","Withdrawal","Naive",6,3,3,14606,2025-05-29
"Hsp90b1",-0.426111272551134,9.38905828270104,10.206848769489,0.00918323381323775,0.969062630215497,"Not Significant","Small","Not Significant","EC","With_vs_Naive","Withdrawal","Naive",6,3,3,14606,2025-05-29
"Npr3",1.12764599571382,1.40688951522429,10.1451616925246,0.00936143126062569,0.969062630215497,"Not Significant","Large","Not Significant","EC","With_vs_Naive","Withdrawal","Naive",6,3,3,14606,2025-05-29
"Crym",0.900237133219824,3.50254898724827,10.1031703352119,0.00944589214144771,0.969062630215497,"Not Significant","Medium","Not Significant","EC","With_vs_Naive","Withdrawal","Naive",6,3,3,14606,2025-05-29
"Gal3st1",-1.54012549673662,1.41233303861441,10.0894950114654,0.00954158878525568,0.969062630215497,"Not Significant","Large","Not Significant","EC","With_vs_Naive","Withdrawal","Naive",6,3,3,14606,2025-05-29
"Gm29488",0.551454498419502,4.1746879946892,10.0633198080264,0.00954838306556429,0.969062630215497,"Not Significant","Medium","Not Significant","EC","With_vs_Naive","Withdrawal","Naive",6,3,3,14606,2025-05-29
"Hspe1",-0.46361647816923,6.98586653113627,9.95325441573248,0.00983945468556877,0.969062630215497,"Not Significant","Small","Not Significant","EC","With_vs_Naive","Withdrawal","Naive",6,3,3,14606,2025-05-29
"Csf3r",-1.32554974377266,1.81114355532939,9.95783531607803,0.00987606846861456,0.969062630215497,"Not Significant","Large","Not Significant","EC","With_vs_Naive","Withdrawal","Naive",6,3,3,14606,2025-05-29
"Ccr9",1.31826745870939,1.00964536296262,9.82384558427836,0.0102597889669757,0.969062630215497,"Not Significant","Large","Not Significant","EC","With_vs_Naive","Withdrawal","Naive",6,3,3,14606,2025-05-29
"Tln2",0.373647218307874,5.12123928766185,9.77247310460572,0.0103420738142961,0.969062630215497,"Not Significant","Small","Not Significant","EC","With_vs_Naive","Withdrawal","Naive",6,3,3,14606,2025-05-29
"Ovgp1",1.6213001821562,0.492514000245254,9.80709814366861,0.0103482159702104,0.969062630215497,"Not Significant","Large","Not Significant","EC","With_vs_Naive","Withdrawal","Naive",6,3,3,14606,2025-05-29
"Myof",0.514732394484948,4.51980091851321,9.76095746573067,0.0103752161167591,0.969062630215497,"Not Significant","Medium","Not Significant","EC","With_vs_Naive","Withdrawal","Naive",6,3,3,14606,2025-05-29
"Gm46123",1.5459109634791,0.450075933353118,9.74347146280619,0.0105358937670487,0.969062630215497,"Not Significant","Large","Not Significant","EC","With_vs_Naive","Withdrawal","Naive",6,3,3,14606,2025-05-29
"Rhoc",-0.368606687398705,7.77890552342644,9.68835070082554,0.0105861462083441,0.969062630215497,"Not Significant","Small","Not Significant","EC","With_vs_Naive","Withdrawal","Naive",6,3,3,14606,2025-05-29
"Trmo",-0.960315849047537,1.74365605176617,9.69592648561466,0.0106031195966881,0.969062630215497,"Not Significant","Medium","Not Significant","EC","With_vs_Naive","Withdrawal","Naive",6,3,3,14606,2025-05-29
"Nop10",-0.30858519775722,6.559903636921,9.68148959973476,0.0106063838784762,0.969062630215497,"Not Significant","Small","Not Significant","EC","With_vs_Naive","Withdrawal","Naive",6,3,3,14606,2025-05-29
"Pycard",-0.459570530952081,4.10576050372711,9.62868435198396,0.0107642782111685,0.969062630215497,"Not Significant","Small","Not Significant","EC","With_vs_Naive","Withdrawal","Naive",6,3,3,14606,2025-05-29
"Arap2",0.308497552338364,7.70609110640571,9.6279762969996,0.0107657560516481,0.969062630215497,"Not Significant","Small","Not Significant","EC","With_vs_Naive","Withdrawal","Naive",6,3,3,14606,2025-05-29
"Stk36",-1.73141601644711,0.159454648005797,9.21441153351582,0.0108096008211604,0.969062630215497,"Not Significant","Large","Not Significant","EC","With_vs_Naive","Withdrawal","Naive",6,3,3,14606,2025-05-29
"Iqgap2",1.00133347261309,1.92817483651727,9.61174946864503,0.0108234855459744,0.969062630215497,"Not Significant","Large","Not Significant","EC","With_vs_Naive","Withdrawal","Naive",6,3,3,14606,2025-05-29
"Uchl3",-0.416311554346394,4.91385137102662,9.60480657801461,0.0108359312373715,0.969062630215497,"Not Significant","Small","Not Significant","EC","With_vs_Naive","Withdrawal","Naive",6,3,3,14606,2025-05-29
"St8sia4",0.332349115021236,7.87344638209245,9.58211932671061,0.0109046319965315,0.969062630215497,"Not Significant","Small","Not Significant","EC","With_vs_Naive","Withdrawal","Naive",6,3,3,14606,2025-05-29
"Hist1h1c",-0.480445398141086,5.99153750251173,9.57922533242187,0.0109135428602964,0.969062630215497,"Not Significant","Small","Not Significant","EC","With_vs_Naive","Withdrawal","Naive",6,3,3,14606,2025-05-29
"Mmaa",-0.523408117329323,3.82703466491831,9.52053457190414,0.0110954876777812,0.969062630215497,"Not Significant","Medium","Not Significant","EC","With_vs_Naive","Withdrawal","Naive",6,3,3,14606,2025-05-29
"Rpia",-0.40990427713063,4.11684239607848,9.47885821217445,0.0112259590859814,0.969062630215497,"Not Significant","Small","Not Significant","EC","With_vs_Naive","Withdrawal","Naive",6,3,3,14606,2025-05-29
"Timm10",-0.513394895809494,4.25869038388633,9.42705827019075,0.0113910579449607,0.969062630215497,"Not Significant","Medium","Not Significant","EC","With_vs_Naive","Withdrawal","Naive",6,3,3,14606,2025-05-29
"C1ra",1.21472441297252,1.00863879145934,9.42736051388539,0.0114543325504519,0.969062630215497,"Not Significant","Large","Not Significant","EC","With_vs_Naive","Withdrawal","Naive",6,3,3,14606,2025-05-29
"Gm41442",1.46374040494396,0.148167745657371,9.41430475425265,0.0114780434666753,0.969062630215497,"Not Significant","Large","Not Significant","EC","With_vs_Naive","Withdrawal","Naive",6,3,3,14606,2025-05-29
"Slc24a4",1.43279603368526,0.312351525182311,9.35699941018621,0.0117314449377105,0.969062630215497,"Not Significant","Large","Not Significant","EC","With_vs_Naive","Withdrawal","Naive",6,3,3,14606,2025-05-29
"Rspo3",0.924952316685415,1.6531651282257,9.30875524284199,0.011793495458588,0.969062630215497,"Not Significant","Medium","Not Significant","EC","With_vs_Naive","Withdrawal","Naive",6,3,3,14606,2025-05-29
"Tfrc",0.534095725595095,9.26213275699377,9.2643420417701,0.0119286216852947,0.969062630215497,"Not Significant","Medium","Not Significant","EC","With_vs_Naive","Withdrawal","Naive",6,3,3,14606,2025-05-29
"Cox10",0.552000184386629,3.66140082562312,9.1850528585472,0.0122028129223007,0.969062630215497,"Not Significant","Medium","Not Significant","EC","With_vs_Naive","Withdrawal","Naive",6,3,3,14606,2025-05-29
"Plod1",-0.308627898838631,6.30312672660804,9.13366954012435,0.0123831172239072,0.969062630215497,"Not Significant","Small","Not Significant","EC","With_vs_Naive","Withdrawal","Naive",6,3,3,14606,2025-05-29
"Dimt1",-0.400127688588522,4.50987478959817,9.13128341249455,0.0123920011018023,0.969062630215497,"Not Significant","Small","Not Significant","EC","With_vs_Naive","Withdrawal","Naive",6,3,3,14606,2025-05-29
"Pthlh",-1.3209463434299,1.70665132138297,9.11371043134614,0.0125176218559161,0.969062630215497,"Not Significant","Large","Not Significant","EC","With_vs_Naive","Withdrawal","Naive",6,3,3,14606,2025-05-29
"Zfp687",0.504808267475751,3.4227985558267,9.0936357670782,0.0125276445706146,0.969062630215497,"Not Significant","Medium","Not Significant","EC","With_vs_Naive","Withdrawal","Naive",6,3,3,14606,2025-05-29
"2900040C04Rik",1.18662189722338,1.35528587983344,9.05845376514822,0.0126861291590132,0.969062630215497,"Not Significant","Large","Not Significant","EC","With_vs_Naive","Withdrawal","Naive",6,3,3,14606,2025-05-29
"Ost4",-0.390629206626219,7.28892769344869,9.04724909634649,0.0126951081882867,0.969062630215497,"Not Significant","Small","Not Significant","EC","With_vs_Naive","Withdrawal","Naive",6,3,3,14606,2025-05-29
"Per2",1.05241799636875,2.56913035975106,9.01158679776753,0.0128304071234652,0.969062630215497,"Not Significant","Large","Not Significant","EC","With_vs_Naive","Withdrawal","Naive",6,3,3,14606,2025-05-29
"Ntng1",0.703715808887117,3.54982099276174,8.97457935822995,0.0129658887187427,0.969062630215497,"Not Significant","Medium","Not Significant","EC","With_vs_Naive","Withdrawal","Naive",6,3,3,14606,2025-05-29
"Ciart",0.50369168200854,3.37961638026541,8.97079419760605,0.01298035215612,0.969062630215497,"Not Significant","Medium","Not Significant","EC","With_vs_Naive","Withdrawal","Naive",6,3,3,14606,2025-05-29
"Cp",0.293750784797478,7.17350222220751,8.9564856140008,0.0130330763584805,0.969062630215497,"Not Significant","Small","Not Significant","EC","With_vs_Naive","Withdrawal","Naive",6,3,3,14606,2025-05-29
"Tenm2",0.62763236279059,3.72379602507624,8.91504285767479,0.0131918553050604,0.969062630215497,"Not Significant","Medium","Not Significant","EC","With_vs_Naive","Withdrawal","Naive",6,3,3,14606,2025-05-29
"Odc1",-0.32778389416271,5.22409609811084,8.90901501544338,0.0132143510956707,0.969062630215497,"Not Significant","Small","Not Significant","EC","With_vs_Naive","Withdrawal","Naive",6,3,3,14606,2025-05-29
"Tecrl",0.550187677046521,3.80603775628281,8.90893485176852,0.0132152379754987,0.969062630215497,"Not Significant","Medium","Not Significant","EC","With_vs_Naive","Withdrawal","Naive",6,3,3,14606,2025-05-29
"Inpp5f",0.333691217576962,6.41907248438014,8.90493599845173,0.0132298629530321,0.969062630215497,"Not Significant","Small","Not Significant","EC","With_vs_Naive","Withdrawal","Naive",6,3,3,14606,2025-05-29
"Nkx2-2",-1.51935701650422,1.16539945148748,8.89334525349059,0.0133114080302708,0.969062630215497,"Not Significant","Large","Not Significant","EC","With_vs_Naive","Withdrawal","Naive",6,3,3,14606,2025-05-29
"Nme1",-0.388231060417833,6.412398034324,8.88090007651355,0.0133228686927699,0.969062630215497,"Not Significant","Small","Not Significant","EC","With_vs_Naive","Withdrawal","Naive",6,3,3,14606,2025-05-29
"Sirt6",0.620006991036398,2.52231681889326,8.86279098568038,0.0133973182694186,0.969062630215497,"Not Significant","Medium","Not Significant","EC","With_vs_Naive","Withdrawal","Naive",6,3,3,14606,2025-05-29
"Rp1",0.800487304690621,2.25839335157647,8.83915082927069,0.0134919530807341,0.969062630215497,"Not Significant","Medium","Not Significant","EC","With_vs_Naive","Withdrawal","Naive",6,3,3,14606,2025-05-29
"Col8a1",0.964560034885546,1.6237648633079,8.83264727969983,0.0135289633572796,0.969062630215497,"Not Significant","Medium","Not Significant","EC","With_vs_Naive","Withdrawal","Naive",6,3,3,14606,2025-05-29
"Slc8a1",0.497784977152553,4.70896129916931,8.82429983079946,0.0135452114841415,0.969062630215497,"Not Significant","Small","Not Significant","EC","With_vs_Naive","Withdrawal","Naive",6,3,3,14606,2025-05-29
"Map3k20",0.279776839710754,7.01177962257814,8.82302738061937,0.0135499413660732,0.969062630215497,"Not Significant","Small","Not Significant","EC","With_vs_Naive","Withdrawal","Naive",6,3,3,14606,2025-05-29
"Ccdc57",1.35667132571784,1.03341125955175,8.74702022883671,0.0139293112095064,0.969062630215497,"Not Significant","Large","Not Significant","EC","With_vs_Naive","Withdrawal","Naive",6,3,3,14606,2025-05-29
"Zic2",0.387201885035846,7.04598332966014,8.71143466718403,0.0140011852575477,0.969062630215497,"Not Significant","Small","Not Significant","EC","With_vs_Naive","Withdrawal","Naive",6,3,3,14606,2025-05-29
"Aldh1a1",0.487253100709969,3.64366095218108,8.69637017513302,0.0140644649972398,0.969062630215497,"Not Significant","Small","Not Significant","EC","With_vs_Naive","Withdrawal","Naive",6,3,3,14606,2025-05-29
"Wdr91",0.498140514810387,3.68299495861909,8.63825921958895,0.0143078723762564,0.969062630215497,"Not Significant","Small","Not Significant","EC","With_vs_Naive","Withdrawal","Naive",6,3,3,14606,2025-05-29
"Diaph2",0.412283210876954,5.66010194498021,8.59845823075927,0.0144767263040288,0.969062630215497,"Not Significant","Small","Not Significant","EC","With_vs_Naive","Withdrawal","Naive",6,3,3,14606,2025-05-29
"Kcp",0.563173506718713,4.227688024941,8.58769529681732,0.0145234233843831,0.969062630215497,"Not Significant","Medium","Not Significant","EC","With_vs_Naive","Withdrawal","Naive",6,3,3,14606,2025-05-29
"Slc39a10",0.296964030092472,9.53136958869536,8.52862888367839,0.0147802017130876,0.969062630215497,"Not Significant","Small","Not Significant","EC","With_vs_Naive","Withdrawal","Naive",6,3,3,14606,2025-05-29
"Fzd3",0.380910524708856,4.54874815425741,8.51117354006469,0.0148576910812744,0.969062630215497,"Not Significant","Small","Not Significant","EC","With_vs_Naive","Withdrawal","Naive",6,3,3,14606,2025-05-29
"Runx2",1.40695739889748,0.724791975091381,8.49857826877609,0.0150398707889791,0.969062630215497,"Not Significant","Large","Not Significant","EC","With_vs_Naive","Withdrawal","Naive",6,3,3,14606,2025-05-29
