"gene","log2FoldChange","baseMean","stat","pvalue","padj","significance","effect_size","regulation","cell_type","comparison","group1","group2","total_samples","group1_samples","group2_samples","genes_tested","analysis_date"
"Mgl2",-1.91886698569997,0.756785272033925,23.3201402998684,0.00145249990268348,0.999913472463944,"Not Significant","Large","Not Significant","EPIC","Dep_vs_Naive","Dependent","Naive",6,3,3,17705,2025-05-29
"Steap4",2.12516911612179,-0.958829057530138,15.147462855477,0.00394151307986456,0.999913472463944,"Not Significant","Large","Not Significant","EPIC","Dep_vs_Naive","Dependent","Naive",6,3,3,17705,2025-05-29
"Lcn2",-2.68962393643229,-0.333734885661717,14.0454939135175,0.0051436203851492,0.999913472463944,"Not Significant","Large","Not Significant","EPIC","Dep_vs_Naive","Dependent","Naive",6,3,3,17705,2025-05-29
"Car3",1.28395798162841,0.307177497730405,14.585955575266,0.00546573102259876,0.999913472463944,"Not Significant","Large","Not Significant","EPIC","Dep_vs_Naive","Dependent","Naive",6,3,3,17705,2025-05-29
"Bik",-1.70835742357674,-0.868314186359934,13.2129576789877,0.00637402026484148,0.999913472463944,"Not Significant","Large","Not Significant","EPIC","Dep_vs_Naive","Dependent","Naive",6,3,3,17705,2025-05-29
"Sox21",0.557136463581673,5.34738572404977,13.4852747042219,0.00662816236332534,0.999913472463944,"Not Significant","Medium","Not Significant","EPIC","Dep_vs_Naive","Dependent","Naive",6,3,3,17705,2025-05-29
"Hey1",0.471542896956309,4.802461681595,13.4113474215175,0.00672352342571847,0.999913472463944,"Not Significant","Small","Not Significant","EPIC","Dep_vs_Naive","Dependent","Naive",6,3,3,17705,2025-05-29
"AC154200.1",-1.85390826582273,-1.19713737447832,12.2536428775147,0.00673324905024701,0.999913472463944,"Not Significant","Large","Not Significant","EPIC","Dep_vs_Naive","Dependent","Naive",6,3,3,17705,2025-05-29
"Gm15704",-1.7922527193339,-1.23297534633681,11.5002127167016,0.00800136488726067,0.999913472463944,"Not Significant","Large","Not Significant","EPIC","Dep_vs_Naive","Dependent","Naive",6,3,3,17705,2025-05-29
"Gbp9",-0.840092698622064,1.98365597509701,12.2284809745356,0.00851688296575072,0.999913472463944,"Not Significant","Medium","Not Significant","EPIC","Dep_vs_Naive","Dependent","Naive",6,3,3,17705,2025-05-29
