"gene","log2FoldChange","baseMean","stat","pvalue","padj","significance","effect_size","regulation","cell_type","comparison","group1","group2","total_samples","group1_samples","group2_samples","genes_tested","analysis_date"
"Phactr2",0.648778174203156,5.57290977395339,32.783330614132,0.000453733050633388,0.999893119677228,"Not Significant","Medium","Not Significant","EPIC","With_vs_Dep","Withdrawal","Dependent",6,3,3,17624,2025-05-29
"Jph1",1.09100145868867,2.9917627221669,31.2689584432919,0.000529518159014375,0.999893119677228,"Not Significant","Large","Not Significant","EPIC","With_vs_Dep","Withdrawal","Dependent",6,3,3,17624,2025-05-29
"Atp2b3",1.13006787032754,4.13186379703917,30.5883282067658,0.000568449677375492,0.999893119677228,"Not Significant","Large","Not Significant","EPIC","With_vs_Dep","Withdrawal","Dependent",6,3,3,17624,2025-05-29
"Bfsp2",-0.970333246335499,5.07012759327343,22.1288024421362,0.00156544795840909,0.999893119677228,"Not Significant","Medium","Not Significant","EPIC","With_vs_Dep","Withdrawal","Dependent",6,3,3,17624,2025-05-29
"Dsp",1.66594628299739,0.977380339864229,21.0140715035253,0.00184112397227061,0.999893119677228,"Not Significant","Large","Not Significant","EPIC","With_vs_Dep","Withdrawal","Dependent",6,3,3,17624,2025-05-29
"Sept10",0.772081501693567,4.60782596604314,20.545984162957,0.00195520445508265,0.999893119677228,"Not Significant","Medium","Not Significant","EPIC","With_vs_Dep","Withdrawal","Dependent",6,3,3,17624,2025-05-29
"Nrap",2.17391321204595,-1.11642800056796,18.5927828298684,0.00196326671056903,0.999893119677228,"Not Significant","Large","Not Significant","EPIC","With_vs_Dep","Withdrawal","Dependent",6,3,3,17624,2025-05-29
"Glp2r",3.08461098925546,-1.1996010909759,15.928304107954,0.00212563173726425,0.999893119677228,"Not Significant","Large","Not Significant","EPIC","With_vs_Dep","Withdrawal","Dependent",6,3,3,17624,2025-05-29
"Itpr1",0.51378971047084,5.56929296607535,19.5254197857884,0.00227218196274699,0.999893119677228,"Not Significant","Medium","Not Significant","EPIC","With_vs_Dep","Withdrawal","Dependent",6,3,3,17624,2025-05-29
"Car3",-1.46500936182549,0.197219553286663,19.2472160381171,0.00238998179217865,0.999893119677228,"Not Significant","Large","Not Significant","EPIC","With_vs_Dep","Withdrawal","Dependent",6,3,3,17624,2025-05-29
"Wdr86",2.3107882730514,4.39409669895776,18.9253949965992,0.00248930487666266,0.999893119677228,"Not Significant","Large","Not Significant","EPIC","With_vs_Dep","Withdrawal","Dependent",6,3,3,17624,2025-05-29
"Slk",0.490313029575252,5.76044711711877,18.5620819364706,0.00263291222353406,0.999893119677228,"Not Significant","Small","Not Significant","EPIC","With_vs_Dep","Withdrawal","Dependent",6,3,3,17624,2025-05-29
"Dio3",1.35970746632597,1.57040594511196,18.4798025824383,0.00267152061188422,0.999893119677228,"Not Significant","Large","Not Significant","EPIC","With_vs_Dep","Withdrawal","Dependent",6,3,3,17624,2025-05-29
