"gene","log2FoldChange","baseMean","stat","pvalue","padj","significance","effect_size","regulation","cell_type","comparison","group1","group2","total_samples","group1_samples","group2_samples","genes_tested","analysis_date"
"Thbd",1.20356434586302,4.94492912374338,32.9145041529453,2.54360122531208e-05,0.248102863516941,"Not Significant","Large","Not Significant","MAC","Dep_vs_Naive","Dependent","Naive",6,3,3,9754,2025-05-28
"Hspa1a",0.862998549580853,8.93894863444265,24.3241808408757,0.000135024419571336,0.478226728801231,"Not Significant","Medium","Not Significant","MAC","Dep_vs_Naive","Dependent","Naive",6,3,3,9754,2025-05-28
"Icam1",0.843078295883066,6.32352724634689,23.7847064928575,0.000147086342670053,0.478226728801231,"Not Significant","Medium","Not Significant","MAC","Dep_vs_Naive","Dependent","Naive",6,3,3,9754,2025-05-28
"Id3",-0.768698406435628,5.7983936183776,21.5122824924868,0.000242905058713275,0.592323985672322,"Not Significant","Medium","Not Significant","MAC","Dep_vs_Naive","Dependent","Naive",6,3,3,9754,2025-05-28
"Vwa1",-1.7394287280343,3.61314431905336,18.9608538749837,0.000443682625056248,0.865536064959729,"Not Significant","Large","Not Significant","MAC","Dep_vs_Naive","Dependent","Naive",6,3,3,9754,2025-05-28
"Hspa1b",0.712275635307121,7.927164300982,16.1107675293207,0.00103392356589041,0.999702564166539,"Not Significant","Medium","Not Significant","MAC","Dep_vs_Naive","Dependent","Naive",6,3,3,9754,2025-05-28
"Sall1",1.57019768065874,3.73339779925704,15.5805528928604,0.00106290824137484,0.999702564166539,"Not Significant","Large","Not Significant","MAC","Dep_vs_Naive","Dependent","Naive",6,3,3,9754,2025-05-28
"Cybc1",0.565447205242596,6.53238822790617,14.5976887695153,0.0013963067004362,0.999702564166539,"Not Significant","Medium","Not Significant","MAC","Dep_vs_Naive","Dependent","Naive",6,3,3,9754,2025-05-28
"Dedd",0.997690651322942,4.1854021204832,14.1986628876318,0.00156407486027534,0.999702564166539,"Not Significant","Medium","Not Significant","MAC","Dep_vs_Naive","Dependent","Naive",6,3,3,9754,2025-05-28
"Mgl2",-0.554843202208973,8.67602359775665,13.3143059247546,0.00202315399884198,0.999702564166539,"Not Significant","Medium","Not Significant","MAC","Dep_vs_Naive","Dependent","Naive",6,3,3,9754,2025-05-28
"Hist1h1c",-0.830535862282202,5.89876311383769,14.0965480164679,0.00206586509591326,0.999702564166539,"Not Significant","Medium","Not Significant","MAC","Dep_vs_Naive","Dependent","Naive",6,3,3,9754,2025-05-28
"Fxyd2",-0.889322991540665,4.46790754409533,13.2089555522175,0.00208731404701569,0.999702564166539,"Not Significant","Medium","Not Significant","MAC","Dep_vs_Naive","Dependent","Naive",6,3,3,9754,2025-05-28
"Rbp1",-0.75411725982413,4.96575579215964,12.8180229982211,0.00234624207446922,0.999702564166539,"Not Significant","Medium","Not Significant","MAC","Dep_vs_Naive","Dependent","Naive",6,3,3,9754,2025-05-28
"Osgin2",1.1778728312368,3.68654032375529,12.4342591140373,0.00263612625681927,0.999702564166539,"Not Significant","Large","Not Significant","MAC","Dep_vs_Naive","Dependent","Naive",6,3,3,9754,2025-05-28
"Tec",0.51655868293501,6.39601493433385,12.2599284015283,0.00278097843779766,0.999702564166539,"Not Significant","Medium","Not Significant","MAC","Dep_vs_Naive","Dependent","Naive",6,3,3,9754,2025-05-28
"Cbx4",0.547207453849962,6.61515778342096,12.2594591828127,0.00278138022680373,0.999702564166539,"Not Significant","Medium","Not Significant","MAC","Dep_vs_Naive","Dependent","Naive",6,3,3,9754,2025-05-28
"Sft2d3",-1.13915440884091,3.84581805893332,12.2514883514416,0.00278821560183416,0.999702564166539,"Not Significant","Large","Not Significant","MAC","Dep_vs_Naive","Dependent","Naive",6,3,3,9754,2025-05-28
"Dedd2",1.14576234206193,3.76903338522495,12.141521947679,0.0028844752828794,0.999702564166539,"Not Significant","Large","Not Significant","MAC","Dep_vs_Naive","Dependent","Naive",6,3,3,9754,2025-05-28
"Dck",0.89074790308414,4.42720244304319,11.441085884272,0.00359318451562418,0.999702564166539,"Not Significant","Medium","Not Significant","MAC","Dep_vs_Naive","Dependent","Naive",6,3,3,9754,2025-05-28
"Gpcpd1",-0.58924893851344,5.64695722210217,11.3959619241446,0.00364517869987862,0.999702564166539,"Not Significant","Medium","Not Significant","MAC","Dep_vs_Naive","Dependent","Naive",6,3,3,9754,2025-05-28
"Zfp207",0.554326241249978,6.31738789304627,11.2749280413583,0.00378888139674722,0.999702564166539,"Not Significant","Medium","Not Significant","MAC","Dep_vs_Naive","Dependent","Naive",6,3,3,9754,2025-05-28
"March1",-0.513203899924572,6.15963252730143,11.1562609494899,0.00393600702451355,0.999702564166539,"Not Significant","Medium","Not Significant","MAC","Dep_vs_Naive","Dependent","Naive",6,3,3,9754,2025-05-28
"Dus2",-1.29179857455484,3.42420791015519,11.0261489587299,0.00410477797130441,0.999702564166539,"Not Significant","Large","Not Significant","MAC","Dep_vs_Naive","Dependent","Naive",6,3,3,9754,2025-05-28
"H1f0",-0.687047370897065,5.94139818153345,11.0298525514824,0.00441672853696781,0.999702564166539,"Not Significant","Medium","Not Significant","MAC","Dep_vs_Naive","Dependent","Naive",6,3,3,9754,2025-05-28
"Cpne8",-0.6980095479336,5.16571919508702,10.4482944615484,0.00495997966600927,0.999702564166539,"Not Significant","Medium","Not Significant","MAC","Dep_vs_Naive","Dependent","Naive",6,3,3,9754,2025-05-28
"2810402E24Rik",-1.05612284052393,3.76031856516848,10.3944015471243,0.00504950099022579,0.999702564166539,"Not Significant","Large","Not Significant","MAC","Dep_vs_Naive","Dependent","Naive",6,3,3,9754,2025-05-28
"Gna15",0.537550618534423,5.97749103282744,10.3192796166333,0.00517734620257367,0.999702564166539,"Not Significant","Medium","Not Significant","MAC","Dep_vs_Naive","Dependent","Naive",6,3,3,9754,2025-05-28
"Fbxo3",-0.634815013663665,5.03094337895149,10.3062088413449,0.00519996183512846,0.999702564166539,"Not Significant","Medium","Not Significant","MAC","Dep_vs_Naive","Dependent","Naive",6,3,3,9754,2025-05-28
"Ecrg4",-2.01843255633691,3.10757656754837,10.8760774072665,0.00524583426204365,0.999702564166539,"Not Significant","Large","Not Significant","MAC","Dep_vs_Naive","Dependent","Naive",6,3,3,9754,2025-05-28
"Nr2c2ap",0.654397415402727,5.03803102720223,9.9717659775359,0.00581838487409363,0.999702564166539,"Not Significant","Medium","Not Significant","MAC","Dep_vs_Naive","Dependent","Naive",6,3,3,9754,2025-05-28
"Zfp260",0.704580610934464,4.83675057036558,9.87125171295011,0.00602018522041637,0.999702564166539,"Not Significant","Medium","Not Significant","MAC","Dep_vs_Naive","Dependent","Naive",6,3,3,9754,2025-05-28
"Phf20",-0.458792654832069,6.35979045864951,9.64203248104958,0.0065106693700618,0.999702564166539,"Not Significant","Small","Not Significant","MAC","Dep_vs_Naive","Dependent","Naive",6,3,3,9754,2025-05-28
"Zc3h6",-1.25918878144252,3.18988608113356,9.47338368804281,0.00690044190157777,0.999702564166539,"Not Significant","Large","Not Significant","MAC","Dep_vs_Naive","Dependent","Naive",6,3,3,9754,2025-05-28
"Abi3",1.18715997248084,3.529603017477,9.4328792458475,0.00699794029424142,0.999702564166539,"Not Significant","Large","Not Significant","MAC","Dep_vs_Naive","Dependent","Naive",6,3,3,9754,2025-05-28
"Arnt",0.607777127260671,4.98274481116806,9.3873332978974,0.00710944003890416,0.999702564166539,"Not Significant","Medium","Not Significant","MAC","Dep_vs_Naive","Dependent","Naive",6,3,3,9754,2025-05-28
"Stradb",0.896592523571448,4.07965894348843,9.08867129987658,0.00789240771931769,0.999702564166539,"Not Significant","Medium","Not Significant","MAC","Dep_vs_Naive","Dependent","Naive",6,3,3,9754,2025-05-28
"Susd1",0.70261626775632,4.4356697744061,8.98938863581222,0.0081739560207899,0.999702564166539,"Not Significant","Medium","Not Significant","MAC","Dep_vs_Naive","Dependent","Naive",6,3,3,9754,2025-05-28
"Cavin1",-1.49122009655456,2.9372297812038,8.98315568758438,0.00819200736155132,0.999702564166539,"Not Significant","Large","Not Significant","MAC","Dep_vs_Naive","Dependent","Naive",6,3,3,9754,2025-05-28
"Zbtb2",1.07563484542524,3.79771533426119,8.8481965527307,0.0085941528254238,0.999702564166539,"Not Significant","Large","Not Significant","MAC","Dep_vs_Naive","Dependent","Naive",6,3,3,9754,2025-05-28
"Fblim1",-0.747089995228437,4.33091444332628,8.78561498425298,0.00878818269750907,0.999702564166539,"Not Significant","Medium","Not Significant","MAC","Dep_vs_Naive","Dependent","Naive",6,3,3,9754,2025-05-28
"Mat2a",0.465078697736917,8.46757758879085,8.73880969047955,0.00893654411960314,0.999702564166539,"Not Significant","Small","Not Significant","MAC","Dep_vs_Naive","Dependent","Naive",6,3,3,9754,2025-05-28
"Ifi27",-0.426393464387125,7.19123490298259,8.61166037246032,0.00935410792863146,0.999702564166539,"Not Significant","Small","Not Significant","MAC","Dep_vs_Naive","Dependent","Naive",6,3,3,9754,2025-05-28
"Acot8",0.917985955968992,3.90987494940775,8.583253688908,0.00945039058249908,0.999702564166539,"Not Significant","Medium","Not Significant","MAC","Dep_vs_Naive","Dependent","Naive",6,3,3,9754,2025-05-28
"Hscb",-0.798303383184554,4.42749203574841,8.57749538661697,0.00947004458362123,0.999702564166539,"Not Significant","Medium","Not Significant","MAC","Dep_vs_Naive","Dependent","Naive",6,3,3,9754,2025-05-28
"Tardbp",0.431656255534797,6.36177066342637,8.48721394411207,0.00978432606959434,0.999702564166539,"Not Significant","Small","Not Significant","MAC","Dep_vs_Naive","Dependent","Naive",6,3,3,9754,2025-05-28
"Ldb1",0.503129845908182,5.57914358169738,8.387551097738,0.0101450738660063,0.999702564166539,"Not Significant","Medium","Not Significant","MAC","Dep_vs_Naive","Dependent","Naive",6,3,3,9754,2025-05-28
"Adap2os",0.80163234572109,4.22582292674714,8.38714544872352,0.0101465726741505,0.999702564166539,"Not Significant","Medium","Not Significant","MAC","Dep_vs_Naive","Dependent","Naive",6,3,3,9754,2025-05-28
