"gene","log2FoldChange","baseMean","stat","pvalue","padj","significance","effect_size","regulation","cell_type","comparison","group1","group2","total_samples","group1_samples","group2_samples","genes_tested","analysis_date"
"Hspa1a",-1.04516531572584,8.88446270446612,43.4058263066371,4.29023242336683e-05,0.374284585240364,"Not Significant","Large","Not Significant","MAC","With_vs_Dep","Withdrawal","Dependent",6,3,3,11743,2025-05-29
"Samsn1",-1.01989576471778,6.05459874559241,39.6473100475717,6.3745990843969e-05,0.374284585240364,"Not Significant","Large","Not Significant","MAC","With_vs_Dep","Withdrawal","Dependent",6,3,3,11743,2025-05-29
"Ahsa2",-1.18741436618031,5.07514843242026,32.3232852656328,0.000151710480999959,0.593845392794171,"Not Significant","Large","Not Significant","MAC","With_vs_Dep","Withdrawal","Dependent",6,3,3,11743,2025-05-29
"Zc3h6",1.73432792062944,3.50427487042695,23.032799799343,0.000591851573149052,0.999135122405733,"Not Significant","Large","Not Significant","MAC","With_vs_Dep","Withdrawal","Dependent",6,3,3,11743,2025-05-29
"Hspa1b",-1.04036778530323,7.81715889422763,21.6660700034366,0.000735161424537433,0.999135122405733,"Not Significant","Large","Not Significant","MAC","With_vs_Dep","Withdrawal","Dependent",6,3,3,11743,2025-05-29
"Snx29",0.936895556748087,4.95682437149782,17.8098200745645,0.0014964399653215,0.999135122405733,"Not Significant","Medium","Not Significant","MAC","With_vs_Dep","Withdrawal","Dependent",6,3,3,11743,2025-05-29
"Plau",-0.578208593785877,6.48848582302389,17.5080444216127,0.00158800125369488,0.999135122405733,"Not Significant","Medium","Not Significant","MAC","With_vs_Dep","Withdrawal","Dependent",6,3,3,11743,2025-05-29
"Cybc1",-0.652543208781854,6.50690486320923,17.0625192995289,0.00173677750783295,0.999135122405733,"Not Significant","Medium","Not Significant","MAC","With_vs_Dep","Withdrawal","Dependent",6,3,3,11743,2025-05-29
"Chordc1",-0.626448960686022,6.21885911918897,16.8603658377018,0.00180978286190346,0.999135122405733,"Not Significant","Medium","Not Significant","MAC","With_vs_Dep","Withdrawal","Dependent",6,3,3,11743,2025-05-29
"Ptgs2",-1.77348007717947,3.29905909654716,16.3660412460487,0.00201180513004644,0.999135122405733,"Not Significant","Large","Not Significant","MAC","With_vs_Dep","Withdrawal","Dependent",6,3,3,11743,2025-05-29
"Fbxo3",0.74335180370249,5.10148525941533,15.8006472190535,0.002258027857394,0.999135122405733,"Not Significant","Medium","Not Significant","MAC","With_vs_Dep","Withdrawal","Dependent",6,3,3,11743,2025-05-29
"Stip1",-0.655838677340365,6.16724300250484,15.7577792959124,0.00227823870899307,0.999135122405733,"Not Significant","Medium","Not Significant","MAC","With_vs_Dep","Withdrawal","Dependent",6,3,3,11743,2025-05-29
"Cd209d",1.54850044612483,3.3283667158195,15.1712712942544,0.00261209625636036,0.999135122405733,"Not Significant","Large","Not Significant","MAC","With_vs_Dep","Withdrawal","Dependent",6,3,3,11743,2025-05-29
"Trim30a",-0.504988754289678,6.87619881659164,13.8513937489194,0.00347892645565626,0.999135122405733,"Not Significant","Medium","Not Significant","MAC","With_vs_Dep","Withdrawal","Dependent",6,3,3,11743,2025-05-29
"Nop14",0.704899784867107,5.1093965268752,13.6488855485945,0.00364742906077504,0.999135122405733,"Not Significant","Medium","Not Significant","MAC","With_vs_Dep","Withdrawal","Dependent",6,3,3,11743,2025-05-29
"Sft2d3",1.073467604045,3.82229041123052,13.5086598811659,0.00377688154037772,0.999135122405733,"Not Significant","Large","Not Significant","MAC","With_vs_Dep","Withdrawal","Dependent",6,3,3,11743,2025-05-29
"Hspa8",-0.461052320090105,10.9171298936483,13.1377071149416,0.00411402940981079,0.999135122405733,"Not Significant","Small","Not Significant","MAC","With_vs_Dep","Withdrawal","Dependent",6,3,3,11743,2025-05-29
"Pygo2",-0.780633209264852,4.37976253667075,13.0728046912657,0.00418321337841088,0.999135122405733,"Not Significant","Medium","Not Significant","MAC","With_vs_Dep","Withdrawal","Dependent",6,3,3,11743,2025-05-29
"Sugp1",0.968079734763084,3.73001924467237,12.9590215935295,0.00430486185172122,0.999135122405733,"Not Significant","Medium","Not Significant","MAC","With_vs_Dep","Withdrawal","Dependent",6,3,3,11743,2025-05-29
"Dnaja1",-0.536873513311111,9.13149207726899,12.7521956545657,0.00451448860444553,0.999135122405733,"Not Significant","Medium","Not Significant","MAC","With_vs_Dep","Withdrawal","Dependent",6,3,3,11743,2025-05-29
