"gene","log2FoldChange","baseMean","stat","pvalue","padj","significance","effect_size","regulation","cell_type","comparison","group1","group2","total_samples","group1_samples","group2_samples","genes_tested","analysis_date"
"Mgl2",-0.777221164890395,8.60525201724246,29.5775145421893,0.000231240117046694,0.999465388816204,"Not Significant","Medium","Not Significant","MAC","With_vs_Naive","Withdrawal","Naive",6,3,3,11779,2025-05-29
"Gm16310",0.770280945164863,4.94650703751294,16.1555703372486,0.00216542840621817,0.999465388816204,"Not Significant","Medium","Not Significant","MAC","With_vs_Naive","Withdrawal","Naive",6,3,3,11779,2025-05-29
"Nxpe5",-1.72869499855876,2.70799922481787,14.7301281950217,0.00284985845613242,0.999465388816204,"Not Significant","Large","Not Significant","MAC","With_vs_Naive","Withdrawal","Naive",6,3,3,11779,2025-05-29
"Gm49980",2.70204864810244,2.18072517331838,13.4081793574256,0.00291513206843378,0.999465388816204,"Not Significant","Large","Not Significant","MAC","With_vs_Naive","Withdrawal","Naive",6,3,3,11779,2025-05-29
"Id3",-0.96345758728858,5.75261132218397,13.7713165399571,0.00364481232842199,0.999465388816204,"Not Significant","Medium","Not Significant","MAC","With_vs_Naive","Withdrawal","Naive",6,3,3,11779,2025-05-29
"Brsk1",-1.77211155463696,2.62576212686508,13.0704520349359,0.00412841979970635,0.999465388816204,"Not Significant","Large","Not Significant","MAC","With_vs_Naive","Withdrawal","Naive",6,3,3,11779,2025-05-29
"Ass1",-2.44609461988081,2.19548664678709,12.2275979484214,0.00422236725947144,0.999465388816204,"Not Significant","Large","Not Significant","MAC","With_vs_Naive","Withdrawal","Naive",6,3,3,11779,2025-05-29
"Pou5f2",1.85788512750704,2.33415028765249,12.1814672535517,0.00495181253382323,0.999465388816204,"Not Significant","Large","Not Significant","MAC","With_vs_Naive","Withdrawal","Naive",6,3,3,11779,2025-05-29
"Asxl1",0.620222087771662,5.35288890431983,12.3604395368587,0.00509575922338377,0.999465388816204,"Not Significant","Medium","Not Significant","MAC","With_vs_Naive","Withdrawal","Naive",6,3,3,11779,2025-05-29
"Relch",0.554921611693732,5.6819596022171,12.3287566297181,0.00513510700988531,0.999465388816204,"Not Significant","Medium","Not Significant","MAC","With_vs_Naive","Withdrawal","Naive",6,3,3,11779,2025-05-29
"Slc35c1",1.24810605422666,3.53617227921186,12.3033673113092,0.00520204708153807,0.999465388816204,"Not Significant","Large","Not Significant","MAC","With_vs_Naive","Withdrawal","Naive",6,3,3,11779,2025-05-29
"Mterf2",-2.44411597616874,1.94724604741388,11.0401950899893,0.00550159217442267,0.999465388816204,"Not Significant","Large","Not Significant","MAC","With_vs_Naive","Withdrawal","Naive",6,3,3,11779,2025-05-29
"Samsn1",-0.793155828133646,5.90773574495162,11.8471537902184,0.00578831773127682,0.999465388816204,"Not Significant","Medium","Not Significant","MAC","With_vs_Naive","Withdrawal","Naive",6,3,3,11779,2025-05-29
"Rc3h2",0.614081058136447,5.51050677999344,11.0563935946643,0.00709089683353282,0.999465388816204,"Not Significant","Medium","Not Significant","MAC","With_vs_Naive","Withdrawal","Naive",6,3,3,11779,2025-05-29
"Phf11d",-0.886438405311144,4.31599937994232,11.0560370160715,0.00709961235596786,0.999465388816204,"Not Significant","Medium","Not Significant","MAC","With_vs_Naive","Withdrawal","Naive",6,3,3,11779,2025-05-29
"Ccl3",-0.611977672026893,8.73407021546689,10.8042650856297,0.00757663878199427,0.999465388816204,"Not Significant","Medium","Not Significant","MAC","With_vs_Naive","Withdrawal","Naive",6,3,3,11779,2025-05-29
"Dus2",-1.27288438727628,3.49133464137751,10.6483508240024,0.00794365058982892,0.999465388816204,"Not Significant","Large","Not Significant","MAC","With_vs_Naive","Withdrawal","Naive",6,3,3,11779,2025-05-29
"Slc8a1",0.519824953429958,6.56954588465639,10.5817235518307,0.00804056440714977,0.999465388816204,"Not Significant","Medium","Not Significant","MAC","With_vs_Naive","Withdrawal","Naive",6,3,3,11779,2025-05-29
"Ttc28",0.541659620332453,5.72921072143455,10.553489137473,0.00810236638525275,0.999465388816204,"Not Significant","Medium","Not Significant","MAC","With_vs_Naive","Withdrawal","Naive",6,3,3,11779,2025-05-29
"Gtf3c5",-1.56792604574253,2.37348513931528,10.0343580224106,0.00895314768094824,0.999465388816204,"Not Significant","Large","Not Significant","MAC","With_vs_Naive","Withdrawal","Naive",6,3,3,11779,2025-05-29
"Smim11",-0.522227290321646,6.46333774746744,10.1485367702481,0.00904406357575841,0.999465388816204,"Not Significant","Medium","Not Significant","MAC","With_vs_Naive","Withdrawal","Naive",6,3,3,11779,2025-05-29
"Lilr4b",-0.918912781612241,4.29016707360856,10.1048111572249,0.00916482640029461,0.999465388816204,"Not Significant","Medium","Not Significant","MAC","With_vs_Naive","Withdrawal","Naive",6,3,3,11779,2025-05-29
"Nexn",1.05996507116925,3.51805709950478,10.071624982064,0.00928227804716988,0.999465388816204,"Not Significant","Large","Not Significant","MAC","With_vs_Naive","Withdrawal","Naive",6,3,3,11779,2025-05-29
"Rpgr",1.57443484851459,2.46436573220693,9.92324411558238,0.00944714013681981,0.999465388816204,"Not Significant","Large","Not Significant","MAC","With_vs_Naive","Withdrawal","Naive",6,3,3,11779,2025-05-29
"Chchd3",-0.568186260119124,5.32836377625457,9.83921625219633,0.00985467170659193,0.999465388816204,"Not Significant","Medium","Not Significant","MAC","With_vs_Naive","Withdrawal","Naive",6,3,3,11779,2025-05-29
"BC051537",1.35021056083874,3.35615801838968,9.73538507700693,0.0102169590678314,0.999465388816204,"Not Significant","Large","Not Significant","MAC","With_vs_Naive","Withdrawal","Naive",6,3,3,11779,2025-05-29
"Zbtb8os",-0.545150250708392,5.42418113093946,9.62322043590912,0.0104711638079159,0.999465388816204,"Not Significant","Medium","Not Significant","MAC","With_vs_Naive","Withdrawal","Naive",6,3,3,11779,2025-05-29
"Iffo1",0.732500394447284,4.95627825123385,9.52764005574859,0.0107603327371937,0.999465388816204,"Not Significant","Medium","Not Significant","MAC","With_vs_Naive","Withdrawal","Naive",6,3,3,11779,2025-05-29
"Dhfr",1.57645617819769,2.81178623831012,9.50325942576847,0.010859551614863,0.999465388816204,"Not Significant","Large","Not Significant","MAC","With_vs_Naive","Withdrawal","Naive",6,3,3,11779,2025-05-29
"Herc1",0.486353872705499,6.7090262191537,9.48876256058841,0.0108770219232074,0.999465388816204,"Not Significant","Small","Not Significant","MAC","With_vs_Naive","Withdrawal","Naive",6,3,3,11779,2025-05-29
"Rap1gap2",-1.63471333093943,2.53825068059949,9.23069364875781,0.0114139215419661,0.999465388816204,"Not Significant","Large","Not Significant","MAC","With_vs_Naive","Withdrawal","Naive",6,3,3,11779,2025-05-29
"6330403K07Rik",-0.79644217445435,5.11018613971573,9.30384459454996,0.0114714697595203,0.999465388816204,"Not Significant","Medium","Not Significant","MAC","With_vs_Naive","Withdrawal","Naive",6,3,3,11779,2025-05-29
"Otud3",1.74490304499691,2.55016643360518,9.22564316133584,0.0115168582844964,0.999465388816204,"Not Significant","Large","Not Significant","MAC","With_vs_Naive","Withdrawal","Naive",6,3,3,11779,2025-05-29
"9030025P20Rik",1.30799177676328,2.74792706084605,9.21373313163752,0.0118406965649275,0.999465388816204,"Not Significant","Large","Not Significant","MAC","With_vs_Naive","Withdrawal","Naive",6,3,3,11779,2025-05-29
"Mrpl51",-0.448690578861662,6.39180641299765,9.13117803766434,0.0120564260925651,0.999465388816204,"Not Significant","Small","Not Significant","MAC","With_vs_Naive","Withdrawal","Naive",6,3,3,11779,2025-05-29
"Trpm2",0.862179794930409,3.98368118936843,9.11576219028815,0.0121275947108061,0.999465388816204,"Not Significant","Medium","Not Significant","MAC","With_vs_Naive","Withdrawal","Naive",6,3,3,11779,2025-05-29
"Slirp",-0.499730380649146,6.61972772875574,8.94411502895873,0.0127341689474281,0.999465388816204,"Not Significant","Small","Not Significant","MAC","With_vs_Naive","Withdrawal","Naive",6,3,3,11779,2025-05-29
"Nedd4l",0.855515886941215,4.1557492605547,8.93983791429758,0.0127626056584915,0.999465388816204,"Not Significant","Medium","Not Significant","MAC","With_vs_Naive","Withdrawal","Naive",6,3,3,11779,2025-05-29
"Atm",0.877347178333566,3.77802317709122,8.91107041695499,0.0128859187984528,0.999465388816204,"Not Significant","Medium","Not Significant","MAC","With_vs_Naive","Withdrawal","Naive",6,3,3,11779,2025-05-29
"Gsap",0.79515584739022,4.14559517722525,8.8731812366711,0.0130153943316181,0.999465388816204,"Not Significant","Medium","Not Significant","MAC","With_vs_Naive","Withdrawal","Naive",6,3,3,11779,2025-05-29
"Tmem109",-0.467876321199163,5.8541314044478,8.57151532542133,0.0142266198692147,0.999465388816204,"Not Significant","Small","Not Significant","MAC","With_vs_Naive","Withdrawal","Naive",6,3,3,11779,2025-05-29
"Nudc",-0.391535642478055,6.79132806447436,8.46295694791175,0.0146992532763768,0.999465388816204,"Not Significant","Small","Not Significant","MAC","With_vs_Naive","Withdrawal","Naive",6,3,3,11779,2025-05-29
"Tspan6",-1.6978412108487,2.89889144850575,8.43201404821606,0.014750365161481,0.999465388816204,"Not Significant","Large","Not Significant","MAC","With_vs_Naive","Withdrawal","Naive",6,3,3,11779,2025-05-29
"Herc4",0.536711498790936,5.54676673586107,8.43211362473369,0.0148385975780962,0.999465388816204,"Not Significant","Medium","Not Significant","MAC","With_vs_Naive","Withdrawal","Naive",6,3,3,11779,2025-05-29
"Zfp141",1.12654438141814,3.10495041625444,8.39045608636285,0.0151363020697774,0.999465388816204,"Not Significant","Large","Not Significant","MAC","With_vs_Naive","Withdrawal","Naive",6,3,3,11779,2025-05-29
"9130023H24Rik",1.59271122983622,2.18110580411118,8.20361769930799,0.0151894502512912,0.999465388816204,"Not Significant","Large","Not Significant","MAC","With_vs_Naive","Withdrawal","Naive",6,3,3,11779,2025-05-29
"Dmap1",-0.978941415077966,3.91192161676784,8.22789134435452,0.0158242641949391,0.999465388816204,"Not Significant","Medium","Not Significant","MAC","With_vs_Naive","Withdrawal","Naive",6,3,3,11779,2025-05-29
"Mid2",1.42348815211428,2.61843930736917,8.20792403823041,0.015875411809456,0.999465388816204,"Not Significant","Large","Not Significant","MAC","With_vs_Naive","Withdrawal","Naive",6,3,3,11779,2025-05-29
"Bco2",-1.47214797836775,2.44329992302524,8.10416242708512,0.0160551802354356,0.999465388816204,"Not Significant","Large","Not Significant","MAC","With_vs_Naive","Withdrawal","Naive",6,3,3,11779,2025-05-29
