"gene","log2FoldChange","baseMean","stat","pvalue","padj","significance","effect_size","regulation","cell_type","comparison","group1","group2","total_samples","group1_samples","group2_samples","genes_tested","analysis_date"
"Hist1h1c",-0.61468345260759,4.93773722282783,33.4585291367414,0.000146690535983187,0.999912992797382,"Not Significant","Medium","Not Significant","MG","Dep_vs_Naive","Dependent","Naive",6,3,3,15229,2025-05-29
"Tnfsf9",0.876148650793808,4.86381632977357,30.4757562950123,0.000214083408717178,0.999912992797382,"Not Significant","Medium","Not Significant","MG","Dep_vs_Naive","Dependent","Naive",6,3,3,15229,2025-05-29
"Cdkn1a",0.524603860220328,6.36486069769585,26.6387301804125,0.000363871732492166,0.999912992797382,"Not Significant","Medium","Not Significant","MG","Dep_vs_Naive","Dependent","Naive",6,3,3,15229,2025-05-29
"2610035D17Rik",-0.833298221940997,3.0147756938451,23.6764254544538,0.000570832768252003,0.999912992797382,"Not Significant","Medium","Not Significant","MG","Dep_vs_Naive","Dependent","Naive",6,3,3,15229,2025-05-29
"Hspa1a",0.567371114596948,8.04436023178716,20.5220299492882,0.000966190954982855,0.999912992797382,"Not Significant","Medium","Not Significant","MG","Dep_vs_Naive","Dependent","Naive",6,3,3,15229,2025-05-29
"Nol4l",0.555847836015768,4.22247869886908,19.975051148169,0.00106466136577341,0.999912992797382,"Not Significant","Medium","Not Significant","MG","Dep_vs_Naive","Dependent","Naive",6,3,3,15229,2025-05-29
"Ccdc117",0.63757893705438,4.1629473126033,18.1140638972014,0.00150232602973538,0.999912992797382,"Not Significant","Medium","Not Significant","MG","Dep_vs_Naive","Dependent","Naive",6,3,3,15229,2025-05-29
"A830008E24Rik",-0.481292283464502,4.91960611087704,17.2612003427101,0.00177326005205745,0.999912992797382,"Not Significant","Small","Not Significant","MG","Dep_vs_Naive","Dependent","Naive",6,3,3,15229,2025-05-29
"Hist1h1e",-0.790063152498711,3.60184976366159,17.0034181555836,0.00186653125692458,0.999912992797382,"Not Significant","Medium","Not Significant","MG","Dep_vs_Naive","Dependent","Naive",6,3,3,15229,2025-05-29
"Dnajb1",0.564457875599141,6.26602412400748,16.9633795158308,0.00188136903555637,0.999912992797382,"Not Significant","Medium","Not Significant","MG","Dep_vs_Naive","Dependent","Naive",6,3,3,15229,2025-05-29
"Ttc32",0.476406673162498,4.76275213592402,16.3210066521182,0.00214269534117162,0.999912992797382,"Not Significant","Small","Not Significant","MG","Dep_vs_Naive","Dependent","Naive",6,3,3,15229,2025-05-29
"Ankrd37",0.498656450149576,4.24157126443512,15.37923639304,0.00260880649371666,0.999912992797382,"Not Significant","Small","Not Significant","MG","Dep_vs_Naive","Dependent","Naive",6,3,3,15229,2025-05-29
"Mcl1",0.425147759910456,8.69101871666564,15.1703728363001,0.00272793367289426,0.999912992797382,"Not Significant","Small","Not Significant","MG","Dep_vs_Naive","Dependent","Naive",6,3,3,15229,2025-05-29
"Hpgd",0.434975246276921,9.1645836824061,14.9030439172081,0.00289018497036457,0.999912992797382,"Not Significant","Small","Not Significant","MG","Dep_vs_Naive","Dependent","Naive",6,3,3,15229,2025-05-29
"Baz1a",0.377278576640978,6.20079595287358,14.8446835646961,0.00292712759977856,0.999912992797382,"Not Significant","Small","Not Significant","MG","Dep_vs_Naive","Dependent","Naive",6,3,3,15229,2025-05-29
"Fos",0.485780448666823,9.99204825647397,14.745051978806,0.00299150157014218,0.999912992797382,"Not Significant","Small","Not Significant","MG","Dep_vs_Naive","Dependent","Naive",6,3,3,15229,2025-05-29
"Acer3",0.414678673704364,6.20576368502172,14.2947063679474,0.00330448760528874,0.999912992797382,"Not Significant","Small","Not Significant","MG","Dep_vs_Naive","Dependent","Naive",6,3,3,15229,2025-05-29
"Tnfaip2",0.542048747552572,5.29348576989666,14.1532814695096,0.00341078578905394,0.999912992797382,"Not Significant","Medium","Not Significant","MG","Dep_vs_Naive","Dependent","Naive",6,3,3,15229,2025-05-29
"Irf4",0.724523336155212,2.43481260337047,14.0206028063674,0.00351511869668675,0.999912992797382,"Not Significant","Medium","Not Significant","MG","Dep_vs_Naive","Dependent","Naive",6,3,3,15229,2025-05-29
"Gm49886",1.75650084486783,-0.254954651986503,13.7898091171991,0.00359139980669945,0.999912992797382,"Not Significant","Large","Not Significant","MG","Dep_vs_Naive","Dependent","Naive",6,3,3,15229,2025-05-29
"Gm26532",0.596176209864327,6.8235970865584,13.9166422582347,0.00359785735400169,0.999912992797382,"Not Significant","Medium","Not Significant","MG","Dep_vs_Naive","Dependent","Naive",6,3,3,15229,2025-05-29
"H1f0",-0.438374352673339,4.87473685174491,13.7931516163232,0.00370041947508156,0.999912992797382,"Not Significant","Small","Not Significant","MG","Dep_vs_Naive","Dependent","Naive",6,3,3,15229,2025-05-29
"Slc30a1",-0.577416191319675,3.59970173877579,13.7894323818861,0.00370373008699966,0.999912992797382,"Not Significant","Medium","Not Significant","MG","Dep_vs_Naive","Dependent","Naive",6,3,3,15229,2025-05-29
"Efcab6",-1.96584060725253,-0.722071364438358,13.0118334052952,0.003893978836083,0.999912992797382,"Not Significant","Large","Not Significant","MG","Dep_vs_Naive","Dependent","Naive",6,3,3,15229,2025-05-29
"D230022J07Rik",-0.890026122964727,1.57873744284777,13.3383937181874,0.00411290649837418,0.999912992797382,"Not Significant","Medium","Not Significant","MG","Dep_vs_Naive","Dependent","Naive",6,3,3,15229,2025-05-29
"Phlda1",0.638883713187131,4.72014432196151,12.9815063427456,0.00446849570834552,0.999912992797382,"Not Significant","Medium","Not Significant","MG","Dep_vs_Naive","Dependent","Naive",6,3,3,15229,2025-05-29
"Adm",0.635482435925022,3.2827086007424,12.7557615062904,0.00471542529038848,0.999912992797382,"Not Significant","Medium","Not Significant","MG","Dep_vs_Naive","Dependent","Naive",6,3,3,15229,2025-05-29
"Cep83os",-0.79734366998789,2.45944767053164,12.6141926232501,0.00487912413249973,0.999912992797382,"Not Significant","Medium","Not Significant","MG","Dep_vs_Naive","Dependent","Naive",6,3,3,15229,2025-05-29
"Ly6m",-1.18776076379678,0.85948074357226,12.0731109531783,0.0055893451364805,0.999912992797382,"Not Significant","Large","Not Significant","MG","Dep_vs_Naive","Dependent","Naive",6,3,3,15229,2025-05-29
"Adamts1",0.38784064610591,5.0730315505788,11.9515248245044,0.00573693423741936,0.999912992797382,"Not Significant","Small","Not Significant","MG","Dep_vs_Naive","Dependent","Naive",6,3,3,15229,2025-05-29
"Nrp2",0.442340410579168,5.27291338602791,11.9120027933561,0.00579363315827132,0.999912992797382,"Not Significant","Small","Not Significant","MG","Dep_vs_Naive","Dependent","Naive",6,3,3,15229,2025-05-29
"Hbegf",0.477343573007405,7.16197298786182,11.8627738245223,0.00586517977766606,0.999912992797382,"Not Significant","Small","Not Significant","MG","Dep_vs_Naive","Dependent","Naive",6,3,3,15229,2025-05-29
"Irf1",0.418443297120574,6.69688968979386,11.7923823993216,0.00596939909549369,0.999912992797382,"Not Significant","Small","Not Significant","MG","Dep_vs_Naive","Dependent","Naive",6,3,3,15229,2025-05-29
"Tgfbr3l",-1.60762216173223,-0.401464130369195,11.5572015777664,0.0062005907025289,0.999912992797382,"Not Significant","Large","Not Significant","MG","Dep_vs_Naive","Dependent","Naive",6,3,3,15229,2025-05-29
"Zc3h6",-0.744154112783319,3.5098614344261,11.6068320885024,0.00625529570960939,0.999912992797382,"Not Significant","Medium","Not Significant","MG","Dep_vs_Naive","Dependent","Naive",6,3,3,15229,2025-05-29
"Tex30",0.673337881892594,3.06777470256852,11.5065613022088,0.00641664769919447,0.999912992797382,"Not Significant","Medium","Not Significant","MG","Dep_vs_Naive","Dependent","Naive",6,3,3,15229,2025-05-29
"Rgs14",0.679342552485692,2.82916512340775,11.5063268001495,0.00641723429154759,0.999912992797382,"Not Significant","Medium","Not Significant","MG","Dep_vs_Naive","Dependent","Naive",6,3,3,15229,2025-05-29
"Prkch",0.496790824788102,3.9049759990287,11.3094352373183,0.00674774958223486,0.999912992797382,"Not Significant","Small","Not Significant","MG","Dep_vs_Naive","Dependent","Naive",6,3,3,15229,2025-05-29
"Mcmdc2",0.846154089540458,2.81688767400387,11.2052609994215,0.00693187887439389,0.999912992797382,"Not Significant","Medium","Not Significant","MG","Dep_vs_Naive","Dependent","Naive",6,3,3,15229,2025-05-29
"Tent5a",0.411629911833872,8.25786548989563,11.0336564354668,0.00724635175645815,0.999912992797382,"Not Significant","Small","Not Significant","MG","Dep_vs_Naive","Dependent","Naive",6,3,3,15229,2025-05-29
"Sertad1",0.572694749982241,6.81344160294982,11.0137983410324,0.00728395222405669,0.999912992797382,"Not Significant","Medium","Not Significant","MG","Dep_vs_Naive","Dependent","Naive",6,3,3,15229,2025-05-29
"Gm43112",1.24145653154028,0.229176927684155,10.9691107577276,0.0074461962438974,0.999912992797382,"Not Significant","Large","Not Significant","MG","Dep_vs_Naive","Dependent","Naive",6,3,3,15229,2025-05-29
"Atf3",0.411011061513212,9.12833431366895,10.8730185674291,0.00755731125107286,0.999912992797382,"Not Significant","Small","Not Significant","MG","Dep_vs_Naive","Dependent","Naive",6,3,3,15229,2025-05-29
"Tec",0.373252476205317,6.18876901809348,10.8476628472093,0.00760784906099981,0.999912992797382,"Not Significant","Small","Not Significant","MG","Dep_vs_Naive","Dependent","Naive",6,3,3,15229,2025-05-29
"Mgme1",0.444768182027808,4.80868981581877,10.8212344851037,0.00766105681268227,0.999912992797382,"Not Significant","Small","Not Significant","MG","Dep_vs_Naive","Dependent","Naive",6,3,3,15229,2025-05-29
"Otud3",0.7107873435924,2.1710405949314,10.7763148666104,0.00775439772586141,0.999912992797382,"Not Significant","Medium","Not Significant","MG","Dep_vs_Naive","Dependent","Naive",6,3,3,15229,2025-05-29
"Ewsr1",-0.332608743349491,6.52401568880987,10.743832555557,0.00781905116382956,0.999912992797382,"Not Significant","Small","Not Significant","MG","Dep_vs_Naive","Dependent","Naive",6,3,3,15229,2025-05-29
"Clk4",0.324957544370041,5.55045871826884,10.7100416788569,0.00788930640506995,0.999912992797382,"Not Significant","Small","Not Significant","MG","Dep_vs_Naive","Dependent","Naive",6,3,3,15229,2025-05-29
"Slc38a2",0.341046434456322,8.11680834200612,10.5434919790786,0.00824679236717858,0.999912992797382,"Not Significant","Small","Not Significant","MG","Dep_vs_Naive","Dependent","Naive",6,3,3,15229,2025-05-29
"Trim5",-0.437453319344957,4.18179889449774,10.5161863652206,0.00830745202433788,0.999912992797382,"Not Significant","Small","Not Significant","MG","Dep_vs_Naive","Dependent","Naive",6,3,3,15229,2025-05-29
"Luc7l",0.429850025360945,5.19545980385825,10.4509967279736,0.00845378242845638,0.999912992797382,"Not Significant","Small","Not Significant","MG","Dep_vs_Naive","Dependent","Naive",6,3,3,15229,2025-05-29
"Cited2",0.405304127764002,8.45502167185036,10.4082421327059,0.00855147410273639,0.999912992797382,"Not Significant","Small","Not Significant","MG","Dep_vs_Naive","Dependent","Naive",6,3,3,15229,2025-05-29
"Dusp2",0.405555234886942,6.20704826031217,10.3963461059727,0.00857891826494755,0.999912992797382,"Not Significant","Small","Not Significant","MG","Dep_vs_Naive","Dependent","Naive",6,3,3,15229,2025-05-29
"Map3k8",0.469000830842681,4.5898497065578,10.3925116273579,0.00858791112662024,0.999912992797382,"Not Significant","Small","Not Significant","MG","Dep_vs_Naive","Dependent","Naive",6,3,3,15229,2025-05-29
"Slc25a35",-0.910133048298386,1.32733667160523,10.392987784104,0.00859576679644587,0.999912992797382,"Not Significant","Medium","Not Significant","MG","Dep_vs_Naive","Dependent","Naive",6,3,3,15229,2025-05-29
"Gm12089",1.55170648966796,-0.502834134780839,10.2408931988142,0.00863902368323837,0.999912992797382,"Not Significant","Large","Not Significant","MG","Dep_vs_Naive","Dependent","Naive",6,3,3,15229,2025-05-29
"Cysltr1",0.333094678829637,6.47309640853576,10.3652710369749,0.00865109426232504,0.999912992797382,"Not Significant","Small","Not Significant","MG","Dep_vs_Naive","Dependent","Naive",6,3,3,15229,2025-05-29
"Sap30",0.439244148476552,4.281409041894,10.2489481143819,0.0089280323320507,0.999912992797382,"Not Significant","Small","Not Significant","MG","Dep_vs_Naive","Dependent","Naive",6,3,3,15229,2025-05-29
"Pla2g4a",0.33048033019132,6.26311717852313,10.218750191534,0.0090013956461096,0.999912992797382,"Not Significant","Small","Not Significant","MG","Dep_vs_Naive","Dependent","Naive",6,3,3,15229,2025-05-29
"Gm49463",-0.904291482849507,2.06218680672868,10.1133912929768,0.00926677542289737,0.999912992797382,"Not Significant","Medium","Not Significant","MG","Dep_vs_Naive","Dependent","Naive",6,3,3,15229,2025-05-29
"Smim1",-0.362089347885314,4.57942714850813,10.0958251017718,0.00930865203741454,0.999912992797382,"Not Significant","Small","Not Significant","MG","Dep_vs_Naive","Dependent","Naive",6,3,3,15229,2025-05-29
"Nadsyn1",-0.918534102908231,0.862729791491075,10.0615283845711,0.00942030691418068,0.999912992797382,"Not Significant","Medium","Not Significant","MG","Dep_vs_Naive","Dependent","Naive",6,3,3,15229,2025-05-29
"Cd93",-1.50278735531423,-0.688575532533951,9.89287513069318,0.00943429513449082,0.999912992797382,"Not Significant","Large","Not Significant","MG","Dep_vs_Naive","Dependent","Naive",6,3,3,15229,2025-05-29
"Gm29107",0.911911927377356,1.78073609776272,10.0305407611291,0.00948139022094484,0.999912992797382,"Not Significant","Medium","Not Significant","MG","Dep_vs_Naive","Dependent","Naive",6,3,3,15229,2025-05-29
"Slco1c1",-0.755936771538081,3.15405278342625,9.92960498831532,0.00974467496290007,0.999912992797382,"Not Significant","Medium","Not Significant","MG","Dep_vs_Naive","Dependent","Naive",6,3,3,15229,2025-05-29
"Setd1b",0.346338562707748,5.59960563847655,9.88859421872067,0.00985515710145782,0.999912992797382,"Not Significant","Small","Not Significant","MG","Dep_vs_Naive","Dependent","Naive",6,3,3,15229,2025-05-29
"Themis2",0.329146868360434,4.98181813507779,9.82613470151215,0.0100275124081371,0.999912992797382,"Not Significant","Small","Not Significant","MG","Dep_vs_Naive","Dependent","Naive",6,3,3,15229,2025-05-29
"Vangl2",-0.493913077915747,3.17581063123176,9.81746056146669,0.0100522922699319,0.999912992797382,"Not Significant","Small","Not Significant","MG","Dep_vs_Naive","Dependent","Naive",6,3,3,15229,2025-05-29
