"gene","log2FoldChange","baseMean","stat","pvalue","padj","significance","effect_size","regulation","cell_type","comparison","group1","group2","total_samples","group1_samples","group2_samples","genes_tested","analysis_date"
"Cdkn1a",-0.773285003670038,6.29705441988067,51.8207472941983,1.25083090164497e-05,0.171388850143393,"Not Significant","Medium","Not Significant","MG","With_vs_Dep","Withdrawal","Dependent",6,3,3,13702,2025-05-28
"Hspa1a",-0.851321801047695,7.96407979833905,38.3447096060301,5.76532711428874e-05,0.308857231363488,"Not Significant","Medium","Not Significant","MG","With_vs_Dep","Withdrawal","Dependent",6,3,3,13702,2025-05-28
"I830077J02Rik",0.642134581434772,5.60640082337098,34.4818550080297,8.37817107595067e-05,0.308857231363488,"Not Significant","Medium","Not Significant","MG","With_vs_Dep","Withdrawal","Dependent",6,3,3,13702,2025-05-28
"Ahsa2",-0.744971500461058,5.1059052874788,33.6458253361283,9.34740875009647e-05,0.308857231363488,"Not Significant","Medium","Not Significant","MG","With_vs_Dep","Withdrawal","Dependent",6,3,3,13702,2025-05-28
"Hmox1",-0.759006312309837,5.26099538615561,30.5937840278466,0.000141994554055979,0.308857231363488,"Not Significant","Medium","Not Significant","MG","With_vs_Dep","Withdrawal","Dependent",6,3,3,13702,2025-05-28
"Dusp2",-0.896199382543019,6.04755854842951,33.7694888122444,0.000179425987745272,0.308857231363488,"Not Significant","Medium","Not Significant","MG","With_vs_Dep","Withdrawal","Dependent",6,3,3,13702,2025-05-28
"Chordc1",-0.601198202796023,6.33540918878451,28.9541389551814,0.000180095579357101,0.308857231363488,"Not Significant","Medium","Not Significant","MG","With_vs_Dep","Withdrawal","Dependent",6,3,3,13702,2025-05-28
"Dnajb1",-0.642342983078159,6.26423334156874,28.9454146419362,0.000180328262363735,0.308857231363488,"Not Significant","Medium","Not Significant","MG","With_vs_Dep","Withdrawal","Dependent",6,3,3,13702,2025-05-28
"Tubb4b",-0.456145578591478,6.20894742815814,22.9907324935555,0.00046912046776294,0.701222716067806,"Not Significant","Small","Not Significant","MG","With_vs_Dep","Withdrawal","Dependent",6,3,3,13702,2025-05-28
"Accs",0.555435578630738,4.41738178727442,22.1935610653655,0.000540092743364925,0.701222716067806,"Not Significant","Medium","Not Significant","MG","With_vs_Dep","Withdrawal","Dependent",6,3,3,13702,2025-05-28
