"gene","log2FoldChange","baseMean","stat","pvalue","padj","significance","effect_size","regulation","cell_type","comparison","group1","group2","total_samples","group1_samples","group2_samples","genes_tested","analysis_date"
"Hist1h2bc",-0.63650067081518,6.82047903256723,26.1461469641574,0.000300315742788156,0.965962257480687,"Not Significant","Medium","Not Significant","MG","With_vs_Naive","Withdrawal","Naive",6,3,3,14962,2025-05-29
"Sdf2l1",-0.468429797290704,6.90610099142098,23.6144149027269,0.000453016337689788,0.965962257480687,"Not Significant","Small","Not Significant","MG","With_vs_Naive","Withdrawal","Naive",6,3,3,14962,2025-05-29
"Gm26802",0.619844657179305,5.30517579657038,23.3976039991624,0.000469928579219285,0.965962257480687,"Not Significant","Medium","Not Significant","MG","With_vs_Naive","Withdrawal","Naive",6,3,3,14962,2025-05-29
"Ahsa1",-0.472695533723755,6.11645686182843,21.1122174491502,0.00070205003745665,0.965962257480687,"Not Significant","Small","Not Significant","MG","With_vs_Naive","Withdrawal","Naive",6,3,3,14962,2025-05-29
"Fzd9",-1.89547752235898,0.56954734112534,21.0388336428935,0.000720235921090201,0.965962257480687,"Not Significant","Large","Not Significant","MG","With_vs_Naive","Withdrawal","Naive",6,3,3,14962,2025-05-29
"Nupr1",-0.524302871712421,5.31341954442694,19.3490824568547,0.000977084524033128,0.965962257480687,"Not Significant","Medium","Not Significant","MG","With_vs_Naive","Withdrawal","Naive",6,3,3,14962,2025-05-29
"Tubb2b",-0.381730641014574,6.1659021414832,16.1137005818189,0.00189520148269031,0.965962257480687,"Not Significant","Small","Not Significant","MG","With_vs_Naive","Withdrawal","Naive",6,3,3,14962,2025-05-29
"Zmynd10",2.13791216695851,-0.422691154012237,15.4790031628308,0.0019657054573562,0.965962257480687,"Not Significant","Large","Not Significant","MG","With_vs_Naive","Withdrawal","Naive",6,3,3,14962,2025-05-29
"Snrpa",-0.382025932913872,5.54223217207938,15.545038566911,0.00214761473100837,0.965962257480687,"Not Significant","Small","Not Significant","MG","With_vs_Naive","Withdrawal","Naive",6,3,3,14962,2025-05-29
"Cct3",-0.357689217652327,6.80937859796459,14.109468537813,0.00298354449134756,0.965962257480687,"Not Significant","Small","Not Significant","MG","With_vs_Naive","Withdrawal","Naive",6,3,3,14962,2025-05-29
"Dusp2",-0.498740955869319,5.80208054587544,13.7196236803611,0.00327351578329362,0.965962257480687,"Not Significant","Small","Not Significant","MG","With_vs_Naive","Withdrawal","Naive",6,3,3,14962,2025-05-29
"Hist1h4i",-0.73960404955543,2.57140751677451,13.6095428023407,0.00336205587484667,0.965962257480687,"Not Significant","Medium","Not Significant","MG","With_vs_Naive","Withdrawal","Naive",6,3,3,14962,2025-05-29
"Dmrtb1",-1.04522687705378,1.14827675108728,13.4517672441119,0.0035019191389984,0.965962257480687,"Not Significant","Large","Not Significant","MG","With_vs_Naive","Withdrawal","Naive",6,3,3,14962,2025-05-29
"Mif",-0.46798971646827,7.19063038840628,13.2189576479213,0.00369622555348375,0.965962257480687,"Not Significant","Small","Not Significant","MG","With_vs_Naive","Withdrawal","Naive",6,3,3,14962,2025-05-29
"Lsp1",0.565824807100535,4.86064153637548,13.2021237613228,0.00371159129817303,0.965962257480687,"Not Significant","Medium","Not Significant","MG","With_vs_Naive","Withdrawal","Naive",6,3,3,14962,2025-05-29
"Hist1h1c",-0.365270027386462,5.08301732083612,13.1523475049242,0.00375723141030896,0.965962257480687,"Not Significant","Small","Not Significant","MG","With_vs_Naive","Withdrawal","Naive",6,3,3,14962,2025-05-29
"Cmya5",0.575066684804622,3.23670585052045,12.6519298367119,0.00425564120832607,0.965962257480687,"Not Significant","Medium","Not Significant","MG","With_vs_Naive","Withdrawal","Naive",6,3,3,14962,2025-05-29
"Pomc",-1.19974390807849,0.886110115036097,12.4524939689889,0.00449847078966566,0.965962257480687,"Not Significant","Large","Not Significant","MG","With_vs_Naive","Withdrawal","Naive",6,3,3,14962,2025-05-29
"Traf4",-1.64518357412697,1.17227442025165,12.193719589811,0.00480476727061587,0.965962257480687,"Not Significant","Large","Not Significant","MG","With_vs_Naive","Withdrawal","Naive",6,3,3,14962,2025-05-29
