"gene","log2FoldChange","baseMean","stat","pvalue","padj","significance","effect_size","regulation","cell_type","comparison","group1","group2","total_samples","group1_samples","group2_samples","genes_tested","analysis_date"
"Cartpt",1.97223044287553,5.44213039022545,23.7810200344242,0.00076975644733422,0.999718546614411,"Not Significant","Large","Not Significant","NEUR","Dep_vs_Naive","Dependent","Naive",6,3,3,12608,2025-05-28
"Neurl1b",0.779670823798857,4.22720667325746,13.6290526817193,0.00451327050701993,0.999718546614411,"Not Significant","Medium","Not Significant","NEUR","Dep_vs_Naive","Dependent","Naive",6,3,3,12608,2025-05-28
"Dhrs3",-0.95775215032578,3.65609139169315,13.5855881918631,0.00455615100193612,0.999718546614411,"Not Significant","Medium","Not Significant","NEUR","Dep_vs_Naive","Dependent","Naive",6,3,3,12608,2025-05-28
"Gm49708",-0.949707614939897,3.4472320978452,12.3448972791971,0.0060186645375895,0.999718546614411,"Not Significant","Medium","Not Significant","NEUR","Dep_vs_Naive","Dependent","Naive",6,3,3,12608,2025-05-28
"Gcnt1",-1.20610669783806,2.81262273536199,12.0919688391068,0.00638359241361817,0.999718546614411,"Not Significant","Large","Not Significant","NEUR","Dep_vs_Naive","Dependent","Naive",6,3,3,12608,2025-05-28
"4921516A02Rik",-1.23452853320704,2.55930441156041,12.0650447164514,0.0064240041641905,0.999718546614411,"Not Significant","Large","Not Significant","NEUR","Dep_vs_Naive","Dependent","Naive",6,3,3,12608,2025-05-28
"Smo",-1.08550499753565,2.84325109320565,12.0189252270086,0.00649395289481191,0.999718546614411,"Not Significant","Large","Not Significant","NEUR","Dep_vs_Naive","Dependent","Naive",6,3,3,12608,2025-05-28
"Arc",1.33746877864206,3.92900094786814,11.3482962178337,0.0077694245817631,0.999718546614411,"Not Significant","Large","Not Significant","NEUR","Dep_vs_Naive","Dependent","Naive",6,3,3,12608,2025-05-28
"Fabp7",-0.832270536597738,5.83356088475608,11.073691467529,0.00830645862011209,0.999718546614411,"Not Significant","Medium","Not Significant","NEUR","Dep_vs_Naive","Dependent","Naive",6,3,3,12608,2025-05-28
"Chst8",0.862313180023323,4.16042172943066,10.9864953095713,0.00845063601876157,0.999718546614411,"Not Significant","Medium","Not Significant","NEUR","Dep_vs_Naive","Dependent","Naive",6,3,3,12608,2025-05-28
"Stx1a",0.744191412601682,6.48865022425574,10.7746131091253,0.00894384477729045,0.999718546614411,"Not Significant","Medium","Not Significant","NEUR","Dep_vs_Naive","Dependent","Naive",6,3,3,12608,2025-05-28
"Pou3f1",0.860877886301798,4.60106444526903,10.6264913223985,0.00928159116769785,0.999718546614411,"Not Significant","Medium","Not Significant","NEUR","Dep_vs_Naive","Dependent","Naive",6,3,3,12608,2025-05-28
"Sytl5",-1.624349261133,1.8785421298833,10.5515591547338,0.00943492513500093,0.999718546614411,"Not Significant","Large","Not Significant","NEUR","Dep_vs_Naive","Dependent","Naive",6,3,3,12608,2025-05-28
"Nab2",0.768753678274981,4.38977673304475,10.2493196854596,0.0100964417144949,0.999718546614411,"Not Significant","Medium","Not Significant","NEUR","Dep_vs_Naive","Dependent","Naive",6,3,3,12608,2025-05-28
"Id4",-0.75982094596164,5.81344303413919,10.2474691715776,0.0102194249285043,0.999718546614411,"Not Significant","Medium","Not Significant","NEUR","Dep_vs_Naive","Dependent","Naive",6,3,3,12608,2025-05-28
"Ptpn18",-0.799806988978206,4.72859276897151,9.99330305908429,0.0109135828398673,0.999718546614411,"Not Significant","Medium","Not Significant","NEUR","Dep_vs_Naive","Dependent","Naive",6,3,3,12608,2025-05-28
"F13a1",-2.67380141231311,3.26892877098983,9.83840688930032,0.0113649460832949,0.999718546614411,"Not Significant","Large","Not Significant","NEUR","Dep_vs_Naive","Dependent","Naive",6,3,3,12608,2025-05-28
"Lst1",-0.727547406338347,4.46730177077076,9.78050913074977,0.0113964375234574,0.999718546614411,"Not Significant","Medium","Not Significant","NEUR","Dep_vs_Naive","Dependent","Naive",6,3,3,12608,2025-05-28
"Tspan18",-1.33349374565978,2.38720201484353,9.77374105599178,0.0115601154220088,0.999718546614411,"Not Significant","Large","Not Significant","NEUR","Dep_vs_Naive","Dependent","Naive",6,3,3,12608,2025-05-28
"Lca5l",-1.11999153975741,2.45990592201776,9.5194874174308,0.0121774365464016,0.999718546614411,"Not Significant","Large","Not Significant","NEUR","Dep_vs_Naive","Dependent","Naive",6,3,3,12608,2025-05-28
"Rundc1",0.806982227354224,4.11356413479593,9.49787799559541,0.0123597681211971,0.999718546614411,"Not Significant","Medium","Not Significant","NEUR","Dep_vs_Naive","Dependent","Naive",6,3,3,12608,2025-05-28
"Tril",-0.698683946879337,4.20938500800627,9.24554109888219,0.013119031118415,0.999718546614411,"Not Significant","Medium","Not Significant","NEUR","Dep_vs_Naive","Dependent","Naive",6,3,3,12608,2025-05-28
"Cald1",-0.810733000168265,5.4183555550898,9.17387584433647,0.013580932805623,0.999718546614411,"Not Significant","Medium","Not Significant","NEUR","Dep_vs_Naive","Dependent","Naive",6,3,3,12608,2025-05-28
