"gene","log2FoldChange","baseMean","stat","pvalue","padj","significance","effect_size","regulation","cell_type","comparison","group1","group2","total_samples","group1_samples","group2_samples","genes_tested","analysis_date"
"Ccl7",2.45857175365793,2.23262999290926,31.1795864098842,0.000164059034620056,0.949910176189826,"Not Significant","Large","Not Significant","NEUR","With_vs_Dep","Withdrawal","Dependent",6,3,3,13005,2025-05-28
"Lhx1",2.19712394582585,3.9508133842787,25.362962964759,0.000379938624138449,0.949910176189826,"Not Significant","Large","Not Significant","NEUR","With_vs_Dep","Withdrawal","Dependent",6,3,3,13005,2025-05-28
"Fbln1",1.93500652113218,3.26574072776685,24.8203658583408,0.000413793609304264,0.949910176189826,"Not Significant","Large","Not Significant","NEUR","With_vs_Dep","Withdrawal","Dependent",6,3,3,13005,2025-05-28
"Plcxd2",-1.03264678805059,5.52701144273838,21.2317221236685,0.000754739802991247,0.949910176189826,"Not Significant","Large","Not Significant","NEUR","With_vs_Dep","Withdrawal","Dependent",6,3,3,13005,2025-05-28
"Akain1",1.48959051033011,3.92815442900408,20.719413682598,0.000827049841605996,0.949910176189826,"Not Significant","Large","Not Significant","NEUR","With_vs_Dep","Withdrawal","Dependent",6,3,3,13005,2025-05-28
"Gfra1",1.38874059490301,5.03856806961913,19.6974146151556,0.000997376021432513,0.949910176189826,"Not Significant","Large","Not Significant","NEUR","With_vs_Dep","Withdrawal","Dependent",6,3,3,13005,2025-05-28
"Smo",1.82704561442989,3.37256166623138,19.5909332290834,0.00101741084180132,0.949910176189826,"Not Significant","Large","Not Significant","NEUR","With_vs_Dep","Withdrawal","Dependent",6,3,3,13005,2025-05-28
"Stk26",1.3427081546539,3.76592435612528,19.1558206488553,0.00110439621989793,0.949910176189826,"Not Significant","Large","Not Significant","NEUR","With_vs_Dep","Withdrawal","Dependent",6,3,3,13005,2025-05-28
"Adamts1",1.48653465248949,3.19351148781759,18.7342293783237,0.00119720750428507,0.949910176189826,"Not Significant","Large","Not Significant","NEUR","With_vs_Dep","Withdrawal","Dependent",6,3,3,13005,2025-05-28
"Stx1a",-1.16909921563364,6.34941827593632,18.6297977286621,0.00122160745185697,0.949910176189826,"Not Significant","Large","Not Significant","NEUR","With_vs_Dep","Withdrawal","Dependent",6,3,3,13005,2025-05-28
"Nt5dc2",2.35655909243811,3.6917743700339,18.1648955692443,0.00133764479698885,0.949910176189826,"Not Significant","Large","Not Significant","NEUR","With_vs_Dep","Withdrawal","Dependent",6,3,3,13005,2025-05-28
"Apcdd1",1.48839115854433,2.94991413186318,17.1860861119834,0.00162758578304509,0.949910176189826,"Not Significant","Large","Not Significant","NEUR","With_vs_Dep","Withdrawal","Dependent",6,3,3,13005,2025-05-28
"Glis3",2.15946469909394,3.49519949588918,17.0363019867556,0.00167826321593223,0.949910176189826,"Not Significant","Large","Not Significant","NEUR","With_vs_Dep","Withdrawal","Dependent",6,3,3,13005,2025-05-28
"St6galnac3",1.3649416956905,4.69631633071169,16.9275824987687,0.00171622092979792,0.949910176189826,"Not Significant","Large","Not Significant","NEUR","With_vs_Dep","Withdrawal","Dependent",6,3,3,13005,2025-05-28
"6530402F18Rik",1.50156770280439,3.3137382812861,16.8293659514903,0.00175138962546137,0.949910176189826,"Not Significant","Large","Not Significant","NEUR","With_vs_Dep","Withdrawal","Dependent",6,3,3,13005,2025-05-28
"Rspo3",0.798821415860354,5.71221872724481,16.6776945516462,0.00180739271981837,0.949910176189826,"Not Significant","Medium","Not Significant","NEUR","With_vs_Dep","Withdrawal","Dependent",6,3,3,13005,2025-05-28
"Rreb1",0.960776037294854,6.67192098728681,16.5253555611074,0.00186579261926088,0.949910176189826,"Not Significant","Medium","Not Significant","NEUR","With_vs_Dep","Withdrawal","Dependent",6,3,3,13005,2025-05-28
"Tbc1d30",-0.743292051023875,5.3847502956041,16.277684128712,0.00196558842376924,0.949910176189826,"Not Significant","Medium","Not Significant","NEUR","With_vs_Dep","Withdrawal","Dependent",6,3,3,13005,2025-05-28
"Cxcl12",1.0918159549369,4.99691222855043,16.0700478495425,0.00205415998511672,0.949910176189826,"Not Significant","Large","Not Significant","NEUR","With_vs_Dep","Withdrawal","Dependent",6,3,3,13005,2025-05-28
"Nfia",0.775399444096809,6.42905525330931,15.5841737541356,0.00228060140356902,0.949910176189826,"Not Significant","Medium","Not Significant","NEUR","With_vs_Dep","Withdrawal","Dependent",6,3,3,13005,2025-05-28
"Tmem132e",-0.83968228506214,4.66710658935368,15.5323729900911,0.00230644884524209,0.949910176189826,"Not Significant","Medium","Not Significant","NEUR","With_vs_Dep","Withdrawal","Dependent",6,3,3,13005,2025-05-28
"Olfml2b",2.0473570958737,2.58197970583191,14.9813863295003,0.00260405754877421,0.949910176189826,"Not Significant","Large","Not Significant","NEUR","With_vs_Dep","Withdrawal","Dependent",6,3,3,13005,2025-05-28
"St18",2.30102261265954,3.20653153823673,14.9735327595208,0.00260861826549944,0.949910176189826,"Not Significant","Large","Not Significant","NEUR","With_vs_Dep","Withdrawal","Dependent",6,3,3,13005,2025-05-28
"Rbp1",1.04143212578642,3.90007720081013,14.8862635729096,0.00265994037604529,0.949910176189826,"Not Significant","Large","Not Significant","NEUR","With_vs_Dep","Withdrawal","Dependent",6,3,3,13005,2025-05-28
"Tspan18",2.40324792090329,3.18923215461353,14.8376331933461,0.00268905910403611,0.949910176189826,"Not Significant","Large","Not Significant","NEUR","With_vs_Dep","Withdrawal","Dependent",6,3,3,13005,2025-05-28
"Jph1",1.08619145460032,5.39429706789137,14.7245978734563,0.00275821624081505,0.949910176189826,"Not Significant","Large","Not Significant","NEUR","With_vs_Dep","Withdrawal","Dependent",6,3,3,13005,2025-05-28
"Gm15902",1.65298867571578,2.72843455168778,14.5944454113078,0.00284047760469004,0.949910176189826,"Not Significant","Large","Not Significant","NEUR","With_vs_Dep","Withdrawal","Dependent",6,3,3,13005,2025-05-28
"S100a10",-1.5764635734176,5.75639096976268,14.6217199964342,0.00296679548272287,0.949910176189826,"Not Significant","Large","Not Significant","NEUR","With_vs_Dep","Withdrawal","Dependent",6,3,3,13005,2025-05-28
"Gm44724",1.75393763613177,1.73046521091901,14.3220373045177,0.00302227076512571,0.949910176189826,"Not Significant","Large","Not Significant","NEUR","With_vs_Dep","Withdrawal","Dependent",6,3,3,13005,2025-05-28
"Gm10605",1.46233747709785,4.33558837269759,14.0783675720158,0.00319669167428986,0.949910176189826,"Not Significant","Large","Not Significant","NEUR","With_vs_Dep","Withdrawal","Dependent",6,3,3,13005,2025-05-28
"Lhfpl2",1.1587081462401,4.23796454440238,13.6832540672969,0.00350562063313741,0.949910176189826,"Not Significant","Large","Not Significant","NEUR","With_vs_Dep","Withdrawal","Dependent",6,3,3,13005,2025-05-28
"Icosl",1.65672728479343,1.99698712304344,13.4356764267306,0.00371729208125707,0.949910176189826,"Not Significant","Large","Not Significant","NEUR","With_vs_Dep","Withdrawal","Dependent",6,3,3,13005,2025-05-28
"Gng4",-0.918799868319554,4.82914807244712,13.2991656390716,0.00384049006764599,0.949910176189826,"Not Significant","Medium","Not Significant","NEUR","With_vs_Dep","Withdrawal","Dependent",6,3,3,13005,2025-05-28
"Greb1l",1.03062887125174,4.3427060295105,13.1337622828917,0.00399632239370369,0.949910176189826,"Not Significant","Large","Not Significant","NEUR","With_vs_Dep","Withdrawal","Dependent",6,3,3,13005,2025-05-28
"Ninl",1.48770007988106,2.4589220195064,12.9849788598419,0.00414295035604999,0.949910176189826,"Not Significant","Large","Not Significant","NEUR","With_vs_Dep","Withdrawal","Dependent",6,3,3,13005,2025-05-28
"Cald1",0.64992340832601,5.32613421600164,12.8404367468466,0.00429155843731842,0.949910176189826,"Not Significant","Medium","Not Significant","NEUR","With_vs_Dep","Withdrawal","Dependent",6,3,3,13005,2025-05-28
"Iqgap2",1.08505350512424,5.82838918162051,12.7607495405095,0.00437619384341519,0.949910176189826,"Not Significant","Large","Not Significant","NEUR","With_vs_Dep","Withdrawal","Dependent",6,3,3,13005,2025-05-28
"Fam228b",0.867879630686919,4.47866551498382,12.756507979132,0.00438075410773172,0.949910176189826,"Not Significant","Medium","Not Significant","NEUR","With_vs_Dep","Withdrawal","Dependent",6,3,3,13005,2025-05-28
"Lgi2",-0.770315403124696,5.66956454728833,12.6802407715454,0.00446372350940513,0.949910176189826,"Not Significant","Medium","Not Significant","NEUR","With_vs_Dep","Withdrawal","Dependent",6,3,3,13005,2025-05-28
"Sema3a",-1.49109231257416,4.21486135361375,12.557672872171,0.00460100888612274,0.949910176189826,"Not Significant","Large","Not Significant","NEUR","With_vs_Dep","Withdrawal","Dependent",6,3,3,13005,2025-05-28
"Fam131b",-0.72152677805634,4.83277244258644,12.5536308897696,0.00460562101255026,0.949910176189826,"Not Significant","Medium","Not Significant","NEUR","With_vs_Dep","Withdrawal","Dependent",6,3,3,13005,2025-05-28
"Ccdc171",1.1919044961581,3.27300284254583,12.5167075706696,0.00464800790675336,0.949910176189826,"Not Significant","Large","Not Significant","NEUR","With_vs_Dep","Withdrawal","Dependent",6,3,3,13005,2025-05-28
"Gucy2g",-1.40616110560027,3.2254798421395,12.1929229507481,0.00504026803979451,0.949910176189826,"Not Significant","Large","Not Significant","NEUR","With_vs_Dep","Withdrawal","Dependent",6,3,3,13005,2025-05-28
"Ppp4r4",0.704351943264699,5.45211273582467,12.0576427335437,0.00521573836863039,0.949910176189826,"Not Significant","Medium","Not Significant","NEUR","With_vs_Dep","Withdrawal","Dependent",6,3,3,13005,2025-05-28
"Fam13a",0.82990593183766,4.86444626188927,11.9962469946348,0.00529776484395192,0.949910176189826,"Not Significant","Medium","Not Significant","NEUR","With_vs_Dep","Withdrawal","Dependent",6,3,3,13005,2025-05-28
"Trim54",-2.48442890808421,2.49282853112034,11.8375821188023,0.00551695270251407,0.949910176189826,"Not Significant","Large","Not Significant","NEUR","With_vs_Dep","Withdrawal","Dependent",6,3,3,13005,2025-05-28
"Scn9a",1.28242222323421,4.48045731987597,11.8276876413081,0.00553097511958604,0.949910176189826,"Not Significant","Large","Not Significant","NEUR","With_vs_Dep","Withdrawal","Dependent",6,3,3,13005,2025-05-28
"Nrp1",1.26820427247879,6.11390723477591,11.7792797471453,0.00560019257413812,0.949910176189826,"Not Significant","Large","Not Significant","NEUR","With_vs_Dep","Withdrawal","Dependent",6,3,3,13005,2025-05-28
"Zfp867",1.11996818984832,2.93982192010295,11.5731478091459,0.00590671644427545,0.949910176189826,"Not Significant","Large","Not Significant","NEUR","With_vs_Dep","Withdrawal","Dependent",6,3,3,13005,2025-05-28
"Rftn1",1.33291283615449,3.13135628301852,11.5615974932119,0.00592447472942119,0.949910176189826,"Not Significant","Large","Not Significant","NEUR","With_vs_Dep","Withdrawal","Dependent",6,3,3,13005,2025-05-28
"Gm20754",1.33156065190527,3.99472541915643,11.5580908835834,0.00592987860373517,0.949910176189826,"Not Significant","Large","Not Significant","NEUR","With_vs_Dep","Withdrawal","Dependent",6,3,3,13005,2025-05-28
"Maml2",1.32556323885898,3.85421770268122,11.4507944101082,0.00609809854158231,0.949910176189826,"Not Significant","Large","Not Significant","NEUR","With_vs_Dep","Withdrawal","Dependent",6,3,3,13005,2025-05-28
"Prox1os",2.05129292266223,3.21101405684665,11.3963370490467,0.00618564647845087,0.949910176189826,"Not Significant","Large","Not Significant","NEUR","With_vs_Dep","Withdrawal","Dependent",6,3,3,13005,2025-05-28
