"gene","log2FoldChange","baseMean","stat","pvalue","padj","significance","effect_size","regulation","cell_type","comparison","group1","group2","total_samples","group1_samples","group2_samples","genes_tested","analysis_date"
"Gm2115",1.70282993433453,3.54638219224139,31.2674629778268,0.000124590754554769,0.987744948172158,"Not Significant","Large","Not Significant","NEUR","With_vs_Naive","Withdrawal","Naive",6,3,3,13125,2025-05-28
"Wfdc17",-1.7296660097764,2.7310330724166,21.8595265851528,0.000558930426509152,0.987744948172158,"Not Significant","Large","Not Significant","NEUR","With_vs_Naive","Withdrawal","Naive",6,3,3,13125,2025-05-28
"Gpr161",1.02259023765257,4.58113401297138,20.3101459841317,0.000746166360319375,0.987744948172158,"Not Significant","Large","Not Significant","NEUR","With_vs_Naive","Withdrawal","Naive",6,3,3,13125,2025-05-28
"Slc9a2",2.02900882075468,3.19482438450322,20.2311776143027,0.000757532107427843,0.987744948172158,"Not Significant","Large","Not Significant","NEUR","With_vs_Naive","Withdrawal","Naive",6,3,3,13125,2025-05-28
"Trpc4",0.968844932006222,6.05490790931717,19.2763162146911,0.000912368873043516,0.987744948172158,"Not Significant","Medium","Not Significant","NEUR","With_vs_Naive","Withdrawal","Naive",6,3,3,13125,2025-05-28
"Gm17167",0.915472187611479,5.69990479041377,18.5781406967167,0.00104932545376454,0.987744948172158,"Not Significant","Medium","Not Significant","NEUR","With_vs_Naive","Withdrawal","Naive",6,3,3,13125,2025-05-28
"Gm49768",1.3782320853245,3.23458612085529,18.5048837435463,0.00106504801361555,0.987744948172158,"Not Significant","Large","Not Significant","NEUR","With_vs_Naive","Withdrawal","Naive",6,3,3,13125,2025-05-28
"Ctsz",-0.73065376180273,6.05475729465535,18.0482037236502,0.00116953286698376,0.987744948172158,"Not Significant","Medium","Not Significant","NEUR","With_vs_Naive","Withdrawal","Naive",6,3,3,13125,2025-05-28
"Hrh1",-1.23899611207236,3.569560592299,17.4439859729391,0.00132683319720388,0.987744948172158,"Not Significant","Large","Not Significant","NEUR","With_vs_Naive","Withdrawal","Naive",6,3,3,13125,2025-05-28
"Pcsk2os1",-0.753059076382269,5.04688619127596,17.4129079840029,0.00133557342053226,0.987744948172158,"Not Significant","Medium","Not Significant","NEUR","With_vs_Naive","Withdrawal","Naive",6,3,3,13125,2025-05-28
"Adora2a",-2.82118720916655,1.89575009828417,16.8946048462646,0.00149178600777681,0.987744948172158,"Not Significant","Large","Not Significant","NEUR","With_vs_Naive","Withdrawal","Naive",6,3,3,13125,2025-05-28
"Neto2",-0.87211132568001,5.6551056729562,16.180072948352,0.00174372964751073,0.987744948172158,"Not Significant","Medium","Not Significant","NEUR","With_vs_Naive","Withdrawal","Naive",6,3,3,13125,2025-05-28
