"gene","log2FoldChange","baseMean","stat","pvalue","padj","significance","effect_size","regulation","cell_type","comparison","group1","group2","total_samples","group1_samples","group2_samples","genes_tested","analysis_date"
"Cxcl2",-7.78422351958784,7.03611982751729,97.0546148646912,6.42037949411893e-07,0.00540852768584578,"Highly Significant","Large","Downregulated","NEUT","Dep_vs_Naive","Dependent","Naive",6,3,3,8424,2025-05-28
"Ccl12",-3.14211186494692,5.47613467794952,44.9720309543683,3.21972215300258e-06,0.0135614697084469,"Significant","Large","Downregulated","NEUT","Dep_vs_Naive","Dependent","Naive",6,3,3,8424,2025-05-28
"Ccl4",-2.73014734795665,5.65572795192701,29.6606911393855,6.43729547658283e-05,0.180759256982446,"Not Significant","Large","Not Significant","NEUT","Dep_vs_Naive","Dependent","Naive",6,3,3,8424,2025-05-28
"Dab2",-2.12729577179781,6.21154224061965,25.4825008235075,0.000154332515094999,0.325024276790069,"Not Significant","Large","Not Significant","NEUT","Dep_vs_Naive","Dependent","Naive",6,3,3,8424,2025-05-28
"Tk1",-1.25925235969999,6.30854164820995,19.4585217007528,0.000360526532174372,0.607415101407382,"Not Significant","Large","Not Significant","NEUT","Dep_vs_Naive","Dependent","Naive",6,3,3,8424,2025-05-28
"Cfp",-2.07127324915161,4.94376715224286,17.8537772617416,0.000540662119343699,0.640414807585264,"Not Significant","Large","Not Significant","NEUT","Dep_vs_Naive","Dependent","Naive",6,3,3,8424,2025-05-28
"B3galt2",-1.86023869005855,5.15013883835124,17.7487549960568,0.000555575466620288,0.640414807585264,"Not Significant","Large","Not Significant","NEUT","Dep_vs_Naive","Dependent","Naive",6,3,3,8424,2025-05-28
"Mrc1",-3.33815351802308,6.43827165980515,26.4418737839997,0.000608181203784676,0.640414807585264,"Not Significant","Large","Not Significant","NEUT","Dep_vs_Naive","Dependent","Naive",6,3,3,8424,2025-05-28
"Snx2",-1.11239712510402,6.59973357597122,15.3659251864847,0.00105602934330672,0.988443465335088,"Not Significant","Large","Not Significant","NEUT","Dep_vs_Naive","Dependent","Naive",6,3,3,8424,2025-05-28
"Egfr",1.19839082183377,6.0919071680669,14.3621186647339,0.00140574224061643,0.999465152710477,"Not Significant","Large","Not Significant","NEUT","Dep_vs_Naive","Dependent","Naive",6,3,3,8424,2025-05-28
"Hist1h2bc",1.07699835000318,6.68403528328571,13.9838676880361,0.0015698147482161,0.999465152710477,"Not Significant","Large","Not Significant","NEUT","Dep_vs_Naive","Dependent","Naive",6,3,3,8424,2025-05-28
"Sept6",-1.67390499170577,4.75518298439633,13.7269604631641,0.00169347514089998,0.999465152710477,"Not Significant","Large","Not Significant","NEUT","Dep_vs_Naive","Dependent","Naive",6,3,3,8424,2025-05-28
