"gene","log2FoldChange","baseMean","stat","pvalue","padj","significance","effect_size","regulation","cell_type","comparison","group1","group2","total_samples","group1_samples","group2_samples","genes_tested","analysis_date"
"Anxa3",-1.20360055028671,6.06669901055891,19.7275047493595,0.000756945897939466,0.999758600767318,"Not Significant","Large","Not Significant","NEUT","With_vs_Dep","Withdrawal","Dependent",6,3,3,7098,2025-05-28
"Xbp1",-0.986242785195249,6.47847587425161,15.2802986228623,0.00198141126712356,0.999758600767318,"Not Significant","Medium","Not Significant","NEUT","With_vs_Dep","Withdrawal","Dependent",6,3,3,7098,2025-05-28
"Celf4",0.888974053649305,6.66134590610953,14.175562788228,0.00258278459427031,0.999758600767318,"Not Significant","Medium","Not Significant","NEUT","With_vs_Dep","Withdrawal","Dependent",6,3,3,7098,2025-05-28
"Stxbp5l",1.83387750895478,4.67170192684705,13.5445343644577,0.00302144681644899,0.999758600767318,"Not Significant","Large","Not Significant","NEUT","With_vs_Dep","Withdrawal","Dependent",6,3,3,7098,2025-05-28
"Elovl4",1.40596687118734,5.15018014171976,13.3926122353783,0.00313970497089292,0.999758600767318,"Not Significant","Large","Not Significant","NEUT","With_vs_Dep","Withdrawal","Dependent",6,3,3,7098,2025-05-28
"Arhgap20",1.28479086523615,6.01978784736416,13.306177721849,0.00320939846775966,0.999758600767318,"Not Significant","Large","Not Significant","NEUT","With_vs_Dep","Withdrawal","Dependent",6,3,3,7098,2025-05-28
"Ddx23",1.06463404409334,5.69583988368047,13.0734508537007,0.00340622379728494,0.999758600767318,"Not Significant","Large","Not Significant","NEUT","With_vs_Dep","Withdrawal","Dependent",6,3,3,7098,2025-05-28
"Mical2",1.73376944164724,4.93133772167193,12.9266539599976,0.00353763342714732,0.999758600767318,"Not Significant","Large","Not Significant","NEUT","With_vs_Dep","Withdrawal","Dependent",6,3,3,7098,2025-05-28
"Kctd4",1.42927564390866,5.43703624501704,12.3915100735088,0.00406958239616975,0.999758600767318,"Not Significant","Large","Not Significant","NEUT","With_vs_Dep","Withdrawal","Dependent",6,3,3,7098,2025-05-28
"Irf8",-1.18541034918461,5.90025435881682,12.1533624590231,0.00433605006578918,0.999758600767318,"Not Significant","Large","Not Significant","NEUT","With_vs_Dep","Withdrawal","Dependent",6,3,3,7098,2025-05-28
"B3galt2",1.51701433052083,4.93628981341766,12.061793539092,0.00444390359600723,0.999758600767318,"Not Significant","Large","Not Significant","NEUT","With_vs_Dep","Withdrawal","Dependent",6,3,3,7098,2025-05-28
