"gene","log2FoldChange","baseMean","stat","pvalue","padj","significance","effect_size","regulation","cell_type","comparison","group1","group2","total_samples","group1_samples","group2_samples","genes_tested","analysis_date"
"Ccl4",-3.53525481477381,5.56005663595877,42.9048908564996,1.79260408839711e-05,0.155024401564582,"Not Significant","Large","Not Significant","NEUT","With_vs_Naive","Withdrawal","Naive",6,3,3,8648,2025-05-28
"Dab2",-2.87621194851818,6.08953858736184,30.0237167839512,0.000193687103477205,0.837503035435436,"Not Significant","Large","Not Significant","NEUT","With_vs_Naive","Withdrawal","Naive",6,3,3,8648,2025-05-28
"Fcgrt",-2.91743732344884,4.94464709272523,23.881736138017,0.000291177931990172,0.839368918617002,"Not Significant","Large","Not Significant","NEUT","With_vs_Naive","Withdrawal","Naive",6,3,3,8648,2025-05-28
"Ly6e",-1.32094617876681,7.79991603263957,21.8123073048493,0.000430286374915233,0.859524575953131,"Not Significant","Large","Not Significant","NEUT","With_vs_Naive","Withdrawal","Naive",6,3,3,8648,2025-05-28
"Cfp",-2.09821386033115,4.9045388086094,18.4526425488629,0.000857250591357566,0.859524575953131,"Not Significant","Large","Not Significant","NEUT","With_vs_Naive","Withdrawal","Naive",6,3,3,8648,2025-05-28
"Mrc1",-3.35128196600505,6.416489818508,23.6468741847546,0.000992109470711225,0.859524575953131,"Not Significant","Large","Not Significant","NEUT","With_vs_Naive","Withdrawal","Naive",6,3,3,8648,2025-05-28
"Ifi30",-1.98851398415845,6.1010295340441,18.8974965729615,0.00106385903820635,0.859524575953131,"Not Significant","Large","Not Significant","NEUT","With_vs_Naive","Withdrawal","Naive",6,3,3,8648,2025-05-28
"Il1b",-4.06262963963893,5.43507427011765,21.3164216746089,0.00110881834186253,0.859524575953131,"Not Significant","Large","Not Significant","NEUT","With_vs_Naive","Withdrawal","Naive",6,3,3,8648,2025-05-28
"Hecw1",1.98318578252847,4.98225564344958,17.0521340565985,0.0011697010552755,0.859524575953131,"Not Significant","Large","Not Significant","NEUT","With_vs_Naive","Withdrawal","Naive",6,3,3,8648,2025-05-28
"Igfbp4",-1.74219738914652,5.34390397676747,16.7736128863784,0.00124657189086823,0.859524575953131,"Not Significant","Large","Not Significant","NEUT","With_vs_Naive","Withdrawal","Naive",6,3,3,8648,2025-05-28
"Tagln2",-1.21671066450673,7.27663956902799,16.5311825466072,0.00131827083463956,0.859524575953131,"Not Significant","Large","Not Significant","NEUT","With_vs_Naive","Withdrawal","Naive",6,3,3,8648,2025-05-28
"Ccl12",-2.46070849115478,5.52720208412619,17.7173514892583,0.00139434455590923,0.859524575953131,"Not Significant","Large","Not Significant","NEUT","With_vs_Naive","Withdrawal","Naive",6,3,3,8648,2025-05-28
"Tk1",-1.10952525270221,6.3329531946342,16.1442969943823,0.00144281666987052,0.859524575953131,"Not Significant","Large","Not Significant","NEUT","With_vs_Naive","Withdrawal","Naive",6,3,3,8648,2025-05-28
"Nrros",-2.378044246634,4.63209821092651,14.8960936803217,0.00194822407533094,0.859524575953131,"Not Significant","Large","Not Significant","NEUT","With_vs_Naive","Withdrawal","Naive",6,3,3,8648,2025-05-28
"Clic1",-1.10331426889469,7.95868363919631,14.7941230884871,0.00199789200574456,0.859524575953131,"Not Significant","Large","Not Significant","NEUT","With_vs_Naive","Withdrawal","Naive",6,3,3,8648,2025-05-28
"Spi1",-1.85796342543095,5.9425186180024,15.7136916263155,0.00201805380492369,0.859524575953131,"Not Significant","Large","Not Significant","NEUT","With_vs_Naive","Withdrawal","Naive",6,3,3,8648,2025-05-28
"Ccl2",-1.94746374006897,6.3344236177019,16.3367100213487,0.00211707355983794,0.859524575953131,"Not Significant","Large","Not Significant","NEUT","With_vs_Naive","Withdrawal","Naive",6,3,3,8648,2025-05-28
"Kif5c",1.00433287385384,6.86173522328479,14.1891325190062,0.00232460006140693,0.859524575953131,"Not Significant","Large","Not Significant","NEUT","With_vs_Naive","Withdrawal","Naive",6,3,3,8648,2025-05-28
"Mif4gd",-1.4277729022822,5.39731752798028,13.5472576147569,0.00274096610212483,0.859524575953131,"Not Significant","Large","Not Significant","NEUT","With_vs_Naive","Withdrawal","Naive",6,3,3,8648,2025-05-28
"Laptm4b",-1.22778054814508,5.25216613813933,13.4136714610963,0.00283814003991599,0.859524575953131,"Not Significant","Large","Not Significant","NEUT","With_vs_Naive","Withdrawal","Naive",6,3,3,8648,2025-05-28
"Smarcd2",-1.83167938011244,4.41842659493289,13.4100361958757,0.00284083970201468,0.859524575953131,"Not Significant","Large","Not Significant","NEUT","With_vs_Naive","Withdrawal","Naive",6,3,3,8648,2025-05-28
"Ctsa",-1.05928750647339,6.01113488940039,13.2963418281671,0.00292679423832767,0.859524575953131,"Not Significant","Large","Not Significant","NEUT","With_vs_Naive","Withdrawal","Naive",6,3,3,8648,2025-05-28
"Cpsf6",0.80895839226307,7.20166252679051,13.1810260352152,0.00301706909219661,0.859524575953131,"Not Significant","Medium","Not Significant","NEUT","With_vs_Naive","Withdrawal","Naive",6,3,3,8648,2025-05-28
"4430402I18Rik",-1.45167263780271,4.78065131659741,13.0838062785356,0.00309569200567238,0.859524575953131,"Not Significant","Large","Not Significant","NEUT","With_vs_Naive","Withdrawal","Naive",6,3,3,8648,2025-05-28
"5330434G04Rik",1.21897580575655,5.54141247652027,12.942133980486,0.00321455669535014,0.859524575953131,"Not Significant","Large","Not Significant","NEUT","With_vs_Naive","Withdrawal","Naive",6,3,3,8648,2025-05-28
"Ptpn18",-1.24522149786087,6.15006788741288,12.6634843395526,0.00346413690385189,0.859524575953131,"Not Significant","Large","Not Significant","NEUT","With_vs_Naive","Withdrawal","Naive",6,3,3,8648,2025-05-28
"Maf",-1.25172114706984,6.55759916755054,12.6703673262704,0.00352836727396794,0.859524575953131,"Not Significant","Large","Not Significant","NEUT","With_vs_Naive","Withdrawal","Naive",6,3,3,8648,2025-05-28
"Anxa3",-1.10941603426047,5.97218400927321,12.5647998207045,0.00355786369659106,0.859524575953131,"Not Significant","Large","Not Significant","NEUT","With_vs_Naive","Withdrawal","Naive",6,3,3,8648,2025-05-28
"Casp8",-1.99590811315355,4.42173932764283,12.3879290546914,0.00373330975354782,0.859524575953131,"Not Significant","Large","Not Significant","NEUT","With_vs_Naive","Withdrawal","Naive",6,3,3,8648,2025-05-28
"Ctnna2",0.966269777857707,5.94404313533751,12.2067092202427,0.00392356557743664,0.859524575953131,"Not Significant","Medium","Not Significant","NEUT","With_vs_Naive","Withdrawal","Naive",6,3,3,8648,2025-05-28
"C530008M17Rik",0.862957184949418,6.70272733535962,12.1536741938465,0.00398135635802235,0.859524575953131,"Not Significant","Medium","Not Significant","NEUT","With_vs_Naive","Withdrawal","Naive",6,3,3,8648,2025-05-28
"Cd68",-1.39940250902302,6.20650084771128,12.3731761365312,0.00404068100578008,0.859524575953131,"Not Significant","Large","Not Significant","NEUT","With_vs_Naive","Withdrawal","Naive",6,3,3,8648,2025-05-28
"Nfkbid",-1.41366438474547,5.11530868548654,11.9840191485045,0.00417296836102187,0.859524575953131,"Not Significant","Large","Not Significant","NEUT","With_vs_Naive","Withdrawal","Naive",6,3,3,8648,2025-05-28
"Ccdc88c",1.02107742785551,5.60689160835735,11.7673160602393,0.00443349262070452,0.859524575953131,"Not Significant","Large","Not Significant","NEUT","With_vs_Naive","Withdrawal","Naive",6,3,3,8648,2025-05-28
"Kcne1l",1.22265360893028,5.00490017808652,11.7601069518569,0.00444247870546584,0.859524575953131,"Not Significant","Large","Not Significant","NEUT","With_vs_Naive","Withdrawal","Naive",6,3,3,8648,2025-05-28
"Dcx",1.39949123004059,7.32992239915528,12.8549993826286,0.00451900917301889,0.859524575953131,"Not Significant","Large","Not Significant","NEUT","With_vs_Naive","Withdrawal","Naive",6,3,3,8648,2025-05-28
"Pros1",-1.27559146467003,5.3966939339094,11.6571115734399,0.0045731981383045,0.859524575953131,"Not Significant","Large","Not Significant","NEUT","With_vs_Naive","Withdrawal","Naive",6,3,3,8648,2025-05-28
"Rbl1",-0.927316656201815,6.14341471060741,11.6259013176663,0.00461368709160593,0.859524575953131,"Not Significant","Medium","Not Significant","NEUT","With_vs_Naive","Withdrawal","Naive",6,3,3,8648,2025-05-28
"Haus4",-0.953967333260834,5.65430588919718,11.5993935832274,0.00464840251013447,0.859524575953131,"Not Significant","Medium","Not Significant","NEUT","With_vs_Naive","Withdrawal","Naive",6,3,3,8648,2025-05-28
"Cited2",-0.806228314357101,6.95078346533007,11.5885314391394,0.00466271544839234,0.859524575953131,"Not Significant","Medium","Not Significant","NEUT","With_vs_Naive","Withdrawal","Naive",6,3,3,8648,2025-05-28
"Gdap1",0.911801295827349,5.74205910310419,11.4649435441282,0.00482922135627957,0.859524575953131,"Not Significant","Medium","Not Significant","NEUT","With_vs_Naive","Withdrawal","Naive",6,3,3,8648,2025-05-28
"Lcp1",-1.38176271763723,6.3503145701064,11.9450825984697,0.00484369926422412,0.859524575953131,"Not Significant","Large","Not Significant","NEUT","With_vs_Naive","Withdrawal","Naive",6,3,3,8648,2025-05-28
"F13a1",-2.69038241290096,5.21723595089468,12.8912352407516,0.004875637410962,0.859524575953131,"Not Significant","Large","Not Significant","NEUT","With_vs_Naive","Withdrawal","Naive",6,3,3,8648,2025-05-28
"Egfr",0.932345230688159,5.917676905665,11.348168575559,0.00499292166432665,0.859524575953131,"Not Significant","Medium","Not Significant","NEUT","With_vs_Naive","Withdrawal","Naive",6,3,3,8648,2025-05-28
"Dnajc3",-0.858357338517629,6.94282838115809,11.2861664338255,0.00508245346615708,0.859524575953131,"Not Significant","Medium","Not Significant","NEUT","With_vs_Naive","Withdrawal","Naive",6,3,3,8648,2025-05-28
"Sgip1",0.828040716511324,6.38509435146172,11.184818187262,0.00523284728322552,0.859524575953131,"Not Significant","Medium","Not Significant","NEUT","With_vs_Naive","Withdrawal","Naive",6,3,3,8648,2025-05-28
"Snx2",-1.04741065840243,6.59819052828326,11.1706211197478,0.00525432477386875,0.859524575953131,"Not Significant","Large","Not Significant","NEUT","With_vs_Naive","Withdrawal","Naive",6,3,3,8648,2025-05-28
