"gene","log2FoldChange","baseMean","stat","pvalue","padj","significance","effect_size","regulation","cell_type","comparison","group1","group2","total_samples","group1_samples","group2_samples","genes_tested","analysis_date"
"Gpr37l1",-1.26116838381293,4.99482322140964,39.1305444562292,2.68432566376239e-06,0.0142754096186744,"Significant","Large","Downregulated","OLG","With_vs_Naive","Withdrawal","Naive",6,3,3,10343,2025-05-28
"Hist1h1c",-0.799596704325564,6.93352042951075,38.9789539737994,2.76040019697852e-06,0.0142754096186744,"Significant","Medium","Downregulated","OLG","With_vs_Naive","Withdrawal","Naive",6,3,3,10343,2025-05-28
"Tcf7l2",-0.74663824119575,5.57880607572794,23.372153926084,7.85199258461319e-05,0.270710531008847,"Not Significant","Medium","Not Significant","OLG","With_vs_Naive","Withdrawal","Naive",6,3,3,10343,2025-05-28
"Dynll1",-0.556319070266515,8.677653921133,20.4217628348357,0.000169422743356808,0.401149001344667,"Not Significant","Medium","Not Significant","OLG","With_vs_Naive","Withdrawal","Naive",6,3,3,10343,2025-05-28
"Hist1h2bc",-0.544318906680967,8.48476043216109,19.5181696289293,0.000216908101419669,0.401149001344667,"Not Significant","Medium","Not Significant","OLG","With_vs_Naive","Withdrawal","Naive",6,3,3,10343,2025-05-28
"Cryab",-0.459416073551658,12.1269773856472,18.9324158571437,0.000255384522551689,0.401149001344667,"Not Significant","Small","Not Significant","OLG","With_vs_Naive","Withdrawal","Naive",6,3,3,10343,2025-05-28
"Atp11a",0.569779263523675,6.40125986347472,18.7153360902525,0.000271492121184634,0.401149001344667,"Not Significant","Medium","Not Significant","OLG","With_vs_Naive","Withdrawal","Naive",6,3,3,10343,2025-05-28
"Plagl1",0.942682784151747,4.6922345684017,18.4235799600397,0.000311985033741906,0.403357650499067,"Not Significant","Medium","Not Significant","OLG","With_vs_Naive","Withdrawal","Naive",6,3,3,10343,2025-05-28
"S100b",-0.61369239656337,6.81529502839485,17.4385678910171,0.000466427636115255,0.493776322588609,"Not Significant","Medium","Not Significant","OLG","With_vs_Naive","Withdrawal","Naive",6,3,3,10343,2025-05-28
"Aqp4",-0.997646574198205,4.31306223742656,16.924298147394,0.000477401452758976,0.493776322588609,"Not Significant","Medium","Not Significant","OLG","With_vs_Naive","Withdrawal","Naive",6,3,3,10343,2025-05-28
"Bcan",-1.07604712288888,5.07387647482303,19.6811947651044,0.000534756986348243,0.502817409981807,"Not Significant","Large","Not Significant","OLG","With_vs_Naive","Withdrawal","Naive",6,3,3,10343,2025-05-28
"Grin2c",-1.78303289540681,2.35940188601796,16.0541239881475,0.000592344019620813,0.510551182911506,"Not Significant","Large","Not Significant","OLG","With_vs_Naive","Withdrawal","Naive",6,3,3,10343,2025-05-28
"Kcna1",0.48943839032411,7.98756116684004,15.3002635935405,0.000747003625273629,0.532977425989196,"Not Significant","Small","Not Significant","OLG","With_vs_Naive","Withdrawal","Naive",6,3,3,10343,2025-05-28
"Mfge8",-0.702191669834296,5.45211126386779,15.4133193177083,0.000754200803013699,0.532977425989196,"Not Significant","Medium","Not Significant","OLG","With_vs_Naive","Withdrawal","Naive",6,3,3,10343,2025-05-28
"Gpkow",0.922397338504062,4.03723411623132,15.0159076502028,0.000816424405191373,0.532977425989196,"Not Significant","Medium","Not Significant","OLG","With_vs_Naive","Withdrawal","Naive",6,3,3,10343,2025-05-28
"Mgll",-0.632471767908624,5.73400245227527,14.984622597602,0.00082448407771702,0.532977425989196,"Not Significant","Medium","Not Significant","OLG","With_vs_Naive","Withdrawal","Naive",6,3,3,10343,2025-05-28
"Dscaml1",0.558575607191809,6.18162149543435,14.7406733322058,0.000890407025358912,0.537028572268438,"Not Significant","Medium","Not Significant","OLG","With_vs_Naive","Withdrawal","Naive",6,3,3,10343,2025-05-28
"Kat7",0.617816820708821,5.27250440260041,14.1589881721597,0.0010721621764354,0.537028572268438,"Not Significant","Medium","Not Significant","OLG","With_vs_Naive","Withdrawal","Naive",6,3,3,10343,2025-05-28
"Cyp51",-0.5300365411608,6.87371693891076,14.2597648732719,0.00109464773672576,0.537028572268438,"Not Significant","Medium","Not Significant","OLG","With_vs_Naive","Withdrawal","Naive",6,3,3,10343,2025-05-28
"Tanc1",0.545747100383195,5.80769432258355,13.9983963108606,0.00112925088182087,0.537028572268438,"Not Significant","Medium","Not Significant","OLG","With_vs_Naive","Withdrawal","Naive",6,3,3,10343,2025-05-28
"Itgb5",-1.02451620737693,3.73465454432842,13.9432513509101,0.00114961690000709,0.537028572268438,"Not Significant","Large","Not Significant","OLG","With_vs_Naive","Withdrawal","Naive",6,3,3,10343,2025-05-28
"Fjx1",-0.988867912422674,3.96658584307369,13.8365985295222,0.00119015875580838,0.537028572268438,"Not Significant","Medium","Not Significant","OLG","With_vs_Naive","Withdrawal","Naive",6,3,3,10343,2025-05-28
"Hist1h4h",-0.689791258139637,4.78736020921207,13.8261748040273,0.00119420450180548,0.537028572268438,"Not Significant","Medium","Not Significant","OLG","With_vs_Naive","Withdrawal","Naive",6,3,3,10343,2025-05-28
"Lsamp",-0.618888765959689,5.92653452520467,13.6631849795289,0.00140553086755974,0.573122700937971,"Not Significant","Medium","Not Significant","OLG","With_vs_Naive","Withdrawal","Naive",6,3,3,10343,2025-05-28
"F3",-1.05276488837838,3.65243724131624,13.1059403622424,0.00151394696527297,0.573122700937971,"Not Significant","Large","Not Significant","OLG","With_vs_Naive","Withdrawal","Naive",6,3,3,10343,2025-05-28
"Gjb6",-1.20526327585839,3.47667014436234,13.2826717166111,0.0015160399325371,0.573122700937971,"Not Significant","Large","Not Significant","OLG","With_vs_Naive","Withdrawal","Naive",6,3,3,10343,2025-05-28
"Gm3764",-1.04130981408548,3.57825448177233,13.0941931342331,0.00151988622239692,0.573122700937971,"Not Significant","Large","Not Significant","OLG","With_vs_Naive","Withdrawal","Naive",6,3,3,10343,2025-05-28
"Psd2",-1.58363277523426,2.23879871317095,12.9091594260156,0.00161689246613508,0.573122700937971,"Not Significant","Large","Not Significant","OLG","With_vs_Naive","Withdrawal","Naive",6,3,3,10343,2025-05-28
"Pakap.1",0.566692118163941,5.6536859861702,12.8476281559937,0.0016506414377047,0.573122700937971,"Not Significant","Medium","Not Significant","OLG","With_vs_Naive","Withdrawal","Naive",6,3,3,10343,2025-05-28
"Gja1",-0.936978167397277,5.11446135760146,15.1000851073747,0.00166234951446767,0.573122700937971,"Not Significant","Medium","Not Significant","OLG","With_vs_Naive","Withdrawal","Naive",6,3,3,10343,2025-05-28
"Gm43672",-1.560736304133,2.40181250679912,11.9568149171957,0.00223678044160473,0.653985313077635,"Not Significant","Large","Not Significant","OLG","With_vs_Naive","Withdrawal","Naive",6,3,3,10343,2025-05-28
"Tmem163",-0.553182344319418,6.18751098859623,12.0386608320889,0.00235009040130681,0.653985313077635,"Not Significant","Medium","Not Significant","OLG","With_vs_Naive","Withdrawal","Naive",6,3,3,10343,2025-05-28
"Mycbp2",0.394812499392203,7.52524479178732,11.6585070838932,0.00248151793734927,0.653985313077635,"Not Significant","Small","Not Significant","OLG","With_vs_Naive","Withdrawal","Naive",6,3,3,10343,2025-05-28
"Map4k5",0.414236844742144,6.79249721067308,11.5644368645659,0.00256468871675242,0.653985313077635,"Not Significant","Small","Not Significant","OLG","With_vs_Naive","Withdrawal","Naive",6,3,3,10343,2025-05-28
"Cotl1",-1.12013982157932,3.18988704375397,11.5427442807536,0.00258429978043879,0.653985313077635,"Not Significant","Large","Not Significant","OLG","With_vs_Naive","Withdrawal","Naive",6,3,3,10343,2025-05-28
"Mt3",-0.496915764758867,7.26470502282759,12.0250391870527,0.0026279805807014,0.653985313077635,"Not Significant","Small","Not Significant","OLG","With_vs_Naive","Withdrawal","Naive",6,3,3,10343,2025-05-28
"Nr2f1",-0.657971619548539,4.47214037898497,11.4544064965831,0.00266588146152531,0.653985313077635,"Not Significant","Medium","Not Significant","OLG","With_vs_Naive","Withdrawal","Naive",6,3,3,10343,2025-05-28
"Srrt",0.54150028987076,5.50861086745329,11.4020332858207,0.00271558379446598,0.653985313077635,"Not Significant","Medium","Not Significant","OLG","With_vs_Naive","Withdrawal","Naive",6,3,3,10343,2025-05-28
"Parp4",0.892861045581198,3.94487898346626,11.3806951214296,0.00273612521155167,0.653985313077635,"Not Significant","Medium","Not Significant","OLG","With_vs_Naive","Withdrawal","Naive",6,3,3,10343,2025-05-28
"Zfhx3",-0.999687601707479,3.6495226411475,11.3342246548664,0.00278145439959576,0.653985313077635,"Not Significant","Medium","Not Significant","OLG","With_vs_Naive","Withdrawal","Naive",6,3,3,10343,2025-05-28
"Ccdc34",-0.44632130632152,6.16974046600896,11.3032536547449,0.00281212318764547,0.653985313077635,"Not Significant","Small","Not Significant","OLG","With_vs_Naive","Withdrawal","Naive",6,3,3,10343,2025-05-28
"D130020L05Rik",-1.25176260962241,2.73925531876583,11.2776388812633,0.00283776912357694,0.653985313077635,"Not Significant","Large","Not Significant","OLG","With_vs_Naive","Withdrawal","Naive",6,3,3,10343,2025-05-28
"Pla2g7",-0.625164849353377,4.71565748853975,11.1927080780666,0.00292466123828142,0.653985313077635,"Not Significant","Medium","Not Significant","OLG","With_vs_Naive","Withdrawal","Naive",6,3,3,10343,2025-05-28
"Fdps",-0.391961877387772,7.11851095714801,11.1401069348273,0.00297994245300227,0.653985313077635,"Not Significant","Small","Not Significant","OLG","With_vs_Naive","Withdrawal","Naive",6,3,3,10343,2025-05-28
"S1pr1",-0.857401375945695,4.6296389322843,11.9078011058514,0.0030246841796244,0.653985313077635,"Not Significant","Medium","Not Significant","OLG","With_vs_Naive","Withdrawal","Naive",6,3,3,10343,2025-05-28
