"gene","log2FoldChange","baseMean","stat","pvalue","padj","significance","effect_size","regulation","cell_type","comparison","group1","group2","total_samples","group1_samples","group2_samples","genes_tested","analysis_date"
"Hist1h1c",-0.833512184500554,4.26651435005586,35.3906597529415,5.43066681713608e-05,0.853320676976592,"Not Significant","Medium","Not Significant","OPC","Dep_vs_Naive","Dependent","Naive",6,3,3,15713,2025-05-29
"Plk5",0.917473143067826,3.68627847636585,26.150306992764,0.000217392359139752,0.999475196090607,"Not Significant","Medium","Not Significant","OPC","Dep_vs_Naive","Dependent","Naive",6,3,3,15713,2025-05-29
"Fignl1",-1.10840457432725,3.10656518256658,21.8734867095395,0.000466533358231181,0.999475196090607,"Not Significant","Large","Not Significant","OPC","Dep_vs_Naive","Dependent","Naive",6,3,3,15713,2025-05-29
"Mcm3",-0.849593871776426,4.01718496466016,21.5101031026846,0.000499958251052531,0.999475196090607,"Not Significant","Medium","Not Significant","OPC","Dep_vs_Naive","Dependent","Naive",6,3,3,15713,2025-05-29
"Zfp941",-0.619222994394594,4.63834754157945,21.1160432886361,0.000539491977387218,0.999475196090607,"Not Significant","Medium","Not Significant","OPC","Dep_vs_Naive","Dependent","Naive",6,3,3,15713,2025-05-29
"Hells",-0.915707086055928,3.84832950558762,20.0476312100392,0.00066643792437965,0.999475196090607,"Not Significant","Medium","Not Significant","OPC","Dep_vs_Naive","Dependent","Naive",6,3,3,15713,2025-05-29
"Mcm6",-0.677993640813584,4.6294079963463,18.9544151924508,0.000833623056192168,0.999475196090607,"Not Significant","Medium","Not Significant","OPC","Dep_vs_Naive","Dependent","Naive",6,3,3,15713,2025-05-29
"Chst8",0.943133424275286,2.67337076533559,16.977974030302,0.00127750702012975,0.999475196090607,"Not Significant","Medium","Not Significant","OPC","Dep_vs_Naive","Dependent","Naive",6,3,3,15713,2025-05-29
"Dnajb1",0.537408438380362,5.7712179114133,16.6010230862906,0.00139007414558814,0.999475196090607,"Not Significant","Medium","Not Significant","OPC","Dep_vs_Naive","Dependent","Naive",6,3,3,15713,2025-05-29
"Hcrtr2",-2.51501489290139,0.269609606101861,15.8717441083803,0.0014909232428535,0.999475196090607,"Not Significant","Large","Not Significant","OPC","Dep_vs_Naive","Dependent","Naive",6,3,3,15713,2025-05-29
"Dlgap5",-2.05390482387243,0.134390978326214,15.4214572101728,0.00172356145945482,0.999475196090607,"Not Significant","Large","Not Significant","OPC","Dep_vs_Naive","Dependent","Naive",6,3,3,15713,2025-05-29
"Hsp90b1",-0.474806772546814,9.8618611468976,15.5179116379835,0.00178560043781457,0.999475196090607,"Not Significant","Small","Not Significant","OPC","Dep_vs_Naive","Dependent","Naive",6,3,3,15713,2025-05-29
"Tipin",-0.634068349885229,5.22388936033401,15.2900722307606,0.00188470257933421,0.999475196090607,"Not Significant","Medium","Not Significant","OPC","Dep_vs_Naive","Dependent","Naive",6,3,3,15713,2025-05-29
"Calr",-0.411789304324987,9.53623459179832,14.3523956815014,0.00236584709747296,0.999475196090607,"Not Significant","Small","Not Significant","OPC","Dep_vs_Naive","Dependent","Naive",6,3,3,15713,2025-05-29
"Gm14308",2.2790678617632,-0.271157956183101,13.3521710032727,0.00251654109647568,0.999475196090607,"Not Significant","Large","Not Significant","OPC","Dep_vs_Naive","Dependent","Naive",6,3,3,15713,2025-05-29
"Bst2",-1.0678037176707,2.8608078416897,13.8710157416185,0.00266838257493499,0.999475196090607,"Not Significant","Large","Not Significant","OPC","Dep_vs_Naive","Dependent","Naive",6,3,3,15713,2025-05-29
"Derl3",-1.10717267242656,2.055039616979,13.8693235063544,0.00267097472420302,0.999475196090607,"Not Significant","Large","Not Significant","OPC","Dep_vs_Naive","Dependent","Naive",6,3,3,15713,2025-05-29
"Dtl",-1.08221351520799,1.87999776993717,13.6259330001543,0.00284146028463703,0.999475196090607,"Not Significant","Large","Not Significant","OPC","Dep_vs_Naive","Dependent","Naive",6,3,3,15713,2025-05-29
"Gm4117",-0.83545271240033,2.98820528673868,13.3700077721551,0.00303123399185239,0.999475196090607,"Not Significant","Medium","Not Significant","OPC","Dep_vs_Naive","Dependent","Naive",6,3,3,15713,2025-05-29
"Rab38",-1.28491215607101,1.27645950768084,13.0583549700589,0.0032992603155443,0.999475196090607,"Not Significant","Large","Not Significant","OPC","Dep_vs_Naive","Dependent","Naive",6,3,3,15713,2025-05-29
"Brca2",-0.703935489553479,4.61834041380868,12.8588563805023,0.00346180423433504,0.999475196090607,"Not Significant","Medium","Not Significant","OPC","Dep_vs_Naive","Dependent","Naive",6,3,3,15713,2025-05-29
"Atad5",-0.591139010229273,4.10619537438714,12.7621762140503,0.0035511854990252,0.999475196090607,"Not Significant","Medium","Not Significant","OPC","Dep_vs_Naive","Dependent","Naive",6,3,3,15713,2025-05-29
"Sox1ot",-1.19882268139447,1.58071757129694,12.462219170974,0.00385298543484513,0.999475196090607,"Not Significant","Large","Not Significant","OPC","Dep_vs_Naive","Dependent","Naive",6,3,3,15713,2025-05-29
"Hmgb2",-0.418566624516821,6.19573421705296,12.3089216067896,0.00400740974297026,0.999475196090607,"Not Significant","Small","Not Significant","OPC","Dep_vs_Naive","Dependent","Naive",6,3,3,15713,2025-05-29
"Usp18",-1.68285883299877,0.397518080203817,12.1064456162935,0.00423455754041737,0.999475196090607,"Not Significant","Large","Not Significant","OPC","Dep_vs_Naive","Dependent","Naive",6,3,3,15713,2025-05-29
"Mcm4",-0.453383353384801,4.76854346163088,11.9661853473666,0.00439829537466933,0.999475196090607,"Not Significant","Small","Not Significant","OPC","Dep_vs_Naive","Dependent","Naive",6,3,3,15713,2025-05-29
"Jmjd6",0.365796769179414,5.73028536734053,11.9069935788297,0.00447013331427287,0.999475196090607,"Not Significant","Small","Not Significant","OPC","Dep_vs_Naive","Dependent","Naive",6,3,3,15713,2025-05-29
"Ptgfrn",0.796918946797746,4.83993384338763,12.2010821753007,0.00447479258589819,0.999475196090607,"Not Significant","Medium","Not Significant","OPC","Dep_vs_Naive","Dependent","Naive",6,3,3,15713,2025-05-29
"Isg15",-1.20040471371704,1.7490007950301,11.8037807998503,0.00460449274447468,0.999475196090607,"Not Significant","Large","Not Significant","OPC","Dep_vs_Naive","Dependent","Naive",6,3,3,15713,2025-05-29
"Tnfaip6",0.42827406326756,5.16696133083315,11.5847558368001,0.00488654440968606,0.999475196090607,"Not Significant","Small","Not Significant","OPC","Dep_vs_Naive","Dependent","Naive",6,3,3,15713,2025-05-29
"Rmi2",-0.955726684695554,1.90586056636231,11.4564452025684,0.00506834074829445,0.999475196090607,"Not Significant","Medium","Not Significant","OPC","Dep_vs_Naive","Dependent","Naive",6,3,3,15713,2025-05-29
"Xbp1",0.506182905291789,7.26368094797276,11.4303323389527,0.0051019413850195,0.999475196090607,"Not Significant","Medium","Not Significant","OPC","Dep_vs_Naive","Dependent","Naive",6,3,3,15713,2025-05-29
"Ifit1",-0.931085889030608,1.83894748328311,11.2357837365705,0.00539348601852536,0.999475196090607,"Not Significant","Medium","Not Significant","OPC","Dep_vs_Naive","Dependent","Naive",6,3,3,15713,2025-05-29
"Adgre5",-1.32632780882442,0.940312741783073,11.0651518567889,0.00569358359578136,0.999475196090607,"Not Significant","Large","Not Significant","OPC","Dep_vs_Naive","Dependent","Naive",6,3,3,15713,2025-05-29
"Reep1",0.36731970082891,6.47434491847338,10.9384550530967,0.00586596089227761,0.999475196090607,"Not Significant","Small","Not Significant","OPC","Dep_vs_Naive","Dependent","Naive",6,3,3,15713,2025-05-29
"Oxld1",-0.724645277081984,3.04701240646577,10.8512274110633,0.00601569182871215,0.999475196090607,"Not Significant","Medium","Not Significant","OPC","Dep_vs_Naive","Dependent","Naive",6,3,3,15713,2025-05-29
"Hist1h1e",-0.696983746054678,4.98344551906152,10.8385139768046,0.00604646075761631,0.999475196090607,"Not Significant","Medium","Not Significant","OPC","Dep_vs_Naive","Dependent","Naive",6,3,3,15713,2025-05-29
"Chaf1a",-0.7345328353926,2.57866366876196,10.8279172504515,0.00605686696897855,0.999475196090607,"Not Significant","Medium","Not Significant","OPC","Dep_vs_Naive","Dependent","Naive",6,3,3,15713,2025-05-29
"Spata6",-0.538656402563397,3.97568378792955,10.6571275035403,0.00636299616069131,0.999475196090607,"Not Significant","Medium","Not Significant","OPC","Dep_vs_Naive","Dependent","Naive",6,3,3,15713,2025-05-29
"Lmo7",0.819691207176303,2.60733444907112,10.6489016256618,0.00637942418465177,0.999475196090607,"Not Significant","Medium","Not Significant","OPC","Dep_vs_Naive","Dependent","Naive",6,3,3,15713,2025-05-29
"Banp",0.502948790639418,5.33675050191677,10.571918591823,0.00652287144865742,0.999475196090607,"Not Significant","Medium","Not Significant","OPC","Dep_vs_Naive","Dependent","Naive",6,3,3,15713,2025-05-29
"Igf2",-1.09976949503379,1.68257397743218,10.5712699144065,0.00653128900500088,0.999475196090607,"Not Significant","Large","Not Significant","OPC","Dep_vs_Naive","Dependent","Naive",6,3,3,15713,2025-05-29
"Kif20b",-0.842668512946337,2.46595744893154,10.5148055899532,0.00663442342105678,0.999475196090607,"Not Significant","Medium","Not Significant","OPC","Dep_vs_Naive","Dependent","Naive",6,3,3,15713,2025-05-29
"Dynll1",0.455332209809105,9.48697329053266,10.3347743572218,0.00699360930843128,0.999475196090607,"Not Significant","Small","Not Significant","OPC","Dep_vs_Naive","Dependent","Naive",6,3,3,15713,2025-05-29
"Chek1",-0.647549284666319,3.00611561979875,10.3143082237717,0.00703685465960772,0.999475196090607,"Not Significant","Medium","Not Significant","OPC","Dep_vs_Naive","Dependent","Naive",6,3,3,15713,2025-05-29
"Fbxl21",-1.25934212423798,1.12121230128274,10.0521270398102,0.00763833257970657,0.999475196090607,"Not Significant","Large","Not Significant","OPC","Dep_vs_Naive","Dependent","Naive",6,3,3,15713,2025-05-29
"Kcnip1",0.403742044027736,5.82184635533186,10.0281383321558,0.0076624971870308,0.999475196090607,"Not Significant","Small","Not Significant","OPC","Dep_vs_Naive","Dependent","Naive",6,3,3,15713,2025-05-29
"Kcnip3",-0.369573245254698,8.26449019867228,9.97635013448851,0.00778267891677256,0.999475196090607,"Not Significant","Small","Not Significant","OPC","Dep_vs_Naive","Dependent","Naive",6,3,3,15713,2025-05-29
"Bhlhe41",0.383356546634516,5.95787937073403,9.88847886995078,0.00799172325643835,0.999475196090607,"Not Significant","Small","Not Significant","OPC","Dep_vs_Naive","Dependent","Naive",6,3,3,15713,2025-05-29
"Ranbp3l",-1.27048686497975,1.26918826262806,9.8197768704558,0.00818395467910992,0.999475196090607,"Not Significant","Large","Not Significant","OPC","Dep_vs_Naive","Dependent","Naive",6,3,3,15713,2025-05-29
"Tcim",-1.46851191695323,0.624538595551347,9.62636688348347,0.00871331959072874,0.999475196090607,"Not Significant","Large","Not Significant","OPC","Dep_vs_Naive","Dependent","Naive",6,3,3,15713,2025-05-29
"Wdhd1",-0.649419007484886,2.9799589997534,9.49264415713356,0.00901958657987762,0.999475196090607,"Not Significant","Medium","Not Significant","OPC","Dep_vs_Naive","Dependent","Naive",6,3,3,15713,2025-05-29
"Cxcl10",1.69856090215015,0.858171597698987,9.47446317490289,0.0091200488148042,0.999475196090607,"Not Significant","Large","Not Significant","OPC","Dep_vs_Naive","Dependent","Naive",6,3,3,15713,2025-05-29
"Topbp1",-0.374768393780354,4.64495673175993,9.45595443849262,0.0091215671608811,0.999475196090607,"Not Significant","Small","Not Significant","OPC","Dep_vs_Naive","Dependent","Naive",6,3,3,15713,2025-05-29
"1700047M11Rik",0.405689257499565,4.82352721268915,9.45123498119826,0.00913487510274231,0.999475196090607,"Not Significant","Small","Not Significant","OPC","Dep_vs_Naive","Dependent","Naive",6,3,3,15713,2025-05-29
"Asic2",0.341726011065974,5.46156103496599,9.41231325276966,0.00924548713744655,0.999475196090607,"Not Significant","Small","Not Significant","OPC","Dep_vs_Naive","Dependent","Naive",6,3,3,15713,2025-05-29
"Gm44037",-2.13283988560751,-0.157129732204034,9.14552611807715,0.00931558636598442,0.999475196090607,"Not Significant","Large","Not Significant","OPC","Dep_vs_Naive","Dependent","Naive",6,3,3,15713,2025-05-29
"Rgs9",-0.434144791271726,5.13042980022501,9.30493652378458,0.00955921624401512,0.999475196090607,"Not Significant","Small","Not Significant","OPC","Dep_vs_Naive","Dependent","Naive",6,3,3,15713,2025-05-29
"Ccbe1",-0.576226331940297,3.17477420743897,9.27361043236631,0.00965372263245995,0.999475196090607,"Not Significant","Medium","Not Significant","OPC","Dep_vs_Naive","Dependent","Naive",6,3,3,15713,2025-05-29
"Wee1",-0.62708975011271,2.89545933804611,9.15952792943308,0.010005077270016,0.999475196090607,"Not Significant","Medium","Not Significant","OPC","Dep_vs_Naive","Dependent","Naive",6,3,3,15713,2025-05-29
"Tle6",-0.522448431164382,4.04905875780426,9.09999663143646,0.0101933173100017,0.999475196090607,"Not Significant","Medium","Not Significant","OPC","Dep_vs_Naive","Dependent","Naive",6,3,3,15713,2025-05-29
"Pdia3",-0.32207040702922,8.81335230856109,9.09467970560298,0.0102101347969059,0.999475196090607,"Not Significant","Small","Not Significant","OPC","Dep_vs_Naive","Dependent","Naive",6,3,3,15713,2025-05-29
"Sdf2l1",-0.407963359635582,7.0703013679417,9.07633178745272,0.0102693687430335,0.999475196090607,"Not Significant","Small","Not Significant","OPC","Dep_vs_Naive","Dependent","Naive",6,3,3,15713,2025-05-29
