"gene","log2FoldChange","baseMean","stat","pvalue","padj","significance","effect_size","regulation","cell_type","comparison","group1","group2","total_samples","group1_samples","group2_samples","genes_tested","analysis_date"
"Dlx6os1",-2.19940267320327,1.79625873141456,27.4518709807955,9.39949177707241e-05,0.900681205538317,"Not Significant","Large","Not Significant","OPC","With_vs_Naive","Withdrawal","Naive",6,3,3,14277,2025-05-28
"Sstr2",-2.27126431772833,0.905414303436033,19.4301037054677,0.000487551875720429,0.900681205538317,"Not Significant","Large","Not Significant","OPC","With_vs_Naive","Withdrawal","Naive",6,3,3,14277,2025-05-28
"Pdia6",-0.48845063311082,8.87220779893669,19.1833269273676,0.000516073457690394,0.900681205538317,"Not Significant","Small","Not Significant","OPC","With_vs_Naive","Withdrawal","Naive",6,3,3,14277,2025-05-28
"Hist1h2bc",-0.482374951852004,6.46336379164362,16.9659850661405,0.000877928410792123,0.900681205538317,"Not Significant","Small","Not Significant","OPC","With_vs_Naive","Withdrawal","Naive",6,3,3,14277,2025-05-28
"Mfge8",-0.425812084052661,8.02428886332117,16.8613713598711,0.000901082686164108,0.900681205538317,"Not Significant","Small","Not Significant","OPC","With_vs_Naive","Withdrawal","Naive",6,3,3,14277,2025-05-28
"Btbd17",-0.644340145711009,3.84358181364678,15.9938134307082,0.00112224190019671,0.900681205538317,"Not Significant","Medium","Not Significant","OPC","With_vs_Naive","Withdrawal","Naive",6,3,3,14277,2025-05-28
"Rpn1",-0.393661037131871,7.460965907614,15.6451182261354,0.00122803718888303,0.900681205538317,"Not Significant","Small","Not Significant","OPC","With_vs_Naive","Withdrawal","Naive",6,3,3,14277,2025-05-28
"Calr",-0.436100753350882,9.56291174386678,15.371458119224,0.00131903320568089,0.900681205538317,"Not Significant","Small","Not Significant","OPC","With_vs_Naive","Withdrawal","Naive",6,3,3,14277,2025-05-28
"Hivep2",0.431256406016491,5.75353231311819,15.2553023219298,0.00135995385663074,0.900681205538317,"Not Significant","Small","Not Significant","OPC","With_vs_Naive","Withdrawal","Naive",6,3,3,14277,2025-05-28
"Flt1",-1.06240873676697,2.47865890903499,14.7454657604664,0.00155748373239892,0.900681205538317,"Not Significant","Large","Not Significant","OPC","With_vs_Naive","Withdrawal","Naive",6,3,3,14277,2025-05-28
"Rab26os",-0.557447620021098,4.31754899378339,14.6081787577603,0.00161611152308631,0.900681205538317,"Not Significant","Medium","Not Significant","OPC","With_vs_Naive","Withdrawal","Naive",6,3,3,14277,2025-05-28
"Cldn5",-0.785624057294461,3.32109730896776,14.4427097336173,0.00169013514074711,0.900681205538317,"Not Significant","Medium","Not Significant","OPC","With_vs_Naive","Withdrawal","Naive",6,3,3,14277,2025-05-28
"Mcm3",-0.638381912114456,4.14997244842197,14.3497659936282,0.00173340029070559,0.900681205538317,"Not Significant","Medium","Not Significant","OPC","With_vs_Naive","Withdrawal","Naive",6,3,3,14277,2025-05-28
"Serpinh1",-0.689348948325734,4.00221460351006,14.2877463064294,0.00176297043229366,0.900681205538317,"Not Significant","Medium","Not Significant","OPC","With_vs_Naive","Withdrawal","Naive",6,3,3,14277,2025-05-28
"Hapln1",-1.08800302571787,2.93723761678815,14.2325661103291,0.00178976228705207,0.900681205538317,"Not Significant","Large","Not Significant","OPC","With_vs_Naive","Withdrawal","Naive",6,3,3,14277,2025-05-28
"Dalrd3",-0.456546636160288,5.09560418563728,13.7446938588045,0.00204788076628607,0.900681205538317,"Not Significant","Small","Not Significant","OPC","With_vs_Naive","Withdrawal","Naive",6,3,3,14277,2025-05-28
"Pds5a",0.444276237336271,6.12400620349038,13.4926786062075,0.00219763789540374,0.900681205538317,"Not Significant","Small","Not Significant","OPC","With_vs_Naive","Withdrawal","Naive",6,3,3,14277,2025-05-28
"Tsix",-1.83475946412702,0.61607258877483,13.4320015975554,0.00223553001879921,0.900681205538317,"Not Significant","Large","Not Significant","OPC","With_vs_Naive","Withdrawal","Naive",6,3,3,14277,2025-05-28
"Cryab",-0.367651742385452,7.64828482107552,13.1029330997251,0.00245443308561074,0.900681205538317,"Not Significant","Small","Not Significant","OPC","With_vs_Naive","Withdrawal","Naive",6,3,3,14277,2025-05-28
"Hsp90b1",-0.530693956649798,9.87548246356019,13.4116509724159,0.0025329408499006,0.900681205538317,"Not Significant","Medium","Not Significant","OPC","With_vs_Naive","Withdrawal","Naive",6,3,3,14277,2025-05-28
"Hspe1",-0.418526145314087,8.47795876873927,12.8824034888336,0.00261477668713095,0.900681205538317,"Not Significant","Small","Not Significant","OPC","With_vs_Naive","Withdrawal","Naive",6,3,3,14277,2025-05-28
"Fabp7",-0.391359320150293,10.4374867870631,12.8378325279132,0.00264861254084894,0.900681205538317,"Not Significant","Small","Not Significant","OPC","With_vs_Naive","Withdrawal","Naive",6,3,3,14277,2025-05-28
"Pdia3",-0.41233308759926,8.81105770322858,12.6426067100947,0.00280280840481619,0.900681205538317,"Not Significant","Small","Not Significant","OPC","With_vs_Naive","Withdrawal","Naive",6,3,3,14277,2025-05-28
"Derl3",-1.0469839462825,2.15600876018692,12.5427524578108,0.0028856093091493,0.900681205538317,"Not Significant","Large","Not Significant","OPC","With_vs_Naive","Withdrawal","Naive",6,3,3,14277,2025-05-28
"Gm47664",0.576451248107765,4.37891248282983,12.4607464548927,0.00295569570587429,0.900681205538317,"Not Significant","Medium","Not Significant","OPC","With_vs_Naive","Withdrawal","Naive",6,3,3,14277,2025-05-28
"Mrpl22",-0.42929246072067,5.52359058604528,12.2733909746363,0.0031232103578209,0.900681205538317,"Not Significant","Small","Not Significant","OPC","With_vs_Naive","Withdrawal","Naive",6,3,3,14277,2025-05-28
"Exosc3",-0.469603251877089,4.7781892335707,12.2214025207897,0.00317159059701754,0.900681205538317,"Not Significant","Small","Not Significant","OPC","With_vs_Naive","Withdrawal","Naive",6,3,3,14277,2025-05-28
"Ptrh2",-0.425825002022149,4.82838836263843,12.1278936591035,0.00326077268531112,0.900681205538317,"Not Significant","Small","Not Significant","OPC","With_vs_Naive","Withdrawal","Naive",6,3,3,14277,2025-05-28
"Sox1ot",-1.18682929187149,1.67177360553346,12.1043388152479,0.00328368549024973,0.900681205538317,"Not Significant","Large","Not Significant","OPC","With_vs_Naive","Withdrawal","Naive",6,3,3,14277,2025-05-28
"Phldb2",0.397429349934727,5.26129887677666,11.9059518881214,0.00348410988369666,0.900681205538317,"Not Significant","Small","Not Significant","OPC","With_vs_Naive","Withdrawal","Naive",6,3,3,14277,2025-05-28
"Slc25a18",-0.511735710194454,4.206203873733,11.7286623966634,0.00367507380845596,0.900681205538317,"Not Significant","Medium","Not Significant","OPC","With_vs_Naive","Withdrawal","Naive",6,3,3,14277,2025-05-28
"H2-Ab1",-1.67750033331557,0.72901285521089,11.40999593738,0.0040490869799489,0.900681205538317,"Not Significant","Large","Not Significant","OPC","With_vs_Naive","Withdrawal","Naive",6,3,3,14277,2025-05-28
"Dpp7",-0.509023103418458,4.23808058772156,11.3830792204132,0.00408261599122281,0.900681205538317,"Not Significant","Medium","Not Significant","OPC","With_vs_Naive","Withdrawal","Naive",6,3,3,14277,2025-05-28
"Fkbp2",-0.37724382795783,7.68853059334256,11.3489787695722,0.00412554863964964,0.900681205538317,"Not Significant","Small","Not Significant","OPC","With_vs_Naive","Withdrawal","Naive",6,3,3,14277,2025-05-28
"Tm2d3",-0.395438237338323,6.5877996247752,11.294649735107,0.00419501617726434,0.900681205538317,"Not Significant","Small","Not Significant","OPC","With_vs_Naive","Withdrawal","Naive",6,3,3,14277,2025-05-28
"Chd5",0.377180726391803,5.52783751718204,11.1571022775382,0.00437692947640956,0.900681205538317,"Not Significant","Small","Not Significant","OPC","With_vs_Naive","Withdrawal","Naive",6,3,3,14277,2025-05-28
"Ccdc88c",0.378560701281026,5.78664984332295,11.11288427525,0.00443730721060742,0.900681205538317,"Not Significant","Small","Not Significant","OPC","With_vs_Naive","Withdrawal","Naive",6,3,3,14277,2025-05-28
"2610316D01Rik",-0.437331224068924,4.47839580620209,10.9072699140414,0.00473083126874437,0.900681205538317,"Not Significant","Small","Not Significant","OPC","With_vs_Naive","Withdrawal","Naive",6,3,3,14277,2025-05-28
"Lims2",-0.327026726425839,6.55332616335219,10.8966091694496,0.00474664321179712,0.900681205538317,"Not Significant","Small","Not Significant","OPC","With_vs_Naive","Withdrawal","Naive",6,3,3,14277,2025-05-28
"Hsp90aa1",-0.420020702732741,10.1549707605406,10.8892348691292,0.00475761597388473,0.900681205538317,"Not Significant","Small","Not Significant","OPC","With_vs_Naive","Withdrawal","Naive",6,3,3,14277,2025-05-28
"Myo18b",1.45782076541826,0.787521014921686,10.8399005939955,0.00483177232032018,0.900681205538317,"Not Significant","Large","Not Significant","OPC","With_vs_Naive","Withdrawal","Naive",6,3,3,14277,2025-05-28
"Dohh",-0.469919269525295,4.9753064373074,10.794526093587,0.00490114181462376,0.900681205538317,"Not Significant","Small","Not Significant","OPC","With_vs_Naive","Withdrawal","Naive",6,3,3,14277,2025-05-28
