"gene","log2FoldChange","baseMean","stat","pvalue","padj","significance","effect_size","regulation","cell_type","comparison","group1","group2","total_samples","group1_samples","group2_samples","genes_tested","analysis_date"
"Ptgs2",3.07712167699087,2.6307803879613,26.4693397127013,0.000177222253021603,0.99114019823425,"Not Significant","Large","Not Significant","PC","With_vs_Dep","Withdrawal","Dependent",6,3,3,12192,2025-05-29
"Ddit4l",-0.791556170707665,7.99450663501037,27.2551642366426,0.000268735941551839,0.99114019823425,"Not Significant","Medium","Not Significant","PC","With_vs_Dep","Withdrawal","Dependent",6,3,3,12192,2025-05-29
"F3",1.05696375905592,6.5244533260144,25.7422642495822,0.000338846835968568,0.99114019823425,"Not Significant","Large","Not Significant","PC","With_vs_Dep","Withdrawal","Dependent",6,3,3,12192,2025-05-29
"Clec1a",4.26506943600697,2.48868336810871,19.2069244484552,0.000666712305949307,0.99114019823425,"Not Significant","Large","Not Significant","PC","With_vs_Dep","Withdrawal","Dependent",6,3,3,12192,2025-05-29
"Rrad",-0.706791197429596,6.67096021655761,18.8209778347692,0.00112980982636552,0.99114019823425,"Not Significant","Medium","Not Significant","PC","With_vs_Dep","Withdrawal","Dependent",6,3,3,12192,2025-05-29
"Nmnat3",2.23984690401952,2.38625146403709,15.9188744309124,0.00165618763116048,0.99114019823425,"Not Significant","Large","Not Significant","PC","With_vs_Dep","Withdrawal","Dependent",6,3,3,12192,2025-05-29
"Rnf157",1.4339105179732,4.04322146804223,15.8877639388882,0.00207501968421088,0.99114019823425,"Not Significant","Large","Not Significant","PC","With_vs_Dep","Withdrawal","Dependent",6,3,3,12192,2025-05-29
"Lum",0.992383081147644,6.97041370833064,15.7448357412314,0.00212812604953171,0.99114019823425,"Not Significant","Medium","Not Significant","PC","With_vs_Dep","Withdrawal","Dependent",6,3,3,12192,2025-05-29
"AV356131",-1.79347771996414,3.21089678183578,15.3451779779025,0.0021862257744638,0.99114019823425,"Not Significant","Large","Not Significant","PC","With_vs_Dep","Withdrawal","Dependent",6,3,3,12192,2025-05-29
"Foxs1",-0.651850889462645,6.16891820028086,15.491305593203,0.00225017373193781,0.99114019823425,"Not Significant","Medium","Not Significant","PC","With_vs_Dep","Withdrawal","Dependent",6,3,3,12192,2025-05-29
"Sesn3",-0.642811704527891,6.84761499420993,15.3616587270588,0.00231529373659543,0.99114019823425,"Not Significant","Medium","Not Significant","PC","With_vs_Dep","Withdrawal","Dependent",6,3,3,12192,2025-05-29
"Ecrg4",3.34223207535693,4.33644422335934,17.7959066647892,0.00235557141801584,0.99114019823425,"Not Significant","Large","Not Significant","PC","With_vs_Dep","Withdrawal","Dependent",6,3,3,12192,2025-05-29
"2810454H06Rik",-0.812339460760296,5.33357903063855,15.0863918763237,0.00246357642598837,0.99114019823425,"Not Significant","Medium","Not Significant","PC","With_vs_Dep","Withdrawal","Dependent",6,3,3,12192,2025-05-29
"Flrt2",0.920906133015444,6.86057891446361,14.743906158529,0.0026596010401258,0.99114019823425,"Not Significant","Medium","Not Significant","PC","With_vs_Dep","Withdrawal","Dependent",6,3,3,12192,2025-05-29
"Polrmt",1.65954055467056,3.06764519124906,14.37878325111,0.00291517425544078,0.99114019823425,"Not Significant","Large","Not Significant","PC","With_vs_Dep","Withdrawal","Dependent",6,3,3,12192,2025-05-29
"Shtn1",1.77478084266937,3.24191784241286,14.1516833568265,0.0030815398706372,0.99114019823425,"Not Significant","Large","Not Significant","PC","With_vs_Dep","Withdrawal","Dependent",6,3,3,12192,2025-05-29
"Rgs4",-0.581233302892428,9.32148489400298,14.0848746050302,0.00309571804295133,0.99114019823425,"Not Significant","Medium","Not Significant","PC","With_vs_Dep","Withdrawal","Dependent",6,3,3,12192,2025-05-29
"Dnajb1",-0.702039024543287,5.83892376619444,12.7343220984993,0.0042869674654093,0.99114019823425,"Not Significant","Medium","Not Significant","PC","With_vs_Dep","Withdrawal","Dependent",6,3,3,12192,2025-05-29
"Rasl11a",-0.647781227955692,6.34361984707211,12.7154978081869,0.00430643549310323,0.99114019823425,"Not Significant","Medium","Not Significant","PC","With_vs_Dep","Withdrawal","Dependent",6,3,3,12192,2025-05-29
"Enpp2",0.834075192057738,7.22663700535903,12.6889311422584,0.00433450595376186,0.99114019823425,"Not Significant","Medium","Not Significant","PC","With_vs_Dep","Withdrawal","Dependent",6,3,3,12192,2025-05-29
"Polr1e",-1.85957063458987,2.75210578122361,12.1339972795631,0.00443408091316762,0.99114019823425,"Not Significant","Large","Not Significant","PC","With_vs_Dep","Withdrawal","Dependent",6,3,3,12192,2025-05-29
"Prr5l",-0.676324601510245,5.61132601075154,12.577538224623,0.00445810688540044,0.99114019823425,"Not Significant","Medium","Not Significant","PC","With_vs_Dep","Withdrawal","Dependent",6,3,3,12192,2025-05-29
"Erh",-0.682988726333304,5.55559235707848,12.5333402967914,0.00450785507659714,0.99114019823425,"Not Significant","Medium","Not Significant","PC","With_vs_Dep","Withdrawal","Dependent",6,3,3,12192,2025-05-29
"March7",0.563898502548189,6.18529719475631,12.4719260739538,0.00457653455423925,0.99114019823425,"Not Significant","Medium","Not Significant","PC","With_vs_Dep","Withdrawal","Dependent",6,3,3,12192,2025-05-29
"Mrc1",1.47264858210865,3.6804761329258,12.2426422136183,0.00489205335565269,0.99114019823425,"Not Significant","Large","Not Significant","PC","With_vs_Dep","Withdrawal","Dependent",6,3,3,12192,2025-05-29
"Tmem30c",-1.62887140084249,2.62318756148941,11.321643563317,0.00553843502593899,0.99114019823425,"Not Significant","Large","Not Significant","PC","With_vs_Dep","Withdrawal","Dependent",6,3,3,12192,2025-05-29
"Ccp110",0.921072340594648,4.35675732857308,11.6924787393373,0.00559521887279229,0.99114019823425,"Not Significant","Medium","Not Significant","PC","With_vs_Dep","Withdrawal","Dependent",6,3,3,12192,2025-05-29
