"gene","log2FoldChange","baseMean","stat","pvalue","padj","significance","effect_size","regulation","cell_type","comparison","group1","group2","total_samples","group1_samples","group2_samples","genes_tested","analysis_date"
"Trpc3",-0.96699313454987,6.21591860199814,24.841710244672,0.000155906502019208,0.684915485852961,"Not Significant","Medium","Not Significant","PC","With_vs_Naive","Withdrawal","Naive",6,3,3,11084,2025-05-28
"Ddit4l",-0.708029668281681,7.96378376649028,23.9699484841372,0.000185405909015342,0.684915485852961,"Not Significant","Medium","Not Significant","PC","With_vs_Naive","Withdrawal","Naive",6,3,3,11084,2025-05-28
"Cysltr2",-0.868378289472396,6.45696909725336,23.43502807164,0.000206623616023956,0.684915485852961,"Not Significant","Medium","Not Significant","PC","With_vs_Naive","Withdrawal","Naive",6,3,3,11084,2025-05-28
"Tef",0.856132849675462,6.22566537390238,22.5672052343392,0.000247172676237084,0.684915485852961,"Not Significant","Medium","Not Significant","PC","With_vs_Naive","Withdrawal","Naive",6,3,3,11084,2025-05-28
"Rab30",1.36005671740026,4.35792666601646,20.1468179105628,0.000417307970106298,0.925071923970086,"Not Significant","Large","Not Significant","PC","With_vs_Naive","Withdrawal","Naive",6,3,3,11084,2025-05-28
"Slc4a10",1.40162460168083,4.53016624363612,18.0918510767039,0.000671399219214752,0.925071923970086,"Not Significant","Large","Not Significant","PC","With_vs_Naive","Withdrawal","Naive",6,3,3,11084,2025-05-28
"Tmem132c",1.38431027164752,3.98783059070462,17.5084716862794,0.000772869833824224,0.925071923970086,"Not Significant","Large","Not Significant","PC","With_vs_Naive","Withdrawal","Naive",6,3,3,11084,2025-05-28
"Aspn",-0.586612759540257,7.96361557968944,17.1207344920866,0.000849934946304923,0.925071923970086,"Not Significant","Medium","Not Significant","PC","With_vs_Naive","Withdrawal","Naive",6,3,3,11084,2025-05-28
"Rgs4",-0.541800840351377,9.31773917878083,16.9243335838733,0.000892276137127825,0.925071923970086,"Not Significant","Medium","Not Significant","PC","With_vs_Naive","Withdrawal","Naive",6,3,3,11084,2025-05-28
"Foxs1",-0.786700584850647,6.27701202013632,16.8087062156447,0.000918321659150142,0.925071923970086,"Not Significant","Medium","Not Significant","PC","With_vs_Naive","Withdrawal","Naive",6,3,3,11084,2025-05-28
"Gng11",-0.529807971320313,9.69474041501347,16.650128774123,0.000955457725273213,0.925071923970086,"Not Significant","Medium","Not Significant","PC","With_vs_Naive","Withdrawal","Naive",6,3,3,11084,2025-05-28
"Lum",1.03323607225649,6.95214161114334,18.9487764705707,0.00100820729857004,0.925071923970086,"Not Significant","Large","Not Significant","PC","With_vs_Naive","Withdrawal","Naive",6,3,3,11084,2025-05-28
"Per3",0.909469152952621,5.47966630930886,16.1473101031189,0.00108498150591944,0.925071923970086,"Not Significant","Medium","Not Significant","PC","With_vs_Naive","Withdrawal","Naive",6,3,3,11084,2025-05-28
"Car4",-0.668974528275059,8.49449478759477,15.5790617533582,0.0012559919788732,0.994386792416465,"Not Significant","Medium","Not Significant","PC","With_vs_Naive","Withdrawal","Naive",6,3,3,11084,2025-05-28
"Gfra2",-0.753621294159868,6.01141260930381,14.2552506247954,0.00178722144503363,0.999583045154834,"Not Significant","Medium","Not Significant","PC","With_vs_Naive","Withdrawal","Naive",6,3,3,11084,2025-05-28
"Ppp1r14a",-0.702888316391423,8.08676457010914,14.642724362485,0.0017934665519161,0.999583045154834,"Not Significant","Medium","Not Significant","PC","With_vs_Naive","Withdrawal","Naive",6,3,3,11084,2025-05-28
"Serpinf1",0.613341586364096,7.18820936022949,14.1041133457789,0.00186271804642176,0.999583045154834,"Not Significant","Medium","Not Significant","PC","With_vs_Naive","Withdrawal","Naive",6,3,3,11084,2025-05-28
"Cyp1b1",0.954586383013368,5.93177218450537,14.6642008378805,0.00195874506580836,0.999583045154834,"Not Significant","Medium","Not Significant","PC","With_vs_Naive","Withdrawal","Naive",6,3,3,11084,2025-05-28
"Kcnj8",-0.615996578270416,8.62230728316416,13.474172782495,0.00221900845275994,0.999583045154834,"Not Significant","Medium","Not Significant","PC","With_vs_Naive","Withdrawal","Naive",6,3,3,11084,2025-05-28
"Map3k20",-0.535067805778389,6.93888648051799,13.4218424492976,0.00225193780459984,0.999583045154834,"Not Significant","Medium","Not Significant","PC","With_vs_Naive","Withdrawal","Naive",6,3,3,11084,2025-05-28
"Rasl11a",-0.60821824802735,6.34433646280366,12.8367006381944,0.00266065583310363,0.999583045154834,"Not Significant","Medium","Not Significant","PC","With_vs_Naive","Withdrawal","Naive",6,3,3,11084,2025-05-28
"Ech1",-0.528946552137688,7.51933920368029,12.2176220948915,0.00318773939280904,0.999583045154834,"Not Significant","Medium","Not Significant","PC","With_vs_Naive","Withdrawal","Naive",6,3,3,11084,2025-05-28
"Wnt5a",0.692305267347364,6.30779243287831,12.1967916753231,0.00320743904878293,0.999583045154834,"Not Significant","Medium","Not Significant","PC","With_vs_Naive","Withdrawal","Naive",6,3,3,11084,2025-05-28
"Ecm2",-0.460081283577368,8.39965186389657,12.1081326869076,0.00329285068643818,0.999583045154834,"Not Significant","Small","Not Significant","PC","With_vs_Naive","Withdrawal","Naive",6,3,3,11084,2025-05-28
"Rnf157",1.08198301434326,4.11509219928403,11.8942623506457,0.00350976120685063,0.999583045154834,"Not Significant","Large","Not Significant","PC","With_vs_Naive","Withdrawal","Naive",6,3,3,11084,2025-05-28
"Col12a1",1.55501988832606,5.72272533549322,15.8602321783144,0.00355142401538602,0.999583045154834,"Not Significant","Large","Not Significant","PC","With_vs_Naive","Withdrawal","Naive",6,3,3,11084,2025-05-28
"Fam217b",-1.04817387359421,4.2071478455424,11.5440602469617,0.0039010522677503,0.999583045154834,"Not Significant","Large","Not Significant","PC","With_vs_Naive","Withdrawal","Naive",6,3,3,11084,2025-05-28
"Sod3",-0.452594839337666,8.38545434435905,11.5311841716688,0.00391635912233507,0.999583045154834,"Not Significant","Small","Not Significant","PC","With_vs_Naive","Withdrawal","Naive",6,3,3,11084,2025-05-28
"Pltp",0.527004593257114,7.97935538040811,11.2388719374731,0.00428296924795772,0.999583045154834,"Not Significant","Medium","Not Significant","PC","With_vs_Naive","Withdrawal","Naive",6,3,3,11084,2025-05-28
"Ndnf",0.879481028660456,6.30587177196465,12.037187453728,0.00465932912514219,0.999583045154834,"Not Significant","Medium","Not Significant","PC","With_vs_Naive","Withdrawal","Naive",6,3,3,11084,2025-05-28
