"gene","log2FoldChange","baseMean","stat","pvalue","padj","significance","effect_size","regulation","cell_type","comparison","group1","group2","total_samples","group1_samples","group2_samples","genes_tested","analysis_date"
"Aqp4",-1.43721937263674,5.64330734753689,26.1532384278608,6.5701333611056e-05,0.396345442929858,"Not Significant","Large","Not Significant","VSMC","Dep_vs_Naive","Dependent","Naive",6,3,3,9979,2025-05-29
"Gja1",-1.09528826646846,6.90428002477454,25.2717154572886,7.94359039843387e-05,0.396345442929858,"Not Significant","Large","Not Significant","VSMC","Dep_vs_Naive","Dependent","Naive",6,3,3,9979,2025-05-29
"Tnr",1.32553831816843,5.24796768797551,20.4931598638836,0.000241952340173941,0.607429395887939,"Not Significant","Large","Not Significant","VSMC","Dep_vs_Naive","Dependent","Naive",6,3,3,9979,2025-05-29
"Cacng4",1.80862103695195,4.50705714416804,20.2152517304189,0.000260675568547517,0.607429395887939,"Not Significant","Large","Not Significant","VSMC","Dep_vs_Naive","Dependent","Naive",6,3,3,9979,2025-05-29
"Prex2",-1.41571202315199,5.30360818332527,19.5832011970079,0.000304353841010091,0.607429395887939,"Not Significant","Large","Not Significant","VSMC","Dep_vs_Naive","Dependent","Naive",6,3,3,9979,2025-05-29
"Lrp8",-3.12712889486194,3.53945169544174,17.1641443731353,0.000468274218536493,0.772220136091987,"Not Significant","Large","Not Significant","VSMC","Dep_vs_Naive","Dependent","Naive",6,3,3,9979,2025-05-29
"S1pr1",-1.05070927971782,6.24429472624331,17.3787325709859,0.000541691647724613,0.772220136091987,"Not Significant","Large","Not Significant","VSMC","Dep_vs_Naive","Dependent","Naive",6,3,3,9979,2025-05-29
"Ntsr2",-1.03955652439545,5.91036325565645,16.0986472510732,0.000771716970525457,0.962620456109192,"Not Significant","Large","Not Significant","VSMC","Dep_vs_Naive","Dependent","Naive",6,3,3,9979,2025-05-29
"Ddhd1",-1.26227227242262,5.34401316114787,15.1743851946294,0.0010061866518342,0.999925946559358,"Not Significant","Large","Not Significant","VSMC","Dep_vs_Naive","Dependent","Naive",6,3,3,9979,2025-05-29
"Igfbp2",-1.45040437496924,4.66521491931203,15.0349841306196,0.0010507725627974,0.999925946559358,"Not Significant","Large","Not Significant","VSMC","Dep_vs_Naive","Dependent","Naive",6,3,3,9979,2025-05-29
"Fam228b",-2.64059927672624,3.49479632774455,14.2181561801939,0.00119349266217514,0.999925946559358,"Not Significant","Large","Not Significant","VSMC","Dep_vs_Naive","Dependent","Naive",6,3,3,9979,2025-05-29
"Srsf5",-0.714906966848699,8.19672275878763,14.222598260714,0.00133088697149258,0.999925946559358,"Not Significant","Medium","Not Significant","VSMC","Dep_vs_Naive","Dependent","Naive",6,3,3,9979,2025-05-29
"Armh4",2.41748561304217,3.60669842185025,13.9105999211064,0.00143117051288287,0.999925946559358,"Not Significant","Large","Not Significant","VSMC","Dep_vs_Naive","Dependent","Naive",6,3,3,9979,2025-05-29
"Rgs17",0.83629619112441,5.97208950366745,13.7020544012445,0.001558109083242,0.999925946559358,"Not Significant","Medium","Not Significant","VSMC","Dep_vs_Naive","Dependent","Naive",6,3,3,9979,2025-05-29
"Gfod2",1.69636440060559,4.48280904204986,13.4518422008453,0.00168825290596162,0.999925946559358,"Not Significant","Large","Not Significant","VSMC","Dep_vs_Naive","Dependent","Naive",6,3,3,9979,2025-05-29
"Ncald",0.990189723305731,6.09305072175472,13.2556260972227,0.00178743525297815,0.999925946559358,"Not Significant","Medium","Not Significant","VSMC","Dep_vs_Naive","Dependent","Naive",6,3,3,9979,2025-05-29
"Nfkbid",2.40650844996293,3.46137126571735,12.9235032553416,0.00192221904265818,0.999925946559358,"Not Significant","Large","Not Significant","VSMC","Dep_vs_Naive","Dependent","Naive",6,3,3,9979,2025-05-29
"Tent5a",1.30923657660856,4.90228473875576,12.8936018930503,0.00200305837771138,0.999925946559358,"Not Significant","Large","Not Significant","VSMC","Dep_vs_Naive","Dependent","Naive",6,3,3,9979,2025-05-29
