"gene","log2FoldChange","baseMean","stat","pvalue","padj","significance","effect_size","regulation","cell_type","comparison","group1","group2","total_samples","group1_samples","group2_samples","genes_tested","analysis_date"
"Kcnq1ot1",0.685285791059804,8.56045526276666,15.6475349034333,0.00128257304722823,0.999936317231791,"Not Significant","Medium","Not Significant","VSMC","With_vs_Dep","Withdrawal","Dependent",6,3,3,7592,2025-05-28
"Faim2",1.52195788293447,4.36293453259752,13.3265743959196,0.00238847019097045,0.999936317231791,"Not Significant","Large","Not Significant","VSMC","With_vs_Dep","Withdrawal","Dependent",6,3,3,7592,2025-05-28
"Airn",1.32125107983797,4.53198860555136,12.8817336774685,0.00270815515998556,0.999936317231791,"Not Significant","Large","Not Significant","VSMC","With_vs_Dep","Withdrawal","Dependent",6,3,3,7592,2025-05-28
"Cbarp",1.18591520634323,5.01048656288711,12.3121978720918,0.00319124281401646,0.999936317231791,"Not Significant","Large","Not Significant","VSMC","With_vs_Dep","Withdrawal","Dependent",6,3,3,7592,2025-05-28
"Rab11b",-0.568154375816608,7.13347605609054,11.7394261627277,0.00377885995492217,0.999936317231791,"Not Significant","Medium","Not Significant","VSMC","With_vs_Dep","Withdrawal","Dependent",6,3,3,7592,2025-05-28
"Gm10076",-0.576652435097233,7.07853263365197,11.560523424657,0.00398706179840583,0.999936317231791,"Not Significant","Medium","Not Significant","VSMC","With_vs_Dep","Withdrawal","Dependent",6,3,3,7592,2025-05-28
"Ctif",1.1379306698104,4.73039308555852,11.3015381147747,0.00431210854697864,0.999936317231791,"Not Significant","Large","Not Significant","VSMC","With_vs_Dep","Withdrawal","Dependent",6,3,3,7592,2025-05-28
"Gsta4",1.40160987766728,4.46246294103836,11.2461565375461,0.00438548610755338,0.999936317231791,"Not Significant","Large","Not Significant","VSMC","With_vs_Dep","Withdrawal","Dependent",6,3,3,7592,2025-05-28
"Spock2",1.07172470535602,5.92306064439555,10.7361594067644,0.00574357148409794,0.999936317231791,"Not Significant","Large","Not Significant","VSMC","With_vs_Dep","Withdrawal","Dependent",6,3,3,7592,2025-05-28
"Sqle",1.08272837038284,5.02102688412351,10.214527054166,0.00605149117183252,0.999936317231791,"Not Significant","Large","Not Significant","VSMC","With_vs_Dep","Withdrawal","Dependent",6,3,3,7592,2025-05-28
"Tcf7l2",-0.753363560105357,6.22079709045603,10.044987476678,0.0063896533993948,0.999936317231791,"Not Significant","Medium","Not Significant","VSMC","With_vs_Dep","Withdrawal","Dependent",6,3,3,7592,2025-05-28
"Akap6",0.580642525425808,6.60318829174155,9.96299166229872,0.0065609283298711,0.999936317231791,"Not Significant","Medium","Not Significant","VSMC","With_vs_Dep","Withdrawal","Dependent",6,3,3,7592,2025-05-28
"Gfap",1.43999747560849,5.00286806073745,10.0482987449379,0.00706842372925028,0.999936317231791,"Not Significant","Large","Not Significant","VSMC","With_vs_Dep","Withdrawal","Dependent",6,3,3,7592,2025-05-28
"Sox4",0.684395288973978,7.00614682743203,9.72167287063504,0.0070963135671426,0.999936317231791,"Not Significant","Medium","Not Significant","VSMC","With_vs_Dep","Withdrawal","Dependent",6,3,3,7592,2025-05-28
"Gria1",1.19070091159087,5.02604916108016,9.61005909031313,0.00736074326887673,0.999936317231791,"Not Significant","Large","Not Significant","VSMC","With_vs_Dep","Withdrawal","Dependent",6,3,3,7592,2025-05-28
