"gene","log2FoldChange","baseMean","stat","pvalue","padj","significance","effect_size","regulation","cell_type","comparison","group1","group2","total_samples","group1_samples","group2_samples","genes_tested","analysis_date"
"Sox4",0.857566665792594,6.86415659757563,20.7619530701651,0.000508173243328919,0.999822942704652,"Not Significant","Medium","Not Significant","VSMC","With_vs_Naive","Withdrawal","Naive",6,3,3,10023,2025-05-29
"Kcnq1ot1",0.677691530018559,8.49946416299263,17.8612546726698,0.000941802700626733,0.999822942704652,"Not Significant","Medium","Not Significant","VSMC","With_vs_Naive","Withdrawal","Naive",6,3,3,10023,2025-05-29
"Ackr3",-0.954315133885871,7.18626016494243,17.1125999218058,0.00111564070214882,0.999822942704652,"Not Significant","Medium","Not Significant","VSMC","With_vs_Naive","Withdrawal","Naive",6,3,3,10023,2025-05-29
"Ndnf",2.50098805790828,3.81269734760174,15.5367980867736,0.00158597383451102,0.999822942704652,"Not Significant","Large","Not Significant","VSMC","With_vs_Naive","Withdrawal","Naive",6,3,3,10023,2025-05-29
"Ctif",1.35126489285993,4.56223365889365,15.2659061561664,0.00173610468104155,0.999822942704652,"Not Significant","Large","Not Significant","VSMC","With_vs_Naive","Withdrawal","Naive",6,3,3,10023,2025-05-29
"Inhba",1.34171521503131,6.51710731491867,15.3215486673202,0.00197259888024938,0.999822942704652,"Not Significant","Large","Not Significant","VSMC","With_vs_Naive","Withdrawal","Naive",6,3,3,10023,2025-05-29
"Dbx2",-1.41120396099788,4.34149301319814,14.6272718928157,0.00202920443557578,0.999822942704652,"Not Significant","Large","Not Significant","VSMC","With_vs_Naive","Withdrawal","Naive",6,3,3,10023,2025-05-29
"Slc6a6",0.863622539042383,5.60823810510337,13.3612618061922,0.00280632775848168,0.999822942704652,"Not Significant","Medium","Not Significant","VSMC","With_vs_Naive","Withdrawal","Naive",6,3,3,10023,2025-05-29
"Cbarp",1.22476711133394,4.89179566075155,12.6895646632556,0.0033644016613796,0.999822942704652,"Not Significant","Large","Not Significant","VSMC","With_vs_Naive","Withdrawal","Naive",6,3,3,10023,2025-05-29
"Tmtc1",-1.0727783809698,4.99177856867541,12.6316519659044,0.00342348498152955,0.999822942704652,"Not Significant","Large","Not Significant","VSMC","With_vs_Naive","Withdrawal","Naive",6,3,3,10023,2025-05-29
"Fmod",-1.7345057967545,3.88718603484712,12.3582047681267,0.00358134075639822,0.999822942704652,"Not Significant","Large","Not Significant","VSMC","With_vs_Naive","Withdrawal","Naive",6,3,3,10023,2025-05-29
"Fbxl4",-1.71181813591995,3.73238174644644,12.284122526089,0.00361141635268151,0.999822942704652,"Not Significant","Large","Not Significant","VSMC","With_vs_Naive","Withdrawal","Naive",6,3,3,10023,2025-05-29
"Rdm1",-0.982127567521473,5.34428881247127,12.3057257133828,0.00373743525963459,0.999822942704652,"Not Significant","Medium","Not Significant","VSMC","With_vs_Naive","Withdrawal","Naive",6,3,3,10023,2025-05-29
"Guk1",-0.688438220711648,6.45853476832758,12.1532023379638,0.00389295497248062,0.999822942704652,"Not Significant","Medium","Not Significant","VSMC","With_vs_Naive","Withdrawal","Naive",6,3,3,10023,2025-05-29
"Gm29686",-2.69725730322282,3.36866395064964,11.4097443743732,0.00396080699097174,0.999822942704652,"Not Significant","Large","Not Significant","VSMC","With_vs_Naive","Withdrawal","Naive",6,3,3,10023,2025-05-29
"Cryab",-0.556993202875061,8.75546402541815,11.7225759803185,0.00439270039311066,0.999822942704652,"Not Significant","Medium","Not Significant","VSMC","With_vs_Naive","Withdrawal","Naive",6,3,3,10023,2025-05-29
"Fam228b",-2.01811272317634,3.59666915387049,10.9473807294033,0.00511756940674297,0.999822942704652,"Not Significant","Large","Not Significant","VSMC","With_vs_Naive","Withdrawal","Naive",6,3,3,10023,2025-05-29
"Lysmd2",-1.12516602709744,4.83253166226157,11.1285397345841,0.00522972251205552,0.999822942704652,"Not Significant","Large","Not Significant","VSMC","With_vs_Naive","Withdrawal","Naive",6,3,3,10023,2025-05-29
"Grin1",1.58604777725951,3.96560883444905,11.1028521528593,0.00529271942617086,0.999822942704652,"Not Significant","Large","Not Significant","VSMC","With_vs_Naive","Withdrawal","Naive",6,3,3,10023,2025-05-29
"Gm16310",1.30095217190809,4.08688405426199,10.7571974436474,0.00585245443679006,0.999822942704652,"Not Significant","Large","Not Significant","VSMC","With_vs_Naive","Withdrawal","Naive",6,3,3,10023,2025-05-29
"Hspb1",-0.589370030786729,10.3104302437154,10.6729275786579,0.0059589765128453,0.999822942704652,"Not Significant","Medium","Not Significant","VSMC","With_vs_Naive","Withdrawal","Naive",6,3,3,10023,2025-05-29
"Lmcd1",-1.02420890640431,4.67076530129096,10.6090550585457,0.00609633302454459,0.999822942704652,"Not Significant","Large","Not Significant","VSMC","With_vs_Naive","Withdrawal","Naive",6,3,3,10023,2025-05-29
"Sez6",1.8467206307541,3.429808826402,10.4511270460429,0.0063023763898032,0.999822942704652,"Not Significant","Large","Not Significant","VSMC","With_vs_Naive","Withdrawal","Naive",6,3,3,10023,2025-05-29
