"cell_type","comparison","total_genes","significant_genes","highly_significant","upregulated","downregulated","large_effect","total_samples","group1_samples","group2_samples","analysis_date"
"MAC","Dep_vs_Naive",11548,0,0,0,0,0,6,3,3,2025-05-29
"MAC","With_vs_Dep",11743,0,0,0,0,0,6,3,3,2025-05-29
"MAC","With_vs_Naive",11779,0,0,0,0,0,6,3,3,2025-05-29
"MG","Dep_vs_Naive",15229,0,0,0,0,0,6,3,3,2025-05-29
"MG","With_vs_Dep",15162,0,0,0,0,0,6,3,3,2025-05-29
"MG","With_vs_Naive",14962,0,0,0,0,0,6,3,3,2025-05-29
"ASC","Dep_vs_Naive",15755,0,0,0,0,0,6,3,3,2025-05-29
"ASC","With_vs_Dep",15299,0,0,0,0,0,6,3,3,2025-05-29
"ASC","With_vs_Naive",15563,0,0,0,0,0,6,3,3,2025-05-29
"OPC","Dep_vs_Naive",15713,0,0,0,0,0,6,3,3,2025-05-29
"OPC","With_vs_Dep",15636,0,0,0,0,0,6,3,3,2025-05-29
"OPC","With_vs_Naive",15679,0,0,0,0,0,6,3,3,2025-05-29
"DC","Dep_vs_Naive",9357,1,1,0,1,1,6,3,3,2025-05-29
"DC","With_vs_Dep",9652,0,0,0,0,0,6,3,3,2025-05-29
"DC","With_vs_Naive",9811,0,0,0,0,0,6,3,3,2025-05-29
"EC","Dep_vs_Naive",14828,0,0,0,0,0,6,3,3,2025-05-29
"EC","With_vs_Dep",14627,0,0,0,0,0,6,3,3,2025-05-29
"EC","With_vs_Naive",14606,0,0,0,0,0,6,3,3,2025-05-29
"OLG","Dep_vs_Naive",11575,5,3,3,2,4,6,3,3,2025-05-29
"OLG","With_vs_Dep",11548,0,0,0,0,0,6,3,3,2025-05-29
"OLG","With_vs_Naive",11695,0,0,0,0,0,6,3,3,2025-05-29
"NEUT","Dep_vs_Naive",10726,2,1,0,2,2,6,3,3,2025-05-29
"NEUT","With_vs_Dep",9613,0,0,0,0,0,6,3,3,2025-05-29
"NEUT","With_vs_Naive",10951,0,0,0,0,0,6,3,3,2025-05-29
"PC","Dep_vs_Naive",12224,0,0,0,0,0,6,3,3,2025-05-29
"PC","With_vs_Dep",12192,0,0,0,0,0,6,3,3,2025-05-29
"PC","With_vs_Naive",12556,0,0,0,0,0,6,3,3,2025-05-29
"VSMC","Dep_vs_Naive",9979,0,0,0,0,0,6,3,3,2025-05-29
"VSMC","With_vs_Dep",9956,0,0,0,0,0,6,3,3,2025-05-29
"VSMC","With_vs_Naive",10023,0,0,0,0,0,6,3,3,2025-05-29
"NEUR","Dep_vs_Naive",14026,0,0,0,0,0,6,3,3,2025-05-29
"NEUR","With_vs_Dep",14557,0,0,0,0,0,6,3,3,2025-05-29
"NEUR","With_vs_Naive",14628,0,0,0,0,0,6,3,3,2025-05-29
"EPIC","Dep_vs_Naive",17705,0,0,0,0,0,6,3,3,2025-05-29
"EPIC","With_vs_Dep",17624,0,0,0,0,0,6,3,3,2025-05-29
"EPIC","With_vs_Naive",17702,0,0,0,0,0,6,3,3,2025-05-29
