"","Dependent","Naive","Withdrawal"
"0",6059,6983,4218
"1",4562,4364,2114
"10",521,694,1155
"11",653,687,664
"12",671,550,598
"13",720,456,539
"14",297,325,756
"15",447,576,316
"16",4,22,1303
"17",345,366,609
"18",213,244,614
"19",318,369,294
"2",3904,3515,2948
"20",315,294,207
"21",275,320,166
"22",251,269,241
"23",190,271,271
"24",244,183,277
"25",170,166,219
"26",133,188,126
"27",137,126,129
"28",95,137,102
"29",85,89,56
"3",3776,3358,2969
"30",63,71,54
"31",64,65,44
"32",37,22,21
"33",25,29,13
"4",2388,2312,1650
"5",1555,1253,1300
"6",1485,1586,1003
"7",1213,1540,1276
"8",833,1084,746
"9",562,581,1282
