"cluster","sample_entropy","condition_entropy","n_cells","method"
"0",2.8493146758891,1.55513033867414,17260,"Batch Regression"
"1",3.04452502583202,1.51279619420854,11040,"Batch Regression"
"10",2.75196340913835,1.5046728838418,2370,"Batch Regression"
"11",3.12732461253163,1.58463899460129,2004,"Batch Regression"
"12",3.11328583052105,1.58013122105039,1819,"Batch Regression"
"13",2.93999655288279,1.55863173905429,1715,"Batch Regression"
"14",2.67141017730002,1.4438868623548,1378,"Batch Regression"
"15",3.01536729527961,1.54353614993695,1339,"Batch Regression"
"16",0.29286460031675,0.151100454096115,1329,"Batch Regression"
"17",2.77262048650995,1.53398584482042,1320,"Batch Regression"
"18",2.44896117175801,1.40972941784947,1071,"Batch Regression"
"19",2.88503045843205,1.57843606995155,981,"Batch Regression"
"2",3.13558884980316,1.5755452300486,10367,"Batch Regression"
"20",3.1255575314223,1.56273662214767,816,"Batch Regression"
"21",3.08078199510419,1.53538249464566,761,"Batch Regression"
"22",3.06629774361111,1.58346468344994,761,"Batch Regression"
"23",3.05742662741006,1.56652313610279,732,"Batch Regression"
"24",2.92151362546983,1.56457428800243,704,"Batch Regression"
"25",3.02462183882418,1.57304419403088,555,"Batch Regression"
"26",3.04520936891215,1.56083675183646,447,"Batch Regression"
"27",3.03221203761539,1.58405682963515,392,"Batch Regression"
"28",3.10489787732004,1.56587775643176,334,"Batch Regression"
"29",3.0557103284768,1.55701013545333,230,"Batch Regression"
"3",3.02933201100754,1.57804917555064,10103,"Batch Regression"
"30",3.1151566311851,1.57605371453852,188,"Batch Regression"
"31",2.9758498985394,1.56370973592059,173,"Batch Regression"
"32",2.98485687072887,1.53322889467929,80,"Batch Regression"
"33",2.9108124775228,1.5126030719667,67,"Batch Regression"
"4",3.12049623896082,1.56652650905214,6350,"Batch Regression"
"5",3.09252663573407,1.57831532959867,4108,"Batch Regression"
"6",3.11199568843535,1.55840843533226,4074,"Batch Regression"
"7",3.13432842777903,1.57708661485402,4029,"Batch Regression"
"8",3.03244337993359,1.56657191950145,2663,"Batch Regression"
"9",2.83498975936266,1.46887494039178,2425,"Batch Regression"
