"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
0,2.92334253392407,0.297,0.053,0,"10","Hmcn1"
0,2.89864246734135,0.69,0.093,0,"10","Ly6a"
0,2.86850303934853,0.252,0.043,0,"10","Edn1"
0,2.82843618424403,0.796,0.115,0,"10","Ly6c1"
0,2.82772427877509,0.252,0.047,0,"10","Fgd5"
0,2.82048002843394,0.286,0.049,0,"10","Gata2"
0,2.81438865681555,0.28,0.054,0,"10","C130074G19Rik"
0,2.77937908969405,0.337,0.054,0,"10","Sox17"
0,2.7725304696845,0.343,0.055,0,"10","Tek"
0,2.76664001136841,0.324,0.057,0,"10","Atp10a"
0,4.73200057552213,0.964,0.364,0,"17","Mbp"
0,4.20873437615404,0.281,0.026,0,"17","D7Ertd443e"
0,4.11324240315856,0.889,0.18,0,"17","Mobp"
0,3.97611861132942,0.298,0.024,0,"17","C030029H02Rik"
0,3.38641723492639,0.709,0.118,0,"17","Mag"
0,3.35494047289951,0.288,0.034,0,"17","Plekhh1"
0,3.34317414262064,0.449,0.056,0,"17","Lpar1"
0,3.24234857034881,0.542,0.163,0,"17","Bcas1"
0,3.22253771306173,0.335,0.054,0,"17","1700047M11Rik"
0,3.21218755541145,0.489,0.103,0,"17","Pdlim2"
0,8.30480885733144,0.429,0.002,0,"25","Lum"
0,8.21673225292613,0.423,0.002,0,"25","Aox3"
0,7.91289084852511,0.342,0.003,0,"25","Lama1"
0,7.7934044144792,0.544,0.004,0,"25","Slc22a6"
0,7.53399600182038,0.717,0.014,0,"25","Slc6a13"
0,7.3964059974616,0.595,0.006,0,"25","Aldh1a2"
0,7.28781193847588,0.441,0.005,0,"25","Itih2"
0,7.25379507428993,0.607,0.022,0,"25","Col1a1"
0,7.23007550133044,0.333,0.002,0,"25","Col13a1"
0,7.13946199206218,0.389,0.004,0,"25","Gpr182"
0,5.13624442089249,0.819,0.086,0,"26","Rgs5"
0,4.05724376463965,0.306,0.024,0,"26","Abcc9"
0,4.04887639019931,0.477,0.038,0,"26","Higd1b"
0,4.0136154297949,0.772,0.08,0,"26","Vtn"
0,3.96182774435087,0.391,0.036,0,"26","Ndufa4l2"
3.14578519606535e-252,3.92314244676653,0.327,0.034,7.69899468885035e-248,"26","Ifitm1"
1.07926635752572e-172,3.83977840029979,0.306,0.042,2.64139648340844e-168,"26","Cox4i2"
3.27419661254384e-167,3.52186247273008,0.336,0.051,8.01326878953979e-163,"26","Atp13a5"
4.71897187818263e-85,3.47727917451898,0.26,0.054,1.15492117746642e-80,"26","Ecm2"
1.15820263157685e-119,3.41622839702728,0.291,0.051,2.83458512052119e-115,"26","Colec12"
4.56613685757296e-67,3.66742303876455,1,0.329,1.11751633452241e-62,"32","Hbb-bt"
4.32581265922155e-272,3.54366647857381,0.938,0.051,1.05869939021788e-267,"32","Alas2"
3.43164774912225e-38,3.48012265913618,0.325,0.04,8.3986147012018e-34,"32","Rsad2"
2.35874159807603e-46,3.41864064536991,1,0.855,5.77278418713127e-42,"32","Hbb-bs"
3.38622251347187e-102,3.3352093980583,0.488,0.036,8.28744097947104e-98,"32","Isg20"
3.73577720528433e-51,3.26031364755883,1,0.519,9.14294113221288e-47,"32","Hba-a1"
1.27631408923274e-54,3.25671009193003,1,0.447,3.12365110198822e-50,"32","Hba-a2"
1.49274096816567e-71,3.11058535335311,0.25,0.014,3.65333424548867e-67,"32","Rec114"
2.58309719052974e-126,3.0918417637459,0.7,0.06,6.32187206410248e-122,"32","Ube2l6"
5.88293754452011e-83,3.0246660812692,0.825,0.129,1.43979013464585e-78,"32","Tent5c"
0,7.31355553913098,0.816,0.017,0,"5","Alas2"
0,7.26604863309595,1,0.498,0,"5","Hba-a1"
0,7.26020500770647,0.999,0.422,0,"5","Hba-a2"
0,7.08152307448063,0.999,0.849,0,"5","Hbb-bs"
0,6.87285528035541,0.986,0.3,0,"5","Hbb-bt"
0,5.88088603456792,0.413,0.019,0,"5","Isg20"
0,5.63609758793558,0.56,0.038,0,"5","Ube2l6"
0,3.85039876171747,0.561,0.11,0,"5","Tent5c"
0,3.33072077150643,0.466,0.127,0,"5","Slc25a37"
0,2.87621712715457,0.559,0.28,0,"5","Bpgm"
