"","Ctrl1","Ctrl2","Ctrl3","Ctrl4","MOR1","MOR2","MOR3","MOR4"
"ENSMUSG00000000001",3.62993940943954,3.611172380044,3.40735275114004,3.89917563048051,3.58255600301406,3.88557436437143,3.86987140617771,3.84599177066457
"ENSMUSG00000000028",1.10433665981474,1.19534759832222,1.13093086982645,1.41142624572647,0.831877241191673,1.38404980679516,0.956056652412403,1.16349873228288
"ENSMUSG00000000056",4.03650333373899,3.83794324189103,4.09339115325301,4,4.22881869049588,4.33985000288462,4.45811948117451,4.07895134139482
"ENSMUSG00000000058",3.62527048937469,3.19377174339668,2.41953889151378,3.14893410452634,3.14730669878029,2.99457972421575,3.02147972741045,3.00180224263399
"ENSMUSG00000000078",4.66959375118833,4.59931779369823,3.4944156103975,4.49633451341711,5.22380865860602,5.2667865406949,4.48992821940518,4.48542682717024
"ENSMUSG00000000085",3.69710657447697,4.24107745817504,5.26716121802226,4.44228003525258,4.06177619758669,4.4276061727819,4.27872821293894,4.33556900555675
"ENSMUSG00000000088",8.77761697117882,8.35698009141037,8.0837452373945,8.43983088398139,8.61378946447258,8.83497661573153,8.30094736348688,8.53931393126741
"ENSMUSG00000000120",1.57531233068744,1.41683974191283,1.09085343045111,1.09085343045111,0.6959938131099,0.895302621333307,1.10433665981474,0.963474123974886
"ENSMUSG00000000125",0.970853654340484,0.765534746362977,0.613531652917927,1.09761079662642,0.641546029087524,0.839959587489532,0.505890929729957,0.713695814843359
"ENSMUSG00000000126",2.13093086982645,2.28983446517751,0.963474123974886,1.92219784839637,2.38681094647222,1.90689059560852,2.40053792958373,2.08746284125034
"ENSMUSG00000000127",3.1554254317472,3.36737106564853,3.31903981556254,3.38128337250378,3.01970191444255,3.05831649559082,3.04439411935845,3.31469652565629
"ENSMUSG00000000131",4.27127625917593,4.19927972133662,4.0746766862945,4.23189316164533,3.98002530023873,3.15380533607904,3.87085786436376,3.6450098843911
"ENSMUSG00000000134",3.60880924267552,3.95046841415012,3.95233356636969,3.76765479823735,3.77082904603249,3.86393845042397,3.70818723602071,3.85399564717639
"ENSMUSG00000000142",1.85199883711245,1.59931779369823,2.07724299893246,2.02502879449152,2.02856915219677,2.17312743348066,2.09423606984577,2.33628338786443
"ENSMUSG00000000148",3.25247621413522,3.26603689399532,3.64961545906341,3.09254574154357,3.47897180503294,2.98185265328974,3.32624970083746,3.28688114778816
"ENSMUSG00000000149",2.41413553298445,2.51853513898218,2.7311832415722,2.21412480535285,2.58976348698498,2.07382023329167,2.31903981556254,2.18269229751619
"ENSMUSG00000000167",0.879705766282288,1.01435529297707,0.773996325111173,0.956056652412403,0.823749360308273,1.22032995487956,1.4276061727819,0.669026765509631
"ENSMUSG00000000168",5.02635744696384,4.79285535236249,4.85149920246126,4.67299099382775,4.90833256978243,4.77294133783134,4.90014226035982,5.00495075995105
"ENSMUSG00000000171",6.96509162479079,6.89178370321831,6.9213649179195,6.70113315484797,6.94567792611409,6.8059372931571,6.62993940943954,6.88508622529017
"ENSMUSG00000000184",5.44360665147561,5.55612281784117,4.71149490665009,6.1278396000753,6.32840565895857,6.01903466936434,6.37173309062267,5.81966818349646
"ENSMUSG00000000194",3.0703893278914,3.03386345186628,3.50589092972996,3.11603199344711,3.25550073314839,3.02502879449152,3.22804904788446,3.20789285164133
"ENSMUSG00000000197",3.36876834909033,3.49697358099828,3.77082904603249,3.7158933705476,3.73335434061383,3.83390207666916,3.77925972037238,3.54349588342577
"ENSMUSG00000000202",4.74092756031863,5.08193608171943,4.81044310384517,4.2349610948395,4.1554254317472,4.3110671022556,4.14730669878029,4.18507363787676
"ENSMUSG00000000214",2.59215800212536,2.25096157353322,3.16832111573972,2.6507645591169,1.40053792958373,4.15461561132689,2.56071495447448,5.69960715389318
"ENSMUSG00000000223",2.98732086592925,3.74846123300404,3.54225804976692,3.6564963705535,3.48026512205446,3.91456452349394,3.8011586560937,3.53480866123175
"ENSMUSG00000000247",1.85996954822103,2.65306001710456,1.4276061727819,2.62527048937469,1.37851162325373,1.73552217729654,1.81147103052984,1.56559717585423
"ENSMUSG00000000253",5.83844759254846,5.55704241526372,6.16289479937478,5.24830712008724,5.56498780095989,5.17392693199981,5.4369613378336,5.21062264439691
"ENSMUSG00000000266",2.50589092972996,2.31614574229336,2.4032677223393,2.32481060342048,2.11103131238874,2.13750352374994,2.7311832415722,2.26903314645524
"ENSMUSG00000000275",0.55581615506164,0.739848102699327,1.21412480535285,1.01435529297707,0.6959938131099,0.669026765509631,0.6959938131099,0.632268215499513
"ENSMUSG00000000276",3.46466826700344,3.83895176695194,3.61235249875266,3.62058641045188,3.63226821549951,3.39094277280254,3.68818035858693,3.7311832415722
"ENSMUSG00000000278",3.64270157183323,3.76659516172927,3.42894634476948,3.46336088581666,3.39231742277876,3.75915583380027,3.63923216324928,3.58976348698498
"ENSMUSG00000000282",2.33628338786443,2.50080205305716,2.62993940943954,2.65306001710456,2.57288966842058,2.66220549965362,2.93734439215023,2.79493566280354
"ENSMUSG00000000290",1.61353165291793,2.16349873228288,1.7311832415722,2.26903314645524,2.09423606984577,2.26002565596146,1.85199883711245,2.08065766334523
"ENSMUSG00000000295",4.71039319217052,4.3110671022556,4.21723071622067,4.6409679104499,4.5765221379205,4.17712050284652,4.42559357765306,4.26903314645524
"ENSMUSG00000000296",5.09423606984577,4.09254574154357,5.02591469875079,4.78345665436024,5.64558638591361,5.4966540825935,5.74980240168005,5.30742852519225
"ENSMUSG00000000301",2.34198574722862,1.98185265328974,1.86789646399265,2.10768786931437,2,1.58014548442338,1.63691458035588,1.93357263826102
"ENSMUSG00000000305",2.10097764772482,2.59454854955035,2.60644222813161,2.87184364850932,3.26153081524341,2.94110631094643,3.10601323762212,3.0036022366802
"ENSMUSG00000000308",7.43837603039902,7.24897119146416,7.5330181855701,7.40377898395031,7.36789520554199,7.59410062353147,7.44451799301967,7.17990909001493
"ENSMUSG00000000326",6.87872534148011,7.01959072835788,7.1050704023587,6.86616616903904,6.80387279762063,6.53977919169849,6.83819543925919,6.80799883862303
"ENSMUSG00000000339",5.4715126480455,5.30305008468167,5.24184018356467,5.30669970727279,5.48413813120167,5.54596836910529,5.20359271420771,5.22419466397043
"ENSMUSG00000000340",3.20476675065461,3.01256867350306,2.90303827011291,3.27500704749987,2.86195536414487,2.83794324189103,2.62058641045188,2.59693514238723
"ENSMUSG00000000346",6.91492323926577,6.86740230572754,6.69251089161507,6.65391987311942,6.61838550225861,6.46123386127128,6.37503943134692,6.78280168769857
"ENSMUSG00000000355",6.34766565630097,5.64990281989314,5.48542682717024,5.74658149978581,6.01435529297707,5.56254772419912,5.82578562746479,5.8008998999203
"ENSMUSG00000000374",2.20163386116965,2.48800077083407,2.35049724708413,2.51853513898218,2.30742852519225,2.10433665981474,2.31324585178756,2.47767732756531
"ENSMUSG00000000378",5.81301154860562,5.4666271200415,6.70251902915328,5.30012372456901,5.11353381959191,5.18308946064076,5.31578357458946,5.36876834909033
"ENSMUSG00000000384",3.28688114778816,3.46205231879643,3.50207595604579,3.29572302453997,3.28835856219366,3.32337006906127,3.56193705962243,3.4995270242151
"ENSMUSG00000000399",7.21023299009585,6.85885132438965,6.88667207380157,6.8903250848035,6.99095486039699,7.29764998274399,6.89760347428054,7.13873256972024
"ENSMUSG00000000409",0.963474123974886,1.22650852980868,1.15055967657538,0.863938450423971,1.11769504266975,1.25701061820602,1.46466826700344,1.36737106564853
"ENSMUSG00000000416",5.50303064564116,5.90038381666693,5.71534429535891,5.4594316186373,6.02236781302845,5.50525580093216,6.02724253597374,6.02502879449152
"ENSMUSG00000000420",2.79285535236249,2.86987140617771,3.16671544496642,2.67129337248158,2.36737106564853,2.69821847822441,2.48284828306847,2.46727948045998
"ENSMUSG00000000439",3.15055967657538,3.09929520433778,3.30158764660319,3.01970191444255,2.91647664443772,2.90303827011291,2.7158933705476,3.02147972741045
"ENSMUSG00000000440",0.678071905112638,0.411426245726465,0.298658315564515,1.35049724708413,0.773996325111173,0.704871964456353,0.678071905112638,1.53605290024021
"ENSMUSG00000000441",4.76181714250714,5.08873524619028,5.15623479785027,4.89820835250872,4.78345665436024,5.07424852334703,4.97544676564096,5.11561593142811
"ENSMUSG00000000489",2.1407786557828,2.85598969730848,1.98913900736823,2.76341157447001,2.95419631038688,2.63459326844576,3.34056226902641,2.94860084749336
"ENSMUSG00000000530",2.06004738366994,2.56071495447448,2.90496571868403,2.0496307677246,1.29278174922785,1.81966818349646,1.89917563048051,1.56071495447448
"ENSMUSG00000000531",4.67525138605026,5.08831123588866,4.78555055173926,4.10601323762212,2.21412480535285,4.85897561429202,5.02458563827827,5.06781078378962
"ENSMUSG00000000532",3.55458885167764,3.68144926531496,3.90014226035982,3.67355642399014,3.49697358099828,3.6724253419715,3.65306001710456,3.40053792958373
"ENSMUSG00000000538",5.94976835993135,6.1673177809466,6.31867837373655,6.21354170192656,6.16410241248175,6.21684284283726,6.23304440126558,6.19278595925112
"ENSMUSG00000000552",4.48349335128439,4.53667461756976,4.72410451986685,4.20945336562895,4.24488705912353,3.97544676564096,4.1906148602095,4.22187708107703
