"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0007626","locomotory behavior","80/2645","292/28832",0.273972602739726,2.98645674184944,10.8428480213022,1.58350021920116e-19,3.59217024725784e-16,2.32524505872171e-16,"Tshr/Sncg/Lgi4/Gpr88/Idua/Pmp22/Ciart/Slc1a1/Grin2d/Drd1/Atp1a2/Snca/Lrrtm1/Ppp1r1b/Npy1r/Nr4a2/Als2/Mup5/Cdh23/Wdr47/Prex2/Scn1a/Adcy8/Chat/Adora2a/Shank2/Penk/Cxcl12/Sod2/Drd3/Prkce/Egr1/Rasd2/Npc1/Aph1b/Calb1/Fzd4/Dpp4/Mc3r/Lsamp/Cntn1/Gria1/Aph1c/Drd2/Apoe/Cend1/Sez6l/Ntsr1/Ido1/Chrna4/Alk/Slc4a10/Grm1/Chl1/Large1/Adcy5/Slc6a3/Mup4/Mapt/Gbx1/Uba6/Lmx1b/Arrb2/Espn/Vps35/Rogdi/Gpr52/Pde1b/Cacnb4/Usp2/Uchl3/Dlg4/Abat/Rnf170/Rcan2/Gng7/Agtpbp1/Gprc5b/Cnp/Kcnj10",80
"GO:0007611","learning or memory","83/2645","357/28832",0.23249299719888,2.53430551804843,9.27072942086799,1.4353445737975e-15,8.14019791414907e-13,5.26922547486187e-13,"Nts/Gpr88/Tanc1/Idua/Foxp2/Slc1a1/Fos/Htr7/Pgrmc1/Drd1/Jun/Prnp/Atp1a2/Slc2a4/Ppp1r1b/Prkcg/Nr4a2/Rgs14/Tac1/Mme/Ager/Oxtr/Adcy8/Chat/Synpo/Pde8b/Chrd/Shank2/Drd3/Egr1/Arc/Prkar1b/Agt/Aph1b/Calb1/Prkca/Hmgcr/Glud1/Gria1/Aph1c/Drd2/Ucn/Thra/Fen1/Grin2b/Apoe/Serpinf1/Bche/Ntsr1/Shc3/Tmod2/Abca7/Syt11/Grm4/Large1/B2m/Cln3/Itgb1/Prkar2b/Clstn2/Amph/Mapt/Egr2/Uba6/Lmx1b/Igf2/Rogdi/Pde1b/Ntrk1/Lcn2/Psen2/Acss2/Ptgs2/Gabra5/Gatm/Gabrb3/Rcan2/Comt/Creb1/Neurod2/Stra6/Nrxn3/Picalm",83
"GO:0030534","adult behavior","51/2645","197/28832",0.258883248730964,2.82197422586434,8.1550488245979,5.94698144498813e-12,9.99313141330043e-10,6.46864648402218e-10,"Tshr/Sncg/Lgi4/Nr4a3/Idua/Pmp22/Slc1a1/Aldh2/Parp1/Grin2d/Drd1/Atp1a2/Snca/Ppp1r1b/Nr4a2/Cdh23/Wdr47/Prex2/Fgf2/Scn1a/Chat/Shank2/Cxcl12/Drd3/Npc1/Slc10a4/Fosb/Tpgs1/Slc1a2/Drd2/Cend1/Sez6l/Ntsr1/Chrna4/Grm2/Alk/Fadd/Chl1/Mapt/Gbx1/Arrb2/Cacnb4/Bbs2/Uchl3/Agrp/Nos1/Rnf170/Agtpbp1/Nrxn3/Cnp/Kcnj10",51
"GO:0099504","synaptic vesicle cycle","60/2645","261/28832",0.229885057471264,2.50587749603459,7.7668871205439,1.94551896256021e-11,2.74439712321172e-09,1.77647366652221e-09,"Ap2a2/Scamp5/Sncg/Otof/Syn1/Ap3b2/Cspg5/Pacsin1/Bin1/Pip5k1c/Slc2a4/Atp6ap1/Snca/Npy1r/Prkcg/Syt2/Snapin/Atp6v1b2/Synj2/Ston2/Htr1b/Gpr151/Prkar1b/Slc10a4/Ap3d1/Prkca/Slc18a3/Syt10/Syt9/Snap29/Unc13c/Atp6v1c1/Atp6v1g2/Atp6v0d1/Sv2b/Pls3/Snap47/Syt11/Vamp1/Slc4a8/Ap3m2/Ctbp1/Syndig1/Rab3gap1/Syde1/Amph/Sv2c/Syt13/Stxbp3/Rab27b/Efr3a/Scrib/Atp6v1a/Cacnb4/Slc32a1/Sncb/Dnm1l/Cplx1/Atp6v0a4/Picalm",60
"GO:0035249","synaptic transmission, glutamatergic","37/2645","129/28832",0.286821705426357,3.12651924795944,7.69308170319548,1.98143606822847e-10,1.95429900903317e-08,1.26503584218705e-08,"Plat/Grin2d/Drd1/Als2/Grik3/Oxtr/Cacng3/Gria2/Adora2a/Shank2/Drd3/Htr1b/Ptk2b/Grm3/Aph1b/Unc13c/Gria1/Aph1c/Drd2/Ucn/Grin2b/Cacng4/Shc3/Grm2/Grm4/Grm1/Npy2r/Cln3/Rab3gap1/Glul/Ntrk1/Ngfr/Plppr4/Cacnb4/Ptgs2/Ext1/Cdh8",37
"GO:0006836","neurotransmitter transport","54/2645","242/28832",0.223140495867769,2.43235794966333,7.1113488754643,6.20320501946522e-10,5.26054975202126e-08,3.40520255864397e-08,"Sncg/Otof/Syn1/Cspg5/Xbp1/Atp1a2/Ica1/Snca/Npy1r/Prkcg/Syt2/Slc22a3/Snapin/Slc6a15/Adora2a/Drd3/Htr1b/Gpr151/Slc10a4/Prkca/Slc18a3/Syt10/Slc1a2/Syt9/Snap29/Unc13c/Drd2/Sv2b/Snap47/Syt11/Vamp1/Slc4a8/Slc6a7/Slc6a3/Itgb1/Rab3gap1/Syde1/Sv2c/Slc6a13/Nr4a1/Syt13/Stxbp3/Slc6a12/Efr3a/Scrib/Cacnb4/Nos1/Slc32a1/Slc22a1/Dnm1l/Cplx1/Pnkd/Nrxn3/Kcnj10",54
"GO:0008344","adult locomotory behavior","32/2645","116/28832",0.275862068965517,3.00705299524151,6.88375935009339,9.29171595234663e-09,5.43955035816731e-07,3.52107130825767e-07,"Tshr/Sncg/Lgi4/Idua/Pmp22/Grin2d/Drd1/Atp1a2/Snca/Nr4a2/Cdh23/Wdr47/Prex2/Scn1a/Chat/Shank2/Cxcl12/Npc1/Drd2/Cend1/Sez6l/Ntsr1/Chl1/Mapt/Gbx1/Arrb2/Cacnb4/Uchl3/Rnf170/Agtpbp1/Cnp/Kcnj10",32
"GO:0007612","learning","46/2645","206/28832",0.223300970873786,2.43410721823554,6.56499977547526,1.0944777598537e-08,6.26342542454448e-07,4.05437326647079e-07,"Nts/Gpr88/Tanc1/Idua/Foxp2/Slc1a1/Fos/Pgrmc1/Drd1/Jun/Atp1a2/Ppp1r1b/Rgs14/Tac1/Synpo/Pde8b/Chrd/Shank2/Drd3/Arc/Agt/Hmgcr/Gria1/Drd2/Ucn/Grin2b/Bche/Ntsr1/Abca7/Syt11/Grm4/Cln3/Itgb1/Prkar2b/Clstn2/Amph/Uba6/Pde1b/Ptgs2/Gabra5/Gabrb3/Comt/Creb1/Neurod2/Stra6/Nrxn3",46
"GO:0051966","regulation of synaptic transmission, glutamatergic","27/2645","88/28832",0.306818181818182,3.34449218078708,7.00029496314333,1.0975144836925e-08,6.26342542454448e-07,4.05437326647079e-07,"Grin2d/Drd1/Grik3/Oxtr/Cacng3/Gria2/Adora2a/Shank2/Drd3/Htr1b/Ptk2b/Grm3/Drd2/Ucn/Grin2b/Cacng4/Grm2/Grm4/Grm1/Npy2r/Cln3/Rab3gap1/Glul/Ntrk1/Ngfr/Plppr4/Ptgs2",27
"GO:0007613","memory","41/2645","177/28832",0.231638418079096,2.52499012100435,6.4677507383863,2.24970286486709e-08,1.11550840414229e-06,7.22078917800307e-07,"Idua/Slc1a1/Fos/Htr7/Pgrmc1/Drd1/Slc2a4/Ppp1r1b/Rgs14/Tac1/Oxtr/Adcy8/Chat/Shank2/Egr1/Arc/Aph1b/Calb1/Glud1/Gria1/Aph1c/Drd2/Fen1/Grin2b/Apoe/Serpinf1/Abca7/Syt11/Large1/Mapt/Lmx1b/Igf2/Rogdi/Lcn2/Psen2/Acss2/Ptgs2/Gabrb3/Rcan2/Comt/Creb1",41
