"Symbol","logFC","P.Value","pathway_class","Direction","Significance"
"Plat",0.54003686983475,0.000342957493965924,"Associated","Upregulated","***"
"Vtn",-0.996424743386763,0.000783554558535359,"Associated","Downregulated","***"
"Pros1",-0.4618477460357,0.00193476713903239,"Associated","Downregulated","**"
"Clu",-0.558780149726001,0.00351527265492224,"Associated","Downregulated","**"
"Cfh",-0.694060235345435,0.0046026158714954,"Alternative","Downregulated","**"
"Cr1l",-0.377645360575143,0.005498940671614,"Associated","Downregulated","**"
"Serpinc1",0.26157435819194,0.00678956408006753,"Associated","Upregulated","**"
"F3",-0.784048028110515,0.0101169262090049,"Associated","Downregulated","*"
"Apoe",-0.414690891878698,0.0172617948320225,"Associated","Downregulated","*"
"Thbd",-1.15402731234189,0.0178138374709742,"Associated","Downregulated","*"
"C4b",-0.635226491326182,0.0179682466012664,"Classical","Downregulated","*"
"Xrcc3",-0.77118564740026,0.0201802895794973,"Associated","Downregulated","*"
"Fancl",0.368373962949825,0.0210764679758509,"Associated","Upregulated","*"
"Fancf",-0.246951203780946,0.0247424594850342,"Associated","Downregulated","*"
"Serping1",-1.59548882973802,0.0330177767412703,"Regulator","Downregulated","*"
"F13a1",-0.616337938496516,0.0380267414278613,"Associated","Downregulated","*"
"C2",-0.818914759986468,0.0384110465604742,"Classical","Downregulated","*"
"C1qbp",0.174872302203896,0.0457181717901401,"Classical","Upregulated","*"
