"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0042060","wound healing","107/2645","403/28832",0.265508684863524,2.89419523704541,12.1701600223698,1.81156397353446e-24,1.64381314958517e-20,1.06405547077077e-20,"Pdia6/Plpp3/B4galt1/Plat/Cav1/Pear1/Vtn/Xbp1/St3gal4/Tgfb2/Tmeff2/Cd44/Foxc2/Pdia4/Mia3/Pros1/Cd9/Cd151/Angptl2/Pip5k1c/Itgb5/Fgf10/Wfdc1/Cldn1/Lnpk/Ceacam1/Anxa5/Gpr4/Hps6/Cd109/Fundc2/Cfh/Arhgap24/Pla2g4a/Prrg4/Fgf2/Col3a1/Serpinc1/Angpt2/S100a9/Chmp2b/Pecam1/Prkce/Fgl2/Axl/F3/Timp1/Fn1/Chmp1a/Wnt4/Papss2/Prkca/Dmtn/Cav3/Adra2b/Entpd2/Pf4/Apoe/Thbd/Acvrl1/Tbxa2r/Hmgb1/Pdpn/Fkbp10/Mcam/Myof/Syt11/Evpl/Arhgef19/Slc4a1/Sdc4/Msx2/Cldn3/Itgb1/Cxcr4/Plek/Anxa2/Gp1bb/Prkcd/Angptl1/Stxbp3/Alox12/Tyro3/Slc12a2/Emilin1/Serping1/Scrib/Fgfr1op2/Cflar/Rreb1/Fgf1/Prss56/F13a1/Pdia3/Fermt1/Ano5/Vps4a/Svep1/Ext1/Ajap1/Enpp4/S100a10/Ptprj/Ndnf/Anxa1/Anxa8/Tsku",107
"GO:0015711","organic anion transport","111/2645","477/28832",0.232704402515723,2.53660995589162,10.7549358316189,2.1323098582574e-20,8.07171012821257e-17,5.22489269693933e-17,"Abcc3/Slc2a1/Slco1a4/Npy5r/Slc1a1/Slc52a3/Abcd2/Slc1a5/Akt2/Slc16a11/Slc25a47/Slco1c1/Slc2a4/Slc47a1/Snca/Slco2a1/Ceacam1/Slc16a9/Slc4a4/Slc22a3/Proca1/Slc16a1/Slc22a8/Shoc2/Slc6a15/Pla2g4a/Slc25a38/Slc35a2/Ttyh3/Sstr4/Rbp1/Adora2a/Gipc1/Slc6a20a/Slc27a1/Slco4a1/Abcb1a/Drd3/Slc38a9/Slc16a12/Htr1b/Slc37a1/Slc38a3/Slc10a4/Agt/Map2k6/Slc1a2/Slc25a22/Slc7a3/Calhm2/Slc22a18/Arg1/Slc35d3/Lrp2/Abcg2/Trpc4/Drd2/Grin2b/Apoe/Ntsr1/Abcd4/Slc22a6/Nfkbie/Grm2/Cftr/Ttyh2/Slc4a8/Acacb/Slc4a10/Grm1/Slc35d1/Slc4a1/Slc6a7/Slc26a8/G6pc3/Cln3/Itgb1/Slc25a21/Slc13a5/Rab3gap1/Casr/Prkcd/Tmem241/Slc35c2/Slco2b1/Slc7a2/Crot/Slc6a13/Slc7a10/Plin2/Slc12a2/Slc43a2/Slc6a12/Ptger3/Cacnb4/Abcc10/Ptgs2/Abat/Mfsd12/Slc32a1/Ttyh1/Slc4a9/Crabp2/Gabbr1/Slc22a1/Slc38a5/Dpysl2/Aqp9/Anxa1/Slc7a8/Kcnj10",111
"GO:0044282","small molecule catabolic process","94/2645","369/28832",0.254742547425474,2.77683823341069,10.9174334803905,2.66862799037224e-20,8.07171012821257e-17,5.22489269693933e-17,"Thnsl2/Cpt1a/Pfkl/Ldhd/Cyp4f14/Prodh/Decr2/Eci1/Nudt7/Cpt2/Hk1/Aldh2/Ddo/Abcd2/Gcsh/Sardh/Entpd4/Akt2/Acaa2/Acot7/Eci2/Actn3/Slc16a1/Ilvbl/Acaa1b/Mtrr/Sesn2/Atp2b4/Haghl/Pck2/Synj2/Cbr3/Asrgl1/Upp1/Tpi1/Kyat3/Glb1l/Gpd2/Dbt/Glyctk/Aldh1l1/Gpt/Adhfe1/Arg1/Glud1/Dhdh/Hadhb/Apoe/Ntsr1/Acads/Pon1/Pex5/Renbp/Nagk/Abcd4/Dlst/Ido1/Hsd3b7/Gda/Oat/Acacb/Lpin3/Sdsl/Gad2/Pfkp/Hadh/Dpyd/Aasdhppt/Hmgcll1/Crot/Aldh5a1/Mccc1/Hsd17b10/Aldh4a1/Lonp2/Etfb/Pnp/Adal/Nos1/Cyp24a1/Gck/Abat/Qprt/Acadl/Bdh2/Cyp46a1/Enpp4/Bcat1/Acad10/Acad8/Pnkd/Galm/Adipoq/Aass",94
"GO:0007626","locomotory behavior","80/2645","292/28832",0.273972602739726,2.98645674184944,10.8428480213022,1.58350021920116e-19,3.59217024725784e-16,2.32524505872171e-16,"Tshr/Sncg/Lgi4/Gpr88/Idua/Pmp22/Ciart/Slc1a1/Grin2d/Drd1/Atp1a2/Snca/Lrrtm1/Ppp1r1b/Npy1r/Nr4a2/Als2/Mup5/Cdh23/Wdr47/Prex2/Scn1a/Adcy8/Chat/Adora2a/Shank2/Penk/Cxcl12/Sod2/Drd3/Prkce/Egr1/Rasd2/Npc1/Aph1b/Calb1/Fzd4/Dpp4/Mc3r/Lsamp/Cntn1/Gria1/Aph1c/Drd2/Apoe/Cend1/Sez6l/Ntsr1/Ido1/Chrna4/Alk/Slc4a10/Grm1/Chl1/Large1/Adcy5/Slc6a3/Mup4/Mapt/Gbx1/Uba6/Lmx1b/Arrb2/Espn/Vps35/Rogdi/Gpr52/Pde1b/Cacnb4/Usp2/Uchl3/Dlg4/Abat/Rnf170/Rcan2/Gng7/Agtpbp1/Gprc5b/Cnp/Kcnj10",80
"GO:0015849","organic acid transport","93/2645","381/28832",0.244094488188976,2.66076834913594,10.3710468615413,9.31042266574033e-19,1.68965550537855e-15,1.09372965210171e-15,"Abcc3/Slc2a1/Slco1a4/Npy5r/Slc1a1/Abcd2/Slc1a5/Akt2/Slc16a11/Slco1c1/Slc47a1/Snca/Slco2a1/Ceacam1/Slc16a9/Slc22a3/Proca1/Slc16a1/Slc22a8/Slc6a15/Pla2g4a/Slc25a38/Ttyh3/Sstr4/Rbp1/Adora2a/Gipc1/Slc6a20a/Slc27a1/Slco4a1/Abcb1a/Drd3/Slc38a9/Slc16a12/Htr1b/Slc38a3/Slc10a4/Agt/Map2k6/Slc1a2/Slc25a22/Slc7a3/Arg1/Lrp2/Abcg2/Trpc4/Drd2/Grin2b/Apoe/Ntsr1/Abcd4/Slc22a6/Nfkbie/Grm2/Ttyh2/Acacb/Grm1/Slc35d1/Slc6a7/Slc26a8/Cln3/Itgb1/Slc25a21/Slc13a5/Rab3gap1/Fxyd1/Casr/Prkcd/Slco2b1/Slc7a2/Crot/Slc6a13/Slc7a10/Plin2/Slc12a2/Slc43a2/Slc6a12/Cacnb4/Abcc10/Ptgs2/Abat/Mfsd12/Slc32a1/Ttyh1/Crabp2/Gabbr1/Slc22a1/Slc38a5/Dpysl2/Aqp9/Anxa1/Slc7a8/Kcnj10",93
"GO:0046942","carboxylic acid transport","92/2645","378/28832",0.243386243386243,2.65304807913504,10.2815724162747,1.75725025683142e-18,2.65754813841472e-15,1.72025551458234e-15,"Abcc3/Slc2a1/Slco1a4/Npy5r/Slc1a1/Abcd2/Slc1a5/Akt2/Slc16a11/Slco1c1/Slc47a1/Snca/Slco2a1/Ceacam1/Slc16a9/Slc22a3/Proca1/Slc16a1/Slc22a8/Slc6a15/Pla2g4a/Slc25a38/Ttyh3/Sstr4/Rbp1/Adora2a/Gipc1/Slc6a20a/Slc27a1/Slco4a1/Abcb1a/Drd3/Slc38a9/Slc16a12/Htr1b/Slc38a3/Slc10a4/Agt/Map2k6/Slc1a2/Slc25a22/Slc7a3/Arg1/Lrp2/Abcg2/Trpc4/Drd2/Grin2b/Apoe/Ntsr1/Abcd4/Slc22a6/Nfkbie/Grm2/Ttyh2/Acacb/Grm1/Slc35d1/Slc6a7/Slc26a8/Cln3/Itgb1/Slc25a21/Slc13a5/Rab3gap1/Casr/Prkcd/Slco2b1/Slc7a2/Crot/Slc6a13/Slc7a10/Plin2/Slc12a2/Slc43a2/Slc6a12/Cacnb4/Abcc10/Ptgs2/Abat/Mfsd12/Slc32a1/Ttyh1/Crabp2/Gabbr1/Slc22a1/Slc38a5/Dpysl2/Aqp9/Anxa1/Slc7a8/Kcnj10",92
"GO:0043542","endothelial cell migration","69/2645","241/28832",0.286307053941909,3.12090925491611,10.5078956876677,3.8115855574607e-18,4.94090390691406e-15,3.19829284370387e-15,"Cdh5/Plpp3/Foxc2/Mia3/Stard13/Fap/Calr/Bmp4/Fgf16/Sparc/Ceacam1/Ager/Emp2/S100a8/Egf/Fgf2/Pxn/Atp2b4/Gipc1/Angpt2/S100a9/Cxcl12/Gab1/Pecam1/Zc3h12a/Tgfbr3/Ptk2b/Agt/Vhl/Prkca/Dpp4/Hdac5/Hdac7/Apoe/Serpinf1/Acvrl1/Tbxa2r/Robo4/Hmgb1/Gpld1/Ephb4/Tek/Lgals8/Cxcl13/Cln3/Itgb1/Cxcr4/Sirt1/Cdh13/Fgfbp1/Sema5a/Igf2/Anxa3/Nr4a1/Glul/Meox2/Alox12/Lcn2/Bmper/Ptgs2/Fgf1/Synj2bp/Dcn/P2rx4/Pik3r2/Tns3/Anxa1/Cyp1b1/Clec14a",69
"GO:0050890","cognition","93/2645","403/28832",0.230769230769231,2.51551548640396,9.73715149589596,4.67584083967601e-17,5.30357247240252e-14,3.43305156386739e-14,"Nts/Gpr88/Tanc1/Idua/Foxp2/Slc1a1/St3gal4/Fos/Htr7/Pgrmc1/Fam107a/Drd1/Jun/Prnp/Atp1a2/Slc2a4/Washc4/Ppp1r1b/Prkcg/Nr4a2/Rgs14/Tac1/Mme/Ager/Oxtr/Adcy8/Chat/Synpo/Pde8b/Chrd/Cbr3/Chmp2b/Shank2/Drd3/Egr1/Arc/Prkar1b/Agt/Aph1b/Calb1/Prkca/Hmgcr/Glud1/Gria1/Aph1c/Drd2/Ucn/Thra/Fen1/Grin2b/Apoe/Serpinf1/Bche/Ntsr1/Shc3/Tmod2/Abca7/Chrna4/Syt11/Grm4/Chl1/Chrm1/Large1/B2m/Slc6a3/Cln3/Itgb1/Prkar2b/Clstn2/Amph/Mapt/Egr2/Uba6/Lmx1b/Igf2/Rogdi/Pde1b/Ntrk1/Lcn2/Psen2/Acss2/Ptgs2/Gabra5/Gatm/Gabrb3/Rcan2/Comt/Creb1/Neurod2/Stra6/Nrxn3/Picalm/Garem2",93
"GO:0030198","extracellular matrix organization","82/2645","337/28832",0.243323442136499,2.65236350989774,9.69696956532079,1.2883628933089e-16,1.29895609932055e-13,8.40826309317386e-14,"Reck/P4ha1/Hpn/B4galt1/Idua/Pmp22/Matn1/Scara3/Cav1/Mia/Vtn/Col11a2/Fscn1/Flrt2/Tgfb2/Foxc2/Apbb1/Mia3/Tnfrsf1a/Fap/Ero1a/Col11a1/Col8a1/Col16a1/Col3a1/Adamts16/Adamtsl2/Qsox1/Col8a2/Tgfbr3/Has1/Prdm5/Nid1/Cyp2j6/Fn1/Col6a5/Agt/Vhl/Adamts2/Dpp4/Impg1/Ecm2/Gas2/Col17a1/Tgfbi/Sfrp2/Mmp8/Col6a4/Pdpn/Fkbp10/Col1a2/Plod1/Ihh/Large1/Itgb1/Spint1/Loxl1/Anxa2/Thsd4/Ccdc80/Efemp2/Sema5a/Lmx1b/Col7a1/Sox9/Vwa1/Emilin1/Dnajb6/Kazald1/Matn2/Cflar/Col9a1/Cst3/Fbln5/Fermt1/Ext1/Serpinh1/Col1a1/Pbxip1/Ndnf/Serac1/Cyp1b1",82
"GO:0045229","external encapsulating structure organization","82/2645","338/28832",0.242603550295858,2.64451628057852,9.66539560923935,1.55067057841421e-16,1.40707848285306e-13,9.10814929215927e-14,"Reck/P4ha1/Hpn/B4galt1/Idua/Pmp22/Matn1/Scara3/Cav1/Mia/Vtn/Col11a2/Fscn1/Flrt2/Tgfb2/Foxc2/Apbb1/Mia3/Tnfrsf1a/Fap/Ero1a/Col11a1/Col8a1/Col16a1/Col3a1/Adamts16/Adamtsl2/Qsox1/Col8a2/Tgfbr3/Has1/Prdm5/Nid1/Cyp2j6/Fn1/Col6a5/Agt/Vhl/Adamts2/Dpp4/Impg1/Ecm2/Gas2/Col17a1/Tgfbi/Sfrp2/Mmp8/Col6a4/Pdpn/Fkbp10/Col1a2/Plod1/Ihh/Large1/Itgb1/Spint1/Loxl1/Anxa2/Thsd4/Ccdc80/Efemp2/Sema5a/Lmx1b/Col7a1/Sox9/Vwa1/Emilin1/Dnajb6/Kazald1/Matn2/Cflar/Col9a1/Cst3/Fbln5/Fermt1/Ext1/Serpinh1/Col1a1/Pbxip1/Ndnf/Serac1/Cyp1b1",82
