"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0030133","transport vesicle","116/2667","438/28779",0.264840182648402,2.85783112727347,12.5215314512925,6.07757882000103e-26,4.54602895736077e-23,3.03878941000052e-23,"Ap2a2/Scamp5/Otof/Syn1/Nts/Sec23ip/Cadm1/Il33/Znrf1/Cideb/Vamp3/Htr7/Syngr1/Bin1/Ptprs/Slc30a2/Stx12/Ica1/Hspa8/Slc2a4/Atp6ap1/Snca/Npy1r/Bgn/Mme/Ceacam1/Anxa5/Syt2/Akap7/Snapin/Rab8a/Dpysl3/Atp6v1b2/Gria2/Gipc1/Penk/Wdr7/Pdyn/Ston2/Kif3c/Gpr151/Sorl1/Slc10a4/Aph1b/Slc18a3/Syt10/Syt9/Syt15/Snap29/Slc5a7/Unc13c/Atp6v1c1/Slc35d3/Marcksl1/Atp6v1g2/Gria1/Aph1c/Drd2/Clrn1/Atp6v0d1/Grin2b/Rab4b/Sv2b/Arpc2/Myrip/Kif1b/Syt11/Vamp1/Slc4a8/Ap3m2/Slc6a7/Apc/Rab3d/Atr/Gad2/Vti1a/Cln3/Syndig1/Syt17/Amph/Erg28/Fgfrl1/Sv2c/Rab6a/Srebf1/Syt13/Lgi3/Rogdi/Clcn5/Rab27b/Lyz2/Galnt15/Psen2/Kcnq1/Bloc1s5/Atp6v1a/Sspn/Vps45/Clba1/Nrgn/Dlg4/Slc35g2/Slc32a1/Plekhf2/Fgfr3/Chga/Ap4b1/Gabbr1/Rab26/Dnm1l/Borcs5/Pcsk2/Sec22b/Atp6v0a4/Resp18/Picalm",116
"GO:0062023","collagen-containing extracellular matrix","105/2667","391/28779",0.268542199488491,2.89777876230944,12.0750324372099,4.09801292404873e-24,1.53265683359422e-21,1.02450323101218e-21,"Itih5/Pmp22/Matn1/Scara3/Vtn/Col11a2/Efemp1/Timp3/Tgfb2/Gpc5/Cd151/Angptl2/Fgf10/Mgp/Calr/Col11a1/Ctsd/Bgn/Thbs2/Bcan/Sparc/Clu/Myoc/Anxa5/Col8a1/Snorc/Col16a1/Frem3/Lgals9/Coch/Ntn1/Ctsz/Col3a1/Bmp7/Serpinc1/Angpt2/Col8a2/Gpc6/Wnt2/Fgl2/Fibcd1/Prelp/F3/Timp1/Nid1/Fn1/Col6a5/Adamts2/Spon1/Impg1/Lgalsl/Ecm2/Mfap1a/Entpd2/Pf4/Col17a1/Sod3/Hapln1/Serpinf1/Tgfbi/Col6a4/Prg4/S100a11/Cspg4/Col1a2/Col12a1/Pcsk6/Plod1/Mamdc2/Itgb1/Loxl1/Anxa2/Ccdc80/Efemp2/Igf2/Angptl1/Anxa3/Lum/Pcolce2/Col7a1/Tgm2/Vwa1/Emilin1/Serping1/Kazald1/Matn2/Bmper/Anxa4/Col9a1/Gpc3/Cst3/Igfbp7/F13a1/Fbln5/Plxdc2/Serpinh1/Emid1/Dcn/Col1a1/Adam19/S100a10/Ctsb/Ogn/Anxa1/Clec14a",105
"GO:0070382","exocytic vesicle","87/2667","301/28779",0.289036544850498,3.11892865551275,11.8104537328922,1.58518504560634e-22,3.95239471371182e-20,2.64197507601057e-20,"Ap2a2/Scamp5/Otof/Syn1/Cadm1/Znrf1/Vamp3/Htr7/Syngr1/Bin1/Ptprs/Stx12/Ica1/Hspa8/Atp6ap1/Snca/Npy1r/Mme/Anxa5/Syt2/Akap7/Snapin/Rab8a/Dpysl3/Atp6v1b2/Gria2/Gipc1/Penk/Wdr7/Pdyn/Ston2/Kif3c/Gpr151/Slc10a4/Slc18a3/Syt10/Syt9/Syt15/Snap29/Slc5a7/Unc13c/Atp6v1c1/Slc35d3/Marcksl1/Atp6v1g2/Gria1/Drd2/Atp6v0d1/Grin2b/Rab4b/Sv2b/Arpc2/Kif1b/Syt11/Vamp1/Slc4a8/Ap3m2/Slc6a7/Apc/Rab3d/Atr/Gad2/Vti1a/Cln3/Syndig1/Syt17/Amph/Sv2c/Rab6a/Syt13/Lgi3/Rogdi/Clcn5/Rab27b/Psen2/Atp6v1a/Vps45/Dlg4/Slc35g2/Slc32a1/Gabbr1/Rab26/Dnm1l/Borcs5/Sec22b/Atp6v0a4/Picalm",87
"GO:0150034","distal axon","108/2667","429/28779",0.251748251748252,2.71655903151966,11.4480785616985,2.37567774245138e-22,4.44251737838408e-20,2.96959717806423e-20,"Sncg/Nts/Ndrg2/Tanc1/Cables1/Rasgrf1/Pacsin1/Slc1a1/Htr7/Fkbp4/Fscn1/Bin1/Ptprs/Sirt2/Apbb1/Drd1/Klc1/Mical1/Copg2/Prnp/Hspa8/Snca/Lrrtm1/Prkcg/Als2/Clu/Anxa5/Wdr47/Grik3/Dpysl3/Cdh1/Ctsz/Kcnab2/Nefl/Cyth2/Gria2/Atcay/Synj2/Ppp1r2/Shank2/Penk/Pdyn/Kif3c/Htr1b/Ptk2b/Ap3d1/Calb1/Prkca/Slc18a3/Nectin1/Hdac5/Pgr/Unc13c/Lrp2/Kcnq5/Drd2/Ucn/Atp6v0d1/Grin2b/Grip1/Kcnc1/Kcnip3/Ntsr1/Arpc2/Tmod2/Calb2/Dcc/Syt11/Slc4a8/Grm4/Slc4a10/Smn1/Chrm1/Apc/Slc6a3/Arhgef7/Cxcr4/Sirt1/Gprin1/Casr/Amph/Mapt/Exoc7/Glul/Ptbp2/Twf2/Kcna6/Trak1/Ngfr/Dctn2/Katnb1/Kif5c/Nos1/Stmn4/Gabrb3/Slc32a1/Kcnc2/Prph/Flrt3/Map2/Ighmbp2/Sncb/P2rx4/Cplx1/Dpysl2/Cdh8/Crmp1/Gap43",108
"GO:0008021","synaptic vesicle","81/2667","284/28779",0.285211267605634,3.07765094504032,11.2452513912254,1.14139085862057e-20,1.70752072449638e-18,1.14139085862057e-18,"Ap2a2/Scamp5/Otof/Syn1/Cadm1/Znrf1/Vamp3/Htr7/Syngr1/Bin1/Ptprs/Stx12/Ica1/Hspa8/Atp6ap1/Snca/Npy1r/Mme/Anxa5/Syt2/Snapin/Rab8a/Atp6v1b2/Gria2/Gipc1/Penk/Wdr7/Pdyn/Ston2/Kif3c/Gpr151/Slc10a4/Slc18a3/Syt9/Snap29/Slc5a7/Unc13c/Atp6v1c1/Slc35d3/Marcksl1/Atp6v1g2/Gria1/Drd2/Atp6v0d1/Grin2b/Rab4b/Sv2b/Arpc2/Kif1b/Syt11/Vamp1/Slc4a8/Ap3m2/Slc6a7/Apc/Rab3d/Atr/Gad2/Vti1a/Cln3/Syndig1/Amph/Sv2c/Syt13/Lgi3/Rogdi/Clcn5/Rab27b/Psen2/Atp6v1a/Vps45/Dlg4/Slc35g2/Slc32a1/Gabbr1/Rab26/Dnm1l/Borcs5/Sec22b/Atp6v0a4/Picalm",81
"GO:0045121","membrane raft","88/2667","344/28779",0.255813953488372,2.76043110890209,10.4976812766547,6.14261898529564e-19,7.6577983350019e-17,5.11884915441303e-17,"Slc2a1/Plpp3/Hspa1a/Cav1/Slc1a1/Hk1/Prkar1a/Cd44/Drd1/Tnfrsf1a/Stx12/Prnp/Rftn1/Atp1a2/Pllp/Slc2a4/Ctsd/Hspa1b/Mme/Faim2/H2-D1/Rtn4rl1/S1pr1/Emp2/Cdh1/Smpd2/Cr1l/Mlc1/Adcy8/Atp2b4/Synj2/Ezr/Slc27a1/Stoml1/Stom/Pecam1/Fas/Scn5a/Arc/Ptgis/Npc1/Ms4a1/Slc1a2/Dpp4/Cav3/Slc5a7/Tgfbr2/Adam1a/Abcg2/Cd4/Trpc4/Stoml3/Cavin2/Grip1/Ntsr1/Hmgb1/Cavin1/Pdpn/Slc22a6/Tpp1/Myof/Tek/Kcna5/Slc6a3/Cln3/Itgb1/Fxyd1/Cdh13/Anxa2/Mapt/Kcne3/Ikbkb/Kcnq1/Ptgs2/Cd79a/Ephb1/Tnfrsf10b/Nos1/Kirrel1/Myo1c/Serpinh1/Traf2/Atp1b1/Asah2/Gask1a/S100a10/Ctsb/Gprc5b",88
"GO:0098857","membrane microdomain","88/2667","346/28779",0.254335260115607,2.74447485971768,10.4330950824138,9.17213396124877e-19,9.80108029002011e-17,6.55152425803483e-17,"Slc2a1/Plpp3/Hspa1a/Cav1/Slc1a1/Hk1/Prkar1a/Cd44/Drd1/Tnfrsf1a/Stx12/Prnp/Rftn1/Atp1a2/Pllp/Slc2a4/Ctsd/Hspa1b/Mme/Faim2/H2-D1/Rtn4rl1/S1pr1/Emp2/Cdh1/Smpd2/Cr1l/Mlc1/Adcy8/Atp2b4/Synj2/Ezr/Slc27a1/Stoml1/Stom/Pecam1/Fas/Scn5a/Arc/Ptgis/Npc1/Ms4a1/Slc1a2/Dpp4/Cav3/Slc5a7/Tgfbr2/Adam1a/Abcg2/Cd4/Trpc4/Stoml3/Cavin2/Grip1/Ntsr1/Hmgb1/Cavin1/Pdpn/Slc22a6/Tpp1/Myof/Tek/Kcna5/Slc6a3/Cln3/Itgb1/Fxyd1/Cdh13/Anxa2/Mapt/Kcne3/Ikbkb/Kcnq1/Ptgs2/Cd79a/Ephb1/Tnfrsf10b/Nos1/Kirrel1/Myo1c/Serpinh1/Traf2/Atp1b1/Asah2/Gask1a/S100a10/Ctsb/Gprc5b",88
"GO:0045178","basal part of cell","88/2667","362/28779",0.243093922651934,2.62317210348706,9.93233788335541,1.97587454185351e-17,1.84744269663303e-15,1.23492158865844e-15,"Abcc3/Tshr/Otof/Slc2a1/Plpp3/Slco1a4/B4galt1/Cadm1/Hspa1a/Rasgrf1/Cav1/Msn/Slc1a5/Cd44/Heph/Fap/Slco1c1/Slc47a1/Slco2a1/Cldn1/Hspa1b/Epb41/Ceacam1/Erbin/Slc4a4/Slc22a3/Ager/Slc39a5/Slc16a1/Cdh1/Slc22a8/Cr1l/Cnnm4/Mlc1/Adcy8/Atp2b4/Abca8b/Ezr/Slc27a1/Slco4a1/Slc16a12/Slc38a3/Map4k2/Trpc4/Nod1/Clrn1/Rhcg/Pdpn/Slc22a6/Cftr/Tek/Slc4a8/Slc4a10/Fxyd5/Slc4a1/Slc13a5/Casr/Anxa2/Slco2b1/Arrb2/Slc6a13/Kcne3/Stxbp3/Slc14a1/Megf11/Slc12a2/Slc43a2/Slc6a12/Scrib/Kcnq1/Abcc10/Tgfa/Gck/Cldn11/Kcnc2/Myo1c/Slc4a9/Ajap1/Slc22a1/Atp1b1/Numb/Inppl1/Aqp9/Atp6v0a4/Anxa1/Slc7a8/Kcnj10/Ctnna2",88
"GO:0044306","neuron projection terminus","66/2667","230/28779",0.28695652173913,3.09648359172495,10.201914485365,2.97714660086112e-17,2.47433961938235e-15,1.65397033381173e-15,"Sncg/Nts/Tanc1/Pacsin1/Slc1a1/Htr7/Bin1/Drd1/Mical1/Prnp/Hspa8/Snca/Prkcg/Mme/Anxa5/Grik3/Cdh1/Kcnab2/Gria2/Atcay/Synj2/Penk/Pdyn/Htr1b/Ap3d1/Calb1/Prkca/Slc18a3/Slc1a2/Pgr/Unc13c/Kcnq5/Drd2/Ucn/Atp6v0d1/Grin2b/Grip1/Kcnc1/Kcnip3/Ntsr1/Arpc2/Calb2/Syt11/Slc4a8/Grm4/Slc4a10/Chrm1/Apc/Vti1a/Slc6a3/Casr/Amph/Glul/Kcna6/Nos1/Dlg4/Gabrb3/Slc32a1/Kcnc2/Prph/Flrt3/Sncb/P2rx4/Cplx1/Dpysl2/Cdh8",66
"GO:0016323","basolateral plasma membrane","78/2667","308/28779",0.253246753246753,2.7327290257549,9.7707160331142,1.12069647013151e-16,8.38280959658373e-15,5.60348235065757e-15,"Abcc3/Tshr/Otof/Slc2a1/Plpp3/Slco1a4/B4galt1/Cadm1/Hspa1a/Rasgrf1/Cav1/Msn/Cd44/Heph/Slco1c1/Slc47a1/Slco2a1/Cldn1/Hspa1b/Epb41/Ceacam1/Erbin/Slc4a4/Slc22a3/Slc39a5/Slc16a1/Cdh1/Slc22a8/Cr1l/Cnnm4/Mlc1/Adcy8/Atp2b4/Abca8b/Ezr/Slco4a1/Slc16a12/Slc38a3/Map4k2/Trpc4/Nod1/Rhcg/Pdpn/Slc22a6/Cftr/Tek/Slc4a8/Slc4a10/Fxyd5/Slc4a1/Slc13a5/Casr/Anxa2/Slco2b1/Arrb2/Slc6a13/Stxbp3/Slc14a1/Megf11/Slc12a2/Slc43a2/Slc6a12/Scrib/Kcnq1/Abcc10/Tgfa/Kcnc2/Slc4a9/Ajap1/Slc22a1/Atp1b1/Numb/Aqp9/Atp6v0a4/Anxa1/Slc7a8/Kcnj10/Ctnna2",78
