"category","subcategory","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"Human Diseases","Substance dependence","mmu05030","Cocaine addiction","19/1217","48/9577",0.395833333333333,3.11495138318269,5.60443146821933,2.48777812779539e-06,0.000513358683066643,0.000395247587564092,"14814/13488/16476/19049/12915/14800/18610/108069/19739/14282/13489/14812/17161/108068/224129/13162/109731/13385/12912",19
"Metabolism","Amino acid metabolism","mmu00280","Valine, leucine and isoleucine degradation","21/1217","57/9577",0.368421052631579,2.89923452839164,5.4869596938624,2.93347818895225e-06,0.000513358683066643,0.000395247587564092,"11761/213043/78894/11669/52538/56752/235674/110460/13171/110821/231086/11409/15107/208982/72039/15108/71724/268860/12035/17850/66948",21
"Metabolism","Amino acid metabolism","mmu00250","Alanine, aspartate and glutamate metabolism","15/1217","39/9577",0.384615384615385,3.02667340876051,4.83862129964612,4.25852258426609e-05,0.00496827634831044,0.00382519923358638,"70503/66514/11484/27053/76282/14661/52633/11565/14417/11898/214579/14645/53320/212647/268860",15
"Environmental Information Processing","Signal transduction","mmu04010","MAPK signaling pathway","60/1217","299/9577",0.20066889632107,1.57913395239679,3.88169721382534,0.000176267418809327,0.0154233991458161,0.0118748576882073,"67603/58231/193740/19417/14281/21808/21937/11652/16476/15481/14165/18752/80903/15511/14174/13645/18783/14173/330177/11839/54376/56808/12297/11601/239556/12294/319520/14102/16177/26399/19060/18750/54635/21813/26412/19395/18021/54377/21687/13163/17762/19419/216869/16002/13637/15370/218397/234878/26407/18211/16150/18053/12298/14164/18188/21802/14184/22030/12977/12293",60
"Human Diseases","Substance dependence","mmu05031","Amphetamine addiction","20/1217","69/9577",0.289855072463768,2.28097126457314,4.07430526795787,0.000251667229007368,0.0176167060305158,0.013563539079134,"14281/14814/13488/16476/19049/18752/12915/14800/18610/11838/14282/18750/14799/14812/17161/224129/13162/93759/109731/12912",20
"Metabolism","Amino acid metabolism","mmu00380","Tryptophan metabolism","16/1217","52/9577",0.307692307692308,2.42133872700841,3.9210374302177,0.000492419233063425,0.0182317158456855,0.0140370503954752,"11761/213043/11669/56752/110460/12359/229905/17161/78920/15930/209692/15107/21743/109731/71724/13078",16
"Metabolism","Global and overview maps","mmu01212","Fatty acid metabolism","18/1217","62/9577",0.290322580645161,2.28465025048374,3.87177912033324,0.00049478315723698,0.0182317158456855,0.0140370503954752,"12894/66775/54325/78070/12896/52538/235674/110460/170439/20249/76267/71147/68801/94180/231086/11409/15107/11363",18
"Metabolism","Global and overview maps","mmu01200","Carbon metabolism","29/1217","122/9577",0.237704918032787,1.87058340180772,3.69227254232651,0.00053210508121114,0.0182317158456855,0.0140370503954752,"18641/15275/68133/11676/68738/14381/110460/12359/107272/21991/235582/20917/76282/110821/14661/11409/78920/21351/257635/56421/12974/72141/67834/60525/103988/269951/17850/109264/110639",29
"Organismal Systems","Digestive system","mmu04980","Cobalamin transport and metabolism","8/1217","17/9577",0.470588235294118,3.70322393542462,4.25609935703696,0.000558459829448092,0.0182317158456855,0.0140370503954752,"210009/21452/59016/19300/67096/109136/17850/54219",8
"Environmental Information Processing","Signal transduction","mmu04020","Calcium signaling pathway","51/1217","255/9577",0.2,1.57387017255546,3.543752743679,0.000571191311827322,0.0182317158456855,0.0140370503954752,"15562/15566/14814/13488/18019/18797/14165/18752/80903/14174/13645/11513/14173/18430/11514/381290/11540/20192/239556/19229/269999/18750/18799/54635/52163/14812/18021/18573/21390/18216/19882/14676/66402/14816/12669/12767/233979/18679/18574/18211/19218/18575/14164/58861/18125/320404/21802/233011/14184/15564/18438",51
