"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0022613","ribonucleoprotein complex biogenesis","59/1228","454/28832",0.129955947136564,3.05121324742786,9.29160788797211,2.69740333828341e-14,1.46253209001726e-10,1.11729285643634e-10,"Ddx56/Srfbp1/Eif3g/Rpusd4/Sde2/Mettl16/Utp4/Prmt7/Ddx47/Nob1/Luc7l/Fcf1/Nop2/Nop16/Abt1/Ebna1bp2/Eif3d/Rpl7l1/Krr1/Ngdn/Esf1/Celf4/Usp39/Pop7/Slu7/Pak1ip1/Eif3c/Lyar/Eri1/Rsl24d1/Rsrp1/Htatsf1/Cinp/Smn1/Noc2l/Mterf4/Cul4a/Suv39h1/Nol8/Pih1d1/Ftsj3/Ptbp2/Gtf3a/Rrs1/Rexo4/Shq1/Ythdf2/Prpf18/Eif3i/Mrm3/Wbp11/Brix1/Ipo4/Emg1/Noc4l/Sf3a3/C1qbp/Gnl3l/Grwd1",59
"GO:0099003","vesicle-mediated transport in synapse","47/1228","318/28832",0.147798742138365,3.47014115092291,9.34220268274748,1.04851812986074e-13,2.84253265005247e-10,2.17153623210632e-10,"Ap2a2/Scamp5/Sncg/Syn1/Ap3b2/Pacsin1/Bin1/Pip5k1c/Atp6ap1/Snca/Npy1r/Prkcg/Rnf216/Rab8a/Atp6v1b2/Synj2/Arc/Gpr151/Prkar1b/Ap3d1/Prkca/Syt10/Syt9/Snap29/Necap1/Atp6v1c1/Atp6v1g2/Atp6v0d1/Grip1/Sv2b/Pls3/Snap47/Syt11/Slc4a8/Ap3m2/Syt17/Rab3gap1/Amph/Syt13/Vps35/Rab27b/Efr3a/Atp6v1a/Sncb/Dnm1l/Numb/Atp6v0a4",47
"GO:0043254","regulation of protein-containing complex assembly","58/1228","461/28832",0.125813449023861,2.95395224939411,8.92010803138518,1.82303659640352e-13,3.29483480856662e-10,2.51706982696416e-10,"Hspa5/Hspa1a/Psrc1/Fkbp4/Fscn1/Dbnl/Bin1/Ica1/Hspa8/Snca/Hspa1b/Mapre3/Arpc5l/Hrk/Pak3/Tppp/Zdhhc5/Hax1/Prkce/Ptk2b/Sorl1/Kcnk13/Drg1/Dmtn/Gak/Clip1/Thra/Hmgb1/Pex5/Arpc2/Tmod2/Dact1/Gda/Syt11/Lcmt1/Pfn1/Apc/Arhgef7/Rab3gap1/Mapt/Sptan1/Vps35/Sox9/Rasa1/Brk1/Pcsk5/Twf2/Wars1/Cyfip2/Fermt1/Traf2/Creb1/Map2/Jmjd6/Pik3r2/Bax/Gnl3l/Atat1",58
"GO:0072594","establishment of protein localization to organelle","55/1228","459/28832",0.119825708061002,2.81336711304138,8.26004619190143,5.48910368798165e-12,7.44048004905913e-09,5.68411131900205e-09,"Hspa5/Stk4/Ipo8/Cct5/Xbp1/Hk1/Nolc1/Grpel2/Hspa8/Nup85/Vps37b/Bnip3l/Cacng3/Mtch1/Cct6a/Nabp2/Ift122/Atg14/Sorl1/Fam53c/Ap3d1/Vps8/Ipo5/Kpna1/Nup50/Lrp2/Sprn/Med1/Pex5/Ing1/Cct4/Macroh2a2/Rpain/Mterf4/Vps36/Tnfaip3/Vps53/Srp68/Rab3gap1/Mapt/Dnaja1/Lonp2/Hspd1/Gdap1/Ptgs2/Ipo11/Fermt1/Vps4a/Kpna2/Herpud1/Cry2/Ipo4/Snx16/Pik3r2/Bax",55
"GO:0099504","synaptic vesicle cycle","39/1228","261/28832",0.149425287356322,3.5083305252911,8.58589006730198,9.27636743884878e-12,9.09314818141631e-09,6.94665749555867e-09,"Ap2a2/Scamp5/Sncg/Syn1/Ap3b2/Pacsin1/Bin1/Pip5k1c/Atp6ap1/Snca/Npy1r/Prkcg/Atp6v1b2/Synj2/Gpr151/Prkar1b/Ap3d1/Prkca/Syt10/Syt9/Snap29/Atp6v1c1/Atp6v1g2/Atp6v0d1/Sv2b/Pls3/Snap47/Syt11/Slc4a8/Ap3m2/Rab3gap1/Amph/Syt13/Rab27b/Efr3a/Atp6v1a/Sncb/Dnm1l/Atp6v0a4",39
"GO:0006457","protein folding","32/1228","183/28832",0.174863387978142,4.1055872981969,8.88909566306351,1.0062502598395e-11,9.09314818141631e-09,6.94665749555867e-09,"Hspa5/Sdf2l1/Dnajb1/Cct5/Ahsa1/Hspa1a/Fkbp4/Grpel2/Pdia4/Hspa8/Ero1a/Chordc1/Dnajb11/Calr/H2-DMa/Hspa1b/Cdc37/Dnajb5/Cct6a/Nudc/Erp44/Cct4/Sdf2/Telo2/Dnaja1/Hspa2/Dnajb6/Zmynd10/Hspd1/Pdia3/Hsp90b1/Mesd",32
"GO:0042254","ribosome biogenesis","43/1228","320/28832",0.134375,3.1549674267101,8.17607534684913,2.90728648477641e-11,2.25190104577967e-08,1.72032666430003e-08,"Ddx56/Srfbp1/Rpusd4/Sde2/Mettl16/Utp4/Ddx47/Nob1/Fcf1/Nop2/Nop16/Abt1/Ebna1bp2/Rpl7l1/Krr1/Ngdn/Esf1/Pop7/Pak1ip1/Lyar/Eri1/Rsl24d1/Cinp/Noc2l/Mterf4/Cul4a/Suv39h1/Nol8/Pih1d1/Ftsj3/Gtf3a/Rrs1/Rexo4/Ythdf2/Mrm3/Wbp11/Brix1/Ipo4/Emg1/Noc4l/C1qbp/Gnl3l/Grwd1",43
"GO:0030900","forebrain development","55/1228","482/28832",0.114107883817427,2.67911930474272,7.84100208443122,3.71028325479656e-11,2.51464447593837e-08,1.92104797468743e-08,"Nr4a3/Fos/Ptprs/Hspa8/Chd5/Fgf10/Nr4a2/Wdr47/Rtn4rl1/Sstr2/Sema3e/Oxtr/Neurod1/Atp2b4/Chrd/Cxcl12/Rara/Wnt4/Sstr3/Trappc9/Gak/Lrp2/Gria1/Mettl14/Pex5/H2ax/Slc4a10/Fbxo41/Large1/Slc6a3/Cxcr4/Inhba/Fezf1/Nr2f1/Rab3gap1/Uba6/Ccdc39/Efna2/Tyro3/Kif3a/Psen2/Ptger3/Mcph1/Ift88/Robo2/Kcnc2/Slit1/Ext1/Creb1/Numb/Bax/Agtpbp1/Ndnf/Atat1/Sstr1",55
"GO:0016072","rRNA metabolic process","36/1228","256/28832",0.140625,3.30171009771987,7.80212518229705,3.29473460957225e-10,1.98489456145564e-07,1.51634861855752e-07,"Ddx56/Srfbp1/Rpusd4/Sde2/Mettl16/Utp4/Ddx47/Nob1/Fcf1/Nop2/Abt1/Ebna1bp2/Rpl7l1/Krr1/Ngdn/Esf1/Pop7/Pak1ip1/Tcof1/Lyar/Eri1/Ubtf/Macroh2a2/Mterf4/Top1/Suv39h1/Nol8/Pih1d1/Ftsj3/Rrs1/Rexo4/Ythdf2/Mrm3/Wbp11/Brix1/Emg1",36
"GO:0050890","cognition","47/1228","403/28832",0.116625310173697,2.73822552355704,7.41175203162419,4.77895100757891e-10,2.59114723630929e-07,1.97949181208664e-07,"Tanc1/Slc1a1/Fos/Pgrmc1/Jun/Prnp/Washc4/Prkcg/Nr4a2/Rgs14/Oxtr/Adcy8/Synpo/Chrd/Chmp2b/Shank2/Egr1/Arc/Prkar1b/Aph1b/Calb1/Prkca/Hmgcr/Gria1/Thra/Fen1/Grin2b/Ntsr1/Tmod2/Abca7/Chrna4/Syt11/Chl1/Chrm1/Large1/Slc6a3/Clstn2/Amph/Mapt/Egr2/Uba6/Rogdi/Psen2/Ptgs2/Gabra5/Creb1/Neurod2",47
