"logFC","logCPM","F","PValue","FDR","gene_id","significant","direction","regulation"
-6.66301398918248,2.25078162609623,68.8552929054053,8.50654081907147e-11,1.31621706093493e-06,"ENSMUSG00000066407",TRUE,"Down","Down regulated"
-5.46369754328335,3.26359367181809,62.2767247031468,2.83233363630107e-09,2.19123491772432e-05,"ENSMUSG00000069117",TRUE,"Down","Down regulated"
-3.59133428368768,2.88008281887648,52.277053743194,2.24263137877057e-08,0.000115667451079057,"ENSMUSG00000058064",TRUE,"Down","Down regulated"
-3.0507967853133,2.9072709588482,45.935710427186,8.3103583376214e-08,0.000272955923943166,"ENSMUSG00000081824",TRUE,"Down","Down regulated"
-9.77172481854084,1.89132255938753,52.4153802885643,8.82039436254011e-08,0.000272955923943166,"ENSMUSG00000092365",TRUE,"Down","Down regulated"
-1.79149194651694,1.31425341235032,42.3910296614265,1.83533700582028e-07,0.000473302824850953,"ENSMUSG00000043192",TRUE,"Down","Down regulated"
-0.833299891888676,5.93614690754004,40.4465319275295,2.84284380198827e-07,0.000609232735665126,"ENSMUSG00000019970",TRUE,"Down","Down regulated"
-2.6838718249683,1.041178956287,40.0048056037084,3.14991396970271e-07,0.000609232735665126,"ENSMUSG00000092368",TRUE,"Down","Down regulated"
-8.93112099167344,0.268892216636871,41.9174215050991,7.26208540200497e-07,0.00124851386028026,"ENSMUSG00000083720",TRUE,"Down","Down regulated"
-4.36196125455258,-0.57622815997959,32.8821188515007,9.2005881022305e-07,0.00142360699705812,"ENSMUSG00000069996",TRUE,"Down","Down regulated"
1.32700477217879,2.60002163277812,33.3983304920247,1.62179691177898e-06,0.00228127851054146,"ENSMUSG00000026414",TRUE,"Up","Up regulated"
-0.979817898359666,3.21607312189278,30.0441726129987,3.97041798503958e-06,0.00511952312354312,"ENSMUSG00000022571",TRUE,"Down","Down regulated"
-7.25531639831399,2.88158686391279,29.0818274978474,5.01983927698406e-06,0.00597476716405957,"ENSMUSG00000035383",TRUE,"Down","Down regulated"
-0.420011224013325,5.08340366373076,28.3987060546801,6.27229168132851e-06,0.00652465419696414,"ENSMUSG00000020311",TRUE,"Down","Down regulated"
