"logFC","logCPM","F","PValue","FDR","gene_id","significant","direction","regulation"
-1.39973138871437,1.83422092926741,102.988772716781,4.01900959852125e-14,6.21861355179192e-10,"ENSMUSG00000090698",TRUE,"Down","Down regulated"
-1.75198490266137,4.78864292561042,86.0199952711914,8.99052892744819e-13,6.95552270472029e-09,"ENSMUSG00000021250",TRUE,"Down","Down regulated"
0.0327312712177634,4.43490712178808,70.0473295912772,3.53157271606079e-12,1.82146748785362e-08,"ENSMUSG00000035383",TRUE,"Up","Up regulated"
4.89179747352701,0.210837057566658,53.1446643570533,1.44919323919305e-10,5.6058417475085e-07,"ENSMUSG00000094497",TRUE,"Up","Up regulated"
-0.901165497023591,3.25960775669527,56.8858776288058,5.3658200786836e-10,1.66050668154943e-06,"ENSMUSG00000056749",TRUE,"Down","Down regulated"
1.11629142779265,2.72869578043587,56.0787860822143,6.56288578339392e-10,1.69245886210757e-06,"ENSMUSG00000046152",TRUE,"Up","Up regulated"
-0.485151471424484,3.84758338618428,54.0086229580664,1.10435332361266e-09,2.15780459897275e-06,"ENSMUSG00000038500",TRUE,"Down","Down regulated"
-0.969253366133405,3.70498328860792,53.621176919939,1.21946402075002e-09,2.15780459897275e-06,"ENSMUSG00000020423",TRUE,"Down","Down regulated"
-0.607654276745668,3.3183607516183,53.5087187984937,1.2551051115333e-09,2.15780459897275e-06,"ENSMUSG00000010067",TRUE,"Down","Down regulated"
-1.40314099609821,1.75888185074109,51.7926068080509,1.97453185506224e-09,3.0551931393378e-06,"ENSMUSG00000079227",TRUE,"Down","Down regulated"
-1.59836804153814,2.4920999146124,49.5628242881265,3.52385886093673e-09,4.95678801411582e-06,"ENSMUSG00000028195",TRUE,"Down","Down regulated"
-2.45455015679518,3.39387607015658,47.9234846114244,5.46964022627043e-09,7.05264526842353e-06,"ENSMUSG00000037868",TRUE,"Down","Down regulated"
1.4810433553227,4.47009111628532,47.1981576484866,6.63242135484098e-09,7.45692629782094e-06,"ENSMUSG00000073643",TRUE,"Up","Up regulated"
-0.299057134145892,5.95686955608117,46.8976601497062,7.19650535309248e-09,7.45692629782094e-06,"ENSMUSG00000038612",TRUE,"Down","Down regulated"
-0.825036550682786,6.95069505820482,46.8811660755855,7.22897269225839e-09,7.45692629782094e-06,"ENSMUSG00000037266",TRUE,"Down","Down regulated"
-0.426665813617333,4.08303266949468,45.9591620585524,9.31408784341057e-09,9.00730507506823e-06,"ENSMUSG00000048696",TRUE,"Down","Down regulated"
-3.97387595710921,-1.24182676584497,40.6113569584631,9.97627946363127e-09,9.0801748318098e-06,"ENSMUSG00000100701",TRUE,"Down","Down regulated"
-2.75665214022321,1.64204685504539,43.3886239653641,1.96843396832757e-08,1.65020724864851e-05,"ENSMUSG00000093483",TRUE,"Down","Down regulated"
