"gene_id","acute_sig","short_sig","chronic_sig","pattern"
"ENSMUSG00000090698",TRUE,FALSE,TRUE,"Acute_and_chronic"
"ENSMUSG00000021250",TRUE,FALSE,TRUE,"Acute_and_chronic"
"ENSMUSG00000048696",TRUE,FALSE,TRUE,"Acute_and_chronic"
"ENSMUSG00000020423",TRUE,FALSE,TRUE,"Acute_and_chronic"
"ENSMUSG00000032902",TRUE,FALSE,TRUE,"Acute_and_chronic"
"ENSMUSG00000028195",TRUE,FALSE,TRUE,"Acute_and_chronic"
"ENSMUSG00000025316",TRUE,TRUE,FALSE,"Early_response"
"ENSMUSG00000038612",TRUE,FALSE,TRUE,"Acute_and_chronic"
"ENSMUSG00000002831",TRUE,FALSE,TRUE,"Acute_and_chronic"
"ENSMUSG00000034826",TRUE,FALSE,TRUE,"Acute_and_chronic"
"ENSMUSG00000020108",TRUE,FALSE,TRUE,"Acute_and_chronic"
"ENSMUSG00000048572",TRUE,FALSE,TRUE,"Acute_and_chronic"
"ENSMUSG00000060862",TRUE,FALSE,TRUE,"Acute_and_chronic"
"ENSMUSG00000024042",TRUE,FALSE,TRUE,"Acute_and_chronic"
"ENSMUSG00000055447",TRUE,FALSE,TRUE,"Acute_and_chronic"
"ENSMUSG00000046152",TRUE,FALSE,TRUE,"Acute_and_chronic"
"ENSMUSG00000027314",TRUE,FALSE,TRUE,"Acute_and_chronic"
"ENSMUSG00000035828",TRUE,FALSE,TRUE,"Acute_and_chronic"
"ENSMUSG00000048546",TRUE,FALSE,TRUE,"Acute_and_chronic"
"ENSMUSG00000053560",TRUE,FALSE,TRUE,"Acute_and_chronic"
"ENSMUSG00000066687",TRUE,TRUE,FALSE,"Early_response"
"ENSMUSG00000094497",TRUE,FALSE,TRUE,"Acute_and_chronic"
"ENSMUSG00000069874",TRUE,TRUE,TRUE,"Sustained_response"
"ENSMUSG00000026313",TRUE,FALSE,TRUE,"Acute_and_chronic"
"ENSMUSG00000024190",TRUE,FALSE,TRUE,"Acute_and_chronic"
"ENSMUSG00000050538",TRUE,FALSE,FALSE,"Acute_only"
"ENSMUSG00000094114",TRUE,FALSE,TRUE,"Acute_and_chronic"
"ENSMUSG00000042328",TRUE,FALSE,FALSE,"Acute_only"
"ENSMUSG00000033444",TRUE,FALSE,TRUE,"Acute_and_chronic"
"ENSMUSG00000032193",TRUE,FALSE,TRUE,"Acute_and_chronic"
"ENSMUSG00000056749",TRUE,FALSE,TRUE,"Acute_and_chronic"
"ENSMUSG00000038344",TRUE,FALSE,TRUE,"Acute_and_chronic"
"ENSMUSG00000034247",TRUE,TRUE,FALSE,"Early_response"
"ENSMUSG00000047867",TRUE,FALSE,TRUE,"Acute_and_chronic"
"ENSMUSG00000041440",TRUE,FALSE,FALSE,"Acute_only"
"ENSMUSG00000035632",TRUE,FALSE,TRUE,"Acute_and_chronic"
"ENSMUSG00000078202",TRUE,FALSE,TRUE,"Acute_and_chronic"
"ENSMUSG00000010067",TRUE,FALSE,TRUE,"Acute_and_chronic"
"ENSMUSG00000084020",TRUE,FALSE,TRUE,"Acute_and_chronic"
"ENSMUSG00000024907",TRUE,FALSE,FALSE,"Acute_only"
"ENSMUSG00000032290",TRUE,TRUE,TRUE,"Sustained_response"
"ENSMUSG00000069833",TRUE,FALSE,FALSE,"Acute_only"
"ENSMUSG00000025823",TRUE,FALSE,FALSE,"Acute_only"
"ENSMUSG00000024817",TRUE,FALSE,TRUE,"Acute_and_chronic"
"ENSMUSG00000038560",TRUE,FALSE,FALSE,"Acute_only"
"ENSMUSG00000021453",TRUE,FALSE,TRUE,"Acute_and_chronic"
"ENSMUSG00000061731",TRUE,FALSE,TRUE,"Acute_and_chronic"
"ENSMUSG00000027301",TRUE,FALSE,FALSE,"Acute_only"
"ENSMUSG00000047777",TRUE,FALSE,TRUE,"Acute_and_chronic"
"ENSMUSG00000037112",TRUE,FALSE,TRUE,"Acute_and_chronic"
"ENSMUSG00000007812",TRUE,FALSE,FALSE,"Acute_only"
"ENSMUSG00000041180",TRUE,FALSE,FALSE,"Acute_only"
"ENSMUSG00000087221",TRUE,FALSE,FALSE,"Acute_only"
"ENSMUSG00000046470",TRUE,FALSE,FALSE,"Acute_only"
"ENSMUSG00000020074",TRUE,TRUE,FALSE,"Early_response"
"ENSMUSG00000055805",TRUE,FALSE,TRUE,"Acute_and_chronic"
"ENSMUSG00000001052",TRUE,FALSE,TRUE,"Acute_and_chronic"
"ENSMUSG00000048612",TRUE,FALSE,TRUE,"Acute_and_chronic"
"ENSMUSG00000082791",TRUE,FALSE,FALSE,"Acute_only"
"ENSMUSG00000049516",TRUE,FALSE,TRUE,"Acute_and_chronic"
"ENSMUSG00000035208",TRUE,FALSE,FALSE,"Acute_only"
"ENSMUSG00000057058",TRUE,FALSE,FALSE,"Acute_only"
"ENSMUSG00000048647",TRUE,FALSE,FALSE,"Acute_only"
"ENSMUSG00000030787",TRUE,FALSE,FALSE,"Acute_only"
"ENSMUSG00000079470",TRUE,FALSE,TRUE,"Acute_and_chronic"
"ENSMUSG00000034135",TRUE,FALSE,TRUE,"Acute_and_chronic"
"ENSMUSG00000093553",TRUE,FALSE,FALSE,"Acute_only"
"ENSMUSG00000013089",TRUE,FALSE,TRUE,"Acute_and_chronic"
"ENSMUSG00000029833",TRUE,FALSE,FALSE,"Acute_only"
"ENSMUSG00000024081",TRUE,FALSE,TRUE,"Acute_and_chronic"
"ENSMUSG00000018209",TRUE,FALSE,TRUE,"Acute_and_chronic"
"ENSMUSG00000047878",TRUE,FALSE,FALSE,"Acute_only"
"ENSMUSG00000038155",TRUE,FALSE,FALSE,"Acute_only"
"ENSMUSG00000078607",TRUE,FALSE,TRUE,"Acute_and_chronic"
"ENSMUSG00000034647",TRUE,FALSE,FALSE,"Acute_only"
"ENSMUSG00000027351",TRUE,FALSE,TRUE,"Acute_and_chronic"
"ENSMUSG00000026110",TRUE,FALSE,FALSE,"Acute_only"
"ENSMUSG00000087611",TRUE,FALSE,TRUE,"Acute_and_chronic"
"ENSMUSG00000032327",TRUE,FALSE,FALSE,"Acute_only"
"ENSMUSG00000020484",TRUE,FALSE,FALSE,"Acute_only"
"ENSMUSG00000016179",TRUE,FALSE,TRUE,"Acute_and_chronic"
"ENSMUSG00000073643",TRUE,FALSE,TRUE,"Acute_and_chronic"
"ENSMUSG00000038843",TRUE,FALSE,FALSE,"Acute_only"
"ENSMUSG00000085407",TRUE,FALSE,FALSE,"Acute_only"
"ENSMUSG00000064357",TRUE,FALSE,TRUE,"Acute_and_chronic"
"ENSMUSG00000035383",FALSE,TRUE,TRUE,"Late_response"
"ENSMUSG00000022571",FALSE,TRUE,FALSE,"Short_only"
"ENSMUSG00000066407",FALSE,TRUE,TRUE,"Late_response"
"ENSMUSG00000069117",FALSE,TRUE,FALSE,"Short_only"
"ENSMUSG00000098702",FALSE,TRUE,FALSE,"Short_only"
"ENSMUSG00000092365",FALSE,TRUE,TRUE,"Late_response"
"ENSMUSG00000019970",FALSE,TRUE,FALSE,"Short_only"
"ENSMUSG00000058064",FALSE,TRUE,TRUE,"Late_response"
"ENSMUSG00000069996",FALSE,TRUE,TRUE,"Late_response"
"ENSMUSG00000081824",FALSE,TRUE,TRUE,"Late_response"
"ENSMUSG00000092368",FALSE,TRUE,TRUE,"Late_response"
"ENSMUSG00000083720",FALSE,TRUE,TRUE,"Late_response"
"ENSMUSG00000025188",FALSE,TRUE,FALSE,"Short_only"
"ENSMUSG00000093483",FALSE,TRUE,TRUE,"Late_response"
"ENSMUSG00000082414",FALSE,TRUE,FALSE,"Short_only"
"ENSMUSG00000006395",FALSE,TRUE,FALSE,"Short_only"
"ENSMUSG00000020311",FALSE,TRUE,FALSE,"Short_only"
"ENSMUSG00000100701",FALSE,TRUE,TRUE,"Late_response"
"ENSMUSG00000031562",FALSE,TRUE,FALSE,"Short_only"
"ENSMUSG00000095134",FALSE,TRUE,FALSE,"Short_only"
"ENSMUSG00000050312",FALSE,TRUE,FALSE,"Short_only"
"ENSMUSG00000099871",FALSE,TRUE,FALSE,"Short_only"
"ENSMUSG00000018604",FALSE,TRUE,FALSE,"Short_only"
"ENSMUSG00000029993",FALSE,TRUE,FALSE,"Short_only"
"ENSMUSG00000027983",FALSE,TRUE,FALSE,"Short_only"
"ENSMUSG00000019916",FALSE,TRUE,FALSE,"Short_only"
"ENSMUSG00000038500",FALSE,FALSE,TRUE,"Chronic_only"
"ENSMUSG00000079227",FALSE,FALSE,TRUE,"Chronic_only"
"ENSMUSG00000037868",FALSE,FALSE,TRUE,"Chronic_only"
"ENSMUSG00000037266",FALSE,FALSE,TRUE,"Chronic_only"
"ENSMUSG00000031167",FALSE,FALSE,TRUE,"Chronic_only"
"ENSMUSG00000026554",FALSE,FALSE,TRUE,"Chronic_only"
"ENSMUSG00000086290",FALSE,FALSE,TRUE,"Chronic_only"
"ENSMUSG00000052137",FALSE,FALSE,TRUE,"Chronic_only"
"ENSMUSG00000000317",FALSE,FALSE,TRUE,"Chronic_only"
"ENSMUSG00000029001",FALSE,FALSE,TRUE,"Chronic_only"
"ENSMUSG00000032556",FALSE,FALSE,TRUE,"Chronic_only"
"ENSMUSG00000037001",FALSE,FALSE,TRUE,"Chronic_only"
"ENSMUSG00000021003",FALSE,FALSE,TRUE,"Chronic_only"
"ENSMUSG00000007411",FALSE,FALSE,TRUE,"Chronic_only"
"ENSMUSG00000055148",FALSE,FALSE,TRUE,"Chronic_only"
"ENSMUSG00000012296",FALSE,FALSE,TRUE,"Chronic_only"
"ENSMUSG00000099964",FALSE,FALSE,TRUE,"Chronic_only"
"ENSMUSG00000034858",FALSE,FALSE,TRUE,"Chronic_only"
"ENSMUSG00000074890",FALSE,FALSE,TRUE,"Chronic_only"
"ENSMUSG00000003038",FALSE,FALSE,TRUE,"Chronic_only"
"ENSMUSG00000031600",FALSE,FALSE,TRUE,"Chronic_only"
"ENSMUSG00000037447",FALSE,FALSE,TRUE,"Chronic_only"
"ENSMUSG00000039220",FALSE,FALSE,TRUE,"Chronic_only"
"ENSMUSG00000100801",FALSE,FALSE,TRUE,"Chronic_only"
"ENSMUSG00000035372",FALSE,FALSE,TRUE,"Chronic_only"
"ENSMUSG00000026628",FALSE,FALSE,TRUE,"Chronic_only"
"ENSMUSG00000021127",FALSE,FALSE,TRUE,"Chronic_only"
"ENSMUSG00000056592",FALSE,FALSE,TRUE,"Chronic_only"
"ENSMUSG00000021185",FALSE,FALSE,TRUE,"Chronic_only"
"ENSMUSG00000021188",FALSE,FALSE,TRUE,"Chronic_only"
"ENSMUSG00000032641",FALSE,FALSE,TRUE,"Chronic_only"
"ENSMUSG00000047342",FALSE,FALSE,TRUE,"Chronic_only"
"ENSMUSG00000050550",FALSE,FALSE,TRUE,"Chronic_only"
"ENSMUSG00000044573",FALSE,FALSE,TRUE,"Chronic_only"
"ENSMUSG00000028602",FALSE,FALSE,TRUE,"Chronic_only"
"ENSMUSG00000074252",FALSE,FALSE,TRUE,"Chronic_only"
"ENSMUSG00000034640",FALSE,FALSE,TRUE,"Chronic_only"
"ENSMUSG00000029190",FALSE,FALSE,TRUE,"Chronic_only"
"ENSMUSG00000020482",FALSE,FALSE,TRUE,"Chronic_only"
"ENSMUSG00000021911",FALSE,FALSE,TRUE,"Chronic_only"
